,λ = 0.0,λ = 0.3,λ = 0.8,λ = 1.0 (Widrow-Hoff)
0.0,0.23570226039551584,0.23570226039551584,0.23570226039551584,0.23570226039551584
0.049999999999999996,0.17450512979848354,0.16511039282516943,0.14787509401422133,0.17145072134146552
0.09999999999999999,0.12921498425635705,0.11739680064043355,0.11255812189137938,0.18709518673570727
0.15,0.0992196884322551,0.09017850977983687,0.11298374766507273,0.2311093859051525
0.19999999999999998,0.08555669864106287,0.0818082738443294,0.1316620310985361,0.28306174151061214
0.24999999999999997,0.08929606692474429,0.08838690412807126,0.15586929598371208,0.33874813607957355
0.3,0.10887723464958934,0.10345940207266667,0.18416809954713845,0.4018492280600312
0.35,0.14441666894559735,0.12597937292612604,0.2182633716654014,0.48191167987466504
0.39999999999999997,0.21522070103626384,0.15941010663241065,0.26092244096924583,0.5868870102156838
0.44999999999999996,0.3850842400946655,0.2125829315708671,0.31628222004003725,0.7365411631576325
0.49999999999999994,0.7866296990959073,0.30426111997988614,0.3925985176096697,0.952473706692383
0.5499999999999999,,0.4791572559717692,0.5050616526108496,
0.6,,0.8472234175308756,0.6851525836299754,
