episode,epsilon,score,average,avg_q_values
0.0,1.0,33.0,33.989963006670905,2.2230987548828125
1.0,0.9858158423524046,-189.0,-77.85147487214803,4.90649938583374
2.0,0.9718328750329811,-193.0,-116.27132945298683,13.502622604370117
3.0,0.9580482443263975,-106.0,-113.87044509013518,11.283418655395508
4.0,0.9444591369948698,-334.0,-157.9104600456289,10.510743141174316
5.0,0.9310627797040227,-129.0,-153.2547239242893,14.787978172302246
6.0,0.9178564384568926,-470.0,-198.5912149160216,33.398921966552734
7.0,0.9048374180359595,-178.0,-196.14053543433494,22.652122497558594
8.0,0.8920030614530944,-10.0,-175.54475550167598,6.987468242645264
9.0,0.879350749407306,-113.0,-169.37300526159828,18.319183349609375
10.0,0.8668778997501816,-161.0,-168.62068618245513,24.582103729248047
11.0,0.8545819669589086,-78.0,-161.1212318240316,16.6304988861084
12.0,0.8424604416167714,-547.0,-190.83809720765268,31.77790641784668
13.0,0.8305108499010163,-363.0,-203.15932826487284,27.719064712524414
14.0,0.8187307530779818,-241.0,-205.74820652464848,25.142196655273438
15.0,0.8071177470053893,-51.0,-196.0793485000628,18.135984420776367
16.0,0.7956694616416928,-339.0,-204.51060343015712,15.302138328552246
17.0,0.7843835605623898,-40.0,-195.39470645726922,16.61851692199707
18.0,0.7732577404831906,-89.0,-189.84293054299616,19.84737205505371
19.0,0.7622897307899537,-31.0,-181.93683490656613,18.593732833862305
20.0,0.751477293075286,-334.0,-189.2198521847408,13.633005142211914
21.0,0.7408182206817179,-189.0,-189.22665062650236,18.05600357055664
22.0,0.7303103382513573,-377.0,-197.425178397115,11.65527057647705
23.0,0.7199515012819313,-23.0,-190.17697170337024,21.162261962890625
24.0,0.7097395956891255,-158.0,-188.90458804034057,13.24091911315918
25.0,0.6996725373751304,-107.0,-185.75596376692195,18.06512451171875
26.0,0.6897482718033084,-142.0,-184.16221086668693,16.435379028320312
27.0,0.6799647735788938,-80.0,-180.4574365007253,21.65353775024414
28.0,0.6703200460356393,-39.0,-175.58169445473993,24.774139404296875
29.0,0.6608121208283264,-99.0,-173.04333319705867,23.273929595947266
30.0,0.6514390575310556,-204.0,-174.0439636881942,18.190446853637695
31.0,0.6421989432412342,-81.0,-171.16150146874847,23.459453582763672
32.0,0.6330898921891813,-119.0,-169.60509787860434,23.978967666625977
33.0,0.6241100453532709,-204.0,-170.62402844855302,14.465978622436523
34.0,0.6152575700805322,-320.0,-174.90685315448798,2.1184825897216797
35.0,0.6065306597126334,-105.0,-172.98537489329578,26.575206756591797
36.0,0.5979275332171694,-101.0,-171.04887361497586,24.325544357299805
37.0,0.5894464348241792,-213.0,-172.15632094068778,5.91078519821167
38.0,0.5810856336678201,-82.0,-169.8664548144591,32.30781555175781
39.0,0.5728434234331229,-76.0,-167.53241530285683,27.48612403869629
40.0,0.5647181220077593,-61.0,-164.95831806889873,34.7520637512207
41.0,0.5567080711387471,-34.0,-161.85055838764652,34.45733642578125
42.0,0.5488116360940265,-129.0,-161.09330688526506,23.385692596435547
43.0,0.541027205328834,-28.0,-158.07616348103906,19.486112594604492
44.0,0.5333531901568119,-127.0,-157.40254504831026,29.92112922668457
45.0,0.5257880244257798,-86.0,-155.87103171050475,34.01926040649414
46.0,0.5183301641981067,-5.0,-152.66957551253222,13.256120681762695
47.0,0.5109780874356169,-37.0,-150.2666017738996,24.140235900878906
48.0,0.5037302936889633,-43.0,-148.09408888799405,15.069661140441895
49.0,0.4965853037914095,-77.0,-146.68163556022063,44.10866165161133
50.0,0.4895416595569531,-183.0,-147.41183026769409,13.674906730651855
51.0,0.48259792348273184,-57.0,-145.6779770819615,36.2926139831543
52.0,0.4757526784556506,-73.0,-144.3140848973378,45.71583938598633
53.0,0.4690045274631699,-59.0,-142.7384179359929,31.868667602539062
54.0,0.4623520933081963,40.0,-139.41402772097564,45.58652877807617
55.0,0.4557940183280172,-62.0,-138.0362076697831,43.96617889404297
56.0,0.44932896411722156,-39.0,-136.31200436279553,36.40184020996094
57.0,0.4429556112545522,-12.0,-134.17450849517763,41.94898223876953
58.0,0.4366726590336306,-82.0,-133.3058627809789,42.898738861083984
59.0,0.43047882519750297,-225.0,-134.83459729761813,26.209211349487305
60.0,0.42437284567695,-19.0,-132.94412189984553,45.54892349243164
61.0,0.4183534743325094,2.0,-130.7642407331319,42.8963508605957
62.0,0.4124194827001579,-27.0,-129.1323406192939,49.43407440185547
63.0,0.4065696597405991,33.0,-126.58410236154556,18.673030853271484
64.0,0.40080281159210923,-23.0,-125.00241030035065,36.651004791259766
65.0,0.3951177613268873,-224.0,-126.51069606880954,35.69382095336914
66.0,0.3895133487108618,-15.0,-124.85052168236261,49.25200271606445
67.0,0.38398842996690413,-103.0,-124.53448720407357,63.85610580444336
68.0,0.37854187754140095,-156.0,-124.99380419307309,35.183597564697266
69.0,0.37317257987413693,-46.0,-123.87867457331708,54.70895004272461
70.0,0.36787944117144233,-158.0,-124.36369670400734,57.794288635253906
71.0,0.3626613811825573,-212.0,-125.58284214806596,47.720394134521484
72.0,0.35751733497916927,-76.0,-124.9163690835289,56.023651123046875
73.0,0.3524462527380765,-149.0,-125.24427674047656,48.5975456237793
74.0,0.3474470995269354,-6.0,-123.65914219508069,56.73304748535156
75.0,0.34251885509304564,-56.0,-122.77238269422699,58.011146545410156
76.0,0.337660513655132,-25.0,-121.51131679630309,45.1436767578125
77.0,0.33287108369807955,-15.0,-120.1564689611315,47.43955612182617
78.0,0.32814958777058006,-31.0,-119.0363053011406,58.4629020690918
79.0,0.3234950622856487,-26.0,-117.88466334919896,54.265464782714844
80.0,0.31890655732397044,-5.0,-116.4976533860507,53.13333511352539
81.0,0.3143831364400353,-35.0,-115.50547204596873,59.927093505859375
82.0,0.3099238764710244,3.0,-114.06842856152858,56.29914855957031
83.0,0.3055278673484055,-71.0,-113.56191728282226,70.7838363647461
84.0,0.30119421191220214,30.0,-111.87266261914297,35.11521911621094
