episode,epsilon,score,average,avg_q_values
0.0,1.0,-262.0,-262.6024532485824,-0.8865169286727905
1.0,0.9858158423524046,-178.0,-220.61626406614508,-1.3614232540130615
2.0,0.9718328750329811,-298.0,-246.54060559489227,-1.3249821662902832
3.0,0.9580482443263975,-272.0,-253.0148716994454,-1.1242715120315552
4.0,0.9444591369948698,-71.0,-216.77047624607056,-3.8607661724090576
5.0,0.9310627797040227,-293.0,-229.58424987026586,-4.525059700012207
6.0,0.9178564384568926,-257.0,-233.53049868301153,-2.1323204040527344
7.0,0.9048374180359595,-256.0,-236.35096625765252,-0.792515218257904
8.0,0.8920030614530944,-80.0,-219.04786318638497,-6.2483367919921875
9.0,0.879350749407306,-145.0,-211.73605531823105,-6.8421125411987305
10.0,0.8668778997501816,-266.0,-216.7112501464685,-8.742198944091797
11.0,0.8545819669589086,-78.0,-205.22330667777382,-9.41159725189209
12.0,0.8424604416167714,-338.0,-215.50668797481143,-8.914541244506836
13.0,0.8305108499010163,-102.0,-207.46604471343463,-8.20720100402832
14.0,0.8187307530779818,-200.0,-206.97263575745882,-11.683674812316895
15.0,0.8071177470053893,-318.0,-213.9679264801141,-7.531625270843506
16.0,0.7956694616416928,-80.0,-206.10925882600696,-9.918123245239258
17.0,0.7843835605623898,-380.0,-215.80139442418076,-17.7025203704834
18.0,0.7732577404831906,-163.0,-213.03970869048396,-9.634912490844727
19.0,0.7622897307899537,-287.0,-216.78720137485072,-11.235148429870605
20.0,0.751477293075286,-210.0,-216.47074673003877,-21.761388778686523
21.0,0.7408182206817179,-194.0,-215.48733408792015,-9.979168891906738
22.0,0.7303103382513573,-73.0,-209.32388126366243,-11.015328407287598
23.0,0.7199515012819313,-66.0,-203.38239729070338,-14.801426887512207
24.0,0.7097395956891255,-83.0,-198.5756938594843,-10.208425521850586
25.0,0.6996725373751304,-60.0,-193.2660033707816,-18.639684677124023
26.0,0.6897482718033084,-115.0,-190.37309337679451,-2.558682680130005
27.0,0.6799647735788938,-160.0,-189.30269639884625,-14.16313362121582
28.0,0.6703200460356393,-102.0,-186.32512760228593,3.215207815170288
29.0,0.6608121208283264,-140.0,-184.79821946042895,-14.073125839233398
30.0,0.6514390575310556,-82.0,-181.50230893058213,-2.448707103729248
31.0,0.6421989432412342,-68.0,-177.96040835791908,-12.332511901855469
32.0,0.6330898921891813,-26.0,-173.3562422051408,2.3598639965057373
33.0,0.6241100453532709,-68.0,-170.275308031624,-1.4025012254714966
34.0,0.6152575700805322,-97.0,-168.18903679256755,-4.1186347007751465
35.0,0.6065306597126334,-302.0,-171.91377012556256,-23.666643142700195
36.0,0.5979275332171694,-144.0,-171.17970778208746,-4.7792277336120605
37.0,0.5894464348241792,-53.0,-168.08296246895446,-2.499067544937134
38.0,0.5810856336678201,-19.0,-164.26097300495448,-12.392559051513672
39.0,0.5728434234331229,-20.0,-160.67631120525596,5.522465705871582
40.0,0.5647181220077593,-138.0,-160.14700155117973,16.980905532836914
41.0,0.5567080711387471,-145.0,-159.79680145327225,7.407486438751221
42.0,0.5488116360940264,-65.0,-157.59424564144092,-4.426100730895996
