episode,epsilon,score,average,avg_q_values
0.0,1.0,-100.0,-100.5972971806065,-0.5032779574394226
1.0,0.9858158423524046,-211.0,-156.05534573598024,1.9224824905395508
2.0,0.9718328750329811,-160.0,-157.50774512896442,3.1015212535858154
3.0,0.9580482443263975,-260.0,-183.3177537100629,3.1011693477630615
4.0,0.9444591369948698,-95.0,-165.84347655714004,3.134225845336914
5.0,0.9310627797040227,-235.0,-177.38624667176688,4.57722806930542
6.0,0.9178564384568926,-21.0,-155.1566088073803,3.7945122718811035
7.0,0.9048374180359595,-102.0,-148.5664395039705,2.918989419937134
8.0,0.8920030614530944,-181.0,-152.1767597461952,4.280002593994141
9.0,0.879350749407306,-232.0,-160.18456201784625,3.949662208557129
10.0,0.8668778997501816,-147.0,-159.00733019939432,6.34118127822876
11.0,0.8545819669589086,-309.0,-171.51958501266273,3.7417945861816406
12.0,0.8424604416167714,-137.0,-168.92573977845834,6.367044448852539
13.0,0.8305108499010163,-98.0,-163.89873555600292,7.589016914367676
14.0,0.8187307530779818,-155.0,-163.34231200080492,8.623135566711426
15.0,0.8071177470053893,-93.0,-159.00751481687837,9.000197410583496
16.0,0.7956694616416928,-65.0,-153.51351744016614,10.584122657775879
17.0,0.7843835605623898,-45.0,-147.53374881142008,11.150901794433594
18.0,0.7732577404831906,33.0,-137.99991532653834,2.3652729988098145
19.0,0.7622897307899537,-275.0,-144.86523943328638,6.609379291534424
20.0,0.751477293075286,-274.0,-151.04293535463077,1.849288821220398
21.0,0.7408182206817179,-61.0,-146.98644968934934,16.14501953125
22.0,0.7303103382513573,32.0,-139.19173428811877,-0.3676689565181732
23.0,0.7199515012819313,-167.0,-140.35421424264237,13.954838752746582
24.0,0.7097395956891255,-88.0,-138.27761930013628,17.550291061401367
25.0,0.6996725373751304,-24.0,-133.88739902560587,15.146682739257812
26.0,0.6897482718033084,-291.0,-139.71148589247062,13.654011726379395
27.0,0.6799647735788938,-326.0,-146.38688249742884,6.577876567840576
28.0,0.6703200460356393,-55.0,-143.2377551675461,8.34809684753418
29.0,0.6608121208283264,-255.0,-146.99606281426193,6.072521686553955
30.0,0.6514390575310556,-152.0,-147.1854438041413,20.77094078063965
31.0,0.6421989432412342,-67.0,-144.69646638659592,20.124237060546875
32.0,0.6330898921891813,-95.0,-143.21057148419675,17.983901977539062
33.0,0.6241100453532709,-103.0,-142.02800576428027,6.635784149169922
34.0,0.6152575700805322,-71.0,-140.00286441863415,14.939407348632812
35.0,0.6065306597126334,-96.0,-138.79517418867792,15.546478271484375
36.0,0.5979275332171694,-19.0,-135.5742033738547,3.563281774520874
37.0,0.5894464348241792,-56.0,-133.4821842928771,7.107053756713867
38.0,0.5810856336678201,-79.0,-132.104345019137,14.734649658203125
39.0,0.5728434234331229,-69.0,-130.54867332775532,26.100828170776367
40.0,0.5647181220077593,-34.0,-128.19668959426957,28.677644729614258
41.0,0.5567080711387471,-99.0,-127.5103973512223,25.191730499267578
42.0,0.5488116360940264,-133.0,-127.64898891045998,26.5770206451416
43.0,0.541027205328834,-67.0,-126.27172620131334,24.620214462280273
