episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-169.05,110.19574688516316,-169.53593029745443,110.21132461476475,-0.8936459019780159,1.2529808300100251,-169.05
1,-180.95,133.85478187789536,-175.5212841068644,79.48317980551533,-0.13659215718507767,1.5613375664291913,-175.0
2,-160.35,99.39409862816436,-170.6653324773872,65.61158969434592,0.27710624374449255,2.3434310786183348,-170.11666666666667
3,-189.65,96.74724258276521,-175.53336966037475,51.49249379712117,1.2228351756930351,3.4265926358541026,-175.0
4,-163.0,140.82912378220337,-173.11952896410682,45.59183671398893,1.0639752961695195,3.8315532105020713,-172.6
5,-185.3,136.850706207435,-175.25036892850352,41.09615779108276,1.702808868419379,5.6789609011086375,-174.71666666666667
6,-261.8,127.42370266163196,-187.6944291845907,40.043817108839214,2.9487716972827913,5.504791652363696,-187.15714285714284
7,-155.9,84.5376901306842,-183.78690490208993,31.24114891562562,2.7261964857578276,4.560408938923676,-183.25
8,-165.7,116.51613848010837,-181.82562440512552,33.95554129797188,1.0961197555065154,5.247765540841955,-181.3
9,-158.65,102.89405639834239,-179.55429295832965,31.70358143501821,3.348862108588219,5.302745026026408,-179.03500000000003
10,-193.45,131.1469545365447,-180.86073090342967,29.168522408511965,1.3719077054411173,6.533108166780036,-180.34545454545457
11,-206.55,119.16926263888158,-183.04515065382478,30.640370389027314,1.1584774821996686,9.79939256136454,-182.5291666666667
12,-136.95,105.89193846360047,-179.5243462265707,28.975082155239143,1.7644453212618827,8.112239873833722,-179.02307692307693
13,-108.8,66.85931813182536,-174.51203751634722,27.273992588551344,4.570907930843532,9.52044344933019,-174.0071428571429
14,-158.75,93.7189948729712,-173.49528478447223,27.14602333176343,4.536966675519944,7.695387740367154,-172.99000000000004
15,-162.2,110.69997385061261,-172.81848847488737,24.651040921228528,5.183300361037254,11.780282448729226,-172.315625
16,-143.05,116.8937776922189,-171.09774470196962,26.388259380725604,6.229902619123459,9.351852064378178,-170.59411764705885
