episode,epsilon,score,average,avg_q_values
0.0,1.0,-201.0,-201.28896314328503,-1.959212303161621
1.0,0.9858158423524046,-109.0,-155.4796285438969,-0.8269509077072144
2.0,0.9718328750329811,-101.0,-137.3820544872964,2.9380416870117188
3.0,0.9580482443263975,-107.0,-129.95035454515505,2.251210927963257
4.0,0.9444591369948698,-334.0,-170.85437939836925,5.159605026245117
5.0,0.9310627797040227,-317.0,-195.28661877411182,2.6921944618225098
6.0,0.9178564384568926,-348.0,-217.14044136411042,1.5137135982513428
7.0,0.9048374180359595,-202.0,-215.3602672571167,3.7397427558898926
8.0,0.8920030614530944,-92.0,-201.71009769164658,3.70562481880188
9.0,0.879350749407306,-131.0,-194.6666337095298,4.602668762207031
10.0,0.8668778997501816,-149.0,-190.60500891860428,3.9858391284942627
11.0,0.8545819669589086,-302.0,-199.96627266511473,6.638895511627197
12.0,0.8424604416167714,-229.0,-202.20385239066695,4.231876850128174
13.0,0.8305108499010163,-139.0,-197.71499524473114,6.129112720489502
14.0,0.8187307530779818,-130.0,-193.22438262911288,6.505551815032959
15.0,0.8071177470053893,-153.0,-190.72512830108082,3.4317681789398193
16.0,0.7956694616416928,-142.0,-187.91737816304928,6.660644054412842
17.0,0.7843835605623898,-128.0,-184.62466224679616,9.270252227783203
18.0,0.7732577404831906,-83.0,-179.32819456169193,11.135872840881348
19.0,0.7622897307899537,-429.0,-191.81419364011185,-16.97693634033203
20.0,0.751477293075286,-224.0,-193.37153505148052,10.822054862976074
21.0,0.7408182206817179,-75.0,-188.00052088732073,9.505118370056152
22.0,0.7303103382513573,-55.0,-182.2215711134379,7.684374809265137
23.0,0.7199515012819313,-144.0,-180.67039348963922,9.709904670715332
24.0,0.7097395956891255,-131.0,-178.69207145674287,4.28193998336792
25.0,0.6996725373751304,-179.0,-178.72715427368354,4.841495513916016
26.0,0.6897482718033084,-135.0,-177.13813137775117,-15.311670303344727
27.0,0.6799647735788938,-138.0,-175.74213792448825,2.4342522621154785
28.0,0.6703200460356393,-152.0,-174.9246098423568,12.94046688079834
29.0,0.6608121208283264,-148.0,-174.0506621093878,11.981093406677246
30.0,0.6514390575310556,-117.0,-172.226943693641,12.104650497436523
31.0,0.6421989432412342,-80.0,-169.3584555902737,9.889116287231445
32.0,0.6330898921891813,-89.0,-166.92343158275943,-4.624565601348877
33.0,0.6241100453532709,-87.0,-164.58058528875335,0.7934638857841492
34.0,0.6152575700805322,-203.0,-165.70218321039033,11.015336036682129
35.0,0.6065306597126334,-141.0,-165.03681218429156,-1.3536269664764404
36.0,0.5979275332171694,-308.0,-168.90185240915716,-4.406671047210693
37.0,0.5894464348241792,52.0,-163.06391954736702,1.092576503753662
38.0,0.5810856336678201,-135.0,-162.36300245259307,7.864272594451904
39.0,0.5728434234331229,-138.0,-161.76205939285776,4.203049182891846
40.0,0.5647181220077593,-97.0,-160.1886536943407,-11.32211971282959
41.0,0.5567080711387471,-49.0,-157.562067883432,17.660993576049805
42.0,0.5488116360940264,-212.0,-158.83877950497907,-12.581207275390625
43.0,0.541027205328834,-155.0,-158.76926526073268,-9.388154029846191
44.0,0.5333531901568119,-116.0,-157.82749258859468,10.295079231262207
45.0,0.5257880244257798,-36.0,-155.19285630143656,4.906294345855713
46.0,0.5183301641981067,-240.0,-157.00361873274656,8.884105682373047
47.0,0.5109780874356169,-81.0,-155.44001732163042,-13.286543846130371
48.0,0.5037302936889633,-248.0,-157.3433190855559,-26.440763473510742
49.0,0.4965853037914095,-172.0,-157.6390882923331,-10.827255249023438
50.0,0.4895416595569531,-81.0,-156.1449590939414,21.007448196411133
51.0,0.48259792348273184,-175.0,-156.51576676394893,3.8520138263702393
52.0,0.4757526784556506,-11.0,-153.78440759648973,14.255069732666016
53.0,0.4690045274631699,-195.0,-154.56187094467137,-0.21375325322151184
54.0,0.4623520933081963,-201.0,-155.4228272214399,5.156099319458008
55.0,0.4557940183280172,-24.0,-153.0904703069504,1.8053752183914185
56.0,0.44932896411722156,-38.0,-151.07295216355894,4.523261070251465
57.0,0.4429556112545522,-111.0,-150.38631633536454,-26.434410095214844
58.0,0.4366726590336306,-201.0,-151.2511284690883,-20.248130798339844
59.0,0.43047882519750297,-12.0,-148.94221381484132,5.651017189025879
60.0,0.42437284567695,-8.0,-146.6365579288839,1.5888375043869019
61.0,0.4183534743325094,3.0,-144.214153797766,20.781719207763672
62.0,0.4124194827001579,-212.0,-145.29313134288915,15.692916870117188
63.0,0.4065696597405991,-25.0,-143.41358834877897,12.112631797790527
64.0,0.40080281159210923,-239.0,-144.89855284334973,2.288952350616455
65.0,0.3951177613268873,-88.0,-144.0461400912377,-13.881237983703613
66.0,0.3895133487108618,-105.0,-143.4702907814641,13.0107421875
67.0,0.38398842996690413,-371.0,-146.81818705765747,19.488554000854492
68.0,0.37854187754140095,-84.0,-145.91322730751594,29.513927459716797
69.0,0.37317257987413693,-140.0,-145.83635820555529,20.150266647338867
70.0,0.36787944117144233,-124.0,-145.53478735334866,-15.589702606201172
71.0,0.3626613811825573,-194.0,-146.21936450197305,-6.939426422119141
72.0,0.35751733497916927,-21.0,-144.5043174702673,-14.776824951171875
73.0,0.3524462527380765,-82.0,-143.6713818334858,28.242652893066406
74.0,0.3474470995269354,-73.0,-142.73472840469378,17.90431022644043
75.0,0.34251885509304564,-43.0,-141.43279640845427,26.14004898071289
76.0,0.337660513655132,-111.0,-141.04791581035514,14.132220268249512
77.0,0.33287108369807955,-74.0,-140.19344585459035,14.773650169372559
78.0,0.32814958777058006,-41.0,-138.94309150354013,1.223707914352417
79.0,0.3234950622856487,-325.0,-141.27338137537663,2.7391583919525146
80.0,0.31890655732397044,-188.0,-141.858742125746,28.820932388305664
81.0,0.3143831364400353,-284.0,-143.60140566793146,31.333961486816406
82.0,0.3099238764710244,-28.0,-142.20898349664859,11.783495903015137
83.0,0.3055278673484055,-47.0,-141.08045512058996,18.571182250976562
84.0,0.30119421191220214,-25.0,-139.71645368117615,25.295339584350586
85.0,0.2969220257278962,26.0,-137.78273228817454,24.778982162475586
86.0,0.2927104369059283,34.0,-135.799322283412,21.832244873046875
87.0,0.2885585859237581,28.0,-133.92893570791887,20.006601333618164
88.0,0.28446562545044835,87.0,-131.444874246278,17.95322036743164
89.0,0.2804307201737374,-69.0,-130.7582806477083,28.286731719970703
90.0,0.2764530466295643,-5.0,-129.3868249494938,22.181396484375
91.0,0.2725317930340126,102.0,-126.8632262340432,19.676939010620117
92.0,0.26866615911763636,77.0,-124.67029564390131,17.854293823242188
93.0,0.26485535596213783,-6.0,-123.40904359000524,68.22711944580078
94.0,0.2610986058393609,147.0,-120.5596969727288,20.419189453125
95.0,0.257395142052568,108.0,-118.1688000303897,16.219364166259766
96.0,0.2537442087799692,246.0,-114.4057645633892,20.80345916748047
97.0,0.2501450609204698,-24.0,-113.49211641435276,92.8724136352539
98.0,0.2465969639416065,166.0,-110.66453897633507,19.31707763671875
99.0,0.2430991937296403,56.0,-108.99049352902004,102.37669372558594
100.0,0.2396510364417758,-73.0,-107.71457647259787,126.51509094238281
101.0,0.23625178836047603,-114.0,-107.75937337101767,123.42169189453125
102.0,0.2329007557498447,-42.0,-107.17298413952003,91.93807983398438
103.0,0.22959725471404477,-32.0,-106.42547662114663,131.04415893554688
104.0,0.22634061105772565,-71.0,-103.79342656479362,133.97877502441406
105.0,0.22313016014842982,-45.0,-101.07643790230456,88.25112915039062
106.0,0.2199652467809513,43.0,-97.15846444036406,92.30082702636719
107.0,0.21684522504361808,-29.0,-95.4235757710093,73.29952239990234
108.0,0.21376945818647108,-110.0,-95.59966649648486,123.3973617553711
109.0,0.21073731849131314,-48.0,-94.77489231488366,38.21086883544922
110.0,0.20774818714360085,-1.0,-93.2854903145576,68.61416625976562
111.0,0.20480145410615389,-54.0,-90.80318694888744,32.069766998291016
112.0,0.20189651799465538,-56.0,-89.07612274905976,32.701904296875
113.0,0.19903278595491863,167.0,-86.00769029522205,36.0304069519043
114.0,0.19620967354189398,-54.0,-85.24950681907316,31.265188217163086
115.0,0.19342660460039254,-10.0,-83.81934712827123,34.99886703491211
116.0,0.19068301114750144,-26.0,-82.6541207026153,32.24999237060547
117.0,0.1879783332566671,-44.0,-81.80778769107273,36.02320098876953
118.0,0.18531201894342234,-52.0,-81.49784040329662,28.628564834594727
119.0,0.18268352405273466,-207.0,-79.27915721938321,88.62468719482422
120.0,0.1800923121479524,-28.0,-77.31743038229375,29.08281898498535
121.0,0.17753785440132586,-27.0,-76.84463059500146,30.598007202148438
122.0,0.17501962948608163,18.0,-76.11201773391956,37.062461853027344
123.0,0.17253712347002734,-12.0,-74.78805518414298,29.896852493286133
124.0,0.17008982971066583,-17.0,-73.65116833695132,27.131671905517578
125.0,0.16767724875179707,168.0,-70.16552348323977,28.23589324951172
126.0,0.16529888822158653,-24.0,-69.05461093360753,21.585514068603516
127.0,0.1629542627320793,242.0,-65.25137401919324,34.57518005371094
128.0,0.16064289378013982,-12.0,-63.852062500457336,20.23124885559082
129.0,0.15836430964979642,251.0,-59.85341298344687,34.55585479736328
130.0,0.15611804531597107,16.0,-58.515810483679736,114.63282012939453
131.0,0.1539036423495749,192.0,-55.782074902113436,21.801389694213867
132.0,0.15172064882394942,168.0,-53.20531694690273,27.483867645263672
133.0,0.14956861922263506,196.0,-50.369998831715606,32.7033576965332
134.0,0.147447114348448,2.0,-48.311343493400045,71.45757293701172
135.0,0.1453557012338466,-26.0,-47.15974728229502,65.56977081298828
136.0,0.14329395305256898,76.0,-43.310098126750326,33.73802185058594
137.0,0.14126144903252422,215.0,-41.679749265123355,39.412784576416016
138.0,0.13925777436991912,175.0,-38.564014389362704,31.201005935668945
139.0,0.13728252014460293,241.0,-34.76173754768622,48.253414154052734
140.0,0.1353352832366127,294.0,-30.84483877723255,68.00811767578125
141.0,0.1334156662439026,241.0,-27.932589012759685,46.3159294128418
142.0,0.13152327740124015,208.0,-23.719390094809196,33.139625549316406
143.0,0.12965773050025253,255.0,-19.604795266878096,45.26169204711914
144.0,0.12781864481060753,-299.0,-21.438782167830468,101.65652465820312
145.0,0.12600564500231182,177.0,-19.29909118499924,31.919754028320312
146.0,0.1242183610691121,178.0,-15.115679958999861,36.2877082824707
147.0,0.1224564282529819,211.0,-12.180052412479604,39.99545669555664
148.0,0.12071948696968016,227.0,-7.419010712916419,36.15883255004883
149.0,0.11900718273536538,269.0,-3.001558085241308,45.21919631958008
150.0,0.11731916609425078,201.0,-0.17041706994085778,40.96817398071289
151.0,0.11565509254728551,273.0,4.315279013229631,58.86907958984375
152.0,0.11401462248184759,138.0,5.813697040756683,32.44054412841797
153.0,0.11239742110243399,240.0,10.177267117273535,44.91975784301758
154.0,0.11080315836233387,223.0,14.433246152781493,38.94086456298828
155.0,0.10923150889627105,238.0,17.062952778441392,48.04171371459961
156.0,0.10768215195400163,236.0,19.80548289509293,41.220054626464844
157.0,0.10615477133485376,264.0,23.564527912001346,54.196815490722656
158.0,0.10464905532319577,268.0,28.268581792929695,45.49632263183594
159.0,0.10316469662481963,241.0,30.814881354158103,41.01747512817383
160.0,0.10170139230422684,238.0,33.28603451157212,45.7017822265625
161.0,0.10025884372280375,212.0,35.37939480114771,42.02083206176758
162.0,0.09883675647787384,240.0,39.90829535886876,41.02079391479492
163.0,0.09743484034261468,232.0,42.482907493119484,46.950050354003906
164.0,0.09605280920682677,229.0,47.17517219105348,43.70725631713867
165.0,0.09469038101854274,241.0,50.48051294298384,49.884117126464844
166.0,0.09334727772646485,230.0,53.837472613406305,46.932010650634766
167.0,0.09202322522321882,267.0,60.22277284542627,47.65177536010742
168.0,0.09071795328941251,256.0,63.63178830052253,56.8777961730957
169.0,0.0894311955384883,118.0,66.21734281351496,41.943363189697266
170.0,0.08816268936235745,246.0,69.92661877256057,60.9141731262207
171.0,0.08691217587780577,230.0,74.17595819573721,58.54350662231445
172.0,0.08567939987365944,252.0,76.90672687034532,39.60756301879883
173.0,0.0844641097587001,290.0,80.64110399357921,60.814453125
174.0,0.0832660575103189,274.0,84.11900127789323,55.72737121582031
175.0,0.0820849986238988,276.0,87.32166308205812,70.2646484375
176.0,0.08092069206291477,240.0,90.84661061604284,63.19743728637695
177.0,0.07977290020974187,240.0,93.9912852180826,58.37897872924805
178.0,0.078641388817161,157.0,95.98164651040486,40.33430862426758
179.0,0.07752592696055255,-292.0,96.30543257883141,55.55416488647461
180.0,0.07642628699076807,246.0,100.66106709715736,66.20976257324219
181.0,0.07534224448767067,223.0,105.73983818648014,65.35743713378906
182.0,0.07427357821433388,273.0,108.75561961406625,69.42667388916016
183.0,0.07322007007189076,243.0,111.66223639570445,71.737548828125
184.0,0.07218150505502309,297.0,114.88403571529177,56.9255485534668
185.0,0.07115767120808195,299.0,117.6176338468594,65.64373779296875
186.0,0.07014835958183076,257.0,119.84485088350439,69.4905014038086
187.0,0.06915336419080186,241.0,121.96844133799095,71.91413879394531
188.0,0.06817248197125796,203.0,123.13210131554013,65.73600006103516
189.0,0.06720551273974976,251.0,126.3438491322282,69.55699920654297
190.0,0.06625225915226167,287.0,129.27753265094555,66.69347381591797
191.0,0.06531252666393665,281.0,131.06288092123734,69.13898468017578
192.0,0.0643861234893726,27.0,130.56631517113868,57.10575485229492
193.0,0.0634728605634818,273.0,133.3608205133458,72.5015869140625
194.0,0.06257255150290554,248.0,134.37769922976506,63.417945861816406
195.0,0.061685012567976046,291.0,136.198852263643,78.3078842163086
196.0,0.06081006262521797,249.0,136.22854660291094,63.04077911376953
197.0,0.05994752311038171,266.0,139.1459704810094,78.6087646484375
198.0,0.0590972179920012,293.0,140.41894602889772,82.11872863769531
199.0,0.058258973735468345,269.0,142.5435711469503,81.3674545288086
200.0,0.05743261926761735,290.0,146.18812704661215,73.77262878417969
201.0,0.05661798594181114,262.0,149.95470653614362,80.06520080566406
202.0,0.05581490750352316,252.0,152.90991330292974,79.69776916503906
203.0,0.05502322005640723,242.0,155.6666972180387,74.50830078125
204.0,0.054242762028848826,259.0,158.978102736418,74.22126007080078
205.0,0.05347337414099063,243.0,161.86833357942092,72.19914245605469
206.0,0.052714899372225954,251.0,163.94646813857702,64.44854736328125
207.0,0.05196718292915318,287.0,167.1189222472377,60.75042724609375
208.0,0.051230072213984644,291.0,171.13282821188648,77.20753479003906
209.0,0.050503416793403796,296.0,174.5872678160611,76.38290405273438
210.0,0.05,252.0,177.1241492383358,73.896484375
211.0,0.05,271.0,180.3898494619989,75.1917495727539
212.0,0.05,265.0,183.606162942406,66.21415710449219
213.0,0.05,265.0,184.59014976606184,70.5018081665039
214.0,0.05,261.0,187.7467005041157,71.72447967529297
215.0,0.05,262.0,190.4706687679916,78.46739959716797
216.0,0.05,256.0,193.30316548890687,77.85175323486328
