episode,epsilon,score,average,avg_q_values
0.0,1.0,-123.0,-123.36404604895894,-0.42620497941970825
1.0,0.9858158423524046,-115.0,-119.19758968790393,2.892500400543213
2.0,0.9718328750329811,-93.0,-110.68402506662413,4.275444507598877
3.0,0.9580482443263975,-286.0,-154.62950086918488,7.491828918457031
4.0,0.9444591369948698,-225.0,-168.71529121454248,6.369605541229248
5.0,0.9310627797040227,-242.0,-181.0759415787412,6.458214282989502
6.0,0.9178564384568926,-291.0,-196.8387722695892,8.77460765838623
7.0,0.9048374180359595,-57.0,-179.4216445539295,7.5382981300354
8.0,0.8920030614530944,-177.0,-179.1691014917404,7.851665019989014
9.0,0.879350749407306,-84.0,-169.6993679386748,7.781516075134277
10.0,0.8668778997501816,-101.0,-163.514736199527,8.30825424194336
11.0,0.8545819669589086,-286.0,-173.7970143675887,6.467626571655273
12.0,0.8424604416167714,-111.0,-168.97939260212138,8.233641624450684
13.0,0.8305108499010163,-263.0,-175.74673580166493,6.86073637008667
14.0,0.8187307530779818,-107.0,-171.20254344699546,12.699579238891602
15.0,0.8071177470053893,-42.0,-163.16629619427903,10.619068145751953
16.0,0.7956694616416928,-50.0,-156.5507489330679,14.13665771484375
17.0,0.7843835605623898,-101.0,-153.48104418232592,17.384599685668945
18.0,0.7732577404831906,-123.0,-151.91633038081014,17.418190002441406
19.0,0.7622897307899537,-21.0,-145.37951259333835,17.905269622802734
20.0,0.751477293075286,-5.0,-138.70558610657415,12.730921745300293
21.0,0.7408182206817179,-75.0,-135.81397526572084,20.90461540222168
22.0,0.7303103382513573,-244.0,-140.543274806324,13.385958671569824
23.0,0.7199515012819313,-232.0,-144.3820216731691,23.86341667175293
24.0,0.7097395956891255,-103.0,-142.7401054811242,24.461334228515625
25.0,0.6996725373751304,-254.0,-147.04239307558814,22.18047332763672
26.0,0.6897482718033084,-214.0,-149.52509170214728,23.224281311035156
27.0,0.6799647735788938,-88.0,-147.34959380859678,20.702085494995117
28.0,0.6703200460356393,-72.0,-144.77444568724738,30.4511775970459
29.0,0.6608121208283264,-167.0,-145.52602542476708,14.570012092590332
30.0,0.6514390575310556,-198.0,-147.23994997929316,-0.5964471101760864
31.0,0.6421989432412342,-164.0,-147.76535876587084,26.53661346435547
32.0,0.6330898921891813,-48.0,-144.75706195417308,30.5006103515625
33.0,0.6241100453532709,-209.0,-146.66950863726092,20.67942237854004
34.0,0.6152575700805322,-27.0,-143.26293400143143,25.056621551513672
35.0,0.6065306597126334,-237.0,-145.8916158266488,37.71614456176758
36.0,0.5979275332171694,-30.0,-142.7680851578294,22.08437728881836
37.0,0.5894464348241792,-60.0,-140.60500853747791,29.61935043334961
38.0,0.5810856336678201,-179.0,-141.60273720950477,20.660266876220703
39.0,0.5728434234331229,-68.0,-139.78037483568727,28.9884090423584
40.0,0.5647181220077593,-4.0,-136.48157055325356,25.535478591918945
41.0,0.5567080711387471,-34.0,-134.05200245544836,6.874100208282471
42.0,0.5488116360940264,-135.0,-134.09546741556085,36.07086181640625
43.0,0.541027205328834,-108.0,-133.51465271693593,23.775976181030273
44.0,0.5333531901568119,-11.0,-130.80108385294488,-15.467196464538574
45.0,0.5257880244257798,-305.0,-134.60112167339787,38.167442321777344
46.0,0.5183301641981067,-8.0,-131.90793414045754,25.217060089111328
47.0,0.5109780874356169,-312.0,-135.67957492846196,48.799560546875
48.0,0.5037302936889633,-100.0,-134.9537041158453,24.98626136779785
49.0,0.4965853037914095,-75.0,-133.77320208288037,28.164819717407227
50.0,0.4895416595569531,-47.0,-132.0848259067614,41.489845275878906
51.0,0.48259792348273184,-44.0,-130.3954108776763,20.498111724853516
52.0,0.4757526784556506,-49.0,-128.87289913384853,34.51661682128906
53.0,0.4690045274631699,-5.0,-126.5879721776707,33.5892219543457
54.0,0.4623520933081963,-140.0,-126.84675970702767,8.365466117858887
55.0,0.4557940183280172,16.0,-124.28988612523634,-1.048764944076538
56.0,0.44932896411722156,-306.0,-127.48787194013586,39.83928298950195
57.0,0.4429556112545522,-50.0,-126.16629409366908,24.357648849487305
58.0,0.4366726590336306,-47.0,-124.83686921955749,51.10670852661133
59.0,0.43047882519750297,-49.0,-123.58829513374229,48.670345306396484
60.0,0.42437284567695,-201.0,-124.86924628702246,38.68822479248047
61.0,0.4183534743325094,-13.0,-123.07387789951638,36.12824249267578
62.0,0.4124194827001579,25.0,-120.71308802319534,22.951290130615234
63.0,0.4065696597405991,43.0,-118.15354039668203,17.013051986694336
64.0,0.40080281159210923,7.0,-116.22775754488184,18.48761749267578
65.0,0.3951177613268873,-88.0,-115.81062857114321,44.971012115478516
66.0,0.3895133487108618,99.0,-112.59320936343441,26.615388870239258
67.0,0.38398842996690413,-20.0,-111.23672347099209,18.666961669921875
68.0,0.37854187754140095,-74.0,-110.7056688883343,43.54032897949219
69.0,0.37317257987413693,-1.0,-109.14088478797419,52.05393981933594
70.0,0.36787944117144233,34.0,-107.12300949485866,21.460037231445312
71.0,0.3626613811825573,0.0,-105.64411483268312,42.00804138183594
72.0,0.35751733497916927,53.0,-103.45961709633397,34.51911163330078
73.0,0.3524462527380765,-55.0,-102.81327761470045,53.550113677978516
74.0,0.3474470995269354,-142.0,-103.34678489061778,50.44284439086914
75.0,0.34251885509304564,-11.0,-102.13665922120398,33.95528030395508
76.0,0.337660513655132,-25.0,-101.1452840646814,49.790260314941406
77.0,0.33287108369807955,-65.0,-100.69246197483999,23.505775451660156
78.0,0.32814958777058006,-36.0,-99.87975588508336,33.82614517211914
79.0,0.3234950622856487,-40.0,-99.136751101326,39.56755447387695
80.0,0.31890655732397044,-73.0,-98.81635685313138,44.55694580078125
81.0,0.3143831364400353,0.0,-97.60403002645143,32.53142166137695
82.0,0.3099238764710244,-116.0,-97.83695486985746,38.083187103271484
83.0,0.3055278673484055,-55.0,-97.33829416094092,35.76475143432617
84.0,0.30119421191220214,-134.0,-97.77330653057524,35.066585540771484
85.0,0.2969220257278962,59.0,-95.94466470675059,27.600574493408203
86.0,0.2927104369059283,19.0,-94.6215350027451,28.31512451171875
87.0,0.2885585859237581,101.0,-92.39848089497941,25.307090759277344
88.0,0.28446562545044835,-8.0,-91.45621957312775,29.016666412353516
89.0,0.2804307201737374,86.0,-89.48165502766506,22.79322052001953
90.0,0.2764530466295643,274.0,-85.48009956234846,19.212108612060547
91.0,0.2725317930340126,122.0,-83.22136677483698,17.040184020996094
92.0,0.26866615911763636,98.0,-81.26949990305349,17.751049041748047
93.0,0.26485535596213783,-4.0,-80.45708771393315,78.56529998779297
94.0,0.2610986058393609,92.0,-78.63788236165176,19.86614990234375
95.0,0.257395142052568,19.0,-77.61420725551184,21.059764862060547
96.0,0.2537442087799692,10.0,-76.70344175924501,87.74027252197266
97.0,0.2501450609204698,23.0,-75.68169304672026,86.5518798828125
98.0,0.2465969639416065,102.0,-73.87902067373304,29.283287048339844
99.0,0.2430991937296403,265.0,-70.48777168770998,51.848228454589844
100.0,0.2396510364417758,87.0,-68.37471982183955,25.077184677124023
101.0,0.23625178836047603,12.0,-67.10279751536845,25.56745147705078
102.0,0.2329007557498447,36.0,-65.80154502751815,83.62342071533203
103.0,0.22959725471404477,138.0,-61.55304918217272,35.00420379638672
104.0,0.22634061105772565,132.0,-57.9807617912931,29.121109008789062
105.0,0.22313016014842982,136.0,-54.1867429115259,35.50098419189453
106.0,0.2199652467809513,13.0,-51.136219510094826,85.16747283935547
107.0,0.21684522504361808,146.0,-49.09335596735299,27.75591278076172
108.0,0.21376945818647108,125.0,-46.06419387066312,26.22661018371582
109.0,0.21073731849131314,122.0,-43.99223635170904,25.498991012573242
110.0,0.20774818714360085,202.0,-40.950575088594064,54.4786491394043
111.0,0.20480145410615389,-72.0,-38.80434718818466,93.00413513183594
112.0,0.20189651799465538,-372.0,-41.41542912426462,69.15389251708984
113.0,0.19903278595491863,242.0,-36.35486381241333,28.27848243713379
114.0,0.19620967354189398,263.0,-32.64083854595122,36.88154983520508
115.0,0.19342660460039254,256.0,-29.65030787761315,47.866859436035156
116.0,0.19068301114750144,245.0,-26.69187437885811,55.79799270629883
117.0,0.1879783332566671,143.0,-24.240128230303405,24.569557189941406
118.0,0.18531201894342234,149.0,-21.50727140925076,24.0406436920166
119.0,0.18268352405273466,121.0,-20.078135312188724,32.224491119384766
120.0,0.1800923121479524,144.0,-18.581504350639012,35.79362869262695
121.0,0.17753785440132586,9.0,-17.732474939326774,39.7130241394043
122.0,0.17501962948608163,96.0,-14.319530423228771,39.78938293457031
123.0,0.17253712347002734,155.0,-10.435514949814241,42.763099670410156
124.0,0.17008982971066583,136.0,-8.0385479511422,39.93349075317383
125.0,0.16767724875179707,216.0,-3.3247914368490092,38.32126235961914
126.0,0.16529888822158653,254.0,1.3616130725988629,49.21681594848633
127.0,0.1629542627320793,249.0,4.742145529438786,46.386539459228516
128.0,0.16064289378013982,163.0,7.101990170926663,44.528621673583984
129.0,0.15836430964979642,157.0,10.349961037581336,36.032379150390625
130.0,0.15611804531597107,248.0,14.821039443282414,35.91081619262695
131.0,0.1539036423495749,249.0,18.96006734344058,46.10445022583008
132.0,0.15172064882394942,168.0,21.12785800234752,33.77323532104492
133.0,0.14956861922263506,287.0,26.09986193753559,53.05133056640625
