episode,epsilon,score,average,avg_q_values
0.0,1.0,-132.0,-132.8242777270396,-0.21407346427440643
1.0,0.9858158423524046,-485.0,-308.97596373421555,-0.7760465145111084
2.0,0.9718328750329811,-246.0,-288.0918038811361,-0.11111487448215485
3.0,0.9580482443263975,-214.0,-269.6375079276585,-0.3426544964313507
4.0,0.9444591369948698,-150.0,-245.8259933258043,1.7500845193862915
5.0,0.9310627797040227,-350.0,-263.31335154282544,1.4403338432312012
6.0,0.9178564384568926,-140.0,-245.78738420931018,2.4450860023498535
7.0,0.9048374180359595,-149.0,-233.72164477996506,3.140190362930298
8.0,0.8920030614530944,-88.0,-217.55058007666156,-4.000935077667236
9.0,0.879350749407306,-89.0,-204.70151172654076,-6.901378631591797
10.0,0.8668778997501816,-235.0,-207.510027245663,3.73103404045105
11.0,0.8545819669589086,-311.0,-216.17294418554783,-12.510577201843262
12.0,0.8424604416167714,-142.0,-210.50651575877947,-4.475992679595947
13.0,0.8305108499010163,-178.0,-208.22355778190672,-13.614416122436523
14.0,0.8187307530779818,-123.0,-202.5798441994621,-0.26092493534088135
15.0,0.8071177470053893,-164.0,-200.21991887292995,1.7521257400512695
16.0,0.7956694616416928,-97.0,-194.17455622647051,-7.333305835723877
17.0,0.7843835605623898,-412.0,-206.30690752313203,-18.198915481567383
18.0,0.7732577404831906,-90.0,-200.19175353667129,2.843121290206909
19.0,0.7622897307899537,2.0,-190.07696934712982,-0.8826356530189514
20.0,0.751477293075286,-154.0,-188.38865938972947,-3.7886407375335693
21.0,0.7408182206817179,-197.0,-188.80563709309865,-4.7018537521362305
22.0,0.7303103382513573,-128.0,-186.1628531126571,2.70113468170166
23.0,0.7199515012819313,-225.0,-187.79410407167782,-13.603070259094238
24.0,0.7097395956891255,-59.0,-182.67588399862848,-8.515737533569336
25.0,0.6996725373751304,-238.0,-184.8395069132091,-9.026731491088867
26.0,0.6897482718033084,-94.0,-181.4998119108848,1.7836813926696777
27.0,0.6799647735788938,-104.0,-178.76572283042188,-2.145315647125244
28.0,0.6703200460356393,-29.0,-173.63486566654865,-6.1548237800598145
29.0,0.6608121208283264,-50.0,-169.53039248459615,5.031772613525391
30.0,0.6514390575310556,-68.0,-166.26958597353996,-5.932062149047852
31.0,0.6421989432412342,-180.0,-166.71467996797284,-7.753464698791504
32.0,0.6330898921891813,-104.0,-164.82306041192214,-4.340924263000488
33.0,0.6241100453532709,-122.0,-163.58702144255795,10.134324073791504
34.0,0.6152575700805322,-22.0,-159.56083927297627,-0.35118788480758667
35.0,0.6065306597126334,-102.0,-157.986382330855,16.526330947875977
36.0,0.5979275332171694,-106.0,-156.59979455520698,9.702816009521484
37.0,0.5894464348241792,-103.0,-155.2030522877609,16.08740997314453
38.0,0.5810856336678201,17.0,-150.7680720726206,16.28115463256836
39.0,0.5728434234331229,-101.0,-149.53318774116096,11.641687393188477
40.0,0.5647181220077593,-72.0,-147.64637026784004,15.522048950195312
41.0,0.5567080711387471,-45.0,-145.2134435323348,8.32558536529541
42.0,0.5488116360940264,-66.0,-143.38705470633616,15.901128768920898
43.0,0.541027205328834,-311.0,-147.2160803993159,7.3418684005737305
44.0,0.5333531901568119,-89.0,-145.9234049930642,13.810094833374023
45.0,0.5257880244257798,-145.0,-145.9054800853968,13.381974220275879
46.0,0.5183301641981067,-95.0,-144.8240756553783,22.097557067871094
47.0,0.5109780874356169,-86.0,-143.59930949481546,25.024770736694336
48.0,0.5037302936889633,-186.0,-144.47107104198912,26.289060592651367
49.0,0.4965853037914095,-5.0,-141.69528881502336,6.580549716949463
50.0,0.4895416595569531,-87.0,-140.6366303213033,30.20819664001465
51.0,0.48259792348273184,-23.0,-138.3877881748951,17.244653701782227
52.0,0.4757526784556506,-107.0,-137.80760340615916,24.288440704345703
53.0,0.4690045274631699,-63.0,-136.44033359979858,24.13176918029785
54.0,0.4623520933081963,41.0,-133.20033554583182,19.98038673400879
55.0,0.4557940183280172,-33.0,-131.42874599576265,33.16804504394531
56.0,0.44932896411722156,-64.0,-130.24857863152417,30.69940948486328
57.0,0.4429556112545522,-94.0,-129.64048717056573,24.15142822265625
58.0,0.4366726590336306,-39.0,-128.11996895096655,28.560148239135742
59.0,0.43047882519750297,-8.0,-126.11920670051427,30.405298233032227
60.0,0.42437284567695,-78.0,-125.33733096541437,25.013832092285156
61.0,0.4183534743325094,-72.0,-124.48798353106294,12.512537002563477
62.0,0.4124194827001579,-138.0,-124.70896501429824,4.038064002990723
63.0,0.4065696597405991,7.0,-122.64210111316444,22.38852882385254
64.0,0.40080281159210923,-251.0,-124.62692134597332,-18.209495544433594
65.0,0.3951177613268873,-41.0,-123.3704833620068,-27.47504997253418
66.0,0.3895133487108618,-25.0,-121.91210972464361,11.380616188049316
67.0,0.38398842996690413,-51.0,-120.87472975218571,10.818354606628418
68.0,0.37854187754140095,95.0,-117.73318149434556,-31.97353744506836
69.0,0.37317257987413693,-42.0,-116.65836377931205,-7.808404445648193
70.0,0.36787944117144233,-26.0,-115.38738831039639,-4.868780136108398
71.0,0.3626613811825573,52.0,-113.05094955826573,-15.346795082092285
72.0,0.35751733497916927,-27.0,-111.87415928706773,7.4732346534729
73.0,0.3524462527380765,-2.0,-110.40076528793438,-6.000480651855469
74.0,0.3474470995269354,69.0,-107.99733785961256,3.722182035446167
75.0,0.34251885509304564,62.0,-105.7598757249942,16.049589157104492
76.0,0.337660513655132,41.0,-103.84811657282847,38.78983688354492
77.0,0.33287108369807955,3.0,-102.47589754007102,14.999471664428711
78.0,0.32814958777058006,48.0,-100.55848232555245,29.390310287475586
79.0,0.3234950622856487,16.0,-99.0981615619041,28.67757225036621
80.0,0.31890655732397044,54.0,-97.20394052732051,20.764841079711914
81.0,0.3143831364400353,104.0,-94.74149232998688,23.513830184936523
82.0,0.3099238764710244,98.0,-92.41310771281965,19.453346252441406
83.0,0.3055278673484055,99.0,-90.12486297439561,19.724666595458984
84.0,0.30119421191220214,100.0,-87.87808557732846,18.909128189086914
85.0,0.2969220257278962,120.0,-85.45447663206735,16.36579132080078
86.0,0.2927104369059283,97.0,-83.34817804883353,29.328811645507812
87.0,0.2885585859237581,-125.0,-83.82434251739888,96.90410614013672
88.0,0.28446562545044835,-43.0,-83.36597522693005,95.22616577148438
89.0,0.2804307201737374,7.0,-82.35193753940618,105.97106170654297
90.0,0.2764530466295643,-58.0,-82.09273978490876,106.27040100097656
91.0,0.2725317930340126,33.0,-80.83892315338527,101.55155944824219
92.0,0.26866615911763636,-41.0,-80.41367452329385,94.83699035644531
93.0,0.26485535596213783,-3.0,-79.59568252117595,108.87261962890625
94.0,0.2610986058393609,-5.0,-78.81110853679485,113.14115905761719
95.0,0.257395142052568,-69.0,-78.71752850668007,97.83181762695312
96.0,0.2537442087799692,-50.0,-78.42717704447968,99.68183135986328
97.0,0.2501450609204698,21.0,-77.41229209773533,78.58946228027344
98.0,0.2465969639416065,27.0,-76.35320938863636,88.02418518066406
