episode,epsilon,score,average,avg_q_values
0.0,1.0,-150.0,-150.8862892854172,-0.6363513469696045
1.0,0.9858158423524046,-205.0,-178.35845215686027,-0.38218456506729126
2.0,0.9718328750329811,-64.0,-140.42760922688768,0.5825764536857605
3.0,0.9580482443263975,-129.0,-137.70971255260508,1.2316875457763672
4.0,0.9444591369948698,-351.0,-180.38272327564295,1.655560851097107
5.0,0.9310627797040227,-157.0,-176.58823137669503,1.8853683471679688
6.0,0.9178564384568926,-248.0,-186.81776646504952,1.073115348815918
7.0,0.9048374180359595,-107.0,-176.8420395084152,2.126976251602173
8.0,0.8920030614530944,-144.0,-173.279467664794,3.027750253677368
9.0,0.879350749407306,-189.0,-174.91757027130268,3.9207394123077393
10.0,0.8668778997501816,-93.0,-167.47349178379858,3.648519992828369
11.0,0.8545819669589086,-151.0,-166.1748732758008,3.8094429969787598
12.0,0.8424604416167714,-109.0,-161.79343665084872,2.186415910720825
13.0,0.8305108499010163,-180.0,-163.14357092350338,-0.9969486594200134
14.0,0.8187307530779818,-54.0,-155.9230034636197,0.8411099314689636
15.0,0.8071177470053893,-181.0,-157.5050441172304,4.527639865875244
16.0,0.7956694616416928,-132.0,-156.00777051087942,4.3403544425964355
17.0,0.7843835605623898,-64.0,-150.9278001852318,4.619714736938477
18.0,0.7732577404831906,-107.0,-148.62998118182165,-1.6075646877288818
19.0,0.7622897307899537,-143.0,-148.358207279537,6.4595441818237305
20.0,0.751477293075286,-267.0,-154.01351899313786,-1.2253962755203247
21.0,0.7408182206817179,-192.0,-155.76522768462493,6.051299571990967
22.0,0.7303103382513573,-81.0,-152.54279388935342,6.15627908706665
23.0,0.7199515012819313,-332.0,-160.02173775864878,-0.6649082899093628
24.0,0.7097395956891255,-94.0,-157.38878788384366,5.985729217529297
25.0,0.6996725373751304,-247.0,-160.87312667623004,6.361886024475098
26.0,0.6897482718033084,-140.0,-160.11620648191098,4.6585893630981445
27.0,0.6799647735788938,23.0,-153.55307128148928,3.7889440059661865
28.0,0.6703200460356393,-282.0,-158.00929391291325,-2.9335579872131348
29.0,0.6608121208283264,-174.0,-158.54771601723175,-0.7371010184288025
30.0,0.6514390575310556,-78.0,-155.949680148089,-0.5093317627906799
31.0,0.6421989432412342,-124.0,-154.96212464747495,-2.7891252040863037
32.0,0.6330898921891813,-272.0,-158.53209936231892,-2.4579837322235107
33.0,0.6241100453532709,-89.0,-156.4897057964594,2.9698894023895264
34.0,0.6152575700805322,-288.0,-160.27569940311182,-11.270249366760254
35.0,0.6065306597126334,-146.0,-159.87944316671073,0.8278937935829163
36.0,0.5979275332171694,-234.0,-161.89171869296248,-6.877627849578857
37.0,0.5894464348241792,-115.0,-160.66442298711522,1.9270957708358765
38.0,0.5810856336678201,-48.0,-157.79204106023423,8.238897323608398
39.0,0.5728434234331229,-109.0,-156.58835913403348,5.576268672943115
40.0,0.5647181220077593,-176.0,-157.0676705540123,2.2520389556884766
41.0,0.5567080711387471,-263.0,-159.59401907023437,-3.0495927333831787
42.0,0.5488116360940264,-184.0,-160.17276732667102,-8.975567817687988
43.0,0.541027205328834,-52.0,-157.73193469790158,6.949166774749756
44.0,0.5333531901568119,-158.0,-157.74310737039053,-0.7287840247154236
45.0,0.5257880244257798,-40.0,-155.19634691830782,-9.184385299682617
46.0,0.5183301641981067,-249.0,-157.19684137198897,3.9236581325531006
47.0,0.5109780874356169,-54.0,-155.04855260633613,8.569924354553223
48.0,0.5037302936889633,-241.0,-156.81137428205807,5.5050435066223145
49.0,0.4965853037914095,6.0,-153.54545552219471,8.978629112243652
50.0,0.4895416595569531,-140.0,-153.28398430749868,19.10281753540039
51.0,0.48259792348273184,-73.0,-151.7481380407386,-8.698747634887695
52.0,0.4757526784556506,-78.0,-150.3649695384639,-5.100913047790527
53.0,0.4690045274631699,-84.0,-149.15086575170045,-3.386817455291748
54.0,0.4623520933081963,-236.0,-150.7425004022186,8.466694831848145
55.0,0.4557940183280172,-53.0,-149.00937217170352,5.278991222381592
56.0,0.44932896411722156,-36.0,-147.03173082932514,-3.985971212387085
57.0,0.4429556112545522,-109.0,-146.37780598169996,16.698991775512695
58.0,0.4366726590336306,-98.0,-145.57363030534387,-9.279074668884277
59.0,0.43047882519750297,-24.0,-143.55219203883368,6.123185634613037
60.0,0.42437284567695,-140.0,-143.49879258817018,-1.901852011680603
61.0,0.4183534743325094,-37.0,-141.78353736838025,15.394957542419434
62.0,0.4124194827001579,-21.0,-139.87345515569083,12.68820858001709
63.0,0.4065696597405991,-119.0,-139.5598710537677,24.419368743896484
64.0,0.40080281159210923,-40.0,-138.0342774294286,12.270170211791992
65.0,0.3951177613268873,-64.0,-136.92630669338058,-3.6911675930023193
66.0,0.3895133487108618,-58.0,-135.74923581693892,22.45468521118164
67.0,0.38398842996690413,-18.0,-134.025446114178,27.32204246520996
68.0,0.37854187754140095,-37.0,-132.62253647361572,1.6068545579910278
69.0,0.37317257987413693,-66.0,-131.68162996245496,27.820262908935547
70.0,0.36787944117144233,84.0,-128.63936398297645,-36.605106353759766
71.0,0.3626613811825573,-101.0,-128.2606363624391,23.267200469970703
72.0,0.35751733497916927,-110.0,-128.0240717405697,35.68574905395508
73.0,0.3524462527380765,-50.0,-126.97497476089973,29.30714988708496
74.0,0.3474470995269354,-173.0,-127.59368780063195,22.852745056152344
75.0,0.34251885509304564,-169.0,-128.1498639326196,16.18482780456543
76.0,0.337660513655132,-167.0,-128.66463821736613,33.40203094482422
77.0,0.33287108369807955,-120.0,-128.56567229995656,23.759450912475586
78.0,0.32814958777058006,-51.0,-127.58692370579077,13.412603378295898
79.0,0.3234950622856487,-232.0,-128.90060335176065,-1.199145793914795
80.0,0.31890655732397044,-105.0,-128.60860048163175,20.242107391357422
81.0,0.3143831364400353,-33.0,-127.44510117198969,32.04194641113281
82.0,0.3099238764710244,-176.0,-128.03379379925616,28.961441040039062
83.0,0.3055278673484055,-31.0,-126.88923629052164,40.57408905029297
84.0,0.30119421191220214,-118.0,-126.79153510896813,22.51906967163086
85.0,0.2969220257278962,-157.0,-127.15250783785775,33.71525192260742
86.0,0.2927104369059283,-20.0,-125.92350943123435,35.61875915527344
87.0,0.2885585859237581,24.0,-124.2156513008431,32.384822845458984
88.0,0.28446562545044835,66.0,-122.06880635780065,25.986852645874023
89.0,0.2804307201737374,-32.0,-121.07737233670696,32.8310432434082
90.0,0.2764530466295643,-28.0,-120.06139032170279,28.63401985168457
91.0,0.2725317930340126,-10.0,-118.86581955001557,33.65032196044922
92.0,0.26866615911763636,-178.0,-119.50247101928998,31.508577346801758
93.0,0.26485535596213783,-2.0,-118.25537416327371,61.49007797241211
94.0,0.2610986058393609,10.0,-116.90050910362784,62.938934326171875
95.0,0.257395142052568,35.0,-115.31785294460146,34.197959899902344
96.0,0.2537442087799692,-50.0,-114.64994114041205,29.19169044494629
97.0,0.2501450609204698,-127.0,-114.78615503681658,30.154958724975586
98.0,0.2465969639416065,-49.0,-114.12245236862363,23.82182502746582
99.0,0.2430991937296403,-46.0,-113.44228122902454,53.261539459228516
100.0,0.2396510364417758,35.0,-111.57962646956722,23.573719024658203
101.0,0.23625178836047603,11.0,-109.4109898765151,24.256467819213867
102.0,0.2329007557498447,7.0,-108.6861002272449,22.895784378051758
103.0,0.22959725471404477,18.0,-107.20366190458661,23.45868492126465
104.0,0.22634061105772565,0.0,-103.70176114418979,22.098514556884766
105.0,0.22313016014842982,50.0,-101.6157288579537,18.367206573486328
106.0,0.2199652467809513,189.0,-97.24196391874996,19.743122100830078
107.0,0.21684522504361808,14.0,-96.02649745138991,23.046070098876953
108.0,0.21376945818647108,273.0,-91.84486768752387,19.512998580932617
109.0,0.21073731849131314,121.0,-88.73089548326948,11.21838665008545
110.0,0.20774818714360085,253.0,-85.26705273921516,17.88326644897461
111.0,0.20480145410615389,245.0,-81.29403642275601,34.645843505859375
112.0,0.20189651799465538,-44.0,-80.64403206824105,91.32769012451172
113.0,0.19903278595491863,-27.0,-79.11247190914247,41.75299072265625
114.0,0.19620967354189398,-18.0,-78.74653870118973,97.45970916748047
115.0,0.19342660460039254,-30.0,-77.24384659637899,116.40696716308594
116.0,0.19068301114750144,107.0,-74.84906543590525,13.203191757202148
117.0,0.1879783332566671,-43.0,-74.64243294525438,22.38488006591797
118.0,0.18531201894342234,-63.0,-74.2042347056726,24.655649185180664
119.0,0.18268352405273466,-46.0,-73.23719594452903,21.88974380493164
120.0,0.1800923121479524,20.0,-70.3585149476506,80.9269790649414
121.0,0.17753785440132586,45.0,-67.97604463329014,97.45549774169922
122.0,0.17501962948608163,38.0,-66.77495307851169,30.19070816040039
123.0,0.17253712347002734,-44.0,-63.895095252131284,27.768198013305664
124.0,0.17008982971066583,273.0,-60.21631458515644,31.872146606445312
125.0,0.16767724875179707,-130.0,-59.04386015333876,30.4334774017334
126.0,0.16529888822158653,-21.0,-57.85535616038902,24.531829833984375
127.0,0.1629542627320793,-58.0,-58.67768469539362,103.98530578613281
128.0,0.16064289378013982,-348.0,-59.334995368191635,14.562423706054688
129.0,0.15836430964979642,-113.0,-58.73233818776927,14.407830238342285
130.0,0.15611804531597107,-176.0,-59.72079288348206,3.111659526824951
131.0,0.1539036423495749,-27.0,-58.752453838530954,28.965621948242188
132.0,0.15172064882394942,-57.0,-56.59907198016447,16.749101638793945
133.0,0.14956861922263506,-50.0,-56.21146526742986,17.43633270263672
134.0,0.147447114348448,-57.0,-53.896876934149674,17.878145217895508
135.0,0.1453557012338466,-49.0,-52.934112730233835,25.24030303955078
