episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-182.6,103.40284023382073,-183.05906523339127,103.39239613321978,-0.9108887180685997,1.189942674793078,-182.6
1,-163.6,96.37175825662663,-173.5881262313201,73.20748387136645,-0.6224974274635315,2.064783451532192,-173.1
2,-160.2,98.16720429960301,-169.27661007801098,48.67820746593775,0.5735633000731468,2.6001973856927245,-168.79999999999998
3,-169.0,109.80125586473811,-169.31959104692774,45.798064583429124,1.544413609430194,3.459640025907326,-168.85
4,-152.4,92.66146647027044,-166.03503232309535,40.55568795002801,1.2512342840433122,5.054648309638897,-165.56
5,-174.7,111.60225426887548,-167.55677104787296,34.718192477036226,3.7530428638681768,4.241250887600159,-167.08333333333334
6,-139.35,100.73794821479301,-163.5842629422372,33.4974658375639,4.074803902953863,5.369146436857496,-163.12142857142857
7,-187.1,111.61489242267949,-166.5811108155712,34.614692169911436,5.560098974779248,6.087793667934946,-166.11874999999998
8,-187.7,113.75879376072311,-168.99149799126025,32.219202032675945,6.85926703736186,7.5058511778829,-168.51666666666665
9,-176.4,107.42948727813096,-169.7832499959984,33.0168663056423,6.156045313179493,7.681487931301224,-169.305
10,-141.5,92.06833846316779,-167.25800183885096,26.720762106420977,7.041831120848656,7.370941096128749,-166.77727272727273
11,-159.75,67.06938669451918,-166.685279209751,24.60774481058375,7.235128587484359,8.43453756712781,-166.19166666666666
12,-147.6,97.20699563303044,-165.25526911149254,25.07832408390485,7.841684854030609,8.105495972640387,-164.76153846153846
13,-178.4,125.1312574017674,-166.22752558861126,21.10184943202439,9.284123030304908,10.810414138730014,-165.7357142857143
14,-172.7,106.18955246459784,-166.69396025979006,17.562013812811962,10.655217924714089,7.541151942352633,-166.2
15,-156.7,108.70147435207946,-166.09796573067496,19.112996056270322,10.132920382916927,12.909429964129906,-165.60625
16,-133.7,94.27345443191479,-164.22193065591313,17.791430150262546,11.863796788454056,11.899052400140619,-163.72941176470587
17,-150.05,96.2242310001953,-163.45637825967557,17.34965070900979,10.788718620315194,10.40537490509465,-162.96944444444443
18,-146.3,79.61096195347658,-162.57931565722794,17.222515730373896,13.316018688678742,8.839924895956518,-162.0921052631579
19,-109.35,55.497060140250014,-159.94094876286493,16.766054431213753,12.568443480134011,13.25110150394255,-159.45499999999998
20,-147.4,79.40263816378156,-159.37140404872576,16.583686216520817,13.682167774438858,13.97902013484912,-158.88095238095238
21,-161.8,88.94445339352919,-159.50962618098458,16.601798847333544,15.030449774861335,14.552623448211575,-159.01363636363638
22,-149.15,135.63739392799812,-159.0767670883242,16.033367494674078,12.383132433891296,10.912162074998943,-158.58478260869566
23,-132.85,91.81346937075593,-158.0072288238793,14.755973378375646,14.422021293640137,11.446930590608998,-157.51250000000002
24,-108.45,77.3212539719156,-156.04737375243866,13.834532455092642,18.05416033267975,14.811696231662955,-155.55
25,-158.0,98.71809944430017,-156.13919614910884,13.40895004432425,14.913680422306062,16.823358004706837,-155.64423076923077
26,-146.8,135.5501849190142,-155.80932286307976,13.176559454329269,15.837273061275482,12.351728756260227,-155.31666666666666
27,-126.95,107.99974415174374,-154.79392385384443,13.077933290060018,16.660388147830965,11.965436489627107,-154.30357142857142
28,-133.3,95.24102388980783,-154.0689138896772,13.024678726175868,16.492777752876282,16.054461264983843,-153.5793103448276
29,-154.85,91.77562742620549,-154.10824025531988,12.774740353256178,13.109519112110139,11.143467151811214,-153.6216666666667
30,-126.25,80.97814844954031,-153.22489644605622,11.761044110178881,21.739728689193726,13.26686085450264,-152.73870967741937
31,-97.0,84.87514049286877,-151.47937671310035,11.690255692880632,16.001223184913396,20.510585837397453,-150.99687500000002
32,-105.55,96.93105254441645,-150.10003301827737,11.454709142047397,18.518075549602507,15.980609055676416,-149.619696969697
33,-107.15,60.26369684888852,-148.85255858993872,11.106962544218144,22.058738666772843,14.750642368177274,-148.37058823529412
34,-113.25,74.02977708150175,-147.8482642801639,11.525878036936769,19.86978569626808,18.7081104448594,-147.36714285714288
35,-107.55,109.58845261873361,-146.73719192438315,11.821822454563998,16.43903856277466,17.833964477671092,-146.26111111111112
36,-125.15,73.22443868718032,-146.16641800358758,11.414461687506481,23.983605760335923,14.528265249747074,-145.69054054054055
37,-80.65,62.969729569891456,-144.45168556872153,12.044808048824155,24.38758807182312,11.868938989187336,-143.97894736842105
38,-106.45,100.694156523081,-143.48810431494172,11.558148991280401,16.297110164165495,18.10348018327872,-143.01666666666665
39,-86.3,65.76281143945302,-142.06730787547966,11.99213558903991,22.67139739692211,17.620502285921816,-141.59875
40,-79.3,63.2905580386372,-140.5438587008088,12.38821282549995,23.777691388130187,14.440493512987537,-140.07926829268294
41,-120.85,98.61155851969995,-140.08656082031683,12.4351169645073,25.741644978523254,12.584363036433977,-139.62142857142857
42,-90.65,49.55196634262915,-138.94862384125128,12.60866136756263,23.853221893310547,14.800035795678463,-138.4825581395349
43,-74.25,53.11246756201707,-137.49024502012176,12.800055150773051,22.678532218933107,13.95018164428301,-137.02272727272728
44,-95.15,46.17845818127755,-136.56362229145049,12.225348620895904,26.360356283187866,16.400875773178463,-136.0922222222222
45,-68.6,46.365141170813594,-135.096272567629,11.599602448254888,23.857571053504945,12.166110332096393,-134.625
46,-92.95,72.15369195791644,-134.21010548471526,12.177773591755196,27.580620431900023,13.807147614123545,-133.7382978723404
47,-58.0,72.88996754301,-132.62838844996114,12.080011244881268,23.58560053706169,11.561217162077686,-132.16041666666666
