episode,epsilon,score,average,avg_q_values
0.0,1.0,-158.0,-158.51759248587257,0.8439999222755432
1.0,0.9858158423524046,-103.0,-130.8079095405407,0.9312638640403748
2.0,0.9718328750329811,-161.0,-140.9481066962009,0.8250860571861267
3.0,0.9580482443263975,-395.0,-204.67491379488303,1.143600344657898
4.0,0.9444591369948698,-120.0,-187.86136260822573,0.27487853169441223
5.0,0.9310627797040227,-130.0,-178.38321287939425,0.056869786232709885
6.0,0.9178564384568926,-126.0,-170.93305317009813,3.5914995670318604
7.0,0.9048374180359595,-315.0,-189.00957605222035,5.84026575088501
8.0,0.8920030614530944,-65.0,-175.30200602002898,2.237183094024658
9.0,0.879350749407306,-70.0,-164.83587185433015,1.3827600479125977
10.0,0.8668778997501816,-142.0,-162.8398799114104,3.0742664337158203
11.0,0.8545819669589086,-139.0,-160.88233730656682,2.44150447845459
12.0,0.8424604416167714,-156.0,-160.57156164283583,1.0167717933654785
13.0,0.8305108499010163,-79.0,-154.8087583603833,7.367258548736572
14.0,0.8187307530779818,-206.0,-158.27382318397935,7.592735767364502
15.0,0.8071177470053893,0.0,-148.33229385652405,-7.00661039352417
16.0,0.7956694616416928,-38.0,-141.85267536771312,13.60532283782959
17.0,0.7843835605623898,-107.0,-139.96703646447722,13.318520545959473
18.0,0.7732577404831906,-97.0,-137.72326897757438,9.032052040100098
19.0,0.7622897307899537,-77.0,-134.72305535497168,-0.7248432040214539
20.0,0.751477293075286,-196.0,-137.64440452257375,6.3284173011779785
21.0,0.7408182206817179,-225.0,-141.63751504819385,6.409461498260498
22.0,0.7303103382513573,-95.0,-139.63646678337355,5.8374552726745605
23.0,0.7199515012819313,-82.0,-137.24119146322585,13.228279113769531
24.0,0.7097395956891255,-113.0,-136.2801568328715,13.350311279296875
25.0,0.6996725373751304,-64.0,-133.51352887269277,16.828350067138672
26.0,0.6897482718033084,-70.0,-131.16396574573724,15.32319164276123
27.0,0.6799647735788938,-172.0,-132.6246269331432,21.972763061523438
28.0,0.6703200460356393,-120.0,-132.2117808871237,14.472360610961914
29.0,0.6608121208283264,-230.0,-135.50332802066737,11.376106262207031
30.0,0.6514390575310556,-91.0,-134.08209467535855,12.994246482849121
31.0,0.6421989432412342,-70.0,-132.09156948489914,7.816251754760742
32.0,0.6330898921891813,-12.0,-128.4530018571825,17.80491828918457
33.0,0.6241100453532709,-112.0,-127.98885617043064,1.7460554838180542
34.0,0.6152575700805322,-106.0,-127.37178320913273,15.166699409484863
35.0,0.6065306597126334,-84.0,-126.18310742203201,22.12393569946289
36.0,0.5979275332171694,-100.0,-125.49832800310519,27.25943946838379
37.0,0.5894464348241792,-9.0,-122.44116701019709,24.184391021728516
38.0,0.5810856336678201,-44.0,-120.44892781492564,16.998292922973633
39.0,0.5728434234331229,-63.0,-119.02621509279105,24.80872344970703
40.0,0.5647181220077593,0.0,-116.12515617223316,26.635719299316406
41.0,0.5567080711387471,-65.0,-114.92523470731409,28.22757911682129
42.0,0.5488116360940264,-98.0,-114.54321187053318,10.509425163269043
43.0,0.541027205328834,-48.0,-113.03799008181939,27.465476989746094
44.0,0.5333531901568119,-126.0,-113.34140421444357,12.087356567382812
45.0,0.5257880244257798,-95.0,-112.94483844025872,18.47276496887207
46.0,0.5183301641981067,-19.0,-110.94925070203104,17.86734390258789
47.0,0.5109780874356169,-44.0,-109.56531637250633,23.179208755493164
48.0,0.5037302936889633,-25.0,-107.84658368823969,20.935348510742188
49.0,0.4965853037914095,-25.0,-106.19119886379782,26.829870223999023
50.0,0.4895416595569531,-15.0,-104.41235334861152,18.540325164794922
51.0,0.48259792348273184,-47.0,-103.31430717152047,13.186151504516602
52.0,0.4757526784556506,-18.0,-101.7139354188443,35.042335510253906
53.0,0.4690045274631699,-262.0,-104.69373057919003,-17.72032928466797
54.0,0.4623520933081963,-164.0,-105.77643051532802,1.1069960594177246
55.0,0.4557940183280172,-83.0,-105.37269390357237,19.98577308654785
56.0,0.44932896411722156,-47.0,-104.35905265685251,30.438623428344727
57.0,0.4429556112545522,-34.0,-103.16014550819071,14.502317428588867
58.0,0.4366726590336306,-38.0,-102.06100751763888,23.79326820373535
59.0,0.43047882519750297,-84.0,-101.76872767232474,15.958744049072266
60.0,0.42437284567695,-57.0,-101.03720842533103,-4.4625372886657715
61.0,0.4183534743325094,12.0,-99.20803400162222,22.054920196533203
62.0,0.4124194827001579,-123.0,-99.59852392693742,32.24850845336914
63.0,0.4065696597405991,-9.0,-98.19061400631186,9.902460098266602
64.0,0.40080281159210923,-85.0,-97.99970306252143,17.426006317138672
65.0,0.3951177613268873,-181.0,-99.25900962043461,3.12563419342041
66.0,0.3895133487108618,-147.0,-99.97929307425696,27.11507225036621
67.0,0.38398842996690413,-191.0,-101.32173557618906,-4.866921901702881
68.0,0.37854187754140095,65.0,-98.90669861644365,39.58283615112305
69.0,0.37317257987413693,-97.0,-98.8897866670433,2.6697304248809814
70.0,0.36787944117144233,-50.0,-98.20564818889152,7.122908115386963
71.0,0.3626613811825573,-49.0,-97.52838134576179,24.647069931030273
72.0,0.35751733497916927,-132.0,-98.00841733732338,6.879404067993164
73.0,0.3524462527380765,-8.0,-96.79628178565659,1.1540578603744507
74.0,0.3474470995269354,-54.0,-96.23538188504646,11.361212730407715
75.0,0.34251885509304564,-42.0,-95.52974535814712,8.016908645629883
76.0,0.337660513655132,24.0,-93.96875382557891,55.607086181640625
77.0,0.33287108369807955,4.0,-92.70979085632057,18.275657653808594
78.0,0.32814958777058006,19.0,-91.2862808640794,15.361205101013184
79.0,0.3234950622856487,32.0,-89.73686770518808,15.29653263092041
80.0,0.31890655732397044,-9.0,-88.74502428449242,70.07244110107422
81.0,0.3143831364400353,9.0,-87.5467052664012,48.995635986328125
82.0,0.3099238764710244,60.0,-85.75798563018198,15.895641326904297
83.0,0.3055278673484055,24.0,-84.4396924717552,52.82591247558594
84.0,0.30119421191220214,-42.0,-83.9464046690229,21.778518676757812
85.0,0.2969220257278962,0.0,-82.96718690657758,77.46714782714844
86.0,0.2927104369059283,-12.0,-82.15856899894051,73.78079986572266
87.0,0.2885585859237581,-36.0,-81.64156284120024,65.85661315917969
88.0,0.28446562545044835,-65.0,-81.4637179331104,68.35539245605469
89.0,0.2804307201737374,5.0,-80.49643029356173,16.58484649658203
90.0,0.2764530466295643,-2.0,-79.63852373960741,83.513427734375
91.0,0.2725317930340126,1.0,-78.75135003633,57.731685638427734
92.0,0.26866615911763636,12.0,-77.77354300690571,48.37775421142578
93.0,0.26485535596213783,-5.0,-77.00559672272321,68.4234848022461
94.0,0.2610986058393609,-5.0,-76.25577789888702,71.656005859375
95.0,0.257395142052568,28.0,-75.16717022062615,22.79829978942871
96.0,0.2537442087799692,38.0,-73.99451180098141,27.00066566467285
97.0,0.2501450609204698,19.0,-73.04414284748295,25.842514038085938
98.0,0.2465969639416065,9.0,-72.20854093284768,25.00273323059082
99.0,0.2430991937296403,9.0,-71.3963945330229,49.40402603149414
100.0,0.2396510364417758,35.0,-69.45606984288477,26.089582443237305
101.0,0.23625178836047603,11.0,-68.31332397531834,23.8784122467041
