episode,epsilon,score,average,avg_q_values
0.0,1.0,-161.0,-161.90330953772542,-0.3356037437915802
1.0,0.9858158423524046,-80.0,-121.16057880001657,-0.4344450831413269
2.0,0.9718328750329811,-133.0,-125.3071938664608,1.2333378791809082
3.0,0.9580482443263975,-20.0,-99.06220804565564,2.842273712158203
4.0,0.9444591369948698,-316.0,-142.48938323200142,5.8517231941223145
5.0,0.9310627797040227,-81.0,-132.3984432033854,7.661067962646484
6.0,0.9178564384568926,-136.0,-133.01103943631276,6.547993183135986
7.0,0.9048374180359595,-123.0,-131.85704818244042,8.571136474609375
8.0,0.8920030614530944,-128.0,-131.51648176519856,7.779380798339844
9.0,0.879350749407306,-283.0,-146.72570673351257,10.114248275756836
10.0,0.8668778997501816,-148.0,-146.89596390671548,10.060891151428223
11.0,0.8545819669589086,-113.0,-144.1336998805914,11.997295379638672
12.0,0.8424604416167714,-72.0,-138.61330776424654,10.589302062988281
13.0,0.8305108499010163,-440.0,-160.1629411138576,9.276572227478027
14.0,0.8187307530779818,-177.0,-161.29715871407956,12.853882789611816
15.0,0.8071177470053893,-77.0,-156.08401414843132,13.227359771728516
16.0,0.7956694616416928,-181.0,-157.58482544918425,9.12452507019043
17.0,0.7843835605623898,-107.0,-154.78505785012555,7.179703712463379
18.0,0.7732577404831906,-105.0,-152.17692148299497,12.347724914550781
19.0,0.7622897307899537,-186.0,-153.9069939982226,12.325945854187012
20.0,0.751477293075286,-110.0,-151.84025680896556,11.253778457641602
21.0,0.7408182206817179,-248.0,-156.22615457070268,3.220520257949829
22.0,0.7303103382513573,-55.0,-151.85067144048165,0.04627282917499542
23.0,0.7199515012819313,-87.0,-149.15485340750902,3.9401819705963135
24.0,0.7097395956891255,-46.0,-145.0482173189863,17.63020133972168
25.0,0.6996725373751304,-98.0,-143.26732316447232,9.128143310546875
26.0,0.6897482718033084,-83.0,-141.05983012721,7.051513671875
27.0,0.6799647735788938,-334.0,-147.96092308412713,-8.681156158447266
28.0,0.6703200460356393,-365.0,-155.45610854056983,22.561939239501953
29.0,0.6608121208283264,-91.0,-153.34026746038168,9.57297420501709
30.0,0.6514390575310556,-38.0,-149.62082112260538,6.70429801940918
31.0,0.6421989432412342,-30.0,-145.90225857506667,21.944128036499023
32.0,0.6330898921891813,-89.0,-144.17867460992548,12.289783477783203
33.0,0.6241100453532709,-18.0,-140.47419007639238,13.013465881347656
34.0,0.6152575700805322,-92.0,-139.0892927119564,11.32516860961914
35.0,0.6065306597126334,-136.0,-139.03036381997305,14.85791015625
36.0,0.5979275332171694,-230.0,-141.50820681597355,-1.009315013885498
37.0,0.5894464348241792,-71.0,-139.6548387697211,12.107449531555176
38.0,0.5810856336678201,94.0,-133.66140824017,-24.072389602661133
39.0,0.5728434234331229,-167.0,-134.4984008479095,20.76685333251953
40.0,0.5647181220077593,-20.0,-131.72395529508537,22.059757232666016
41.0,0.5567080711387471,-26.0,-129.2143530890276,31.029449462890625
42.0,0.5488116360940264,-156.0,-129.84828724219406,21.701644897460938
43.0,0.541027205328834,-60.0,-128.2694642266081,23.37117576599121
44.0,0.5333531901568119,-27.0,-126.0207812847426,32.086181640625
45.0,0.5257880244257798,-70.0,-124.80779507079221,28.60787010192871
46.0,0.5183301641981067,-2.0,-122.20340675750171,9.855238914489746
47.0,0.5109780874356169,-13.0,-119.9289669216276,27.76239585876465
48.0,0.5037302936889633,-45.0,-118.403035587389,19.972929000854492
49.0,0.4965853037914095,-20.0,-116.44929496956318,35.078975677490234
50.0,0.4895416595569531,-43.0,-115.02604276273345,20.22052574157715
51.0,0.48259792348273184,-14.0,-113.09776853358677,31.600725173950195
52.0,0.4757526784556506,-50.0,-111.91267902482515,30.665679931640625
53.0,0.4690045274631699,-52.0,-110.81124383643038,5.132616996765137
54.0,0.4623520933081963,-88.0,-110.39824328521058,20.709064483642578
55.0,0.4557940183280172,-150.0,-111.12065889010923,28.91156005859375
56.0,0.44932896411722156,-176.0,-112.26411890962741,27.16875457763672
57.0,0.4429556112545522,-90.0,-111.8854508790374,28.66788673400879
58.0,0.4366726590336306,10.0,-109.8142975560551,24.58147621154785
59.0,0.43047882519750297,-188.0,-111.12637462100585,34.82670974731445
60.0,0.42437284567695,-40.0,-109.9665956797187,31.981224060058594
61.0,0.4183534743325094,-46.0,-108.94997834616024,36.480220794677734
62.0,0.4124194827001579,-50.0,-108.0262588860291,28.332202911376953
63.0,0.4065696597405991,30.0,-105.8546982052254,32.383628845214844
64.0,0.40080281159210923,-141.0,-106.39724399848242,48.478702545166016
65.0,0.3951177613268873,-54.0,-105.61816673401853,22.78484535217285
66.0,0.3895133487108618,-135.0,-106.06447357205117,26.4232177734375
67.0,0.38398842996690413,-78.0,-105.65970919361298,39.1146354675293
68.0,0.37854187754140095,-56.0,-104.94083968653493,24.18572998046875
69.0,0.37317257987413693,-65.0,-104.37870966040218,15.619372367858887
70.0,0.36787944117144233,-34.0,-103.3919735125269,37.76560592651367
71.0,0.3626613811825573,-24.0,-102.30043833344745,32.07085418701172
72.0,0.35751733497916927,-213.0,-103.82769762660381,37.66799545288086
73.0,0.3524462527380765,-9.0,-102.5502414830171,32.17628860473633
74.0,0.3474470995269354,-41.0,-101.74166085672753,35.914249420166016
75.0,0.34251885509304564,59.0,-99.61736525595389,54.2235107421875
76.0,0.337660513655132,-109.0,-99.74499168809157,46.1556510925293
77.0,0.33287108369807955,-53.0,-99.15576826980754,80.26300811767578
78.0,0.32814958777058006,27.0,-97.55641288073507,72.12245178222656
79.0,0.3234950622856487,23.0,-96.04835426638283,32.42526626586914
80.0,0.31890655732397044,-29.0,-95.22561599148895,57.836788177490234
81.0,0.3143831364400353,21.0,-93.80018565607212,37.993743896484375
82.0,0.3099238764710244,-16.0,-92.86932748772703,37.23253631591797
83.0,0.3055278673484055,91.0,-90.66887824684378,40.83512878417969
84.0,0.30119421191220214,92.0,-88.510540206161,34.78585433959961
85.0,0.2969220257278962,152.0,-85.71155718841074,51.0710563659668
86.0,0.2927104369059283,156.0,-82.92346951432812,33.01994323730469
87.0,0.2885585859237581,112.0,-80.70097740772994,33.499183654785156
88.0,0.28446562545044835,103.0,-78.63026096638485,36.148765563964844
89.0,0.2804307201737374,57.0,-77.1191531260753,107.52962493896484
90.0,0.2764530466295643,160.0,-74.50707532013016,30.015304565429688
91.0,0.2725317930340126,127.0,-72.31100764630233,33.025936126708984
92.0,0.26866615911763636,115.0,-70.28788250109307,38.05449295043945
93.0,0.26485535596213783,-39.0,-69.9608826696385,119.97283935546875
94.0,0.2610986058393609,-30.0,-69.54169540441458,103.50718688964844
95.0,0.257395142052568,161.0,-67.13690317616555,36.899436950683594
96.0,0.2537442087799692,-49.0,-66.95829311394395,112.00370025634766
97.0,0.2501450609204698,33.0,-65.93001677064048,52.3914680480957
98.0,0.2465969639416065,-7.0,-65.33580641918971,82.34014129638672
99.0,0.2430991937296403,48.0,-64.19891539510134,42.14093780517578
100.0,0.2396510364417758,183.0,-60.74840201839627,41.658748626708984
101.0,0.23625178836047603,36.0,-59.5805495764281,111.43307495117188
102.0,0.2329007557498447,121.0,-57.02753094710158,30.420202255249023
103.0,0.22959725471404477,41.0,-56.411569854263874,98.10907745361328
104.0,0.22634061105772565,289.0,-50.35107989617199,59.31504821777344
105.0,0.22313016014842982,-254.0,-52.08075599029021,55.60720443725586
106.0,0.2199652467809513,-15.0,-50.872922153655686,93.5547866821289
107.0,0.21684522504361808,180.0,-47.830071631424524,40.49808883666992
108.0,0.21376945818647108,-45.0,-46.993300510689494,103.64915466308594
109.0,0.21073731849131314,-22.0,-44.381281315036,86.86489868164062
110.0,0.20774818714360085,146.0,-41.43438643802867,33.822410583496094
111.0,0.20480145410615389,235.0,-37.94046681628212,58.10432052612305
112.0,0.20189651799465538,68.0,-36.53096593241491,39.56244659423828
113.0,0.19903278595491863,100.0,-31.1203156504588,39.60047912597656
114.0,0.19620967354189398,206.0,-27.28410556889056,48.73369216918945
115.0,0.19342660460039254,264.0,-23.861011805706966,55.2769660949707
116.0,0.19068301114750144,3.0,-22.00948491848989,79.47844696044922
117.0,0.1879783332566671,239.0,-18.538500126822093,35.569759368896484
118.0,0.18531201894342234,131.0,-16.170803438599634,37.14347457885742
119.0,0.18268352405273466,52.0,-13.775708645988061,37.44557571411133
120.0,0.1800923121479524,270.0,-9.96344692288396,51.77052307128906
121.0,0.17753785440132586,219.0,-5.285804961755212,34.144989013671875
122.0,0.17501962948608163,224.0,-2.480251355360261,48.254722595214844
123.0,0.17253712347002734,225.0,0.6457240144598582,40.22890853881836
124.0,0.17008982971066583,236.0,3.47297833554506,51.63664245605469
125.0,0.16767724875179707,-31.0,4.149919825614399,84.91834259033203
126.0,0.16529888822158653,210.0,7.093642342448576,53.43380355834961
127.0,0.1629542627320793,235.0,12.794309871250425,45.95124053955078
128.0,0.16064289378013982,238.0,18.82930373030095,53.08488845825195
129.0,0.15836430964979642,125.0,21.007124328219195,33.97801208496094
130.0,0.15611804531597107,-96.0,20.426802072415065,67.16395568847656
131.0,0.1539036423495749,-474.0,15.983340993666005,32.22377395629883
132.0,0.15172064882394942,232.0,19.201284251307225,55.102027893066406
133.0,0.14956861922263506,244.0,21.83231300820448,84.90838623046875
134.0,0.147447114348448,255.0,25.311343093046208,47.36246871948242
135.0,0.1453557012338466,130.0,27.982949495919513,31.25951385498047
136.0,0.14329395305256898,237.0,32.66642658136098,56.27328872680664
137.0,0.14126144903252422,282.0,36.20144354926952,60.72822570800781
138.0,0.13925777436991912,249.0,37.751131865622135,43.72581100463867
139.0,0.13728252014460293,229.0,41.71538196032031,39.89760971069336
140.0,0.1353352832366127,294.0,44.86321110076974,52.686561584472656
141.0,0.1334156662439026,248.0,47.614054900034944,53.23189926147461
142.0,0.13152327740124015,230.0,51.483553813143004,53.701290130615234
143.0,0.12965773050025253,294.0,55.02748313365525,62.218284606933594
144.0,0.12781864481060753,269.0,57.9966756280269,41.16777420043945
145.0,0.12600564500231182,209.0,60.78936385478242,53.594444274902344
146.0,0.1242183610691121,236.0,63.1764239603042,61.048484802246094
147.0,0.1224564282529819,251.0,65.82045541802748,82.38753509521484
148.0,0.12071948696968016,265.0,68.92506232373375,57.79655456542969
149.0,0.11900718273536538,272.0,71.85422637427995,60.29327392578125
150.0,0.11731916609425078,267.0,74.96895735694743,58.4217529296875
151.0,0.11565509254728551,273.0,77.8467159086277,65.52835845947266
152.0,0.11401462248184759,275.0,81.10379738173617,65.14361572265625
153.0,0.11239742110243399,263.0,84.26366451857267,49.22346496582031
154.0,0.11080315836233387,237.0,87.52279579073695,53.5853385925293
155.0,0.10923150889627105,275.0,91.7862617620546,56.838069915771484
156.0,0.10768215195400163,245.0,96.00248413665672,81.18916320800781
157.0,0.10615477133485376,226.0,99.1706960308316,65.31144714355469
158.0,0.10464905532319577,291.0,101.98466494182831,64.67028045654297
159.0,0.10316469662481963,211.0,105.98079187854559,58.613807678222656
160.0,0.10170139230422684,286.0,109.25260322804738,65.2356185913086
161.0,0.10025884372280375,241.0,112.14170401865361,56.78437805175781
162.0,0.09883675647787384,248.0,115.13914616056508,52.9223518371582
163.0,0.09743484034261468,236.0,117.19541567416609,55.29645538330078
164.0,0.09605280920682677,276.0,121.37231163372017,61.80744934082031
165.0,0.09469038101854274,267.0,124.59238781590408,65.21845245361328
166.0,0.09334727772646485,259.0,128.54303040019315,64.36192321777344
167.0,0.09202322522321882,238.0,131.71123204066774,66.09656524658203
168.0,0.09071795328941251,243.0,134.70736677268954,72.24886322021484
169.0,0.0894311955384883,248.0,137.84901912499132,66.5256576538086
170.0,0.08816268936235745,263.0,140.8318441705389,62.80482864379883
171.0,0.08691217587780577,238.0,143.46692887948592,67.64649963378906
172.0,0.08567939987365944,236.0,147.97228976513503,78.5230941772461
173.0,0.0844641097587001,270.0,150.76758379253803,79.23451232910156
174.0,0.0832660575103189,-243.0,148.75109400633218,69.28105926513672
175.0,0.0820849986238988,219.0,150.3531271462996,59.17793273925781
176.0,0.08092069206291477,266.0,154.1114901727382,74.37418365478516
177.0,0.07977290020974187,276.0,157.41072742950223,73.80555725097656
178.0,0.078641388817161,254.0,159.68805797402283,61.93592071533203
179.0,0.07752592696055255,227.0,161.73014764332393,62.27988052368164
180.0,0.07642628699076807,244.0,164.46569126515368,64.53758239746094
181.0,0.07534224448767067,273.0,166.97986864887469,58.32548141479492
182.0,0.07427357821433388,241.0,169.5614266655496,62.318023681640625
183.0,0.07322007007189076,277.0,171.42012156818285,66.40814208984375
184.0,0.07218150505502309,254.0,173.03403554225437,63.118194580078125
185.0,0.07115767120808195,255.0,174.07091008818122,59.945648193359375
186.0,0.07014835958183076,275.0,175.2532699256204,72.64857482910156
