episode,epsilon,score,average,avg_q_values
0.0,1.0,-391.0,-391.24691611426016,-2.66542387008667
1.0,0.9858158423524046,-140.0,-266.0039616854144,-1.220020055770874
2.0,0.9718328750329811,-67.0,-199.70670946955966,0.18489201366901398
3.0,0.9580482443263975,-99.0,-174.73637310949758,2.7062511444091797
4.0,0.9444591369948698,-132.0,-166.37590127883703,5.486532688140869
5.0,0.9310627797040227,-181.0,-168.83559189820093,2.0061302185058594
6.0,0.9178564384568926,-80.0,-156.15668520933397,4.395112037658691
7.0,0.9048374180359595,-178.0,-158.949936567517,8.630437850952148
8.0,0.8920030614530944,-271.0,-171.42835148105135,-0.42444711923599243
9.0,0.879350749407306,-246.0,-178.8887940933249,0.9108465313911438
10.0,0.8668778997501816,-120.0,-173.61496248104177,7.74481201171875
11.0,0.8545819669589086,-177.0,-173.90178541713223,5.049404621124268
12.0,0.8424604416167714,-82.0,-166.87383909560967,4.927624702453613
13.0,0.8305108499010163,-219.0,-170.6526427937116,7.3515849113464355
14.0,0.8187307530779818,-26.0,-161.05053747386955,-4.15698766708374
15.0,0.8071177470053893,-138.0,-159.61234100063382,2.3878493309020996
16.0,0.7956694616416928,-178.0,-160.69960222123905,-0.8803933262825012
17.0,0.7843835605623898,-82.0,-156.350982252703,-6.957616806030273
18.0,0.7732577404831906,-117.0,-154.32736309095512,5.2868242263793945
19.0,0.7622897307899537,-50.0,-149.1162624878664,7.133289337158203
20.0,0.751477293075286,-103.0,-146.95623120148838,6.801562309265137
21.0,0.7408182206817179,-83.0,-144.06280062096977,3.95639705657959
22.0,0.7303103382513573,-113.0,-142.73299591918033,3.3648040294647217
23.0,0.7199515012819313,-112.0,-141.47678319492556,9.562195777893066
24.0,0.7097395956891255,-153.0,-141.95008255933257,-3.8600869178771973
25.0,0.6996725373751304,-83.0,-139.71756790121685,0.15511584281921387
26.0,0.6897482718033084,-195.0,-141.7945101608105,3.0627968311309814
27.0,0.6799647735788938,-97.0,-140.20591487460436,7.907752990722656
28.0,0.6703200460356393,-80.0,-138.14164765460598,0.5667601227760315
29.0,0.6608121208283264,-233.0,-141.3231536036238,-14.352578163146973
30.0,0.6514390575310556,-69.0,-139.00274039771006,11.54594612121582
31.0,0.6421989432412342,-136.0,-138.9334708740864,6.023253917694092
32.0,0.6330898921891813,10.0,-134.41655546974303,9.552175521850586
33.0,0.6241100453532709,-54.0,-132.0597852356459,12.104260444641113
34.0,0.6152575700805322,-78.0,-130.5201913674775,9.811016082763672
35.0,0.6065306597126334,-44.0,-128.12061843918266,7.203402996063232
36.0,0.5979275332171694,-103.0,-127.45865432302132,2.596386432647705
37.0,0.5894464348241792,-457.0,-136.1417920642673,-38.54332733154297
38.0,0.5810856336678201,-117.0,-135.6588899711839,0.3436254858970642
39.0,0.5728434234331229,-67.0,-133.94299577747972,2.2280654907226562
40.0,0.5647181220077593,-86.0,-132.78097699833467,14.617877960205078
41.0,0.5567080711387471,-63.0,-131.13240612108032,8.355381965637207
42.0,0.5488116360940265,-77.0,-129.87360453831525,20.95877456665039
43.0,0.541027205328834,-6.0,-127.07746778737165,19.800636291503906
44.0,0.5333531901568119,-87.0,-126.19901628164048,7.694676876068115
45.0,0.5257880244257798,-33.0,-124.17754344832157,10.577825546264648
46.0,0.5183301641981067,-62.0,-122.85788614692348,15.530379295349121
47.0,0.5109780874356169,-104.0,-122.48319282246155,-22.83898162841797
48.0,0.5037302936889633,-23.0,-120.46912415849773,13.304703712463379
49.0,0.4965853037914095,-55.0,-119.16821239598463,26.4013671875
50.0,0.4895416595569531,-100.0,-118.79269490939484,25.695144653320312
51.0,0.48259792348273184,-46.0,-117.39522936791154,23.42547035217285
52.0,0.4757526784556506,62.0,-113.99263458190524,31.82008934020996
53.0,0.4690045274631699,40.0,-111.13403692053177,18.745656967163086
54.0,0.4623520933081963,-18.0,-109.44193716341722,35.73845672607422
55.0,0.4557940183280172,-158.0,-110.32141967291088,39.03929138183594
56.0,0.44932896411722156,-81.0,-109.81183733401488,8.541074752807617
57.0,0.4429556112545522,-41.0,-108.63222763570342,41.11503982543945
58.0,0.4366726590336306,-60.0,-107.8241089130201,11.317112922668457
59.0,0.43047882519750297,-88.0,-107.50708649000306,30.773258209228516
60.0,0.42437284567695,-134.0,-107.95525143829339,50.59299850463867
61.0,0.4183534743325094,38.0,-105.59075380036803,28.639211654663086
62.0,0.4124194827001579,-73.0,-105.0866298572228,18.973712921142578
63.0,0.4065696597405991,-88.0,-104.8197000296044,50.105411529541016
64.0,0.40080281159210923,-49.0,-103.9762363658631,23.122591018676758
65.0,0.3951177613268873,-110.0,-104.07253106027703,28.181089401245117
66.0,0.3895133487108618,-80.0,-103.72040995716227,12.0297269821167
67.0,0.38398842996690413,-5.0,-102.27736278381093,15.012611389160156
68.0,0.37854187754140095,3.0,-100.74282142654391,19.221281051635742
69.0,0.37317257987413693,-19.0,-99.5840215236781,30.007293701171875
70.0,0.36787944117144233,54.0,-97.41295429766969,13.338504791259766
71.0,0.3626613811825573,33.0,-95.59431806975566,47.81172561645508
72.0,0.35751733497916927,112.0,-92.73989358909817,12.239788055419922
73.0,0.3524462527380765,84.0,-90.34930337146722,20.663549423217773
74.0,0.3474470995269354,111.0,-87.66359991609474,17.53375244140625
75.0,0.34251885509304564,55.0,-85.78247419001391,21.70195960998535
76.0,0.337660513655132,1.0,-84.65407529887071,66.70624542236328
77.0,0.33287108369807955,-142.0,-85.39362139287591,78.23448181152344
78.0,0.32814958777058006,-73.0,-85.24788709638558,79.97158813476562
79.0,0.3234950622856487,-8.0,-84.28344535194258,69.42375946044922
80.0,0.31890655732397044,76.0,-82.29523381273746,23.966304779052734
81.0,0.3143831364400353,-119.0,-82.74929596033834,68.03642272949219
82.0,0.3099238764710244,-10.0,-81.87642694639754,68.53797149658203
83.0,0.3055278673484055,78.0,-79.9713803909982,23.250709533691406
84.0,0.30119421191220214,37.0,-78.58656461332464,26.783355712890625
85.0,0.2969220257278962,-49.0,-78.25055014372221,52.315147399902344
86.0,0.2927104369059283,1.0,-77.33093356321554,27.798099517822266
87.0,0.2885585859237581,73.0,-75.61226773041916,23.963119506835938
88.0,0.28446562545044835,-18.0,-74.96611958221979,69.46002960205078
89.0,0.2804307201737374,45.0,-73.6275125816301,28.13237762451172
90.0,0.2764530466295643,131.0,-71.377713233012,22.752817153930664
91.0,0.2725317930340126,-10.0,-70.7119672677999,73.07425689697266
92.0,0.26866615911763636,64.0,-69.25739403982642,22.2560977935791
93.0,0.26485535596213783,-61.0,-69.17529186697351,47.29625701904297
94.0,0.2610986058393609,85.0,-67.54822838486807,22.40494728088379
95.0,0.257395142052568,-22.0,-67.07828849841005,42.46159362792969
96.0,0.2537442087799692,-20.0,-66.60182590157939,48.95449447631836
97.0,0.2501450609204698,121.0,-64.68371258313891,28.221078872680664
98.0,0.2465969639416065,-94.0,-64.98151828821373,70.1416015625
99.0,0.2430991937296403,56.0,-63.76748165111777,30.97882652282715
100.0,0.2396510364417758,-16.0,-60.02025002515199,84.11016845703125
101.0,0.23625178836047603,83.0,-57.775253183899004,34.4388542175293
102.0,0.2329007557498447,5.0,-57.047184141714695,58.27230453491211
103.0,0.22959725471404477,-102.0,-57.07420399830996,63.7971305847168
104.0,0.22634061105772565,-113.0,-56.87720562996343,68.4314956665039
105.0,0.22313016014842982,-117.0,-56.244672547508635,68.4284896850586
106.0,0.2199652467809513,-73.0,-56.175393562893355,46.730690002441406
107.0,0.21684522504361808,-138.0,-55.77684283806452,62.790611267089844
108.0,0.21376945818647108,241.0,-50.65403851913266,30.750669479370117
109.0,0.21073731849131314,89.0,-47.29742619907689,30.454431533813477
110.0,0.20774818714360085,104.0,-45.04654644239292,31.697412490844727
111.0,0.20480145410615389,219.0,-41.08251668407453,45.48461151123047
112.0,0.20189651799465538,254.0,-37.71206880170118,35.67921447753906
113.0,0.19903278595491863,149.0,-34.01970502398109,30.563724517822266
114.0,0.19620967354189398,260.0,-31.14444313639564,38.11587905883789
115.0,0.19342660460039254,130.0,-28.454915349264134,28.2413272857666
116.0,0.19068301114750144,234.0,-24.32942564823807,39.97023010253906
117.0,0.1879783332566671,155.0,-21.954760785163657,29.31501007080078
118.0,0.18531201894342234,204.0,-18.728365794924905,32.57231903076172
119.0,0.18268352405273466,251.0,-15.707460446922743,44.97167205810547
120.0,0.1800923121479524,243.0,-12.235329085371326,50.933780670166016
121.0,0.17753785440132586,253.0,-8.871005051948984,37.194297790527344
122.0,0.17501962948608163,115.0,-6.578760134284977,28.292606353759766
123.0,0.17253712347002734,192.0,-3.532583228856026,38.023677825927734
124.0,0.17008982971066583,277.0,0.7797742576940812,52.76216506958008
125.0,0.16767724875179707,265.0,4.274089653418958,47.40424728393555
126.0,0.16529888822158653,228.0,8.521466189965949,43.9764518737793
127.0,0.1629542627320793,145.0,10.944934691188674,25.422449111938477
128.0,0.16064289378013982,160.0,13.349879049515762,28.553462982177734
