,episode,epsilon,score,average,avg_q_values
0,0.0,1.0,-219.0,-219.82600624508797,-1.443868637084961
1,1.0,0.9858158423524046,-192.0,-206.31801936901724,-1.431345820426941
2,2.0,0.9718328750329811,-86.0,-166.23640777385557,-1.4442740678787231
3,3.0,0.9580482443263975,-241.0,-185.10530152789465,-2.9276528358459473
4,4.0,0.9444591369948698,-122.0,-172.62682351321317,-2.8455610275268555
5,5.0,0.9310627797040227,-125.0,-164.7156333585573,0.2951214909553528
6,6.0,0.9178564384568926,-281.0,-181.44524397321678,-2.650780439376831
7,7.0,0.9048374180359595,-296.0,-195.80995069750102,0.13905735313892365
8,8.0,0.8920030614530944,-76.0,-182.5955886616643,1.7646863460540771
9,9.0,0.879350749407306,-107.0,-175.13329990073265,-0.6027771830558777
10,10.0,0.8668778997501816,-45.0,-163.3333439628329,2.212846517562866
11,11.0,0.8545819669589086,-139.0,-161.35541171871785,-0.9495500922203064
12,12.0,0.8424604416167714,-138.0,-159.5692232179603,2.508997678756714
13,13.0,0.8305108499010163,-186.0,-161.51181630521808,-5.52734899520874
14,14.0,0.8187307530779818,-256.0,-167.82241934839456,-4.762272834777832
15,15.0,0.8071177470053893,-134.0,-165.7519703608148,-0.8994210362434387
16,16.0,0.7956694616416928,-387.0,-178.7950293159285,-5.077491760253906
17,17.0,0.7843835605623898,-70.0,-172.75837090938722,1.0431193113327026
18,18.0,0.7732577404831906,-60.0,-166.83687869322551,3.813432455062866
19,19.0,0.7622897307899537,-198.0,-168.4156933129312,-0.8909983038902283
20,20.0,0.751477293075286,-82.0,-164.31222277504068,-2.8462727069854736
21,21.0,0.7408182206817179,-161.0,-164.16327638958606,5.431735038757324
22,22.0,0.7303103382513573,8.0,-156.65587117261495,2.1657874584198
23,23.0,0.7199515012819313,-179.0,-157.62575392270475,4.132989883422852
24,24.0,0.7097395956891255,-253.0,-161.45818811172992,2.1531870365142822
25,25.0,0.6996725373751304,-175.0,-162.01102538131462,-13.680166244506836
26,26.0,0.6897482718033084,-127.0,-160.72560733693814,5.275798320770264
27,27.0,0.6799647735788938,-90.0,-158.2325552598055,17.894439697265625
28,28.0,0.6703200460356393,-71.0,-155.2495955567848,16.057477951049805
29,29.0,0.6608121208283264,-106.0,-153.6085895294323,11.22599983215332
30,30.0,0.6514390575310556,-191.0,-154.84014192891266,-0.011411133222281933
31,31.0,0.6421989432412342,-148.0,-154.65680362283422,2.6087310314178467
32,32.0,0.6330898921891813,-76.0,-152.2849081846068,11.837831497192383
33,33.0,0.6241100453532709,-132.0,-151.69962321752686,3.8073673248291016
34,34.0,0.6152575700805322,-68.0,-149.32724537192138,4.279725551605225
35,35.0,0.6065306597126334,-71.0,-147.1618021058902,19.33556365966797
36,36.0,0.5979275332171694,-36.0,-144.17343140853288,19.855789184570312
37,37.0,0.5894464348241792,-82.0,-142.55419426575457,17.102455139160156
38,38.0,0.5810856336678201,-72.0,-140.75760510471736,18.926925659179688
39,39.0,0.5728434234331229,-53.0,-138.56934019349313,18.698345184326172
40,40.0,0.5647181220077593,-93.0,-137.47167145339694,17.658287048339844
41,41.0,0.5567080711387471,-61.0,-135.6599122947995,19.464397430419922
42,42.0,0.5488116360940265,-91.0,-134.6401360896999,26.8858642578125
43,43.0,0.541027205328834,51.0,-130.4078243855612,-17.077117919921875
44,44.0,0.5333531901568119,-62.0,-128.89502731313698,21.06935691833496
45,45.0,0.5257880244257798,-67.0,-127.56172582041627,25.809541702270508
46,46.0,0.5183301641981067,1.0,-124.81354014163055,-14.268037796020508
47,47.0,0.5109780874356169,-50.0,-123.26469437753089,25.075761795043945
48,48.0,0.5037302936889633,-38.0,-121.54085244532065,23.283180236816406
49,49.0,0.4965853037914095,-113.0,-121.38249411997005,18.08869171142578
50,50.0,0.4895416595569531,-55.0,-120.100048153667,17.888864517211914
51,51.0,0.48259792348273184,-37.0,-118.5108883663692,14.366724014282227
52,52.0,0.4757526784556506,-183.0,-119.7371226595216,20.787431716918945
53,53.0,0.4690045274631699,-103.0,-119.43119972696245,11.791576385498047
54,54.0,0.4623520933081963,-6.0,-117.37303827240407,19.431896209716797
55,55.0,0.4557940183280172,-64.0,-116.4238115034654,9.723040580749512
56,56.0,0.44932896411722156,-189.0,-117.70290156350008,10.757882118225098
57,57.0,0.4429556112545522,-147.0,-118.21216196074893,8.697206497192383
58,58.0,0.4366726590336306,3.0,-116.14698603829414,35.7874870300293
59,59.0,0.43047882519750297,-134.0,-116.4550844437719,24.274627685546875
60,60.0,0.42437284567695,-139.0,-116.83294385433769,34.650543212890625
61,61.0,0.4183534743325094,-129.0,-117.03832537190695,26.32426643371582
62,62.0,0.4124194827001579,-11.0,-115.36832280554589,27.605852127075195
63,63.0,0.4065696597405991,-193.0,-116.586282811199,29.912803649902344
64,64.0,0.40080281159210923,1.0,-114.77110422202783,29.965469360351562
65,65.0,0.3951177613268873,-6.0,-113.13430032053208,27.568443298339844
66,66.0,0.3895133487108618,-94.0,-112.84997756742273,44.940399169921875
67,67.0,0.38398842996690413,-327.0,-116.00712462284847,32.399574279785156
68,68.0,0.37854187754140095,-27.0,-114.72570906283393,41.6014404296875
69,69.0,0.37317257987413693,12.0,-112.91328163832416,36.41746520996094
70,70.0,0.36787944117144233,4.0,-111.26111478124466,35.14773178100586
71,71.0,0.3626613811825573,99.0,-108.32850842477946,34.09905242919922
72,72.0,0.35751733497916927,47.0,-106.19278828125275,33.316551208496094
73,73.0,0.3524462527380765,0.0,-104.75003912654738,52.630760192871094
74,74.0,0.3474470995269354,94.0,-102.08714346049418,25.031274795532227
75,75.0,0.34251885509304564,113.0,-99.2527137978917,26.93768310546875
76,76.0,0.337660513655132,-9.0,-98.08650340217794,63.496116638183594
77,77.0,0.33287108369807955,83.0,-95.75323975526815,29.74604606628418
78,78.0,0.32814958777058006,-25.0,-94.86067355599606,58.101261138916016
79,79.0,0.3234950622856487,-106.0,-95.00683182482113,35.615501403808594
80,80.0,0.31890655732397044,57.0,-93.12796328718159,27.88306427001953
81,81.0,0.3143831364400353,6.0,-91.91302923824703,54.18227005004883
82,82.0,0.3099238764710244,-64.0,-91.57929918787227,56.09911346435547
83,83.0,0.3055278673484055,142.0,-88.7956332645316,24.03300666809082
84,84.0,0.30119421191220214,11.0,-87.62149078013327,62.353782653808594
85,85.0,0.2969220257278962,123.0,-85.17168447100659,20.671497344970703
86,86.0,0.2927104369059283,97.0,-83.07322042230062,25.089563369750977
87,87.0,0.2885585859237581,162.0,-80.27699954259266,26.944149017333984
88,88.0,0.28446562545044835,129.0,-77.91937360449357,26.22382354736328
89,89.0,0.2804307201737374,154.0,-75.33642631788923,21.56751251220703
90,90.0,0.2764530466295643,114.0,-73.25188786197434,27.27833366394043
91,91.0,0.2725317930340126,112.0,-71.23188518109299,26.831581115722656
92,92.0,0.26866615911763636,90.0,-69.49159436331426,23.772872924804688
93,93.0,0.26485535596213783,241.0,-66.18784995765533,36.89940643310547
94,94.0,0.2610986058393609,258.0,-62.76787209362709,23.76795768737793
95,95.0,0.257395142052568,161.0,-60.43647000466931,27.585222244262695
96,96.0,0.2537442087799692,118.0,-58.5906772568055,25.376358032226562
97,97.0,0.2501450609204698,241.0,-55.529711046906286,40.186859130859375
98,98.0,0.2465969639416065,82.0,-54.13282542911243,25.2844295501709
99,99.0,0.2430991937296403,167.0,-51.918306307882254,29.13157844543457
100,100.0,0.2396510364417758,-37.0,-50.09689541476611,98.61268615722656
101,101.0,0.23625178836047603,79.0,-47.36960447207314,31.55989646911621
102,102.0,0.2329007557498447,116.0,-45.34509296211364,33.92462158203125
103,103.0,0.22959725471404477,145.0,-41.47310765936623,35.33400344848633
104,104.0,0.22634061105772565,262.0,-37.62339382465324,40.796417236328125
105,105.0,0.22313016014842982,-4.0,-36.41454833626084,96.95967864990234
106,106.0,0.2199652467809513,227.0,-31.325404939727008,55.71303939819336
107,107.0,0.21684522504361808,-105.0,-29.41225482016396,76.14490509033203
108,108.0,0.21376945818647108,230.0,-26.336388466543795,44.58595657348633
109,109.0,0.21073731849131314,189.0,-23.360423968912325,61.25914764404297
110,110.0,0.20774818714360085,243.0,-20.468875299280143,55.863948822021484
111,111.0,0.20480145410615389,41.0,-18.662607011684205,86.85643768310547
112,112.0,0.20189651799465538,249.0,-14.790304439804482,67.8532485961914
113,113.0,0.19903278595491863,224.0,-10.675644326211664,35.33121109008789
114,114.0,0.19620967354189398,201.0,-6.098851057617947,52.275794982910156
115,115.0,0.19342660460039254,76.0,-3.98756454597712,30.034114837646484
116,116.0,0.19068301114750144,91.0,0.8008239304231114,31.93842887878418
117,117.0,0.1879783332566671,268.0,4.191540204938876,52.635772705078125
118,118.0,0.18531201894342234,124.0,6.036400148315414,34.008079528808594
119,119.0,0.18268352405273466,227.0,10.2931125926091,35.53620910644531
120,120.0,0.1800923121479524,214.0,13.264646991831585,32.608482360839844
121,121.0,0.17753785440132586,188.0,16.75725817485027,42.61695861816406
122,122.0,0.17501962948608163,306.0,19.74130732300917,45.0473747253418
123,123.0,0.17253712347002734,145.0,22.99864380451085,38.512611389160156
124,124.0,0.17008982971066583,-81.0,24.720648520845746,45.95604705810547
125,125.0,0.16767724875179707,124.0,27.719210608175498,30.943403244018555
126,126.0,0.16529888822158653,25.0,29.251047566083937,96.49470520019531
127,127.0,0.1629542627320793,144.0,31.60056461680705,39.838111877441406
128,128.0,0.16064289378013982,0.0,32.32317684836938,103.48432159423828
129,129.0,0.15836430964979642,231.0,35.700086658770175,41.45893478393555
130,130.0,0.15611804531597107,-98.0,36.63214575426477,65.25977325439453
131,131.0,0.1539036423495749,221.0,40.33740754166205,49.90458679199219
132,132.0,0.15172064882394942,259.0,43.6998706835103,55.43798828125
133,133.0,0.14956861922263506,103.0,46.05999211558033,39.9473876953125
134,134.0,0.147447114348448,208.0,48.828356652305324,42.793331146240234
135,135.0,0.1453557012338466,230.0,51.844080290609625,38.629608154296875
136,136.0,0.14329395305256898,234.0,54.55684374493738,48.918949127197266
137,137.0,0.14126144903252422,13.0,55.515216297927914,100.56906127929688
138,138.0,0.13925777436991912,226.0,58.50028151928371,41.259300231933594
139,139.0,0.13728252014460293,251.0,61.547445761217325,44.2773551940918
140,140.0,0.1353352832366127,127.0,63.76017069873433,37.16603469848633
141,141.0,0.1334156662439026,229.0,66.67171696946528,48.86284637451172
142,142.0,0.13152327740124015,269.0,70.28183652867624,52.649513244628906
143,143.0,0.12965773050025253,225.0,72.02421289461215,47.080867767333984
144,144.0,0.12781864481060753,276.0,75.41318431386888,44.194541931152344
145,145.0,0.12600564500231182,259.0,78.68723890082173,56.78379440307617
146,146.0,0.1242183610691121,-63.0,78.03157515328412,105.44857025146484
147,147.0,0.1224564282529819,302.0,81.55947386165386,74.50978088378906
148,148.0,0.12071948696968016,100.0,82.95180513900526,46.75358581542969
149,149.0,0.11900718273536538,223.0,86.3254337762382,48.84260177612305
150,150.0,0.11731916609425078,-10.0,86.78048018750167,68.63532257080078
151,151.0,0.11565509254728551,262.0,89.78046570312628,58.91818618774414
152,152.0,0.11401462248184759,-14.0,91.46954116650188,79.34849548339844
153,153.0,0.11239742110243399,216.0,94.6702066187224,53.21611785888672
154,154.0,0.11080315836233387,20.0,94.93417086646473,64.05020141601562
155,155.0,0.10923150889627105,-3.0,95.54137320612867,76.0220718383789
156,156.0,0.10768215195400163,0.0,97.43435654204055,85.22735595703125
157,157.0,0.10615477133485376,169.0,100.59784038510054,51.02653503417969
158,158.0,0.10464905532319577,230.0,102.86602163096151,55.93436813354492
159,159.0,0.10316469662481963,69.0,104.90630421851237,53.97429275512695
160,160.0,0.10170139230422684,216.0,108.46975034283307,49.23042678833008
161,161.0,0.10025884372280375,272.0,112.4900154980396,65.99609375
162,162.0,0.09883675647787384,232.0,114.93388278524642,51.915802001953125
163,163.0,0.09743484034261468,282.0,119.6917501973141,70.54551696777344
164,164.0,0.09605280920682677,292.0,122.60757679387281,67.23306274414062
165,165.0,0.09469038101854274,247.0,125.1474275971614,51.148719787597656
166,166.0,0.09334727772646485,248.0,128.56855971534458,50.44379806518555
167,167.0,0.09202322522321882,236.0,134.20407955875356,40.532981872558594
168,168.0,0.09071795328941251,253.0,137.01079668073865,65.27581787109375
169,169.0,0.0894311955384883,212.0,139.0130474289073,48.8744010925293
170,170.0,0.08816268936235745,237.0,141.3448530014366,55.81442642211914
171,171.0,0.08691217587780577,151.0,141.85726123990744,46.16541290283203
172,172.0,0.08567939987365944,205.0,143.4392366963801,51.77326583862305
173,173.0,0.0844641097587001,196.0,145.39712500668986,51.235755920410156
174,174.0,0.0832660575103189,238.0,146.8368429510197,49.372493743896484
175,175.0,0.0820849986238988,245.0,148.1614298097087,65.75580596923828
176,176.0,0.08092069206291477,251.0,150.76621272877222,59.997318267822266
177,177.0,0.07977290020974187,243.0,152.35743540433413,57.365970611572266
178,178.0,0.078641388817161,284.0,155.45402210264527,69.44631958007812
179,179.0,0.07752592696055255,248.0,159.0001276703605,54.12684631347656
180,180.0,0.07642628699076807,-72.0,157.7065151788169,73.17736053466797
181,181.0,0.07534224448767067,241.0,160.05504281626807,61.91374588012695
182,182.0,0.07427357821433388,248.0,163.17733389938087,56.93812561035156
183,183.0,0.07322007007189076,289.0,164.64895537915035,64.64878845214844
184,184.0,0.07218150505502309,259.0,167.12923046300787,81.58711242675781
185,185.0,0.07115767120808195,287.0,168.7706794325996,73.6793441772461
186,186.0,0.07014835958183076,245.0,170.2561955796061,57.46352005004883
187,187.0,0.06915336419080186,253.0,171.1610617761665,66.19522857666016
188,188.0,0.06817248197125796,-5.0,169.81540195040702,102.2482681274414
189,189.0,0.06720551273974976,242.0,170.69468107848104,57.81831359863281
190,190.0,0.06625225915226167,242.0,171.97804287182177,71.12432861328125
191,191.0,0.06531252666393665,278.0,173.63247298642963,73.09202575683594
192,192.0,0.0643861234893726,34.0,173.07287332103564,92.08566284179688
193,193.0,0.0634728605634818,273.0,173.39751461354444,59.44816970825195
194,194.0,0.06257255150290554,296.0,173.77998255539427,74.64073181152344
195,195.0,0.061685012567976046,-14.0,172.02030941432363,96.71021270751953
196,196.0,0.06081006262521797,246.0,173.30184971679708,64.83351135253906
197,197.0,0.05994752311038171,269.0,173.58069962443454,74.65028381347656
198,198.0,0.0590972179920012,254.0,175.29866410679927,61.69184494018555
199,199.0,0.058258973735468345,227.0,175.90216779061853,65.02297973632812
200,200.0,0.05743261926761735,279.0,179.07553492500594,62.87075424194336
201,201.0,0.05661798594181114,246.0,180.74623187651605,75.66682434082031
202,202.0,0.05581490750352316,228.0,181.86523945964967,66.39949035644531
203,203.0,0.05502322005640723,279.0,183.20753861749,65.91442108154297
204,204.0,0.054242762028848826,277.0,183.36057363168095,65.38333129882812
205,205.0,0.05347337414099063,269.0,186.09505125643247,79.66867065429688
206,206.0,0.052714899372225954,276.0,186.58424929475024,79.5359115600586
207,207.0,0.05196718292915318,264.0,190.27475623066812,66.68180084228516
208,208.0,0.051230072213984644,260.0,190.57276321812657,69.41207122802734
209,209.0,0.050503416793403796,272.0,191.39951784704164,70.07745361328125
210,210.0,0.05,246.0,191.4264920834616,75.70724487304688
211,211.0,0.05,41.0,191.4282120405311,69.6310806274414
212,212.0,0.05,5.0,188.99477084948975,89.57538604736328
213,213.0,0.05,244.0,189.1946703081956,67.42742156982422
214,214.0,0.05,239.0,189.57193400653478,75.2052993774414
215,215.0,0.05,264.0,191.45285273586944,68.09031677246094
216,216.0,0.05,226.0,192.80646256652184,66.20404052734375
217,217.0,0.05,-370.0,186.41014421278632,103.74772644042969
218,218.0,0.05,-186.0,183.3070223545139,71.81419372558594
219,219.0,0.05,-509.0,175.93522511745616,91.58346557617188
220,220.0,0.05,223.0,176.022562871661,72.47154998779297
221,221.0,0.05,8.0,174.2212419509666,89.56746673583984
222,222.0,0.05,253.0,173.68274596728105,78.70803833007812
223,223.0,0.05,3.0,172.2618589324537,80.75274658203125
224,224.0,0.05,229.0,175.36567821277725,80.56603240966797
225,225.0,0.05,9.0,174.22349903997917,80.1758804321289
226,226.0,0.05,242.0,176.38891467466695,73.00404357910156
227,227.0,0.05,220.0,177.15779194401318,72.25387573242188
228,228.0,0.05,44.0,177.597568068027,75.16026306152344
229,229.0,0.05,107.0,176.35737226541536,57.275184631347656
230,230.0,0.05,218.0,179.52730016464352,77.03692626953125
231,231.0,0.05,205.0,179.37068679515417,65.03182220458984
232,232.0,0.05,34.0,177.11443415414666,83.7386703491211
233,233.0,0.05,269.0,178.7752319506481,74.770751953125
234,234.0,0.05,249.0,179.1874521857527,74.25527954101562
235,235.0,0.05,273.0,179.61716926899922,78.41226196289062
236,236.0,0.05,257.0,179.84976426460474,72.7988052368164
237,237.0,0.05,240.0,182.12022757921451,76.1112289428711
238,238.0,0.05,222.0,182.0821934866996,74.36495208740234
239,239.0,0.05,246.0,182.02836346292042,74.50739288330078
240,240.0,0.05,265.0,183.40835854620593,73.72622680664062
241,241.0,0.05,256.0,183.67220748091935,71.79474639892578
242,242.0,0.05,244.0,183.4255903788105,72.81206512451172
243,243.0,0.05,100.0,182.17671981409674,57.921363830566406
244,244.0,0.05,245.0,181.86702471630562,70.71429443359375
245,245.0,0.05,256.0,181.8379489494876,71.07513427734375
246,246.0,0.05,264.0,185.12336694499302,72.03466796875
247,247.0,0.05,248.0,184.58515914360598,66.45220184326172
248,248.0,0.05,223.0,185.82043406606763,69.43583679199219
249,249.0,0.05,16.0,183.75020718481565,64.85639953613281
250,250.0,0.05,273.0,186.59222052717348,63.162174224853516
251,251.0,0.05,268.0,186.65294185430372,65.92337036132812
252,252.0,0.05,227.0,189.07703722711105,61.745025634765625
253,253.0,0.05,252.0,189.43543151882258,64.3088607788086
254,254.0,0.05,239.0,191.62968653277986,58.92472839355469
255,255.0,0.05,241.0,194.0791482870003,66.1845474243164
256,256.0,0.05,238.0,196.4622670320772,63.93986511230469
257,257.0,0.05,251.0,197.28185967219312,67.26176452636719
258,258.0,0.05,229.0,197.27634850294476,58.83620834350586
259,259.0,0.05,251.0,199.09584744159454,60.927181243896484
260,260.0,0.05,229.0,199.22419493730285,62.757144927978516
261,261.0,0.05,247.0,198.9786735060467,62.162471771240234
262,262.0,0.05,263.0,199.28691574203165,62.19486999511719
263,263.0,0.05,-356.0,192.90137330144793,63.09312057495117
264,264.0,0.05,240.0,192.3815411037145,65.47251892089844
265,265.0,0.05,268.0,192.58935776770718,54.600563049316406
266,266.0,0.05,271.0,192.82205381289498,69.49553680419922
267,267.0,0.05,258.0,193.04553890331874,65.08064270019531
268,268.0,0.05,274.0,193.25680303965873,66.80335235595703
269,269.0,0.05,251.0,193.64952944201534,62.81810760498047
270,270.0,0.05,251.0,193.7856719076404,67.62987518310547
271,271.0,0.05,111.0,193.39184322590185,51.124507904052734
272,272.0,0.05,262.0,193.95511743702653,61.62174987792969
273,273.0,0.05,240.0,194.3991364730101,65.40608215332031
274,274.0,0.05,263.0,194.64876911146396,67.38935089111328
275,275.0,0.05,248.0,194.6748200431347,75.57076263427734
276,276.0,0.05,273.0,194.90288290702867,71.8902816772461
277,277.0,0.05,241.0,194.89175936592505,59.308963775634766
278,278.0,0.05,266.0,194.71149173571905,75.8923110961914
279,279.0,0.05,271.0,194.9501915746748,75.26091003417969
280,280.0,0.05,86.0,196.53212886884776,53.875858306884766
281,281.0,0.05,289.0,197.01637650259173,76.63164520263672
282,282.0,0.05,257.0,197.10810838374758,71.79460144042969
283,283.0,0.05,283.0,197.04877725180464,67.85435485839844
284,284.0,0.05,270.0,197.16190559797502,79.01721954345703
285,285.0,0.05,264.0,196.9303934203032,71.31949615478516
286,286.0,0.05,258.0,197.05800021901595,80.99835968017578
287,287.0,0.05,270.0,197.2314522224532,61.565345764160156
288,288.0,0.05,261.0,199.8949245740761,80.78693389892578
289,289.0,0.05,212.0,199.59802134927298,51.00663375854492
290,290.0,0.05,276.0,199.93613307771722,79.0712890625
291,291.0,0.05,246.0,199.6224658243585,77.19506072998047
292,292.0,0.05,289.0,202.1744312451102,81.10508728027344
293,293.0,0.0,250.0,201.94431021334537,66.50487518310547
294,294.0,0.0,263.0,201.611345915093,82.207763671875
295,295.0,0.0,266.0,204.42759133182852,66.5030746459961
296,296.0,0.0,114.0,203.10198671422566,50.87870407104492
297,297.0,0.0,244.0,202.85619477020325,78.22502136230469
298,298.0,0.0,247.0,202.78575399505058,83.45988464355469
299,299.0,0.0,293.0,203.44280491570947,83.71360778808594
300,300.0,0.0,251.0,203.1640266546574,77.84809112548828
301,301.0,0.0,257.0,203.26672848574614,81.73466491699219
302,302.0,0.0,280.0,203.7895285693338,81.74231719970703
303,303.0,0.0,259.0,203.58354135045104,63.25212860107422
304,304.0,0.0,249.0,203.30091308377794,83.24703216552734
305,305.0,0.0,277.0,203.3888714834018,82.04296875
306,306.0,0.0,262.0,203.25861605072998,71.3858642578125
307,307.0,0.0,280.0,203.41882237453922,67.9354248046875
308,308.0,0.0,256.0,203.37388659454007,82.78582000732422
309,309.0,0.0,264.0,203.29287983268762,71.3077392578125
310,310.0,0.0,267.0,203.50067675849775,64.19373321533203
311,311.0,0.0,270.0,205.7974988984038,79.6084976196289
312,312.0,0.0,246.0,208.204940930706,71.84214782714844
313,313.0,0.0,245.0,208.21750201923984,65.53179931640625
314,314.0,0.0,259.0,208.42389424538,74.29972076416016
315,315.0,0.0,256.0,208.3432289372613,66.84571075439453
316,316.0,0.0,253.0,208.6072255584442,81.49542236328125
317,317.0,0.0,243.0,214.74470977622332,81.79085540771484
318,318.0,0.0,278.0,219.38932888072915,84.33623504638672
319,319.0,0.0,259.0,227.08780315278895,72.75975036621094
320,320.0,0.0,271.0,227.56207118565501,69.7217025756836
321,321.0,0.0,258.0,230.065675449287,82.84335327148438
322,322.0,0.0,257.0,230.11021729300126,80.56033325195312
323,323.0,0.0,285.0,232.93113394679807,69.58537292480469
324,324.0,0.0,269.0,233.33470279633306,59.7563362121582
325,325.0,0.0,89.0,234.12692758982277,76.768310546875
326,326.0,0.0,263.0,234.34086102329212,82.51471710205078
327,327.0,0.0,276.0,234.8980636231857,82.87151336669922
328,328.0,0.0,261.0,237.06892335504094,65.1600112915039
329,329.0,0.0,281.0,238.81203381133403,80.73915100097656
330,330.0,0.0,260.0,239.23524856967387,85.17993927001953
331,331.0,0.0,270.0,239.88437684951577,66.58796691894531
332,332.0,0.0,265.0,242.19573037350776,84.4254150390625
333,333.0,0.0,262.0,242.12499323022894,83.02030181884766
334,334.0,0.0,238.0,242.01394016034843,67.76734161376953
335,335.0,0.0,239.0,241.67734610582542,71.5330581665039
336,336.0,0.0,288.0,241.97938926398652,82.385498046875
337,337.0,0.0,257.0,242.1540415995665,68.49737548828125
338,338.0,0.0,272.0,242.65934071105912,81.4737548828125
339,339.0,0.0,228.0,242.48294392099305,78.38616180419922
340,340.0,0.0,242.0,242.25221613484652,82.95808410644531
341,341.0,0.0,262.0,242.31646188607613,82.46117401123047
342,342.0,0.0,264.0,242.51246206071005,77.1362533569336
343,343.0,0.0,251.0,244.01387097245916,70.22459411621094
344,344.0,0.0,239.0,243.957857689718,82.68496704101562
345,345.0,0.0,287.0,244.26612915421686,61.190574645996094
346,346.0,0.0,262.0,244.24674969294782,84.79387664794922
347,347.0,0.0,243.0,244.2014757026817,73.9293441772461
348,348.0,0.0,238.0,244.34564676772976,83.11261749267578
349,349.0,0.0,279.0,246.97353360373538,81.76763916015625
350,350.0,0.0,262.0,246.86561660835977,69.88426971435547
351,351.0,0.0,253.0,246.71210798188315,76.84905242919922
352,352.0,0.0,272.0,247.15823893359223,82.23190307617188
353,353.0,0.0,103.0,245.66231032880216,61.5172233581543
354,354.0,0.0,251.0,245.78114460669426,76.8636474609375
355,355.0,0.0,260.0,245.97648495491396,80.3711929321289
356,356.0,0.0,257.0,246.16476557922348,82.50247955322266
357,357.0,0.0,275.0,246.40640361637463,67.67147827148438
358,358.0,0.0,247.0,246.58206513764276,82.24211883544922
359,359.0,0.0,241.0,246.47942122842215,82.96475219726562
360,360.0,0.0,253.0,246.7147367689528,70.45523834228516
361,361.0,0.0,119.0,245.4330644002505,51.17360305786133
362,362.0,0.0,248.0,245.2832347232245,82.99263763427734
363,363.0,0.0,247.0,251.3230882865971,80.91531372070312
364,364.0,0.0,259.0,251.50980729999284,77.72412872314453
365,365.0,0.0,248.0,251.31676920471406,77.27520751953125
366,366.0,0.0,282.0,251.43174093038576,68.68597412109375
367,367.0,0.0,233.0,251.18200112967105,80.80963897705078
368,368.0,0.0,267.0,251.11614080799572,62.538719177246094
369,369.0,0.0,294.0,251.54259186351103,82.17793273925781
370,370.0,0.0,242.0,251.45610793548997,83.2060546875
371,371.0,0.0,259.0,252.9293863579232,74.41801452636719
372,372.0,0.0,262.0,252.93534137613347,70.97119903564453
373,373.0,0.0,254.0,253.07064950640589,77.18412780761719
374,374.0,0.0,272.0,253.15501799023554,66.5240478515625
375,375.0,0.0,104.0,251.71208303484045,51.1197395324707
376,376.0,0.0,271.0,251.68572954517188,82.01374053955078
377,377.0,0.0,273.0,251.9974060109543,83.34734344482422
378,378.0,0.0,253.0,251.87274595971655,85.15606689453125
379,379.0,0.0,244.0,251.59927202039734,81.14076232910156
380,380.0,0.0,302.0,253.76608178221215,80.81732177734375
381,381.0,0.0,226.0,253.12887334574305,79.72097778320312
382,382.0,0.0,281.0,253.37263279428052,71.98941802978516
383,383.0,0.0,267.0,253.21396351102777,67.05611419677734
384,384.0,0.0,277.0,253.28892705632393,79.24177551269531
385,385.0,0.0,266.0,253.31753276040035,69.53266906738281
386,386.0,0.0,31.0,251.0413186238694,84.80255889892578
387,387.0,0.0,273.0,251.06716875457204,83.85123443603516
388,388.0,0.0,284.0,251.29801256519914,81.41077423095703
389,389.0,0.0,259.0,251.76516374657845,78.16703033447266
390,390.0,0.0,267.0,251.6708825020608,75.59789276123047
391,391.0,0.0,264.0,251.85023310942512,83.47273254394531
392,392.0,0.0,272.0,251.67709168170185,66.39691162109375
393,393.0,0.0,284.0,252.01656324751093,84.11265563964844
394,394.0,0.0,236.0,251.74569486179607,83.14825439453125
395,395.0,0.0,274.0,251.8240392820328,66.51847839355469
396,396.0,0.0,279.0,253.47352230285838,76.2366943359375
397,397.0,0.0,270.0,253.72740140986417,66.9245834350586
398,398.0,0.0,252.0,253.77835256763808,82.19823455810547
399,399.0,0.0,264.0,253.4869444991897,81.01644897460938
400,400.0,0.0,302.0,253.99038430950787,82.29592895507812
401,401.0,0.0,249.0,253.91313137601756,83.29440307617188
402,402.0,0.0,259.0,253.70560708952627,81.46135711669922
403,403.0,0.0,235.0,253.47057337296047,83.06066131591797
404,404.0,0.0,296.0,253.9439932611575,82.92900085449219
405,405.0,0.0,277.0,253.93749273261577,65.7018814086914
406,406.0,0.0,272.0,254.0295353823211,67.61646270751953
407,407.0,0.0,238.0,253.61671878441254,81.6741714477539
408,408.0,0.0,263.0,253.69047511820827,70.84107208251953
409,409.0,0.0,281.0,253.85988160925686,69.16114807128906
410,410.0,0.0,286.0,254.04886753407231,59.58035659790039
411,411.0,0.0,249.0,253.83257088876002,82.7532730102539
412,412.0,0.0,290.0,254.27133825634533,80.91290283203125
413,413.0,0.0,288.0,254.6930960279334,82.34390258789062
414,414.0,0.0,305.0,255.14936646452645,81.1951904296875
