episode,epsilon,score,average,avg_q_values
0.0,1.0,-127.0,-127.92156010536023,-0.5533556938171387
1.0,0.9858158423524046,-150.0,-139.34476165616067,-0.22808730602264404
2.0,0.9718328750329811,-273.0,-183.99750777092208,1.3177242279052734
3.0,0.9580482443263975,-226.0,-194.70275220499352,4.994858264923096
4.0,0.9444591369948698,-76.0,-171.1419329244987,3.857668161392212
5.0,0.9310627797040227,-137.0,-165.4557556316865,4.876887321472168
6.0,0.9178564384568926,-217.0,-172.88847172122254,7.764552116394043
7.0,0.9048374180359595,-165.0,-171.98771153108302,4.53580904006958
8.0,0.8920030614530944,-66.0,-160.23546575454554,-0.9548638463020325
9.0,0.879350749407306,-115.0,-155.72267551025686,0.2859736680984497
10.0,0.8668778997501816,-124.0,-152.87464878191005,2.406686544418335
11.0,0.8545819669589086,-235.0,-159.79176426258473,4.079797744750977
12.0,0.8424604416167714,-248.0,-166.57719608894124,6.764870643615723
13.0,0.8305108499010163,-173.0,-167.06064320247472,5.396147727966309
14.0,0.8187307530779818,-68.0,-160.47976998167613,8.672126770019531
15.0,0.8071177470053893,-167.0,-160.92248475960642,-0.8581896424293518
16.0,0.7956694616416928,-327.0,-170.74141295051288,0.5368618369102478
17.0,0.7843835605623898,-77.0,-165.54025597910675,-2.5644469261169434
18.0,0.7732577404831906,-82.0,-161.17684551459726,5.012548446655273
19.0,0.7622897307899537,-169.0,-161.60031609911212,2.761871337890625
20.0,0.751477293075286,-77.0,-157.58761855530327,12.426103591918945
21.0,0.7408182206817179,-173.0,-158.3251905477572,-7.5614118576049805
22.0,0.7303103382513573,-56.0,-153.87641966041605,12.311188697814941
23.0,0.7199515012819313,-183.0,-155.12747381142447,-0.3173081576824188
24.0,0.7097395956891255,-92.0,-152.6241319930051,2.9009876251220703
25.0,0.6996725373751304,-91.0,-150.2830986542723,8.972843170166016
26.0,0.6897482718033084,-105.0,-148.6205206474379,2.935927152633667
27.0,0.6799647735788938,-142.0,-148.4002816203522,14.377511024475098
28.0,0.6703200460356393,-151.0,-148.50154984525028,3.5119569301605225
29.0,0.6608121208283264,-45.0,-145.08121273033132,11.163291931152344
30.0,0.6514390575310556,-134.0,-144.7470401098785,10.174891471862793
31.0,0.6421989432412342,-83.0,-142.83565810824538,11.713522911071777
32.0,0.6330898921891813,-103.0,-141.63868907524727,6.4318156242370605
33.0,0.6241100453532709,-64.0,-139.36260870385254,22.094562530517578
34.0,0.6152575700805322,-170.0,-140.26033890298822,20.553438186645508
35.0,0.6065306597126334,-101.0,-139.17843698036324,-2.1457626819610596
36.0,0.5979275332171694,-80.0,-137.5922290217772,14.152901649475098
37.0,0.5894464348241792,-77.0,-136.01249736009456,22.348648071289062
38.0,0.5810856336678201,-190.0,-137.401381957631,10.735764503479004
39.0,0.5728434234331229,9.0,-133.73196010657267,10.727398872375488
40.0,0.5647181220077593,-35.0,-131.3239987754682,17.06616973876953
41.0,0.5567080711387471,-29.0,-128.89570575726538,11.156293869018555
42.0,0.5488116360940264,-114.0,-128.5495246395445,19.72121810913086
43.0,0.541027205328834,-46.0,-126.67636192363375,23.083261489868164
44.0,0.5333531901568119,-20.0,-124.32607048497539,9.698768615722656
45.0,0.5257880244257798,-62.0,-122.97415290537454,-0.9875070452690125
46.0,0.5183301641981067,33.0,-119.65356997982263,-13.730408668518066
47.0,0.5109780874356169,-118.0,-119.62182012331942,20.58739471435547
48.0,0.5037302936889633,-6.0,-117.31471452954304,27.062206268310547
49.0,0.4965853037914095,-80.0,-116.57624513976066,17.03955078125
50.0,0.4895416595569531,29.0,-113.70265465326631,31.958629608154297
51.0,0.48259792348273184,-64.0,-112.75426360681023,27.910751342773438
52.0,0.4757526784556506,-79.0,-112.1273988332095,30.85655975341797
53.0,0.4690045274631699,0.0,-110.04747316308678,34.77841567993164
54.0,0.4623520933081963,-173.0,-111.20309371140286,30.819332122802734
55.0,0.4557940183280172,-35.0,-109.84977052336714,31.82579231262207
56.0,0.44932896411722156,-10.0,-108.11457005537393,36.78990936279297
57.0,0.4429556112545522,34.0,-105.65221145920309,47.172611236572266
58.0,0.4366726590336306,-136.0,-106.18223709187112,37.675960540771484
59.0,0.43047882519750297,-62.0,-105.45656840745507,39.13264083862305
60.0,0.42437284567695,-9.0,-103.88781071343311,48.550350189208984
61.0,0.4183534743325094,-95.0,-103.74788287820591,29.225814819335938
62.0,0.4124194827001579,-119.0,-103.99014540637332,29.461599349975586
63.0,0.4065696597405991,-250.0,-106.28513266106357,10.368865966796875
64.0,0.40080281159210923,-106.0,-106.28711410267734,40.839962005615234
65.0,0.3951177613268873,-55.0,-105.51321114098879,21.67568588256836
66.0,0.3895133487108618,-80.0,-105.1415192927229,48.2338981628418
67.0,0.38398842996690413,-207.0,-106.6407949535949,-0.2410169392824173
68.0,0.37854187754140095,50.0,-104.36187531054757,10.015446662902832
69.0,0.37317257987413693,-2.0,-102.91198898328396,20.912322998046875
70.0,0.36787944117144233,-66.0,-102.40170328104821,32.98479461669922
71.0,0.3626613811825573,-28.0,-101.37474559245128,64.37581634521484
72.0,0.35751733497916927,49.0,-99.30704999313814,24.45682716369629
73.0,0.3524462527380765,-63.0,-98.82193316027283,20.418170928955078
74.0,0.3474470995269354,29.0,-97.11435316897364,23.707347869873047
75.0,0.34251885509304564,70.0,-94.90652512887871,19.088642120361328
76.0,0.337660513655132,0.0,-93.66521388104366,60.840023040771484
77.0,0.33287108369807955,-1.0,-92.48497817536915,70.49601745605469
78.0,0.32814958777058006,97.0,-90.08592249519008,18.86550521850586
79.0,0.3234950622856487,54.0,-88.27555563944017,18.745738983154297
80.0,0.31890655732397044,-62.0,-87.95587736545438,67.00592041015625
81.0,0.3143831364400353,94.0,-85.72471464729529,26.98682975769043
82.0,0.3099238764710244,11.0,-84.54762891440213,77.50749969482422
83.0,0.3055278673484055,53.0,-82.8992994011028,21.19222640991211
84.0,0.30119421191220214,94.0,-80.81328978605984,19.627765655517578
85.0,0.2969220257278962,114.0,-78.5455107424495,24.19046401977539
86.0,0.2927104369059283,145.0,-75.97374517480903,20.630632400512695
87.0,0.2885585859237581,115.0,-73.80153605816538,22.865196228027344
88.0,0.28446562545044835,30.0,-72.63464311047554,81.4633560180664
89.0,0.2804307201737374,118.0,-70.51358700112637,24.284934997558594
90.0,0.2764530466295643,80.0,-68.85494689755986,23.43950653076172
91.0,0.2725317930340126,116.0,-66.83972350722955,28.482437133789062
92.0,0.26866615911763636,118.0,-64.84362837045161,24.769760131835938
93.0,0.26485535596213783,149.0,-62.566647746237415,24.623306274414062
94.0,0.2610986058393609,-25.0,-62.17578962035148,67.60189056396484
95.0,0.257395142052568,145.0,-60.01095652568743,23.355703353881836
96.0,0.2537442087799692,140.0,-57.93984169855978,32.90483856201172
97.0,0.2501450609204698,46.0,-56.86987497702247,84.16342163085938
98.0,0.2465969639416065,237.0,-53.897871718035546,28.235029220581055
99.0,0.2430991937296403,46.0,-52.89538093075111,93.41483306884766
100.0,0.2396510364417758,39.0,-51.2198073522376,111.95970916748047
101.0,0.23625178836047603,-358.0,-53.30145410478952,76.07095336914062
102.0,0.2329007557498447,-153.0,-52.106203464211056,119.68923950195312
103.0,0.22959725471404477,97.0,-48.862446753664834,29.45496368408203
104.0,0.22634061105772565,105.0,-47.03574739706613,30.530826568603516
105.0,0.22313016014842982,240.0,-43.257703787671645,48.99635696411133
106.0,0.2199652467809513,232.0,-38.755653644603676,42.97053146362305
107.0,0.21684522504361808,259.0,-34.50423293398541,31.524778366088867
108.0,0.21376945818647108,65.0,-33.18848622598292,37.82005310058594
109.0,0.21073731849131314,23.0,-31.798329132097194,85.93386840820312
110.0,0.20774818714360085,124.0,-29.311847441793144,29.294715881347656
111.0,0.20480145410615389,246.0,-24.483534203797376,50.85672378540039
112.0,0.20189651799465538,-182.0,-23.824517437612148,56.08616256713867
113.0,0.19903278595491863,-107.0,-23.166452439133643,65.32142639160156
114.0,0.19620967354189398,255.0,-19.927354331733927,34.65280532836914
115.0,0.19342660460039254,-111.0,-19.36500351715856,49.80711364746094
116.0,0.19068301114750144,226.0,-13.819711018210336,65.79851531982422
117.0,0.1879783332566671,153.0,-11.515565430216869,30.384057998657227
118.0,0.18531201894342234,168.0,-9.005792212731604,30.132877349853516
119.0,0.18268352405273466,13.0,-7.170333245084679,94.90144348144531
120.0,0.1800923121479524,260.0,-3.788546984628325,65.41071319580078
121.0,0.17753785440132586,154.0,-0.5096272261306599,33.24251174926758
122.0,0.17501962948608163,-40.0,-0.35108433670466066,85.68290710449219
123.0,0.17253712347002734,20.0,1.6941705628129808,32.504051208496094
124.0,0.17008982971066583,86.0,3.4869788921756837,32.344757080078125
125.0,0.16767724875179707,198.0,6.3919195541288785,51.85497283935547
126.0,0.16529888822158653,221.0,9.663800193815277,37.81993103027344
127.0,0.1629542627320793,263.0,13.723467458254094,50.50484085083008
128.0,0.16064289378013982,263.0,17.876137310940944,51.54509735107422
129.0,0.15836430964979642,131.0,19.650426511134246,31.657264709472656
130.0,0.15611804531597107,270.0,23.698404454222167,71.36959075927734
131.0,0.1539036423495749,142.0,25.96123187010464,48.595394134521484
132.0,0.15172064882394942,116.0,28.16007983704772,33.7354850769043
133.0,0.14956861922263506,256.0,31.36712307042851,47.516902923583984
134.0,0.147447114348448,283.0,35.91317909529495,48.460636138916016
135.0,0.1453557012338466,237.0,39.29760310085337,42.23504638671875
136.0,0.14329395305256898,-349.0,36.61184131180713,66.91350555419922
137.0,0.14126144903252422,283.0,40.22117915610773,64.50379180908203
138.0,0.13925777436991912,206.0,44.18789996191975,78.37543487548828
139.0,0.13728252014460293,232.0,46.42366052296109,49.871456146240234
140.0,0.1353352832366127,207.0,48.84571101496255,82.91487884521484
141.0,0.1334156662439026,-11.0,49.01959153787129,104.11714935302734
142.0,0.13152327740124015,279.0,52.949976585414596,44.58671951293945
143.0,0.12965773050025253,297.0,56.38140654375481,69.24767303466797
144.0,0.12781864481060753,288.0,59.47818328381052,80.3377685546875
145.0,0.12600564500231182,5.0,60.153258487834925,99.43384552001953
146.0,0.1242183610691121,284.0,62.66668214923818,68.9697036743164
147.0,0.1224564282529819,-1.0,63.82941765528284,111.78253173828125
148.0,0.12071948696968016,32.0,64.22487912392309,103.45529174804688
149.0,0.11900718273536538,-200.0,63.0213123822028,71.84606170654297
150.0,0.11731916609425078,199.0,64.72050381277619,70.82022857666016
151.0,0.11565509254728551,9.0,65.45974071030365,102.53712463378906
152.0,0.11401462248184759,197.0,68.23301493049995,65.66059112548828
153.0,0.11239742110243399,-5.0,68.18089984807563,39.53737258911133
154.0,0.11080315836233387,212.0,72.04276344927412,70.34557342529297
155.0,0.10923150889627105,243.0,74.82863695474319,69.35812377929688
156.0,0.10768215195400163,211.0,77.05444401379704,78.04528045654297
157.0,0.10615477133485376,244.0,79.14934832903556,89.60100555419922
158.0,0.10464905532319577,63.0,81.15641906244169,53.5643196105957
159.0,0.10316469662481963,-40.0,81.37371597029487,55.79343795776367
160.0,0.10170139230422684,-41.0,81.05293140759268,43.30531311035156
161.0,0.10025884372280375,132.0,83.32975311941301,39.141334533691406
162.0,0.09883675647787384,157.0,86.090741566112,43.79877471923828
163.0,0.09743484034261468,212.0,90.72769733425535,48.621212005615234
164.0,0.09605280920682677,266.0,94.4528494979862,58.632747650146484
165.0,0.09469038101854274,-156.0,93.43955620122942,99.69662475585938
166.0,0.09334727772646485,-181.0,92.43200478223525,94.10675048828125
167.0,0.09202322522321882,-127.0,93.22681203114615,95.56172180175781
168.0,0.09071795328941251,197.0,94.69676875165018,57.006805419921875
169.0,0.0894311955384883,200.0,96.7347070652616,40.70172119140625
170.0,0.08816268936235745,229.0,99.69868866639898,43.83958435058594
171.0,0.08691217587780577,229.0,102.2770276589203,60.662445068359375
172.0,0.08567939987365944,242.0,104.20864451128976,66.46562194824219
173.0,0.0844641097587001,-301.0,101.82847749344938,47.45697784423828
174.0,0.0832660575103189,279.0,104.32797310306906,77.7267837524414
175.0,0.0820849986238988,239.0,106.0148660296174,62.37016296386719
176.0,0.08092069206291477,264.0,108.65456428516389,62.85393142700195
177.0,0.07977290020974187,228.0,110.95911945243829,53.44229507446289
178.0,0.078641388817161,243.0,112.42358201793382,59.730430603027344
179.0,0.07752592696055255,236.0,114.2401169137719,55.99692153930664
180.0,0.07642628699076807,191.0,116.7776306622863,53.177066802978516
181.0,0.07534224448767067,181.0,117.63941566788723,46.99479293823242
182.0,0.07427357821433388,212.0,119.64046824838167,60.531620025634766
183.0,0.07322007007189076,85.0,119.95496398565399,36.120174407958984
184.0,0.07218150505502309,231.0,121.32266040408973,58.95513153076172
185.0,0.07115767120808195,237.0,122.55484278367982,53.33808135986328
186.0,0.07014835958183076,222.0,123.32804281325708,45.88527297973633
187.0,0.06915336419080186,259.0,124.76913901354979,52.57894515991211
188.0,0.06817248197125796,247.0,126.93978860304851,63.01799774169922
189.0,0.06720551273974976,275.0,128.51622228558105,46.87148666381836
190.0,0.06625225915226167,207.0,129.7904806250972,54.3752555847168
191.0,0.06531252666393665,261.0,131.2362827524126,68.09104919433594
192.0,0.0643861234893726,278.0,132.83073167279576,65.7143783569336
193.0,0.0634728605634818,254.0,133.8847731784118,52.39332580566406
194.0,0.06257255150290554,243.0,136.57017541000175,56.7150993347168
195.0,0.061685012567976046,275.0,137.86638766853426,57.22891616821289
196.0,0.06081006262521797,225.0,138.7126235724656,52.102230072021484
197.0,0.05994752311038171,252.0,140.76881834437393,68.74869537353516
198.0,0.0590972179920012,261.0,141.01521576708853,57.444671630859375
199.0,0.058258973735468345,260.0,143.1531593339053,68.37858581542969
200.0,0.05743261926761735,242.0,145.18529720644054,51.49173355102539
201.0,0.05661798594181114,242.0,151.19972577421424,58.622501373291016
202.0,0.05581490750352316,267.0,155.41171772888282,71.3897705078125
203.0,0.05502322005640723,280.0,157.2378404746717,72.9460678100586
204.0,0.054242762028848826,280.0,158.98709436031587,57.75341796875
205.0,0.05347337414099063,303.0,159.61801279123628,83.0511245727539
206.0,0.052714899372225954,279.0,160.0811525059249,76.38433074951172
207.0,0.05196718292915318,255.0,160.04338787672532,61.0576057434082
208.0,0.051230072213984644,259.0,161.98459998742842,59.39887237548828
209.0,0.050503416793403796,280.0,164.55427781642467,74.40380859375
210.0,0.05,273.0,166.04704324006119,74.61774444580078
211.0,0.05,262.0,166.20239412176025,64.98826599121094
212.0,0.05,283.0,170.8555867528212,78.10633850097656
213.0,0.05,275.0,174.6880538208013,67.45804595947266
214.0,0.05,251.0,174.65047243337597,69.94276428222656
215.0,0.05,291.0,178.67850088410077,85.13479614257812
216.0,0.05,291.0,179.3261578355663,70.06788635253906
217.0,0.05,204.0,179.83835506831534,78.47496032714844
218.0,0.05,268.0,180.84448401889355,73.14855194091797
219.0,0.05,270.0,183.411311729145,61.25819396972656
220.0,0.05,254.0,183.34674999473526,77.45957946777344
221.0,0.05,262.0,184.43519988776242,79.45518493652344
222.0,0.05,255.0,187.38725265092026,61.32612228393555
223.0,0.05,281.0,189.9959798997539,72.02143859863281
224.0,0.05,266.0,191.79209266221076,84.49942016601562
225.0,0.05,286.0,192.6677520090738,74.51143646240234
226.0,0.05,287.0,193.32960873678968,86.34066772460938
227.0,0.05,265.0,193.3479255098067,72.98130798339844
228.0,0.05,35.0,191.0672539000347,95.78244018554688
229.0,0.05,26.0,190.01577596865607,97.50797271728516
230.0,0.05,268.0,190.00176837772403,75.71456146240234
231.0,0.05,318.0,191.75910030033168,94.21016693115234
232.0,0.05,272.0,193.31919420600863,81.94337463378906
233.0,0.05,229.0,193.0492847754044,74.83509063720703
234.0,0.05,243.0,192.64804021586167,79.06092834472656
235.0,0.05,289.0,193.17249661320523,90.2861557006836
236.0,0.05,278.0,199.44578469919043,80.95639038085938
237.0,0.05,41.0,197.02267193525887,93.75581359863281
238.0,0.05,251.0,197.47552625765698,86.71105194091797
239.0,0.05,284.0,197.99224851247644,83.1756591796875
240.0,0.05,264.0,198.5682878772445,86.53173065185547
241.0,0.05,157.0,200.25893239137335,66.5669174194336
242.0,0.05,263.0,200.10538579580398,73.22415924072266
243.0,0.05,284.0,199.9842713209666,85.48782348632812
244.0,0.05,119.0,198.29285659817683,60.278289794921875
245.0,0.05,270.0,200.94618376924757,89.11911010742188
246.0,0.05,281.0,200.92083358992903,89.66903686523438
247.0,0.05,308.0,204.0262018155228,88.2930679321289
248.0,0.05,244.0,206.1428378464516,63.29469299316406
249.0,0.05,306.0,211.21126340518097,103.07418060302734
250.0,0.05,27.0,209.48315200414308,119.0409164428711
251.0,0.05,277.0,212.16570666959254,80.99112701416016
252.0,0.05,285.0,213.04715412003088,97.04423522949219
253.0,0.05,279.0,215.89661218642604,90.20690155029297
254.0,0.05,29.0,214.06399567808936,105.07624816894531
255.0,0.05,290.0,214.5372944237263,88.68501281738281
256.0,0.05,297.0,215.39739718464875,99.62163543701172
257.0,0.05,263.0,215.59253644055627,89.01675415039062
258.0,0.05,270.0,217.65782710751787,90.26116180419922
259.0,0.05,137.0,219.4458066208842,52.77366256713867
260.0,0.05,255.0,222.4200511001129,93.06179809570312
261.0,0.05,265.0,223.75280753163278,78.41815185546875
262.0,0.05,283.0,225.02156363964858,82.64909362792969
263.0,0.05,288.0,225.7757455588704,86.28083038330078
264.0,0.05,256.0,225.68176074689197,97.76110076904297
265.0,0.05,249.0,229.73937363849564,90.61011505126953
266.0,0.05,284.0,234.39794375968813,85.79560089111328
267.0,0.05,283.0,238.5091052872127,92.02529907226562
268.0,0.05,274.0,239.27987515534576,104.74838256835938
269.0,0.05,24.0,237.51923651726452,97.56646728515625
270.0,0.05,280.0,238.02399219547587,88.05844116210938
271.0,0.05,24.0,235.97836359365547,102.6072769165039
272.0,0.05,302.0,236.57111107628037,84.75062561035156
273.0,0.05,238.0,241.9743073962476,81.89309692382812
274.0,0.05,244.0,241.62707262118386,85.99639892578125
275.0,0.05,264.0,241.88272756992848,83.19145965576172
276.0,0.05,304.0,242.27768068839293,82.49373626708984
277.0,0.05,272.0,242.71693274681797,75.51792907714844
278.0,0.05,135.0,241.6405491526298,124.50814056396484
279.0,0.05,264.0,241.91669277309214,103.23932647705078
280.0,0.05,260.0,242.608286153282,98.10274505615234
281.0,0.05,223.0,243.031448679049,124.4350814819336
282.0,0.05,251.0,243.42219196278,71.90107727050781
283.0,0.05,293.0,245.4991612740016,77.0897445678711
284.0,0.05,255.0,245.74211827270636,118.51314544677734
285.0,0.05,273.0,246.10634753548433,73.8324203491211
286.0,0.05,286.0,246.74186164687032,81.96734619140625
287.0,0.05,18.0,244.33596995178138,128.2543487548828
288.0,0.05,281.0,244.68311187342448,82.0531005859375
289.0,0.05,287.0,244.80166623900737,79.10165405273438
290.0,0.05,272.0,245.44874530464827,81.01618194580078
291.0,0.05,237.0,245.2150328262807,85.54840087890625
292.0,0.05,268.0,245.12057183340784,91.79071807861328
293.0,0.05,292.0,245.49558557954518,98.71369171142578
294.0,0.05,268.0,245.74553200864804,68.79206848144531
295.0,0.05,268.0,245.6772259063685,92.0320816040039
296.0,0.05,-26.0,243.155065472196,119.38429260253906
297.0,0.05,282.0,243.45892906462126,74.53844451904297
298.0,0.05,274.0,243.582133627645,81.81140899658203
299.0,0.05,278.0,243.76945190094943,73.52460479736328
300.0,0.05,256.0,243.91094654856514,96.71820831298828
301.0,0.05,283.0,244.31939406472208,92.47801208496094
302.0,0.05,5.0,241.69525175604005,112.46148681640625
303.0,0.05,228.0,241.18221630944055,83.98544311523438
304.0,0.05,273.0,241.10975728269983,79.48535919189453
305.0,0.05,251.0,240.5907511034397,95.01007843017578
306.0,0.05,256.0,240.36250303215755,74.55401611328125
307.0,0.05,266.0,240.47036264242232,84.34321594238281
308.0,0.05,257.0,240.44752910525722,74.58700561523438
309.0,0.05,277.0,240.41431206401015,89.62799072265625
310.0,0.05,243.0,240.11034902422193,83.74375915527344
311.0,0.05,279.0,240.28484082778624,76.93187713623047
312.0,0.05,279.0,240.2487687530624,79.70148468017578
313.0,0.05,-33.0,237.1558106353242,91.88353729248047
314.0,0.05,253.0,237.1695185746433,86.11900329589844
315.0,0.05,281.0,237.07302054782673,87.63946533203125
316.0,0.05,289.0,237.05763108665292,88.24944305419922
317.0,0.05,273.0,237.74714750213863,81.69227600097656
318.0,0.05,-32.0,234.7293170681069,94.26445007324219
319.0,0.05,267.0,234.69534007707796,91.55187225341797
320.0,0.05,256.0,234.7117099892801,71.76094818115234
321.0,0.05,258.0,234.66409492471064,77.57062530517578
322.0,0.05,217.0,234.286165872732,83.5734634399414
323.0,0.05,282.0,234.29545232296894,89.36615753173828
324.0,0.05,-14.0,231.48751384819212,93.1573486328125
325.0,0.05,231.0,230.93919702018496,73.26717376708984
326.0,0.05,261.0,230.67190794710584,81.51811218261719
327.0,0.05,229.0,230.3107529522143,83.82614135742188
328.0,0.05,234.0,232.2951703747412,80.94283294677734
329.0,0.05,268.0,234.72041942426281,85.6579360961914
330.0,0.05,234.0,234.3819512914443,73.14019012451172
331.0,0.05,249.0,233.6966752993726,76.84558868408203
332.0,0.05,271.0,233.68179174721425,79.09261322021484
333.0,0.05,242.0,233.81524190622184,78.86676788330078
334.0,0.05,228.0,233.66089159061247,79.77973175048828
335.0,0.05,216.0,232.92834410581634,75.90626525878906
336.0,0.05,230.0,232.45157122356986,81.26505279541016
337.0,0.05,238.0,234.42648181966803,80.55677795410156
338.0,0.05,261.0,234.51965469827508,71.82376861572266
339.0,0.05,256.0,234.23874619098603,79.81963348388672
340.0,0.05,244.0,234.0329226564154,75.73661804199219
341.0,0.05,256.0,235.03148131326492,75.0887451171875
342.0,0.05,298.0,235.38100810986086,81.06261444091797
343.0,0.05,222.0,234.75715560366214,73.95600891113281
344.0,0.05,232.0,235.89069739908996,66.39631652832031
345.0,0.05,259.0,235.78162586590068,81.03125
346.0,0.05,230.0,235.26933396021303,80.41404724121094
347.0,0.05,241.0,234.59287752258464,77.01478576660156
348.0,0.05,226.0,234.41606880655254,87.9565658569336
349.0,0.05,200.0,233.35790644783415,85.3882064819336
350.0,0.05,222.0,235.31424253961666,80.01309967041016
351.0,0.05,221.0,234.7541872597753,90.4475326538086
352.0,0.05,263.0,234.5317143754637,80.07845306396484
353.0,0.05,223.0,233.9694377689125,80.80712890625
354.0,0.05,231.0,235.99569059917263,82.25196075439453
355.0,0.05,248.0,235.57567578576268,83.70805358886719
356.0,0.05,267.0,235.2761519278738,87.12369537353516
357.0,0.05,233.0,234.97348116486154,87.87179565429688
358.0,0.05,245.0,234.72443235121415,86.24922943115234
359.0,0.05,248.0,235.83302484740472,79.72745513916016
360.0,0.05,287.0,236.1532950592974,80.13427734375
361.0,0.05,273.0,236.23115299889207,81.36969757080078
362.0,0.05,241.0,235.80839506722438,80.83321380615234
363.0,0.05,232.0,235.24605417450516,83.54344940185547
364.0,0.05,272.0,235.40256586979254,83.30850982666016
365.0,0.05,281.0,235.72059895730183,85.26301574707031
366.0,0.05,281.0,235.69000468166308,82.8259048461914
367.0,0.05,271.0,235.57397847551982,79.33248138427734
