episode,epsilon,score,average,avg_q_values
0.0,1.0,-119.0,-119.76679714673932,0.348429411649704
1.0,0.9858158423524046,-112.0,-116.23175098688813,1.3950685262680054
2.0,0.9718328750329811,-244.0,-159.12067741096757,2.5800797939300537
3.0,0.9580482443263975,-99.0,-144.31782235771183,4.494514465332031
4.0,0.9444591369948698,-106.0,-136.80581338918984,6.694159507751465
5.0,0.9310627797040227,-244.0,-154.8009741746887,9.218194007873535
6.0,0.9178564384568926,-210.0,-162.7273605229431,8.459878921508789
7.0,0.9048374180359595,-316.0,-181.898837366146,9.338176727294922
8.0,0.8920030614530944,-95.0,-172.35451249904546,9.559170722961426
9.0,0.879350749407306,-120.0,-167.2179057768591,9.049710273742676
10.0,0.8668778997501816,-54.0,-156.9736385976659,10.514448165893555
11.0,0.8545819669589086,-108.0,-152.91755264876235,11.807915687561035
12.0,0.8424604416167714,-103.0,-149.0833562341834,9.88655948638916
13.0,0.8305108499010163,-223.0,-154.37012663757324,9.072864532470703
14.0,0.8187307530779818,-226.0,-159.1753789426714,14.345843315124512
15.0,0.8071177470053893,-118.0,-156.60423777567848,9.302081108093262
16.0,0.7956694616416928,-219.0,-160.27987932106888,12.99445629119873
17.0,0.7843835605623898,-90.0,-156.3875135824541,10.266478538513184
18.0,0.7732577404831906,-97.0,-153.30889650082756,12.128938674926758
19.0,0.7622897307899537,-192.0,-155.25911002144647,6.142124176025391
20.0,0.751477293075286,-181.0,-156.49256949231412,10.505155563354492
21.0,0.7408182206817179,-77.0,-152.90316176088626,17.159666061401367
22.0,0.7303103382513573,-37.0,-147.89153787392166,16.910730361938477
23.0,0.7199515012819313,-121.0,-146.79872095037868,7.7470221519470215
24.0,0.7097395956891255,-150.0,-146.95630296244795,15.10757827758789
25.0,0.6996725373751304,-403.0,-156.80431157015906,7.508680820465088
26.0,0.6897482718033084,-39.0,-152.45902342953215,19.615854263305664
27.0,0.6799647735788938,-65.0,-149.36122256260762,13.057896614074707
28.0,0.6703200460356393,-136.0,-148.92100112193833,17.70980453491211
29.0,0.6608121208283264,-331.0,-154.99948684177002,14.0072021484375
30.0,0.6514390575310556,-107.0,-153.47027538440136,16.680635452270508
31.0,0.6421989432412342,-75.0,-151.0272166060741,9.536687850952148
32.0,0.6330898921891813,-91.0,-149.21463366338995,22.060697555541992
33.0,0.6241100453532709,-99.0,-147.74334227110035,12.779932975769043
34.0,0.6152575700805322,-305.0,-152.23859954846716,5.878314971923828
35.0,0.6065306597126334,-16.0,-148.47664060444922,8.03882884979248
36.0,0.5979275332171694,-37.0,-145.4902356403022,16.97740936279297
37.0,0.5894464348241792,-51.0,-143.00645262070424,16.364137649536133
38.0,0.5810856336678201,12.0,-139.01959835374885,13.553006172180176
39.0,0.5728434234331229,-206.0,-140.7129907141495,3.207057476043701
40.0,0.5647181220077593,-95.0,-139.60409329377148,21.604528427124023
