episode,epsilon,score,average,avg_q_values
0.0,1.0,-250.0,-250.53217075053192,-2.3680646419525146
1.0,0.9858158423524046,-386.0,-318.548505586216,-4.0580034255981445
2.0,0.9718328750329811,-314.0,-317.2054254867854,-2.3300483226776123
3.0,0.9580482443263975,-279.0,-307.7894173063246,-2.987433910369873
4.0,0.9444591369948698,-110.0,-268.39590598395256,-3.1157338619232178
5.0,0.9310627797040227,-174.0,-252.78189089108255,-4.233649253845215
6.0,0.9178564384568926,-84.0,-228.70268274046242,-6.126772880554199
7.0,0.9048374180359595,-48.0,-206.14237226284945,-5.9971113204956055
8.0,0.8920030614530944,-199.0,-205.45316349620276,-12.112702369689941
9.0,0.879350749407306,-370.0,-221.99025143347018,-4.059715270996094
10.0,0.8668778997501816,-150.0,-215.45921116848925,-0.5893455147743225
11.0,0.8545819669589086,-266.0,-219.75136738035442,-11.099071502685547
12.0,0.8424604416167714,-283.0,-224.63479105204,-2.5974438190460205
13.0,0.8305108499010163,-259.0,-227.1120464328484,-10.185348510742188
14.0,0.8187307530779818,-119.0,-219.92565737770272,-18.78900909423828
15.0,0.8071177470053893,-227.0,-220.39577921750177,-14.795742988586426
16.0,0.7956694616416928,-314.0,-225.92734448052514,-21.00456428527832
17.0,0.7843835605623898,-71.0,-217.3433470715071,-3.93003511428833
18.0,0.7732577404831906,-112.0,-211.81622705554864,-15.465160369873047
19.0,0.7622897307899537,-278.0,-215.13218925962062,-5.560574531555176
20.0,0.751477293075286,-233.0,-215.9970814704849,-18.977581024169922
21.0,0.7408182206817179,-108.0,-211.11382620306506,-9.106212615966797
22.0,0.7303103382513573,-69.0,-204.96403125739252,-16.02411651611328
23.0,0.7199515012819313,-25.0,-197.48039503370282,-16.913074493408203
24.0,0.7097395956891255,-157.0,-195.89308655930884,-9.853775978088379
25.0,0.6996725373751304,-211.0,-196.50301237159474,-14.253166198730469
26.0,0.6897482718033084,-161.0,-195.1949221632279,-9.928152084350586
27.0,0.6799647735788938,-130.0,-192.86819766066165,-8.141057014465332
28.0,0.6703200460356393,-241.0,-194.54419129297065,-29.426023483276367
29.0,0.6608121208283264,-43.0,-189.49681039532706,-6.410616397857666
30.0,0.6514390575310556,-47.0,-184.92085521195204,-5.432029724121094
31.0,0.6421989432412342,-55.0,-180.87805519611268,-4.896238327026367
32.0,0.6330898921891813,-78.0,-177.790108953725,-4.506741523742676
33.0,0.6241100453532709,-107.0,-175.71888040982782,-5.0401530265808105
34.0,0.6152575700805322,-224.0,-177.12204986238393,-13.209542274475098
35.0,0.6065306597126334,-336.0,-181.55572820366018,-9.910701751708984
36.0,0.5979275332171694,-8.0,-176.8858485392417,-0.539017379283905
37.0,0.5894464348241792,-81.0,-174.38219038066745,-3.494075298309326
38.0,0.5810856336678201,-78.0,-171.92018924766788,0.39738959074020386
39.0,0.5728434234331229,-138.0,-171.08596653375997,-1.138137936592102
40.0,0.5647181220077593,-154.0,-170.68743103169655,1.3947337865829468
41.0,0.5567080711387471,-28.0,-167.29826297934363,-2.5969204902648926
42.0,0.5488116360940264,-103.0,-165.8180878088275,-1.825412392616272
43.0,0.541027205328834,0.0,-162.03083863559533,1.5275324583053589
44.0,0.5333531901568119,-87.0,-160.36710150620982,4.79137659072876
45.0,0.5257880244257798,-109.0,-159.25701422509746,-0.9767902493476868
46.0,0.5183301641981067,-28.0,-156.47812149232107,7.650844097137451
47.0,0.5109780874356169,-22.0,-153.69424261984446,11.953511238098145
48.0,0.5037302936889633,-65.0,-151.89216936346764,7.463272571563721
49.0,0.4965853037914095,-67.0,-150.2101479856679,9.552431106567383
50.0,0.4895416595569531,-119.0,-149.6126771097237,13.830309867858887
51.0,0.48259792348273184,-69.0,-148.07479006042246,14.602360725402832
52.0,0.4757526784556506,-260.0,-150.19438275423684,4.342522621154785
53.0,0.4690045274631699,-47.0,-148.28536776765202,0.6032015085220337
54.0,0.4623520933081963,-72.0,-146.89955273556612,19.00474739074707
55.0,0.4557940183280172,-35.0,-144.9085786915315,14.768138885498047
56.0,0.44932896411722156,10.0,-142.1780454456092,15.285929679870605
57.0,0.4429556112545522,-31.0,-140.2662608600579,15.769678115844727
58.0,0.4366726590336306,-24.0,-138.29949930158656,20.855173110961914
59.0,0.43047882519750297,-112.0,-137.86989992848814,23.45720863342285
60.0,0.42437284567695,-84.0,-136.99367211671475,6.378453731536865
61.0,0.4183534743325094,-69.0,-135.9130288085578,15.623330116271973
62.0,0.4124194827001579,11.0,-133.57491450627245,15.32337760925293
63.0,0.4065696597405991,-40.0,-132.1247100845739,-7.6742730140686035
64.0,0.40080281159210923,-109.0,-131.77504192306833,2.834737777709961
65.0,0.3951177613268873,-81.0,-131.010856707886,28.252347946166992
66.0,0.3895133487108618,10.0,-128.9054962603341,24.56715202331543
67.0,0.38398842996690413,-344.0,-132.06880089994544,-13.895088195800781
68.0,0.37854187754140095,-63.0,-131.07189347501426,13.564745903015137
69.0,0.37317257987413693,-93.0,-130.5340985682143,34.52116775512695
70.0,0.36787944117144233,42.0,-128.10199092757244,-11.565518379211426
71.0,0.3626613811825573,-51.0,-127.0427138857863,21.16399574279785
72.0,0.35751733497916927,42.0,-124.72359595894926,-11.133736610412598
73.0,0.3524462527380765,50.0,-122.35640600828972,37.22648239135742
74.0,0.3474470995269354,90.0,-119.52377932480223,0.22706200182437897
75.0,0.34251885509304564,-105.0,-119.3371744850253,23.71351432800293
76.0,0.337660513655132,44.0,-117.211647139607,6.19299840927124
77.0,0.33287108369807955,-17.0,-115.92988744755904,5.537146091461182
78.0,0.32814958777058006,-313.0,-118.43270646139922,17.203092575073242
79.0,0.3234950622856487,-29.0,-117.32081816223908,33.65325164794922
80.0,0.31890655732397044,-82.0,-116.8960988358691,21.85045623779297
81.0,0.3143831364400353,21.0,-115.2091777438875,26.022165298461914
82.0,0.3099238764710244,-124.0,-115.31928407839038,33.58928680419922
83.0,0.3055278673484055,40.0,-113.46366898751701,19.79957389831543
84.0,0.30119421191220214,141.0,-110.46353971076182,12.873666763305664
85.0,0.2969220257278962,157.0,-107.34462415866153,14.355459213256836
86.0,0.2927104369059283,-42.0,-106.5986260930089,94.41354370117188
87.0,0.2885585859237581,-52.0,-105.98167987213597,95.06240844726562
88.0,0.28446562545044835,-36.0,-105.20418464448866,97.8878402709961
89.0,0.2804307201737374,-7.0,-104.12402398601994,93.2113037109375
90.0,0.2764530466295643,5.0,-102.92097099188555,103.54435729980469
91.0,0.2725317930340126,10.0,-101.68637936867331,93.89444732666016
92.0,0.26866615911763636,-88.0,-101.54364680213475,101.76492309570312
93.0,0.26485535596213783,-48.0,-100.97580770266607,99.79210662841797
94.0,0.2610986058393609,-10.0,-100.02480757783967,94.60018157958984
95.0,0.257395142052568,-88.0,-99.90135987373132,105.16462707519531
96.0,0.2537442087799692,-126.0,-100.17426163027118,100.63794708251953
97.0,0.2501450609204698,-2.0,-99.17441882086554,101.75779724121094
98.0,0.2465969639416065,-24.0,-98.42016462053583,108.9927978515625
99.0,0.2430991937296403,-116.0,-98.59691896850754,104.80799865722656
100.0,0.2396510364417758,-91.0,-97.01004069298598,101.74475860595703
101.0,0.23625178836047603,-28.0,-93.42871481201439,106.13532257080078
102.0,0.2329007557498447,-96.0,-91.2474094603276,91.63833618164062
