episode,epsilon,score,average,avg_q_values
0.0,1.0,-127.0,-127.04255094721489,-0.46216070652008057
1.0,0.9858158423524046,-373.0,-250.20939513169213,-3.2603986263275146
2.0,0.9718328750329811,-456.0,-318.90540818316333,-6.885424613952637
3.0,0.9580482443263975,-113.0,-267.5393692292099,-0.020115897059440613
4.0,0.9444591369948698,-533.0,-320.6636034912257,-0.495398610830307
5.0,0.9310627797040227,-145.0,-291.41383552737307,-6.265376567840576
6.0,0.9178564384568926,-359.0,-301.12287977447545,-2.70884370803833
7.0,0.9048374180359595,7.0,-262.48299612704886,-3.592322826385498
8.0,0.8920030614530944,-33.0,-237.03652195545132,-5.925462245941162
9.0,0.879350749407306,-70.0,-220.40218956292966,-3.659363269805908
10.0,0.8668778997501816,-110.0,-210.44464285002275,-4.936535835266113
11.0,0.8545819669589086,-83.0,-199.82894512727688,-2.416480779647827
12.0,0.8424604416167714,-79.0,-190.54766496317467,-0.8414924144744873
13.0,0.8305108499010163,-230.0,-193.41338792987773,-9.650425910949707
14.0,0.8187307530779818,-102.0,-187.38341790365973,-1.589586615562439
15.0,0.8071177470053893,-98.0,-181.85006086181457,1.2475981712341309
16.0,0.7956694616416928,-65.0,-175.00383847202906,0.9295480251312256
17.0,0.7843835605623898,-141.0,-173.13380781371214,-8.514097213745117
18.0,0.7732577404831906,-157.0,-172.29136384080292,7.0321173667907715
19.0,0.7622897307899537,-68.0,-167.12344716715833,1.8373883962631226
20.0,0.751477293075286,-175.0,-167.53716968773165,9.954654693603516
21.0,0.7408182206817179,-108.0,-164.8638450167101,-2.103379249572754
22.0,0.7303103382513573,-103.0,-162.21535622982591,5.705042362213135
23.0,0.7199515012819313,-26.0,-156.56258354174116,16.974258422851562
24.0,0.7097395956891255,-118.0,-155.02673626283928,-3.183943748474121
25.0,0.6996725373751304,-120.0,-153.69439797777616,5.324146270751953
26.0,0.6897482718033084,-129.0,-152.7835678830667,12.959371566772461
27.0,0.6799647735788938,-68.0,-149.7698652849221,11.950909614562988
28.0,0.6703200460356393,-233.0,-152.64590139870538,-23.347980499267578
29.0,0.6608121208283264,-157.0,-152.8223994181847,22.57574462890625
30.0,0.6514390575310556,-89.0,-150.77503350365004,17.8686580657959
31.0,0.6421989432412342,-113.0,-149.599901565658,3.8237128257751465
32.0,0.6330898921891813,-94.0,-147.92048490198678,7.640371799468994
33.0,0.6241100453532709,-97.0,-146.4253812830544,0.4579501450061798
34.0,0.6152575700805322,-49.0,-143.65877279895022,-2.2587037086486816
35.0,0.6065306597126334,-264.0,-147.0197299967665,-9.186758995056152
36.0,0.5979275332171694,-87.0,-145.41044886591482,24.81146240234375
37.0,0.5894464348241792,-86.0,-143.8698897252125,33.12968063354492
38.0,0.5810856336678201,-85.0,-142.36426676778657,22.378549575805664
39.0,0.5728434234331229,33.0,-137.96634197014353,17.34089469909668
40.0,0.5647181220077593,-97.0,-136.98726838518144,14.216081619262695
41.0,0.5567080711387471,-204.0,-138.59350783359253,11.48950481414795
42.0,0.5488116360940264,-57.0,-136.69775756739352,14.752724647521973
43.0,0.541027205328834,-197.0,-138.08164400731056,-4.148133754730225
44.0,0.5333531901568119,-5.0,-135.1353934841616,28.38850975036621
45.0,0.5257880244257798,66.0,-130.75558862231736,-28.226591110229492
46.0,0.5183301641981067,-58.0,-129.22866287325257,10.009204864501953
47.0,0.5109780874356169,-73.0,-128.06758885732864,20.21597671508789
48.0,0.5037302936889633,-186.0,-129.26545740490187,3.732327938079834
49.0,0.4965853037914095,-21.0,-127.11556749442946,33.86751937866211
50.0,0.4895416595569531,-104.0,-126.67435521829695,24.981468200683594
51.0,0.48259792348273184,-243.0,-128.9132906015833,49.56692123413086
52.0,0.4757526784556506,-146.0,-129.25051991232567,23.572021484375
53.0,0.4690045274631699,-81.0,-128.36552619454721,21.49407196044922
54.0,0.4623520933081963,-67.0,-127.26589429731082,26.456954956054688
55.0,0.4557940183280172,-197.0,-128.52631287604163,36.55122756958008
56.0,0.44932896411722156,-58.0,-127.29687935617201,30.5576171875
57.0,0.4429556112545522,-204.0,-128.63276173064716,38.678245544433594
58.0,0.4366726590336306,-28.0,-126.93087340919296,34.94959259033203
59.0,0.43047882519750297,-104.0,-126.55076696239273,34.80284881591797
60.0,0.42437284567695,-31.0,-124.99127974540431,34.511016845703125
61.0,0.4183534743325094,5.0,-122.88707123001822,13.69914436340332
62.0,0.4124194827001579,-73.0,-122.0984176487165,19.96417236328125
63.0,0.4065696597405991,1.0,-120.16100701746808,11.509424209594727
64.0,0.40080281159210923,1.0,-118.28484532662979,23.88099479675293
65.0,0.3951177613268873,-112.0,-118.20132770817023,14.985686302185059
66.0,0.3895133487108618,2.0,-116.4037931861117,1.3481395244598389
67.0,0.38398842996690413,22.0,-114.357077030713,12.12146282196045
68.0,0.37854187754140095,-43.0,-113.32541335784013,16.461265563964844
69.0,0.37317257987413693,-37.0,-112.24062029579645,13.130427360534668
70.0,0.36787944117144233,141.0,-108.66959631658338,18.179990768432617
71.0,0.3626613811825573,-11.0,-107.32516795414625,26.059940338134766
72.0,0.35751733497916927,50.0,-105.16073456687806,22.011445999145508
73.0,0.3524462527380765,-25.0,-104.0799228064105,47.108821868896484
74.0,0.3474470995269354,-10.0,-102.83451572875612,22.174036026000977
75.0,0.34251885509304564,44.0,-100.89196883871055,14.455341339111328
76.0,0.337660513655132,38.0,-99.07692771234055,25.11124610900879
77.0,0.33287108369807955,42.0,-97.26085678316575,21.560436248779297
78.0,0.32814958777058006,-69.0,-96.91512197757525,15.661385536193848
79.0,0.3234950622856487,-263.0,-98.99627920252838,52.40598678588867
80.0,0.31890655732397044,44.0,-97.2251395356998,34.56220245361328
81.0,0.3143831364400353,-5.0,-96.10231062229087,70.47650146484375
82.0,0.3099238764710244,15.0,-94.7551199855582,20.037508010864258
83.0,0.3055278673484055,102.0,-92.40538463087091,16.27176856994629
84.0,0.30119421191220214,66.0,-90.53928002934984,32.53923034667969
85.0,0.2969220257278962,-7.0,-89.5771827662085,79.77745819091797
86.0,0.2927104369059283,134.0,-87.00523236572828,28.926687240600586
87.0,0.2885585859237581,141.0,-84.41230076942529,25.619976043701172
88.0,0.28446562545044835,213.0,-81.06759724406136,27.879383087158203
89.0,0.2804307201737374,-34.0,-80.54954273723789,76.634033203125
90.0,0.2764530466295643,124.0,-78.29188696083988,31.216760635375977
91.0,0.2725317930340126,-18.0,-77.6411628680764,78.24336242675781
