episode,epsilon,score,average,avg_q_values
0.0,1.0,-113.0,-113.29728653040966,-0.34939804673194885
1.0,0.9858158423524046,-55.0,-84.20809606694925,2.6921706199645996
2.0,0.9718328750329811,-301.0,-156.76009286777324,6.748352527618408
3.0,0.9580482443263975,-408.0,-219.80805376442908,4.680253028869629
4.0,0.9444591369948698,-177.0,-211.40797126388276,5.562525749206543
5.0,0.9310627797040227,-125.0,-197.01132529184318,10.774447441101074
6.0,0.9178564384568926,-296.0,-211.16526170018088,12.55688762664795
7.0,0.9048374180359595,-91.0,-196.19527136726958,11.25836181640625
8.0,0.8920030614530944,-133.0,-189.2305272370278,12.68287467956543
9.0,0.879350749407306,-105.0,-180.8758935677315,11.243623733520508
10.0,0.8668778997501816,-62.0,-170.11123964599204,7.715883731842041
11.0,0.8545819669589086,-202.0,-172.77405043093242,11.633692741394043
12.0,0.8424604416167714,-122.0,-168.9347582011133,8.72420597076416
13.0,0.8305108499010163,-89.0,-163.27614589631304,11.487274169921875
14.0,0.8187307530779818,-72.0,-157.23267324949444,13.418538093566895
15.0,0.8071177470053893,-93.0,-153.253050273566,14.863502502441406
16.0,0.7956694616416928,-18.0,-145.29747797445006,12.010210037231445
17.0,0.7843835605623898,-65.0,-140.87857089095337,12.15299129486084
18.0,0.7732577404831906,-46.0,-135.93032823865047,10.691191673278809
19.0,0.7622897307899537,-149.0,-136.58854229852696,12.068113327026367
20.0,0.751477293075286,-95.0,-134.63058057688824,15.661880493164062
21.0,0.7408182206817179,-312.0,-142.69607613991715,1.5784525871276855
22.0,0.7303103382513573,-50.0,-138.67625340436217,17.901870727539062
23.0,0.7199515012819313,-114.0,-137.66583321957287,14.856389045715332
24.0,0.7097395956891255,-112.0,-136.6494635609317,12.941798210144043
25.0,0.6996725373751304,-56.0,-133.54851994064194,19.699586868286133
26.0,0.6897482718033084,-161.0,-134.6006612600669,7.3898162841796875
27.0,0.6799647735788938,-90.0,-133.03249051227345,13.35000991821289
28.0,0.6703200460356393,-86.0,-131.4407773688839,13.855719566345215
29.0,0.6608121208283264,-124.0,-131.2082848027874,12.087132453918457
30.0,0.6514390575310556,-144.0,-131.6504993528096,26.529050827026367
31.0,0.6421989432412342,-20.0,-128.1701139162232,20.74386978149414
32.0,0.6330898921891813,-182.0,-129.81498287348728,22.123151779174805
33.0,0.6241100453532709,-197.0,-131.8115960274776,23.648170471191406
34.0,0.6152575700805322,-155.0,-132.49063669022948,6.621667861938477
35.0,0.6065306597126334,-71.0,-130.79362706644417,19.438905715942383
36.0,0.5979275332171694,-150.0,-131.33844860573421,23.098981857299805
37.0,0.5894464348241792,-33.0,-128.76686353973156,18.017911911010742
38.0,0.5810856336678201,-241.0,-131.65193433690072,20.818784713745117
39.0,0.5728434234331229,-48.0,-129.57458577485133,18.877120971679688
40.0,0.5647181220077593,-40.0,-127.40624232489805,10.904767036437988
41.0,0.5567080711387471,-121.0,-127.27197000941271,20.83042335510254
42.0,0.5488116360940264,-35.0,-125.13737723995025,18.360300064086914
43.0,0.541027205328834,4.0,-122.18879583788048,12.687751770019531
44.0,0.5333531901568119,-90.0,-121.47925939670745,14.948860168457031
45.0,0.5257880244257798,-61.0,-120.17186915954841,12.707951545715332
46.0,0.5183301641981067,-26.0,-118.17084813693194,19.04656410217285
47.0,0.5109780874356169,-62.0,-117.0130855785867,18.25010108947754
48.0,0.5037302936889633,-46.0,-115.56622120373969,12.198742866516113
49.0,0.4965853037914095,-85.0,-114.95627218990197,14.74486255645752
50.0,0.4895416595569531,-98.0,-114.62409353458757,33.52902603149414
51.0,0.48259792348273184,-2.0,-112.45842101747564,25.529356002807617
52.0,0.4757526784556506,-39.0,-111.08385453021701,11.182353019714355
53.0,0.4690045274631699,-90.0,-110.70835548772423,-1.5738844871520996
54.0,0.4623520933081963,-1.0,-108.71835243825072,21.872360229492188
55.0,0.4557940183280172,-226.0,-110.82548163142478,-17.839290618896484
56.0,0.44932896411722156,-80.0,-110.28757123897455,2.424940347671509
57.0,0.4429556112545522,-226.0,-112.29294611541228,11.529563903808594
58.0,0.4366726590336306,-123.0,-112.48039627969108,6.590114593505859
59.0,0.43047882519750297,-165.0,-113.36977231615221,29.298341751098633
60.0,0.42437284567695,-121.0,-113.49622333427477,36.81920623779297
61.0,0.4183534743325094,-81.0,-112.97971832916124,26.54069709777832
62.0,0.4124194827001579,-146.0,-113.51852547469792,6.5339155197143555
63.0,0.4065696597405991,-129.0,-113.77403764309479,15.972270965576172
64.0,0.40080281159210923,-209.0,-115.24435981522166,7.205872058868408
65.0,0.3951177613268873,-235.0,-117.06699466467772,19.935914993286133
66.0,0.3895133487108618,-81.0,-116.53979771998218,-0.502581000328064
67.0,0.38398842996690413,-14.0,-115.03495954595387,6.486454963684082
68.0,0.37854187754140095,-68.0,-114.36566666641139,27.481544494628906
69.0,0.37317257987413693,10.0,-112.58737290134486,5.122572898864746
70.0,0.36787944117144233,15.0,-110.78878334013774,-2.6607067584991455
71.0,0.3626613811825573,-18.0,-109.50475822552478,17.313385009765625
72.0,0.35751733497916927,-182.0,-110.49969921976735,-6.063178062438965
73.0,0.3524462527380765,-26.0,-109.36759840490316,37.72161865234375
74.0,0.3474470995269354,-26.0,-108.26082082951116,21.695819854736328
75.0,0.34251885509304564,-58.0,-107.61219897761468,23.92007827758789
76.0,0.337660513655132,-2.0,-106.2504820041417,49.6921272277832
77.0,0.33287108369807955,-130.0,-106.55692091024068,28.762615203857422
78.0,0.32814958777058006,-18.0,-105.44566895186661,32.120792388916016
79.0,0.3234950622856487,-11.0,-104.27703009675334,28.194602966308594
80.0,0.31890655732397044,51.0,-102.35823554496216,33.68168640136719
81.0,0.3143831364400353,-93.0,-102.25398760101355,24.991891860961914
82.0,0.3099238764710244,-77.0,-101.95182045778967,32.26300811767578
83.0,0.3055278673484055,4.0,-100.68076989099349,24.77097511291504
84.0,0.30119421191220214,50.0,-98.9078681042582,57.425418853759766
85.0,0.2969220257278962,33.0,-97.36760528655054,71.46173095703125
86.0,0.2927104369059283,21.0,-96.00573988121839,62.287864685058594
87.0,0.2885585859237581,-12.0,-95.05449803965749,40.87678146362305
88.0,0.28446562545044835,-31.0,-94.33907920398227,32.63249588012695
89.0,0.2804307201737374,20.0,-93.06080179372054,33.43183517456055
90.0,0.2764530466295643,32.0,-91.68426879098112,71.09365844726562
91.0,0.2725317930340126,31.0,-90.35073131392976,61.907264709472656
92.0,0.26866615911763636,41.0,-88.93041221404508,14.413329124450684
93.0,0.26485535596213783,-296.0,-91.13538434534435,27.942031860351562
94.0,0.2610986058393609,-67.0,-90.88178628722416,89.82988739013672
95.0,0.257395142052568,-1.0,-89.9531499468702,79.63074493408203
96.0,0.2537442087799692,22.0,-88.79639115459636,15.983246803283691
97.0,0.2501450609204698,-145.0,-89.37289934891247,70.10002899169922
98.0,0.2465969639416065,-44.0,-88.9190651004606,27.600927352905273
99.0,0.2430991937296403,-31.0,-88.34567198178718,32.8424186706543
100.0,0.2396510364417758,-26.0,-87.47345264770468,26.015419006347656
101.0,0.23625178836047603,-58.0,-87.50526838862636,18.966400146484375
102.0,0.2329007557498447,3.0,-84.45016837565603,17.811410903930664
103.0,0.22959725471404477,-236.0,-82.72920916719465,27.084535598754883
104.0,0.22634061105772565,43.0,-80.51307213301028,18.451248168945312
105.0,0.22313016014842982,217.0,-77.09036759932131,34.46491241455078
106.0,0.2199652467809513,-31.0,-74.4437664943408,70.65897369384766
107.0,0.21684522504361808,108.0,-72.44187608854249,25.474674224853516
108.0,0.21376945818647108,-248.0,-73.59070190917635,55.994537353515625
109.0,0.21073731849131314,94.0,-71.584742350189,18.737808227539062
110.0,0.20774818714360085,34.0,-70.612237901956,20.069034576416016
111.0,0.20480145410615389,115.0,-67.43196604886259,15.705011367797852
112.0,0.20189651799465538,256.0,-63.63780687158429,25.54806900024414
113.0,0.19903278595491863,221.0,-60.52618033529757,26.129535675048828
114.0,0.19620967354189398,100.0,-58.799389732023606,16.053810119628906
115.0,0.19342660460039254,-48.0,-58.344366539240504,84.84963989257812
116.0,0.19068301114750144,-20.0,-58.37006937646754,72.73563385009766
117.0,0.1879783332566671,226.0,-55.44387989052017,25.36989402770996
118.0,0.18531201894342234,258.0,-52.39481472016652,37.325443267822266
119.0,0.18268352405273466,66.0,-50.24005095099276,25.76546287536621
120.0,0.1800923121479524,144.0,-47.8411625857906,28.25344467163086
121.0,0.17753785440132586,-44.0,-45.16899291134528,51.861907958984375
122.0,0.17501962948608163,-57.0,-45.24193066074952,54.881805419921875
123.0,0.17253712347002734,-3.0,-44.13036652843832,80.1451187133789
124.0,0.17008982971066583,105.0,-41.9561342011157,23.842069625854492
125.0,0.16767724875179707,-31.0,-41.708640658794366,41.39011001586914
126.0,0.16529888822158653,112.0,-38.962343440623755,25.148208618164062
127.0,0.1629542627320793,193.0,-36.12018852911626,30.136642456054688
128.0,0.16064289378013982,258.0,-32.666932320116146,29.74787139892578
129.0,0.15836430964979642,-213.0,-33.56167984832951,44.625118255615234
130.0,0.15611804531597107,88.0,-31.222525539145387,35.821197509765625
131.0,0.1539036423495749,230.0,-28.71964080372625,36.12159729003906
132.0,0.15172064882394942,237.0,-24.5230932592743,35.906097412109375
133.0,0.14956861922263506,269.0,-19.85483974387225,38.55870056152344
134.0,0.147447114348448,239.0,-15.904106500993972,35.51681137084961
135.0,0.1453557012338466,260.0,-12.58633053212707,48.94139099121094
136.0,0.14329395305256898,253.0,-8.54028883011661,39.87424850463867
137.0,0.14126144903252422,257.0,-5.6333883109998855,36.65509033203125
138.0,0.13925777436991912,248.0,-0.7371444006416226,45.347991943359375
139.0,0.13728252014460293,254.0,2.298372277526366,39.808475494384766
140.0,0.1353352832366127,224.0,4.950300737936489,39.92002868652344
141.0,0.1334156662439026,252.0,8.690540501159342,41.24266052246094
142.0,0.13152327740124015,239.0,11.436297743981687,32.083961486816406
143.0,0.12965773050025253,266.0,14.058607253577753,42.53584671020508
144.0,0.12781864481060753,264.0,17.601914265889697,50.49919891357422
145.0,0.12600564500231182,256.0,20.78392657624899,41.28319549560547
146.0,0.1242183610691121,253.0,23.580351379301785,59.54571533203125
147.0,0.1224564282529819,251.0,26.722798025634827,58.00046920776367
148.0,0.12071948696968016,272.0,29.913207688571276,62.96466064453125
149.0,0.11900718273536538,254.0,33.30652163027836,47.586509704589844
150.0,0.11731916609425078,266.0,36.954739896372814,48.764892578125
151.0,0.11565509254728551,221.0,39.19040134363558,53.49068069458008
152.0,0.11401462248184759,252.0,42.113620878347824,64.91158294677734
153.0,0.11239742110243399,256.0,45.584924918226605,59.936302185058594
154.0,0.11080315836233387,242.0,48.01824488331756,50.43016815185547
155.0,0.10923150889627105,8.0,50.3684708032994,69.0749282836914
156.0,0.10768215195400163,264.0,53.81448020203222,60.54497146606445
157.0,0.10615477133485376,263.0,58.71197356088296,54.156394958496094
158.0,0.10464905532319577,262.0,62.57465159459342,57.059906005859375
159.0,0.10316469662481963,278.0,67.01971752316283,59.11970520019531
160.0,0.10170139230422684,243.0,70.66579253998911,57.060184478759766
161.0,0.10025884372280375,238.0,73.86375526632192,61.03931427001953
162.0,0.09883675647787384,240.0,77.73742027571437,57.85738754272461
163.0,0.09743484034261468,-163.0,77.3966851728886,48.60157775878906
164.0,0.09605280920682677,220.0,81.69879895730645,60.837501525878906
165.0,0.09469038101854274,-128.0,82.7675517782422,60.3974609375
166.0,0.09334727772646485,241.0,86.00326318609758,60.364219665527344
167.0,0.09202322522321882,250.0,88.64809977136984,64.90064239501953
168.0,0.09071795328941251,237.0,91.71390275115158,57.68635559082031
