episode,epsilon,score,average,avg_q_values
0.0,1.0,-237.0,-237.79635587157748,-0.713166356086731
1.0,0.9858158423524046,-130.0,-183.9691382055703,-1.0511863231658936
2.0,0.9718328750329811,-87.0,-151.8752009599279,-1.4247064590454102
3.0,0.9580482443263975,-134.0,-147.44714387183623,-0.9326887726783752
4.0,0.9444591369948698,-292.0,-176.4811158203237,-0.5250425934791565
5.0,0.9310627797040227,-324.0,-201.11195828576138,-3.515373706817627
6.0,0.9178564384568926,-39.0,-177.99463744335762,-2.56656551361084
7.0,0.9048374180359595,-176.0,-177.82957155199313,-3.7069647312164307
8.0,0.8920030614530944,-135.0,-173.1304855304225,-4.343886852264404
9.0,0.879350749407306,-238.0,-179.65420425823902,0.29579633474349976
10.0,0.8668778997501816,-79.0,-170.58936606724308,-4.897139549255371
11.0,0.8545819669589086,-304.0,-181.71305157928785,-3.797562837600708
12.0,0.8424604416167714,-106.0,-175.90620223671831,-4.210057735443115
13.0,0.8305108499010163,-66.0,-168.0863073968899,-3.993811845779419
14.0,0.8187307530779818,-381.0,-182.28435555460942,-5.893147945404053
15.0,0.8071177470053893,-123.0,-178.63323855236416,3.2894275188446045
16.0,0.7956694616416928,-212.0,-180.60662244924566,1.302894115447998
17.0,0.7843835605623898,-35.0,-172.54548557450337,-2.8536217212677
18.0,0.7732577404831906,-63.0,-166.8037738176581,4.769911289215088
19.0,0.7622897307899537,-61.0,-161.5540195079982,3.884716033935547
20.0,0.751477293075286,-52.0,-156.36863177583027,3.687598466873169
21.0,0.7408182206817179,-104.0,-154.02073257241804,7.402989387512207
22.0,0.7303103382513573,-86.0,-151.10192543054907,4.6387553215026855
23.0,0.7199515012819313,-147.0,-150.95487849405572,-1.0912376642227173
24.0,0.7097395956891255,-162.0,-151.40521198090903,4.779202461242676
25.0,0.6996725373751304,-212.0,-153.77045307846325,1.9754663705825806
26.0,0.6897482718033084,-144.0,-153.44020794824272,11.541807174682617
27.0,0.6799647735788938,-118.0,-152.20094218577694,12.48475456237793
28.0,0.6703200460356393,-79.0,-149.70264603651478,7.23045539855957
29.0,0.6608121208283264,-57.0,-146.64411816172608,12.522531509399414
30.0,0.6514390575310556,-41.0,-143.23740539787153,12.79130744934082
31.0,0.6421989432412342,-133.0,-142.92333175973482,11.075128555297852
32.0,0.6330898921891813,-120.0,-142.23132340579275,15.385661125183105
33.0,0.6241100453532709,-105.0,-141.13933066851015,18.201324462890625
34.0,0.6152575700805322,-115.0,-140.41650513460743,11.734612464904785
35.0,0.6065306597126334,-38.0,-137.58703353362517,20.658309936523438
36.0,0.5979275332171694,-76.0,-135.9419180127108,10.895025253295898
37.0,0.5894464348241792,-124.0,-135.62767695843408,10.541264533996582
38.0,0.5810856336678201,-107.0,-134.89918502198722,9.800040245056152
39.0,0.5728434234331229,-89.0,-133.77551940497727,19.713661193847656
40.0,0.5647181220077593,-326.0,-138.47412809315435,28.271141052246094
41.0,0.5567080711387471,-89.0,-137.31198787860478,27.39716339111328
42.0,0.5488116360940264,-91.0,-136.2459121236484,17.3170166015625
43.0,0.541027205328834,-15.0,-133.50608753597646,14.157120704650879
44.0,0.5333531901568119,-61.0,-131.90712259632855,17.426179885864258
45.0,0.5257880244257798,-50.0,-130.14765514946515,14.339101791381836
46.0,0.5183301641981067,-62.0,-128.7053072295373,28.266162872314453
47.0,0.5109780874356169,57.0,-124.81661473671566,-21.593616485595703
48.0,0.5037302936889633,-85.0,-124.01146128122805,30.870445251464844
49.0,0.4965853037914095,-207.0,-125.68121880754619,34.28302764892578
50.0,0.4895416595569531,-86.0,-124.90405396544737,31.132579803466797
51.0,0.48259792348273184,-300.0,-128.28806223581938,31.313634872436523
52.0,0.4757526784556506,-75.0,-127.29259616356772,35.20231628417969
53.0,0.4690045274631699,-47.0,-125.81384978948154,16.75098419189453
54.0,0.4623520933081963,-61.0,-124.64070059754974,29.180912017822266
55.0,0.4557940183280172,-72.0,-123.71676578663613,29.00664520263672
56.0,0.44932896411722156,-65.0,-122.69708251328902,26.89632797241211
57.0,0.4429556112545522,-110.0,-122.49080654125353,37.51976776123047
58.0,0.4366726590336306,-207.0,-123.92688206234537,10.672374725341797
59.0,0.43047882519750297,-33.0,-122.42791700991441,33.71320724487305
60.0,0.42437284567695,-188.0,-123.5169591622957,35.651100158691406
61.0,0.4183534743325094,-13.0,-121.74700101667435,33.10884094238281
62.0,0.4124194827001579,-35.0,-120.37178733327741,12.208906173706055
63.0,0.4065696597405991,-86.0,-119.83654879213802,36.89804458618164
64.0,0.40080281159210923,-78.0,-119.2057875738596,38.46186828613281
65.0,0.3951177613268873,-117.0,-119.17310912296477,22.067562103271484
66.0,0.3895133487108618,111.0,-115.72438444885739,5.566605567932129
67.0,0.38398842996690413,-242.0,-117.58596568783803,17.495323181152344
68.0,0.37854187754140095,-51.0,-116.62430504496909,35.403343200683594
69.0,0.37317257987413693,-442.0,-121.28380056742691,15.026601791381836
70.0,0.36787944117144233,-87.0,-120.81015764961013,13.33008861541748
71.0,0.3626613811825573,-9.0,-119.26284136355639,32.32756423950195
72.0,0.35751733497916927,-447.0,-123.7622500772499,16.647937774658203
