episode,epsilon,score,average,avg_q_values
0.0,1.0,-79.0,-79.45810506058872,-0.30506017804145813
1.0,0.9858158423524046,-379.0,-229.3082548321126,-0.5834868550300598
2.0,0.9718328750329811,-181.0,-213.41540038945837,1.454662799835205
3.0,0.9580482443263975,-310.0,-237.8044611205525,7.145378589630127
4.0,0.9444591369948698,-67.0,-203.65491430275014,6.243857383728027
5.0,0.9310627797040227,-103.0,-186.8816693205184,2.0766069889068604
6.0,0.9178564384568926,-107.0,-175.54803971743343,5.5465850830078125
7.0,0.9048374180359595,-171.0,-175.06327777664623,-2.3054115772247314
8.0,0.8920030614530944,-79.0,-164.46684324694507,4.589715003967285
9.0,0.879350749407306,-68.0,-154.86599582932064,2.6155216693878174
10.0,0.8668778997501816,-102.0,-150.11702457880372,3.761554718017578
11.0,0.8545819669589086,-121.0,-147.7276868587016,2.122799873352051
12.0,0.8424604416167714,12.0,-135.40842560683137,1.3539718389511108
13.0,0.8305108499010163,-216.0,-141.22896817535198,7.349327564239502
14.0,0.8187307530779818,-130.0,-140.4805988488185,-0.5833240151405334
15.0,0.8071177470053893,-83.0,-136.8967195535815,1.4232257604599
16.0,0.7956694616416928,-150.0,-137.7141473108042,-22.6343994140625
17.0,0.7843835605623898,-267.0,-144.92777190779935,4.484015464782715
18.0,0.7732577404831906,-88.0,-141.94738003775547,1.218198299407959
19.0,0.7622897307899537,-183.0,-144.00081018365117,0.15977244079113007
20.0,0.751477293075286,-201.0,-146.75023818643263,0.40011337399482727
21.0,0.7408182206817179,-313.0,-154.3123925756026,6.294943332672119
22.0,0.7303103382513573,-213.0,-156.88927788822397,-3.8952581882476807
23.0,0.7199515012819313,-157.0,-156.91210829382953,5.468602657318115
24.0,0.7097395956891255,-17.0,-151.32534043758065,-3.7731950283050537
25.0,0.6996725373751304,-142.0,-150.98270864599013,8.337039947509766
26.0,0.6897482718033084,-139.0,-150.54489332656465,3.6789910793304443
27.0,0.6799647735788938,-114.0,-149.25846235415395,1.3396893739700317
28.0,0.6703200460356393,-102.0,-147.64536334210484,4.054752349853516
29.0,0.6608121208283264,-110.0,-146.39795818777992,-3.8189570903778076
30.0,0.6514390575310556,-79.0,-144.24432776022726,5.6841044425964355
