episode,epsilon,score,average,avg_q_values
0.0,1.0,-125.0,-125.83177611279392,-0.026297274976968765
1.0,0.9858158423524046,-103.0,-114.44820400303189,0.3084879219532013
2.0,0.9718328750329811,-246.0,-158.45409081268951,-0.023997580632567406
3.0,0.9580482443263975,-185.0,-165.28687193279947,0.10027823597192764
4.0,0.9444591369948698,-468.0,-225.94806077717308,-0.1593240350484848
5.0,0.9310627797040227,-117.0,-207.88930836169226,0.0026586141902953386
6.0,0.9178564384568926,-159.0,-200.91036825022894,3.602741003036499
7.0,0.9048374180359595,-201.0,-200.9294614142693,0.7200000286102295
8.0,0.8920030614530944,-93.0,-189.02737220679364,1.3935332298278809
9.0,0.879350749407306,-398.0,-210.01878866011467,4.07368803024292
10.0,0.8668778997501816,-119.0,-201.78921339577965,1.7068228721618652
11.0,0.8545819669589086,-91.0,-192.59672433837494,1.413514494895935
12.0,0.8424604416167714,-69.0,-183.1261067663837,1.3718708753585815
13.0,0.8305108499010163,-382.0,-197.3880111984883,2.017413854598999
14.0,0.8187307530779818,-246.0,-200.65917823984472,-0.10052710026502609
15.0,0.8071177470053893,-134.0,-196.55328872605912,3.5854101181030273
16.0,0.7956694616416928,-45.0,-187.67061366681912,3.9202921390533447
17.0,0.7843835605623898,-189.0,-187.79765022229398,1.6120615005493164
18.0,0.7732577404831906,-109.0,-183.66449967606704,3.4039721488952637
19.0,0.7622897307899537,-100.0,-179.50844088590807,6.471614360809326
20.0,0.751477293075286,-89.0,-175.217684190516,3.8241565227508545
21.0,0.7408182206817179,-78.0,-170.83469377799926,4.012475967407227
22.0,0.7303103382513573,-25.0,-164.51931838180943,9.5178861618042
23.0,0.7199515012819313,-113.0,-162.40152667335113,7.9859137535095215
24.0,0.7097395956891255,-216.0,-164.55492820593926,12.469705581665039
25.0,0.6996725373751304,-170.0,-164.77346601652025,5.063805103302002
26.0,0.6897482718033084,-51.0,-160.57547154558046,11.333138465881348
27.0,0.6799647735788938,-120.0,-159.15592578399784,0.7381005883216858
28.0,0.6703200460356393,-318.0,-164.64704914413093,5.193571090698242
29.0,0.6608121208283264,-49.0,-160.8205453890142,10.77031135559082
30.0,0.6514390575310556,-184.0,-161.59802518864774,1.631049633026123
31.0,0.6421989432412342,6.0,-156.35946429167657,-0.4796203076839447
32.0,0.6330898921891813,-100.0,-154.65249687603875,7.826589584350586
33.0,0.6241100453532709,-73.0,-152.26292095857454,11.844708442687988
34.0,0.6152575700805322,-114.0,-151.19669908447952,16.53075408935547
35.0,0.6065306597126334,-150.0,-151.18191073661401,14.990673065185547
36.0,0.5979275332171694,-32.0,-147.97165523382043,16.916597366333008
37.0,0.5894464348241792,5.0,-143.93087471160982,16.13736343383789
38.0,0.5810856336678201,-39.0,-141.24374274949756,19.598960876464844
39.0,0.5728434234331229,-102.0,-140.27900237801774,13.15283489227295
40.0,0.5647181220077593,-128.0,-139.9929216548808,11.723798751831055
41.0,0.5567080711387471,-50.0,-137.86142125315348,18.157718658447266
42.0,0.5488116360940264,-78.0,-136.4799343727638,20.210376739501953
43.0,0.541027205328834,-59.0,-134.7206436545461,21.86145782470703
44.0,0.5333531901568119,2.0,-131.67442726825533,0.3785216808319092
45.0,0.5257880244257798,-64.0,-130.22381167513058,16.592647552490234
46.0,0.5183301641981067,-43.0,-128.38728425094664,16.528610229492188
47.0,0.5109780874356169,-72.0,-127.22152590799884,12.590360641479492
48.0,0.5037302936889633,-94.0,-126.56115953238977,17.478309631347656
49.0,0.4965853037914095,-75.0,-125.54418604846022,13.610823631286621
50.0,0.4895416595569531,-151.0,-126.04484100890933,8.324766159057617
51.0,0.48259792348273184,-35.0,-124.30389284975463,29.595884323120117
52.0,0.4757526784556506,22.0,-121.53164840271623,21.510848999023438
53.0,0.4690045274631699,-18.0,-119.61760211292831,-9.077598571777344
54.0,0.4623520933081963,-91.0,-119.099235210468,15.753134727478027
55.0,0.4557940183280172,-72.0,-118.2712026304777,11.71912956237793
56.0,0.44932896411722156,-67.0,-117.38476007122162,26.48342514038086
57.0,0.4429556112545522,-102.0,-117.12013032046066,23.788604736328125
58.0,0.4366726590336306,-86.0,-116.59967693520449,22.544954299926758
59.0,0.43047882519750297,10.0,-114.47615628297935,-3.6035070419311523
60.0,0.42437284567695,-68.0,-113.71555681998717,38.0074577331543
61.0,0.4183534743325094,-100.0,-113.49903228557471,14.16956615447998
