episode,epsilon,score,average,avg_q_values
0.0,1.0,-186.0,-186.81203204278876,-1.1929887533187866
1.0,0.9858158423524046,-397.0,-292.25957605724676,-2.874499797821045
2.0,0.9718328750329811,-317.0,-300.6908591460141,-2.422522783279419
3.0,0.9580482443263975,-106.0,-252.11539050441385,-5.826059341430664
4.0,0.9444591369948698,-69.0,-215.57855074672753,-6.87396240234375
5.0,0.9310627797040227,-305.0,-230.50705998949329,-8.123000144958496
6.0,0.9178564384568926,-68.0,-207.39090687115234,-7.957888603210449
7.0,0.9048374180359595,-24.0,-184.5473041318482,-8.559889793395996
8.0,0.8920030614530944,-177.0,-183.72204221908143,-10.05223274230957
9.0,0.879350749407306,-115.0,-176.85554739249585,-8.126858711242676
10.0,0.8668778997501816,-72.0,-167.3967722671643,-3.7352776527404785
11.0,0.8545819669589086,-98.0,-161.68019544690557,-3.82602858543396
12.0,0.8424604416167714,-241.0,-167.78808751322447,-1.616006851196289
13.0,0.8305108499010163,-82.0,-161.72449346036058,-7.482193946838379
14.0,0.8187307530779818,-75.0,-156.00335633583097,1.2719963788986206
15.0,0.8071177470053893,-346.0,-167.90006477457942,-4.261772155761719
16.0,0.7956694616416928,-146.0,-166.6537827662409,4.368172645568848
17.0,0.7843835605623898,12.0,-156.7114642048656,0.9839450120925903
18.0,0.7732577404831906,-128.0,-155.20465912351668,6.019575595855713
19.0,0.7622897307899537,-171.0,-156.02092362504223,2.167038917541504
20.0,0.751477293075286,-205.0,-158.4003309237039,8.280017852783203
21.0,0.7408182206817179,-163.0,-158.65378554903302,9.944012641906738
22.0,0.7303103382513573,-67.0,-154.69327792461942,9.894065856933594
23.0,0.7199515012819313,-452.0,-167.08560919880026,-0.2969447672367096
24.0,0.7097395956891255,-81.0,-163.67664534030425,13.465446472167969
25.0,0.6996725373751304,11.0,-156.9337115111246,10.1743745803833
26.0,0.6897482718033084,-8.0,-151.426036753708,18.88780403137207
27.0,0.6799647735788938,-59.0,-148.14892446864746,17.71209144592285
28.0,0.6703200460356393,-83.0,-145.90366194615896,12.533044815063477
29.0,0.6608121208283264,-116.0,-144.91636957678637,22.209716796875
30.0,0.6514390575310556,-226.0,-147.5632484785179,12.068709373474121
31.0,0.6421989432412342,-284.0,-151.85543998171636,13.612476348876953
32.0,0.6330898921891813,-54.0,-148.89271203262737,25.539878845214844
33.0,0.6241100453532709,-100.0,-147.48285444996876,28.52998161315918
34.0,0.6152575700805322,-91.0,-145.8959460677013,22.91830062866211
35.0,0.6065306597126334,-83.0,-144.17507265906124,22.959617614746094
36.0,0.5979275332171694,-114.0,-143.3720751320269,26.260700225830078
37.0,0.5894464348241792,-58.0,-141.14706906928583,17.611886978149414
38.0,0.5810856336678201,-121.0,-140.64955009097332,23.732315063476562
39.0,0.5728434234331229,-213.0,-142.4676586636596,4.268247604370117
40.0,0.5647181220077593,-46.0,-140.12992393753467,22.791601181030273
41.0,0.5567080711387471,-85.0,-138.8258624167343,22.16221809387207
42.0,0.5488116360940264,-48.0,-136.733933395452,27.06576919555664
43.0,0.541027205328834,-108.0,-136.09436526882388,27.451162338256836
44.0,0.5333531901568119,-17.0,-133.459289287352,25.647418975830078
45.0,0.5257880244257798,-48.0,-131.6168463809844,25.02420997619629
46.0,0.5183301641981067,-5.0,-128.92402745436416,31.153804779052734
47.0,0.5109780874356169,-64.0,-127.58079372023073,23.706707000732422
48.0,0.5037302936889633,-65.0,-126.31532818247717,34.318355560302734
49.0,0.4965853037914095,-44.0,-124.67078486107022,27.290380477905273
50.0,0.4895416595569531,-72.0,-123.64444139407108,26.813053131103516
51.0,0.48259792348273184,-72.0,-122.66535143064904,27.584455490112305
52.0,0.4757526784556506,-85.0,-121.96293782815954,24.662973403930664
53.0,0.4690045274631699,-93.0,-121.44096814582718,33.03998565673828
54.0,0.4623520933081963,-79.0,-120.67649461524474,28.424583435058594
55.0,0.4557940183280172,-41.0,-119.25622645647911,19.51746940612793
56.0,0.44932896411722156,-65.0,-118.31130421130447,33.36150360107422
57.0,0.4429556112545522,-190.0,-119.56422718317891,10.678741455078125
58.0,0.4366726590336306,-16.0,-117.82147424155036,19.09369659423828
59.0,0.43047882519750297,-43.0,-116.58589048113669,33.63290023803711
60.0,0.42437284567695,27.0,-114.22514492911584,21.263212203979492
