episode,epsilon,score,average,avg_q_values
0.0,1.0,-167.0,-167.87290862002243,-0.8484171032905579
1.0,0.9858158423524046,-207.0,-187.69996338116437,-1.678193211555481
2.0,0.9718328750329811,-196.0,-190.73238782646524,-2.62080717086792
3.0,0.9580482443263975,-127.0,-174.95189951214041,-0.734085738658905
4.0,0.9444591369948698,-118.0,-163.7153257730229,1.8541072607040405
5.0,0.9310627797040227,-85.0,-150.75013509600086,1.2171229124069214
6.0,0.9178564384568926,-97.0,-143.20786802908611,1.8618874549865723
7.0,0.9048374180359595,-443.0,-180.79551497589773,-5.410077095031738
8.0,0.8920030614530944,-82.0,-169.89740439298185,2.0931646823883057
9.0,0.879350749407306,-115.0,-164.4989561867274,2.1797852516174316
10.0,0.8668778997501816,-295.0,-176.3959550215494,6.529748439788818
11.0,0.8545819669589086,-173.0,-176.1515604688472,-0.16513332724571228
12.0,0.8424604416167714,-131.0,-172.73036246573938,2.3759305477142334
13.0,0.8305108499010163,-361.0,-186.23682972873652,7.81270694732666
14.0,0.8187307530779818,-74.0,-178.7851898219898,4.541811466217041
15.0,0.8071177470053893,-263.0,-184.07890420727838,5.411656856536865
16.0,0.7956694616416928,-294.0,-190.59685886442963,-12.36694622039795
17.0,0.7843835605623898,-118.0,-186.5910362071374,3.456770420074463
18.0,0.7732577404831906,-88.0,-181.42079705429646,7.924180030822754
19.0,0.7622897307899537,-151.0,-179.9329019289704,4.469259738922119
20.0,0.751477293075286,-310.0,-186.17366945363904,5.204644203186035
21.0,0.7408182206817179,-208.0,-187.19392201579888,-9.24796199798584
22.0,0.7303103382513573,-356.0,-194.54109719831905,3.962907075881958
23.0,0.7199515012819313,-383.0,-202.42079365868008,-28.849170684814453
24.0,0.7097395956891255,-331.0,-207.5888768168295,7.308849334716797
25.0,0.6996725373751304,-198.0,-207.2535261839177,15.948396682739258
26.0,0.6897482718033084,-54.0,-201.5775282748943,10.138051986694336
27.0,0.6799647735788938,-66.0,-196.76200217898233,14.704733848571777
28.0,0.6703200460356393,-343.0,-201.8341945509696,2.183318853378296
29.0,0.6608121208283264,40.0,-193.7539940527634,-2.999281644821167
30.0,0.6514390575310556,-45.0,-188.96707365766025,-2.5341391563415527
31.0,0.6421989432412342,-82.0,-185.63151659514025,-1.4518299102783203
32.0,0.6330898921891813,-146.0,-184.45621639918235,20.113317489624023
33.0,0.6241100453532709,-115.0,-182.43394840891253,10.028449058532715
34.0,0.6152575700805322,-98.0,-180.0427448525787,10.696661949157715
35.0,0.6065306597126334,-164.0,-179.6154084129417,-4.594931602478027
36.0,0.5979275332171694,-96.0,-177.3692497008854,15.55892562866211
37.0,0.5894464348241792,-90.0,-175.08932723206703,-1.5970337390899658
38.0,0.5810856336678201,-214.0,-176.10042723644054,-6.914351463317871
39.0,0.5728434234331229,28.0,-170.99248778915702,3.5432987213134766
40.0,0.5647181220077593,13.0,-166.48332293523998,10.367487907409668
41.0,0.5567080711387471,-41.0,-163.51170243966268,-6.948336601257324
42.0,0.5488116360940264,-8.0,-159.9113342126329,14.38879680633545
43.0,0.541027205328834,-90.0,-158.32537712361824,20.985197067260742
44.0,0.5333531901568119,-92.0,-156.8596420854232,11.914922714233398
45.0,0.5257880244257798,-72.0,-155.02055790175416,-11.5547456741333
46.0,0.5183301641981067,-57.0,-152.94420046829777,15.222164154052734
47.0,0.5109780874356169,-63.0,-151.0792102863068,-0.9564521312713623
48.0,0.5037302936889633,-127.0,-150.60442741351505,7.959641456604004
49.0,0.4965853037914095,-25.0,-148.10386894613396,8.20414924621582
50.0,0.4895416595569531,-130.0,-147.76234882819523,-12.57689380645752
51.0,0.48259792348273184,-12.0,-145.1539147467427,16.247346878051758
52.0,0.4757526784556506,-25.0,-142.9015767936665,21.289485931396484
53.0,0.4690045274631699,-123.0,-142.54422010358135,21.890262603759766
54.0,0.4623520933081963,-24.0,-140.4066730153719,24.94748306274414
55.0,0.4557940183280172,-135.0,-140.3200515648102,9.504501342773438
56.0,0.44932896411722156,-58.0,-138.88704831992723,37.36310577392578
57.0,0.4429556112545522,-110.0,-138.3946808523443,0.85899418592453
58.0,0.4366726590336306,-84.0,-137.48962172426863,17.201589584350586
59.0,0.43047882519750297,-91.0,-136.72784634718772,10.345958709716797
60.0,0.42437284567695,-106.0,-136.2359018365868,10.122635841369629
61.0,0.4183534743325094,-204.0,-137.34186869378772,2.50298810005188
62.0,0.4124194827001579,-77.0,-136.39041608364101,4.738492012023926
63.0,0.4065696597405991,20.0,-133.93608524421145,-20.690454483032227
64.0,0.40080281159210923,-259.0,-135.8737972118572,-4.442471027374268
65.0,0.3951177613268873,-72.0,-134.91184497656687,18.346349716186523
