episode,epsilon,score,average,avg_q_values
0.0,1.0,-144.0,-144.35795134051136,-0.06844186782836914
1.0,0.9858158423524046,-272.0,-208.47636161523604,-0.2598607838153839
2.0,0.9718328750329811,-100.0,-172.35506484958583,0.8514633178710938
3.0,0.9580482443263975,-296.0,-203.38883302104975,-1.8271071910858154
4.0,0.9444591369948698,-67.0,-176.20561828236993,0.5559415221214294
5.0,0.9310627797040227,-15.0,-149.43120485324206,5.390244960784912
6.0,0.9178564384568926,-105.0,-143.11706369579954,0.3524296283721924
7.0,0.9048374180359595,-84.0,-135.82201517663648,6.433747291564941
8.0,0.8920030614530944,-285.0,-152.44472496617908,9.393353462219238
9.0,0.879350749407306,-289.0,-166.14965977750032,15.326791763305664
10.0,0.8668778997501816,-67.0,-157.1536329626282,4.3169121742248535
11.0,0.8545819669589086,-258.0,-165.61758280601026,-7.743454456329346
12.0,0.8424604416167714,-39.0,-155.91531234458537,7.501899719238281
13.0,0.8305108499010163,-186.0,-158.12331346647264,-10.720293998718262
14.0,0.8187307530779818,-140.0,-156.93722394534245,3.3494372367858887
15.0,0.8071177470053893,-183.0,-158.620717818355,1.1510814428329468
16.0,0.7956694616416928,-228.0,-162.73145309614173,-17.85696792602539
17.0,0.7843835605623898,-111.0,-159.87308994333665,7.799901485443115
18.0,0.7732577404831906,-101.0,-156.80460650573443,-3.0836217403411865
19.0,0.7622897307899537,-108.0,-154.4050093461293,19.005653381347656
20.0,0.751477293075286,-157.0,-154.56326451354795,17.71720314025879
21.0,0.7408182206817179,-48.0,-149.72694222103925,2.2178382873535156
22.0,0.7303103382513573,-41.0,-145.01413256308913,21.122879028320312
23.0,0.7199515012819313,-126.0,-144.23212275140617,22.41271209716797
24.0,0.7097395956891255,-56.0,-140.72280317345468,-5.229076862335205
25.0,0.6996725373751304,-59.0,-137.60883411001808,5.012389183044434
26.0,0.6897482718033084,-29.0,-133.62002031896824,20.576412200927734
27.0,0.6799647735788938,-70.0,-131.3822221845427,10.109325408935547
28.0,0.6703200460356393,-95.0,-130.15748739971156,24.037595748901367
29.0,0.6608121208283264,-118.0,-129.77135035458812,17.165210723876953
30.0,0.6514390575310556,-74.0,-127.97983869121308,20.5723819732666
31.0,0.6421989432412342,18.0,-123.39763433066574,21.062116622924805
32.0,0.6330898921891813,-214.0,-126.15032008833404,4.608501434326172
33.0,0.6241100453532709,-34.0,-123.46177757071574,16.464229583740234
34.0,0.6152575700805322,-138.0,-123.89457678082215,22.051664352416992
35.0,0.6065306597126334,-97.0,-123.15360131466335,29.986328125
36.0,0.5979275332171694,6.0,-119.656589870633,-13.621095657348633
37.0,0.5894464348241792,-61.0,-118.13145749509988,29.131160736083984
38.0,0.5810856336678201,-53.0,-116.47369713041682,27.671342849731445
39.0,0.5728434234331229,-21.0,-114.09011641621572,18.529949188232422
40.0,0.5647181220077593,-104.0,-113.86435494449343,21.138626098632812
41.0,0.5567080711387471,-68.0,-112.78052163349395,33.11974334716797
42.0,0.5488116360940264,-92.0,-112.3056749567253,32.917327880859375
43.0,0.541027205328834,-100.0,-112.03989959367021,26.460922241210938
44.0,0.5333531901568119,-218.0,-114.40628536320186,22.795547485351562
45.0,0.5257880244257798,-24.0,-112.45479025486563,30.298921585083008
46.0,0.5183301641981067,-95.0,-112.08875798359735,27.83393669128418
47.0,0.5109780874356169,-58.0,-110.96814750332132,31.27835464477539
48.0,0.5037302936889633,-29.0,-109.30166010860978,42.57865524291992
49.0,0.4965853037914095,9.0,-106.9191876942836,44.09760284423828
50.0,0.4895416595569531,-72.0,-106.23803445597196,41.11969757080078
51.0,0.48259792348273184,-43.0,-105.0225497395692,23.733909606933594
52.0,0.4757526784556506,-48.0,-103.94791229010036,30.66385841369629
53.0,0.4690045274631699,18.0,-101.67948242405747,31.85161781311035
54.0,0.4623520933081963,-66.0,-101.03829272723775,12.574355125427246
55.0,0.4557940183280172,-40.0,-99.96212378958663,46.30512619018555
56.0,0.44932896411722156,-40.0,-98.91700915659325,39.48456954956055
57.0,0.4429556112545522,-83.0,-98.64608555780022,8.879806518554688
58.0,0.4366726590336306,-78.0,-98.30754553133934,36.95805358886719
59.0,0.43047882519750297,-256.0,-100.93606400246642,5.195071697235107
60.0,0.42437284567695,139.0,-96.99589600056876,9.91636848449707
61.0,0.4183534743325094,-32.0,-95.9495739384272,54.382591247558594
62.0,0.4124194827001579,-198.0,-97.57348761962824,29.750444412231445
63.0,0.4065696597405991,-51.0,-96.8483839900053,29.93243980407715
64.0,0.40080281159210923,-171.0,-97.99812885627514,3.489156723022461
65.0,0.3951177613268873,-15.0,-96.75393020358744,48.703887939453125
66.0,0.3895133487108618,-5.0,-95.39872870380344,-5.897615909576416
67.0,0.38398842996690413,-17.0,-94.25829189888611,59.513526916503906
68.0,0.37854187754140095,-150.0,-95.0668011422014,18.017871856689453
69.0,0.37317257987413693,32.0,-93.24567174018281,10.717338562011719
70.0,0.36787944117144233,-62.0,-92.81396745881476,22.11260414123535
71.0,0.3626613811825573,5.0,-91.45165163433897,27.494354248046875
72.0,0.35751733497916927,-15.0,-90.40770114859399,26.001779556274414
73.0,0.3524462527380765,76.0,-88.14610430614526,34.646339416503906
74.0,0.3474470995269354,-2.0,-87.00744133485816,44.87211990356445
75.0,0.34251885509304564,104.0,-84.48629895856119,37.30254364013672
76.0,0.337660513655132,103.0,-82.04731689170957,36.48136901855469
77.0,0.33287108369807955,49.0,-80.36076388569904,35.3385009765625
78.0,0.32814958777058006,139.0,-77.58011438220872,28.48661231994629
79.0,0.3234950622856487,-169.0,-78.72671514007149,85.8172378540039
80.0,0.31890655732397044,-2.0,-77.78376432757817,87.1137924194336
81.0,0.3143831364400353,-14.0,-77.00980211392825,97.93001556396484
82.0,0.3099238764710244,4.0,-76.02222791470959,80.42971801757812
83.0,0.3055278673484055,105.0,-73.86202525667996,38.42760467529297
84.0,0.30119421191220214,135.0,-71.39411522422769,30.489351272583008
85.0,0.2969220257278962,-135.0,-72.13545526261713,90.25611114501953
86.0,0.2927104369059283,35.0,-70.89433115499999,39.29359817504883
87.0,0.2885585859237581,8.0,-69.99421753857605,83.19001007080078
88.0,0.28446562545044835,58.0,-68.55411123725092,34.16404724121094
89.0,0.2804307201737374,103.0,-66.64295046703678,35.572509765625
90.0,0.2764530466295643,19.0,-65.69563944827605,73.15387725830078
91.0,0.2725317930340126,21.0,-64.74494066688882,38.344482421875
92.0,0.26866615911763636,32.0,-63.6985242892382,17.497190475463867
93.0,0.26485535596213783,99.0,-61.961129432357055,32.143028259277344
94.0,0.2610986058393609,117.0,-60.06735886123938,33.114017486572266
95.0,0.257395142052568,-5.0,-59.49582057970429,87.71485900878906
96.0,0.2537442087799692,-183.0,-60.77831797353916,40.46009826660156
97.0,0.2501450609204698,168.0,-58.44077017107961,34.46316146850586
98.0,0.2465969639416065,86.0,-56.976584046684664,31.44814682006836
99.0,0.2430991937296403,237.0,-54.027151921295236,49.822303771972656
100.0,0.2396510364417758,4.0,-52.535638761298266,75.93391418457031
101.0,0.23625178836047603,154.0,-48.26466071405998,27.451732635498047
102.0,0.2329007557498447,97.0,-46.290192294348444,28.232568740844727
103.0,0.22959725471404477,277.0,-40.54597133966434,41.51272201538086
104.0,0.22634061105772565,150.0,-38.36458406345157,31.906797409057617
105.0,0.22313016014842982,167.0,-36.52954918207192,39.55481719970703
106.0,0.2199652467809513,76.0,-34.71547770628917,34.47691345214844
