episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-149.4,116.9585396625659,-149.97092314859214,116.85288413580139,-0.5644448891282081,0.916368862372291,-149.4
1,-170.2,106.87235376840916,-160.35695525525384,39.80833518349595,-0.14915489405393595,1.396712619964286,-159.8
2,-95.0,30.618621784789728,-138.74133200196937,28.72603961375075,0.5236978173255918,2.549371376264371,-138.20000000000002
3,-90.0,41.67133307202926,-126.65945618477834,23.925202349999307,1.0984726428985596,3.5369360706035597,-126.15
4,-196.4,101.80029469505479,-140.72416624845602,37.07466117101433,1.8331463694572445,4.11540509654537,-140.2
5,-204.2,147.15536007906746,-151.37779457507764,42.33543892010559,2.356916844844818,5.4450800685028415,-150.86666666666667
6,-112.4,73.99527011910963,-145.862084233051,33.60737258841185,2.4874531388282777,7.337851506264267,-145.37142857142857
7,-197.4,109.72830081615226,-152.3343354913606,18.63962088885536,3.357820725440979,9.226985938663566,-151.875
8,-152.2,94.8772891686941,-152.36930204030284,22.755613823807746,2.9048582553863525,7.536837043910781,-151.91111111111113
9,-163.8,56.95787917400015,-153.56956897774523,24.716084044688877,6.260197722911835,8.263787620291966,-153.1
10,-135.2,74.80775360883389,-151.96239299002025,16.445882419117854,7.3668254852294925,10.887925096128532,-151.47272727272727
11,-159.2,83.39784169869147,-152.60770645641514,19.2189726566785,8.458509016036988,10.534426938294123,-152.11666666666667
12,-240.8,133.6888177821915,-159.4254815350648,14.083808511797068,5.595563745498657,12.279815524334829,-158.93846153846155
13,-129.0,112.13607804805731,-157.26808128539648,16.27633248992964,10.560003656148911,11.757124235033816,-156.8
14,-143.4,147.91315019294262,-156.37373028356043,17.725073752663775,7.768449702858925,11.13738986046968,-155.9066666666667
15,-213.6,93.94040664165766,-159.9887322862622,15.923886841162622,13.975511837005616,13.678815272104664,-159.51250000000002
16,-176.8,132.50169810232623,-161.01560677784806,19.03760671113172,13.382292699813842,13.60722362121503,-160.5294117647059
