episode,epsilon,score,average,avg_q_values
0.0,1.0,-168.0,-168.3333550597245,-0.8134288191795349
1.0,0.9858158423524046,-89.0,-128.8635145463016,0.2361123263835907
2.0,0.9718328750329811,-89.0,-115.70911336358554,1.6144858598709106
3.0,0.9580482443263975,-95.0,-110.68300571362938,2.6595726013183594
4.0,0.9444591369948698,-156.0,-119.89256168651703,4.374234676361084
5.0,0.9310627797040227,-400.0,-166.71206054691254,4.753722190856934
6.0,0.9178564384568926,-140.0,-162.96062151899508,4.10835075378418
7.0,0.9048374180359595,-71.0,-151.4696800634196,4.97099494934082
8.0,0.8920030614530944,-298.0,-167.81968815086125,2.6516897678375244
9.0,0.879350749407306,-126.0,-163.73707922899177,5.795804977416992
10.0,0.8668778997501816,-80.0,-156.16857553825008,9.13788890838623
11.0,0.8545819669589086,-98.0,-151.4023223121879,13.749774932861328
12.0,0.8424604416167714,-362.0,-167.6260380017291,-2.5808863639831543
13.0,0.8305108499010163,-109.0,-163.44252514225863,16.324628829956055
14.0,0.8187307530779818,-21.0,-153.96857276670346,11.908401489257812
15.0,0.8071177470053893,-346.0,-166.00938286398542,28.4759578704834
16.0,0.7956694616416928,-86.0,-161.3399471066802,22.489749908447266
17.0,0.7843835605623898,-221.0,-164.66162196108016,25.221698760986328
18.0,0.7732577404831906,-281.0,-170.82273298018703,32.63990020751953
19.0,0.7622897307899537,-264.0,-175.52515323464692,25.117446899414062
20.0,0.751477293075286,-88.0,-171.3853778806311,23.854944229125977
21.0,0.7408182206817179,-157.0,-170.75770904063924,16.446945190429688
22.0,0.7303103382513573,-68.0,-166.30303057462882,23.900190353393555
23.0,0.7199515012819313,-60.0,-161.8922858086171,16.726911544799805
24.0,0.7097395956891255,-148.0,-161.35978415364968,15.206414222717285
25.0,0.6996725373751304,-174.0,-161.85089463515408,20.089214324951172
26.0,0.6897482718033084,-50.0,-157.7267283216511,24.709197998046875
27.0,0.6799647735788938,-2.0,-152.17228363507215,15.694055557250977
28.0,0.6703200460356393,-341.0,-158.69994403509034,17.021909713745117
29.0,0.6608121208283264,-178.0,-159.36852415190162,16.385711669921875
30.0,0.6514390575310556,-254.0,-162.44844568460528,14.881826400756836
31.0,0.6421989432412342,-142.0,-161.8360232206763,15.941019058227539
32.0,0.6330898921891813,-258.0,-164.77055177844483,11.414109230041504
33.0,0.6241100453532709,23.0,-159.24064542540816,-19.962120056152344
34.0,0.6152575700805322,-156.0,-159.16816523911996,11.462231636047363
35.0,0.6065306597126334,0.0,-154.7263191840894,30.61140251159668
36.0,0.5979275332171694,-88.0,-152.9257496807061,15.454304695129395
37.0,0.5894464348241792,-177.0,-153.58013995827835,11.46999454498291
38.0,0.5810856336678201,-61.0,-151.21295880563545,20.656831741333008
39.0,0.5728434234331229,-81.0,-149.46379190200813,35.158023834228516
40.0,0.5647181220077593,-44.0,-146.911796161899,32.00480270385742
41.0,0.5567080711387471,-91.0,-145.58435264183922,10.518671989440918
42.0,0.5488116360940264,-47.0,-143.3134816257807,15.860649108886719
43.0,0.541027205328834,-32.0,-140.80164564745775,31.351322174072266
44.0,0.5333531901568119,-57.0,-138.95772709016535,23.885313034057617
45.0,0.5257880244257798,-160.0,-139.41662070154513,40.583805084228516
46.0,0.5183301641981067,-70.0,-137.94528184668,38.013458251953125
47.0,0.5109780874356169,-17.0,-135.4435563484366,34.092437744140625
48.0,0.5037302936889633,-92.0,-134.57520929726815,21.376235961914062
49.0,0.4965853037914095,25.0,-131.37494842877268,36.02519989013672
50.0,0.4895416595569531,-24.0,-129.2723976740251,17.872934341430664
51.0,0.48259792348273184,-116.0,-129.0335214043958,18.787683486938477
52.0,0.4757526784556506,-56.0,-127.67249852902067,39.79903030395508
53.0,0.4690045274631699,-55.0,-126.33232603187778,28.82682991027832
54.0,0.4623520933081963,-39.0,-124.74553876153959,25.409929275512695
55.0,0.4557940183280172,-80.0,-123.94811075681922,28.663131713867188
56.0,0.44932896411722156,-96.0,-123.46885469935967,34.59771728515625
57.0,0.4429556112545522,-25.0,-121.77615345180769,10.010794639587402
58.0,0.4366726590336306,-129.0,-121.91203596954087,38.864627838134766
59.0,0.43047882519750297,31.0,-119.3571965038505,22.502477645874023
60.0,0.42437284567695,-87.0,-118.8352853372606,30.165498733520508
61.0,0.4183534743325094,-22.0,-117.28830769181468,36.47565841674805
62.0,0.4124194827001579,-30.0,-115.91153757616092,35.98671340942383
63.0,0.4065696597405991,-137.0,-116.24699355181282,34.34816360473633
64.0,0.40080281159210923,-82.0,-115.72396860835413,31.445051193237305
65.0,0.3951177613268873,-156.0,-116.3449208104303,32.337127685546875
66.0,0.3895133487108618,-219.0,-117.8889118607757,31.213781356811523
67.0,0.38398842996690413,-148.0,-118.33808070933436,11.514691352844238
68.0,0.37854187754140095,-138.0,-118.62682127227967,36.619197845458984
