episode,epsilon,score,average,avg_q_values
0.0,1.0,-156.0,-156.7254933318124,-0.3564697802066803
1.0,0.9858158423524046,-165.0,-161.2392312142431,-0.07608488947153091
2.0,0.9718328750329811,-99.0,-140.55021264867295,-0.11783235520124435
3.0,0.9580482443263975,-169.0,-147.8018208261973,1.3308970928192139
4.0,0.9444591369948698,-66.0,-131.519343888005,2.3776590824127197
5.0,0.9310627797040227,-120.0,-129.6772308209085,3.362844467163086
6.0,0.9178564384568926,-122.0,-128.65206762094903,4.349170684814453
7.0,0.9048374180359595,-175.0,-134.44609574383426,5.645384788513184
8.0,0.8920030614530944,-317.0,-154.74872838951796,3.9092886447906494
9.0,0.879350749407306,-420.0,-181.28435127850656,6.902524471282959
10.0,0.8668778997501816,-77.0,-171.81886304724097,9.472766876220703
11.0,0.8545819669589086,-83.0,-164.49704924303822,6.9897027015686035
12.0,0.8424604416167714,-111.0,-160.3987721116307,3.8367104530334473
13.0,0.8305108499010163,-112.0,-156.95002541392063,9.076125144958496
14.0,0.8187307530779818,-85.0,-152.16155117429602,12.368544578552246
15.0,0.8071177470053893,-126.0,-150.56250707592335,10.933215141296387
16.0,0.7956694616416928,-27.0,-143.3004314429045,14.333333015441895
17.0,0.7843835605623898,-128.0,-142.4948165005083,20.326217651367188
18.0,0.7732577404831906,-189.0,-144.96310618922686,20.93747329711914
19.0,0.7622897307899537,-93.0,-142.3744607331706,16.392906188964844
20.0,0.751477293075286,-209.0,-145.57709452837057,5.381707191467285
21.0,0.7408182206817179,-82.0,-142.69734771544475,19.599578857421875
22.0,0.7303103382513573,-322.0,-150.5036049661958,16.915401458740234
23.0,0.7199515012819313,-56.0,-146.57840348898935,19.32666778564453
24.0,0.7097395956891255,-171.0,-147.5780494650809,14.530888557434082
25.0,0.6996725373751304,-265.0,-152.10664914381846,10.685556411743164
26.0,0.6897482718033084,-62.0,-148.7997758160522,12.929861068725586
27.0,0.6799647735788938,-192.0,-150.3548148520891,7.322105884552002
28.0,0.6703200460356393,-184.0,-151.53771205017856,16.75701332092285
29.0,0.6608121208283264,-167.0,-152.08043481564306,4.778606414794922
30.0,0.6514390575310556,-210.0,-153.94888963499,0.7560688853263855
31.0,0.6421989432412342,-173.0,-154.55209933689727,21.674959182739258
32.0,0.6330898921891813,-199.0,-155.92872126218415,20.2633113861084
33.0,0.6241100453532709,-16.0,-151.82596565426198,8.880012512207031
34.0,0.6152575700805322,-98.0,-150.30169042970084,18.846656799316406
35.0,0.6065306597126334,-242.0,-152.87601584340305,3.619037628173828
36.0,0.5979275332171694,-76.0,-150.79968109165534,24.78044319152832
37.0,0.5894464348241792,-91.0,-149.2413875576377,14.808895111083984
38.0,0.5810856336678201,-23.0,-146.01486093519793,16.78582191467285
39.0,0.5728434234331229,-101.0,-144.8947653695021,8.244331359863281
40.0,0.5647181220077593,-58.0,-142.79263168801594,21.194551467895508
41.0,0.5567080711387471,-172.0,-143.49483166042654,-0.569033145904541
42.0,0.5488116360940264,-104.0,-142.58295033163816,22.209651947021484
43.0,0.541027205328834,-118.0,-142.02732546975767,7.731444835662842
44.0,0.5333531901568119,-104.0,-141.1960820391692,22.245704650878906
45.0,0.5257880244257798,-45.0,-139.1136272026155,16.810239791870117
46.0,0.5183301641981067,3.0,-136.0810801089418,15.839953422546387
47.0,0.5109780874356169,-118.0,-135.70857244051803,17.066158294677734
48.0,0.5037302936889633,-68.0,-134.33775896962854,15.323674201965332
49.0,0.4965853037914095,21.0,-131.21796108164625,12.528096199035645
50.0,0.4895416595569531,-111.0,-130.82552245470868,25.910511016845703
51.0,0.48259792348273184,-74.0,-129.74791353345947,-18.372800827026367
52.0,0.4757526784556506,-66.0,-128.5507703917981,8.478425025939941
53.0,0.4690045274631699,-139.0,-128.75289531952558,21.52596092224121
54.0,0.4623520933081963,-90.0,-128.0600298681355,16.47005271911621
55.0,0.4557940183280172,-61.0,-126.87164039644364,6.548087120056152
56.0,0.44932896411722156,-21.0,-125.02209723481293,18.17835807800293
57.0,0.4429556112545522,-83.0,-124.3045466275378,9.495285987854004
58.0,0.4366726590336306,-125.0,-124.3215777653697,-24.79913902282715
