episode,epsilon,score,average,avg_q_values
0.0,1.0,-103.0,-103.16464774445164,-0.26732203364372253
1.0,0.9858158423524046,-347.0,-225.18727078589225,-0.746919572353363
2.0,0.9718328750329811,-93.0,-181.25270856251404,3.0328569412231445
3.0,0.9580482443263975,-113.0,-164.27487335295868,4.73494291305542
4.0,0.9444591369948698,-180.0,-167.44227416573892,0.38080865144729614
5.0,0.9310627797040227,-110.0,-158.03279477799697,7.538455009460449
6.0,0.9178564384568926,-90.0,-148.40381941754057,4.749785900115967
7.0,0.9048374180359595,-142.0,-147.72144382568456,13.32032585144043
8.0,0.8920030614530944,-183.0,-151.71977181122412,0.20966990292072296
9.0,0.879350749407306,-144.0,-150.96682730430794,4.0535736083984375
10.0,0.8668778997501816,-87.0,-145.18902660012373,8.608296394348145
11.0,0.8545819669589086,-93.0,-140.88885014919464,13.548964500427246
12.0,0.8424604416167714,-294.0,-152.66849419918285,13.511466979980469
13.0,0.8305108499010163,-324.0,-164.91070711350116,19.131181716918945
14.0,0.8187307530779818,-81.0,-159.35949267934095,17.44827651977539
15.0,0.8071177470053893,-139.0,-158.14309832874162,18.922266006469727
16.0,0.7956694616416928,-74.0,-153.2199445751761,17.145906448364258
17.0,0.7843835605623898,-140.0,-152.49015654831476,19.77318000793457
18.0,0.7732577404831906,-68.0,-148.09430411612516,18.599040985107422
19.0,0.7622897307899537,-145.0,-147.97152277227335,23.813541412353516
20.0,0.751477293075286,-102.0,-145.81038639886043,21.881610870361328
21.0,0.7408182206817179,-125.0,-144.8855761666016,19.752779006958008
22.0,0.7303103382513573,-135.0,-144.48803108127836,1.9999128580093384
23.0,0.7199515012819313,-84.0,-141.97441586471584,18.19049835205078
24.0,0.7097395956891255,-67.0,-138.97834811555725,20.164684295654297
25.0,0.6996725373751304,-63.0,-136.0833897884886,19.433700561523438
26.0,0.6897482718033084,-89.0,-134.35896267143065,11.6692533493042
27.0,0.6799647735788938,-130.0,-134.22494797098625,15.43877124786377
28.0,0.6703200460356393,-91.0,-132.7348065019964,17.508867263793945
29.0,0.6608121208283264,-269.0,-137.28248615323014,15.40540885925293
30.0,0.6514390575310556,-96.0,-135.9805538192734,15.949239730834961
31.0,0.6421989432412342,-132.0,-135.88600463240402,24.01700782775879
32.0,0.6330898921891813,-78.0,-134.1578873158438,27.493942260742188
33.0,0.6241100453532709,-120.0,-133.761212597749,21.13929557800293
34.0,0.6152575700805322,15.0,-129.48941131859553,-1.7027665376663208
35.0,0.6065306597126334,-40.0,-127.00430554023741,3.6647236347198486
36.0,0.5979275332171694,-10.0,-123.84513940189723,0.49488312005996704
37.0,0.5894464348241792,-35.0,-121.50962931474146,18.30052375793457
38.0,0.5810856336678201,-114.0,-121.32208773338105,9.459562301635742
39.0,0.5728434234331229,-150.0,-122.0409069203856,19.352636337280273
40.0,0.5647181220077593,-191.0,-123.73720207637142,-0.39595329761505127
41.0,0.5567080711387471,-99.0,-123.15170586005632,29.427892684936523
42.0,0.5488116360940264,-66.0,-121.83703272626416,-3.3114519119262695
43.0,0.541027205328834,-53.0,-120.28905021283974,32.04836654663086
44.0,0.5333531901568119,-64.0,-119.0395539527938,17.868181228637695
45.0,0.5257880244257798,7.0,-116.28442033730647,9.638769149780273
46.0,0.5183301641981067,-125.0,-116.48832153899394,1.0918608903884888
47.0,0.5109780874356169,-3.0,-114.13491713281957,-0.7385663986206055
48.0,0.5037302936889633,-88.0,-113.61126523116269,17.825979232788086
49.0,0.4965853037914095,-20.0,-111.74727795548182,24.446075439453125
50.0,0.4895416595569531,-74.0,-111.0183839958925,6.7376298904418945
51.0,0.48259792348273184,-223.0,-113.17901736448607,-12.251270294189453
52.0,0.4757526784556506,-112.0,-113.1742558847838,2.468104600906372
53.0,0.4690045274631699,30.0,-110.51786996228094,10.8363618850708
54.0,0.4623520933081963,-265.0,-113.33855276548728,8.651375770568848
55.0,0.4557940183280172,-48.0,-112.17375059844342,16.522626876831055
56.0,0.44932896411722156,4.0,-110.11871639762664,16.13079071044922
57.0,0.4429556112545522,40.0,-107.51427878568897,-8.199871063232422
58.0,0.4366726590336306,-16.0,-105.97300311727606,19.250986099243164
59.0,0.43047882519750297,-30.0,-104.71336402295674,15.471257209777832
60.0,0.42437284567695,-196.0,-106.2102782654257,-4.158794403076172
61.0,0.4183534743325094,-76.0,-105.73870563633233,19.62590789794922
62.0,0.4124194827001579,-97.0,-105.6024768246317,14.022995948791504
63.0,0.4065696597405991,-37.0,-104.53962618488161,21.916439056396484
64.0,0.40080281159210923,26.0,-102.52974931926394,3.0024538040161133
65.0,0.3951177613268873,-197.0,-103.97551375256883,13.483072280883789
66.0,0.3895133487108618,-60.0,-103.32598246328683,6.32512903213501
67.0,0.38398842996690413,-8.0,-101.93538174381781,22.360366821289062
68.0,0.37854187754140095,-16.0,-100.69281199585292,21.12581443786621
69.0,0.37317257987413693,-143.0,-101.29974068916664,7.980260372161865
70.0,0.36787944117144233,-61.0,-100.73713127014578,24.431032180786133
71.0,0.3626613811825573,163.0,-97.07345737385361,-17.265928268432617
72.0,0.35751733497916927,-127.0,-97.492309556342,13.996728897094727
73.0,0.3524462527380765,-111.0,-97.6853939950562,23.73790168762207
74.0,0.3474470995269354,-123.0,-98.02373842740798,-18.267656326293945
75.0,0.34251885509304564,21.0,-96.45746361395564,22.153696060180664
76.0,0.337660513655132,45.0,-94.61541106357986,0.08264782279729843
77.0,0.33287108369807955,-28.0,-93.76806657199185,11.933075904846191
78.0,0.32814958777058006,-40.0,-93.09022003819571,1.287835717201233
79.0,0.3234950622856487,-32.0,-92.32844236201115,-5.080834865570068
80.0,0.31890655732397044,-302.0,-94.92230035306977,-12.956825256347656
81.0,0.3143831364400353,-41.0,-94.27018632096726,6.750833034515381
82.0,0.3099238764710244,93.0,-92.0098715695972,2.5751771926879883
83.0,0.3055278673484055,-15.0,-91.0932426882017,12.639464378356934
84.0,0.30119421191220214,-45.0,-90.55254477687419,12.255017280578613
85.0,0.2969220257278962,-12.0,-89.64821182856832,9.267626762390137
86.0,0.2927104369059283,52.0,-88.01237675874742,10.986720085144043
87.0,0.2885585859237581,93.0,-85.94947683817597,9.996033668518066
88.0,0.28446562545044835,56.0,-84.34463123190528,11.748766899108887
89.0,0.2804307201737374,-39.0,-83.84483192057094,69.38960266113281
90.0,0.2764530466295643,98.0,-81.84640543210732,12.738489151000977
91.0,0.2725317930340126,36.0,-80.56222295383913,13.731622695922852
92.0,0.26866615911763636,62.0,-79.02197506065066,16.534738540649414
93.0,0.26485535596213783,77.0,-77.35320500125026,12.197436332702637
94.0,0.2610986058393609,55.0,-75.95323187346567,12.070582389831543
95.0,0.257395142052568,64.0,-74.48636481677255,14.745484352111816
96.0,0.2537442087799692,84.0,-72.84661497317225,14.676934242248535
97.0,0.2501450609204698,-7.0,-72.17583823815085,21.726207733154297
98.0,0.2465969639416065,72.0,-70.71667193294346,64.43490600585938
99.0,0.2430991937296403,-153.0,-71.54369531025614,68.80592346191406
100.0,0.2396510364417758,-24.0,-70.75318122941896,20.631134033203125
101.0,0.23625178836047603,-74.0,-68.029327536711,29.93313980102539
102.0,0.2329007557498447,-59.0,-67.6947781419493,40.996604919433594
103.0,0.22959725471404477,121.0,-65.34250469233282,22.77374267578125
104.0,0.22634061105772565,26.0,-63.27439698604585,18.556917190551758
105.0,0.22313016014842982,-19.0,-62.355341593697425,70.65544128417969
106.0,0.2199652467809513,-33.0,-61.78772231795288,19.104108810424805
107.0,0.21684522504361808,96.0,-59.39234168881718,21.8422794342041
108.0,0.21376945818647108,234.0,-55.20577184580832,27.012649536132812
109.0,0.21073731849131314,104.0,-52.716401909974074,24.664257049560547
110.0,0.20774818714360085,302.0,-48.81451805173028,39.049591064453125
111.0,0.20480145410615389,13.0,-47.74270482876618,60.15622329711914
112.0,0.20189651799465538,53.0,-44.26447172878304,19.979339599609375
113.0,0.19903278595491863,16.0,-40.860369539134275,81.59931182861328
114.0,0.19620967354189398,270.0,-37.338335743971825,36.28348159790039
115.0,0.19342660460039254,198.0,-33.95178029516632,26.082124710083008
116.0,0.19068301114750144,81.0,-32.39072332785445,19.75636100769043
117.0,0.1879783332566671,154.0,-29.446872479112184,27.390609741210938
118.0,0.18531201894342234,14.0,-28.612753702524916,27.3245792388916
119.0,0.18268352405273466,227.0,-24.879989610918138,36.352970123291016
120.0,0.1800923121479524,149.0,-22.35691830998322,26.60127067565918
121.0,0.17753785440132586,233.0,-18.76794762626035,20.907045364379883
122.0,0.17501962948608163,72.0,-16.68202417591945,24.508163452148438
123.0,0.17253712347002734,5.0,-15.786209618040118,94.5042495727539
124.0,0.17008982971066583,128.0,-13.825951686613044,26.025758743286133
125.0,0.16767724875179707,211.0,-11.072446111685249,36.14290237426758
126.0,0.16529888822158653,45.0,-9.718313010497262,26.099315643310547
127.0,0.1629542627320793,168.0,-6.730309125282162,40.68581771850586
128.0,0.16064289378013982,-3.0,-5.857752082550009,25.40768051147461
129.0,0.15836430964979642,283.0,-0.3265550804404454,37.15361404418945
130.0,0.15611804531597107,269.0,3.339500954186193,43.67494583129883
131.0,0.1539036423495749,47.0,5.146216880636593,26.096731185913086
132.0,0.15172064882394942,54.0,6.479222296337315,25.408899307250977
133.0,0.14956861922263506,179.0,9.481683332264963,27.634662628173828
134.0,0.147447114348448,272.0,12.046295910174955,29.77884864807129
135.0,0.1453557012338466,19.0,12.63967881877617,90.94735717773438
136.0,0.14329395305256898,209.0,14.83725906837105,35.23806381225586
137.0,0.14126144903252422,313.0,18.326732486001983,33.04471969604492
138.0,0.13925777436991912,133.0,20.80064463872495,25.53704071044922
139.0,0.13728252014460293,177.0,24.080315104106557,32.64091873168945
140.0,0.1353352832366127,202.0,28.024862444454893,48.04901885986328
141.0,0.1334156662439026,138.0,30.403190817600144,33.20650100708008
142.0,0.13152327740124015,233.0,33.40468166954783,28.636201858520508
143.0,0.12965773050025253,233.0,36.27274369732893,44.31538772583008
144.0,0.12781864481060753,262.0,39.5351904638072,54.26036834716797
145.0,0.12600564500231182,272.0,42.17932241622525,49.584659576416016
146.0,0.1242183610691121,264.0,46.085839129869875,42.71279525756836
147.0,0.1224564282529819,246.0,48.58747228823649,34.8973274230957
148.0,0.12071948696968016,233.0,51.806758301127935,36.315185546875
149.0,0.11900718273536538,258.0,54.59378277453463,49.385650634765625
150.0,0.11731916609425078,27.0,55.61037820616731,50.79587936401367
151.0,0.11565509254728551,104.0,58.89293811394823,35.674072265625
152.0,0.11401462248184759,2.0,60.04886838374683,46.57479476928711
153.0,0.11239742110243399,177.0,61.524194599365,42.523250579833984
154.0,0.11080315836233387,236.0,66.54755863710996,50.30375671386719
155.0,0.10923150889627105,280.0,69.83263616799891,53.62033462524414
156.0,0.10768215195400163,164.0,71.43070410091326,43.66551208496094
157.0,0.10615477133485376,193.0,72.95533970345005,58.08354187011719
158.0,0.10464905532319577,265.0,75.77891809432037,46.690975189208984
159.0,0.10316469662481963,240.0,78.49185388563819,49.848358154296875
160.0,0.10170139230422684,297.0,83.42723595153953,64.77729034423828
161.0,0.10025884372280375,235.0,86.5537270307533,49.682640075683594
162.0,0.09883675647787384,268.0,90.21204703462861,50.61741638183594
163.0,0.09743484034261468,32.0,90.9148692823912,87.8559799194336
164.0,0.09605280920682677,234.0,92.99418191158608,47.89422607421875
165.0,0.09469038101854274,233.0,97.31145338043231,54.126930236816406
166.0,0.09334727772646485,260.0,100.5172078103796,66.57784271240234
167.0,0.09202322522321882,36.0,100.9745281320279,88.35713195800781
168.0,0.09071795328941251,201.0,103.15520074036365,58.211551666259766
169.0,0.0894311955384883,235.0,106.93752605788984,50.47358322143555
170.0,0.08816268936235745,281.0,110.36445347307438,63.049739837646484
171.0,0.08691217587780577,213.0,110.87344593286753,50.593223571777344
172.0,0.08567939987365944,271.0,114.86960402556625,55.38332748413086
173.0,0.0844641097587001,290.0,118.89462637229379,55.43388366699219
174.0,0.0832660575103189,205.0,122.1794536118434,54.04582595825195
175.0,0.0820849986238988,261.0,124.58593462505434,53.64336395263672
176.0,0.08092069206291477,283.0,126.96495305699594,61.445560455322266
177.0,0.07977290020974187,258.0,129.83890982148029,58.82077407836914
178.0,0.078641388817161,26.0,130.50127124237147,75.96372985839844
179.0,0.07752592696055255,255.0,133.3751124141576,52.009273529052734
180.0,0.07642628699076807,288.0,139.28258850042047,60.98661422729492
181.0,0.07534224448767067,280.0,142.49994383798088,58.303611755371094
182.0,0.07427357821433388,270.0,144.27304314600798,60.93321228027344
183.0,0.07322007007189076,287.0,147.2971827279221,62.088565826416016
184.0,0.07218150505502309,136.0,149.113915334866,48.72739028930664
185.0,0.07115767120808195,216.0,151.40634414466854,59.10359191894531
186.0,0.07014835958183076,260.0,153.48846499547665,51.11943435668945
187.0,0.06915336419080186,232.0,154.8819213221176,60.78007125854492
188.0,0.06817248197125796,261.0,156.92971576174622,60.46499252319336
189.0,0.06720551273974976,214.0,159.46982294450194,59.61240005493164
190.0,0.06625225915226167,34.0,158.83215866400326,67.61980438232422
191.0,0.06531252666393665,214.0,160.61518202689368,55.531253814697266
192.0,0.0643861234893726,253.0,162.52057407296766,49.43351745605469
193.0,0.0634728605634818,233.0,164.0731537460135,61.5872688293457
194.0,0.06257255150290554,-321.0,160.3008770767191,74.15109252929688
195.0,0.061685012567976046,250.0,162.15745691605764,49.964378356933594
196.0,0.06081006262521797,228.0,163.5919968035176,59.63288497924805
197.0,0.05994752311038171,236.0,166.02318069036184,69.46861267089844
198.0,0.0590972179920012,236.0,167.66292287395862,63.625526428222656
199.0,0.058258973735468345,255.0,171.75271099765502,59.63715362548828
200.0,0.05743261926761735,139.0,173.38457056085537,43.28018569946289
201.0,0.05661798594181114,271.0,176.85123522009295,53.18860626220703
202.0,0.05581490750352316,201.0,179.46398472056114,48.21879959106445
203.0,0.05502322005640723,5.0,178.3042597432618,106.77860260009766
204.0,0.054242762028848826,225.0,180.289642068145,52.232234954833984
205.0,0.05347337414099063,252.0,183.00132436623065,69.25910186767578
206.0,0.052714899372225954,217.0,185.5122297464567,62.183204650878906
207.0,0.05196718292915318,225.0,186.79706740355826,58.64040756225586
208.0,0.051230072213984644,213.0,186.5836512747744,69.38823699951172
209.0,0.050503416793403796,223.0,187.7686211296567,61.31928253173828
210.0,0.05,239.0,187.13129920064176,60.03843688964844
211.0,0.05,254.0,189.53588678089892,59.334930419921875
212.0,0.05,209.0,191.09101500497522,49.54273223876953
213.0,0.05,247.0,193.40433408124878,77.92222595214844
214.0,0.05,121.0,191.91250195919946,45.70346450805664
215.0,0.05,207.0,192.0042944758078,58.57340621948242
216.0,0.05,37.0,191.56047896516134,48.71316909790039
217.0,0.05,249.0,192.51163444825232,57.90795135498047
218.0,0.05,242.0,194.79036126616938,73.14192962646484
219.0,0.05,253.0,195.04582167508786,68.40238189697266
220.0,0.05,280.0,196.3536025529198,77.51874542236328
221.0,0.05,257.0,196.59242586368964,65.89812469482422
222.0,0.05,244.0,198.31199468589722,60.9180908203125
223.0,0.05,41.0,198.66784575070338,104.1219482421875
224.0,0.05,277.0,200.15138459078082,61.95957946777344
225.0,0.05,250.0,200.53800936155537,63.546207427978516
226.0,0.05,7.0,200.1543452112169,104.66175842285156
227.0,0.05,266.0,201.1367194989141,66.37146759033203
228.0,0.05,259.0,203.76825665721842,73.11517333984375
229.0,0.05,253.0,203.46135067351005,67.4541015625
230.0,0.05,313.0,203.89736856465873,81.44995880126953
231.0,0.05,254.0,205.96221109848204,73.70513153076172
232.0,0.05,275.0,208.17377041033203,72.68492889404297
233.0,0.05,261.0,208.98818727074425,89.06597137451172
234.0,0.05,249.0,208.75979639001446,70.2228775024414
235.0,0.05,249.0,211.0627986758294,69.27716827392578
236.0,0.05,272.0,211.68976315011025,73.59717559814453
237.0,0.05,213.0,210.69121440655908,67.83013153076172
238.0,0.05,271.0,212.07296009378348,85.1423568725586
239.0,0.05,18.0,210.47948665198038,111.12815856933594
240.0,0.05,245.0,210.91049476701866,67.89310455322266
241.0,0.05,221.0,211.7400515224969,67.474365234375
242.0,0.05,271.0,212.1185772314748,88.74275207519531
243.0,0.05,267.0,212.46557489602492,69.8866195678711
244.0,0.05,284.0,212.69209370643364,77.39527893066406
245.0,0.05,225.0,212.22741799400595,69.0619125366211
246.0,0.05,229.0,211.87212687592833,67.77567291259766
247.0,0.05,251.0,211.91918420538596,65.58273315429688
248.0,0.05,253.0,212.12261753905523,64.90166473388672
249.0,0.05,276.0,212.30403208871223,80.52024841308594
250.0,0.05,-195.0,210.08007942019736,98.60735321044922
251.0,0.05,254.0,211.5778274120886,71.5700454711914
252.0,0.05,220.0,213.75914094430198,60.9700813293457
253.0,0.05,-184.0,210.13688660013864,38.844276428222656
254.0,0.05,247.0,210.24462894760097,64.2303466796875
255.0,0.05,188.0,209.32745384397478,52.80112838745117
256.0,0.05,269.0,210.3745284339804,71.91921997070312
257.0,0.05,275.0,211.19639965589562,71.16472625732422
258.0,0.05,262.0,211.15945332802474,69.37078094482422
259.0,0.05,275.0,211.51026778431148,71.20198822021484
260.0,0.05,224.0,210.7800224085975,64.53921508789062
261.0,0.05,262.0,211.05239121678568,71.7449951171875
262.0,0.05,235.0,210.71777929055992,71.31910705566406
263.0,0.05,269.0,213.08955481479242,77.7223892211914
264.0,0.05,245.0,213.20736202651005,72.81230163574219
265.0,0.05,270.0,213.57334714539027,68.48287200927734
266.0,0.05,274.0,213.72187821514663,82.06121826171875
267.0,0.05,290.0,216.25935018051965,80.26639556884766
268.0,0.05,274.0,216.98438133942477,78.57222747802734
269.0,0.05,239.0,217.02983576266573,63.38825607299805
270.0,0.05,245.0,216.67256280612023,66.37156677246094
271.0,0.05,281.0,217.34584582000227,71.31698608398438
272.0,0.05,-29.0,214.33112552652105,102.34278869628906
273.0,0.05,271.0,214.14083050534714,70.25694274902344
274.0,0.05,250.0,214.59643012438653,76.97481536865234
275.0,0.05,276.0,214.74090334656339,80.29767608642578
276.0,0.05,247.0,214.38319175098508,76.82647705078125
277.0,0.05,240.0,214.19856014581993,69.85979461669922
278.0,0.05,246.0,216.40753455808715,81.24990844726562
279.0,0.05,239.0,216.25462632485608,70.43221282958984
280.0,0.05,262.0,216.00115940724018,68.09172058105469
281.0,0.05,239.0,215.59607119190002,65.45796203613281
282.0,0.05,268.0,215.57460141560333,63.85347366333008
283.0,0.05,261.0,215.31322763842266,71.370849609375
284.0,0.05,298.0,216.9327934805369,73.52677917480469
285.0,0.05,256.0,217.3303381730158,75.05778503417969
286.0,0.05,291.0,217.63665481284912,77.51557159423828
287.0,0.05,274.0,218.0508105869482,78.30644226074219
288.0,0.05,252.0,217.95688751532924,68.80158233642578
289.0,0.05,265.0,218.4655946195092,70.4737319946289
290.0,0.05,278.0,220.90589187918,64.44746398925781
291.0,0.05,248.0,221.24968054551582,71.51966857910156
292.0,0.05,229.0,221.01455836401692,65.97203826904297
293.0,0.05,273.0,221.4203900878925,79.55067443847656
294.0,0.05,268.0,227.3239794216776,78.96289825439453
295.0,0.05,280.0,227.62436168201378,74.49787139892578
296.0,0.05,263.0,227.97889995323354,70.63260650634766
