episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-160.4,34.399127895922014,-160.7748231905179,34.42773222467539,-0.195016485452652,0.6506544921730881,-160.4
1,-217.0,88.08234783428516,-189.0878282730436,57.99911657790756,0.2096247613430023,0.6742836363011048,-188.7
2,-199.8,118.10884810207914,-192.86290936582125,73.20298395422542,0.08170554637908936,2.3070585547894815,-192.4
3,-194.2,87.00114941769446,-193.32621749291727,69.6012604689334,1.4416337251663207,3.050956924838642,-192.85000000000002
4,-228.6,110.27828435372034,-200.48169888356477,48.76635894539962,1.3341816782951352,4.053344603694747,-200.00000000000003
5,-141.6,105.76766991855308,-190.74485267241184,49.6914455258433,3.933444654941559,2.4060073631445644,-190.26666666666668
6,-127.4,49.247334953274375,-181.75250584937828,46.317799404197416,2.4785551947541533,3.144625639827194,-181.2857142857143
7,-166.4,141.74025539697607,-179.88844045691775,54.44999487150674,3.9317059993743895,4.102221893418432,-179.42500000000004
8,-136.2,93.8013859172667,-175.1020810761385,47.07325939850643,6.126868391036988,4.125718282265273,-174.62222222222226
9,-290.2,178.97681414082663,-186.676422312366,27.473775561784077,5.714971888065338,8.833401851248206,-186.18000000000004
10,-185.8,150.66751474687567,-186.64723297473736,24.575547015425887,3.1764923572540282,5.016458145475057,-186.14545454545458
11,-139.6,67.12153156774657,-182.7842893405762,19.87407398683262,3.2233171701431274,9.585584040663115,-182.26666666666668
12,-109.8,118.78004882975927,-177.20721043561988,17.21070605404982,6.289910197257996,4.249778907420408,-176.69230769230774
13,-198.0,170.61799436167334,-178.72585160056673,18.215511030415158,2.645664381980896,8.791922908658465,-178.21428571428575
14,-122.8,40.80073528749206,-175.01572129027838,18.491858749724706,8.428066539764405,11.410532391664217,-174.52000000000004
15,-156.4,65.7974163626506,-173.8799196233988,19.582428626874883,8.335809779167175,4.897666194981708,-173.38750000000005
16,-111.0,82.92466460589395,-170.2230081018855,17.44102554841826,5.514153099060058,14.470042492874704,-169.71764705882356
17,-147.6,88.91175400361867,-168.99677711034235,19.80471403119753,12.814950561523437,8.08000805533258,-168.48888888888894
18,-112.8,41.948778289719,-166.06363189910036,17.02995378113384,6.485358095169067,11.969627320814883,-165.55789473684214
19,-127.6,65.39724764850583,-164.17452095127925,14.46998605732566,10.515638828277588,14.58551673432367,-163.66000000000003
