episode,epsilon,score,average,avg_q_values
0.0,1.0,-217.0,-217.4578504465814,0.5156890153884888
1.0,0.9858158423524046,-303.0,-260.2637799487414,0.9769390821456909
2.0,0.9718328750329811,-382.0,-301.1494740700536,-2.1588993072509766
3.0,0.9580482443263975,-248.0,-287.9047072951319,4.66127347946167
4.0,0.9444591369948698,-178.0,-266.0885191284152,-2.5810022354125977
5.0,0.9310627797040227,-107.0,-239.5907468316773,0.2536333203315735
6.0,0.9178564384568926,-214.0,-236.02711076543332,0.006260624621063471
7.0,0.9048374180359595,-156.0,-226.04331250175682,2.548788547515869
8.0,0.8920030614530944,-127.0,-215.13638934437023,1.9882019758224487
9.0,0.879350749407306,-217.0,-215.3734162089795,-6.978950500488281
10.0,0.8668778997501816,-183.0,-212.4709216454688,-4.569170951843262
11.0,0.8545819669589086,-123.0,-205.09085334320483,-3.304720401763916
12.0,0.8424604416167714,-50.0,-193.18224518990752,2.822129964828491
13.0,0.8305108499010163,-196.0,-193.40927062821453,4.907180309295654
14.0,0.8187307530779818,-128.0,-189.08244861740764,-7.897587776184082
15.0,0.8071177470053893,-222.0,-191.1484499143738,5.788145065307617
16.0,0.7956694616416928,-91.0,-185.30148564253486,5.111777305603027
17.0,0.7843835605623898,-161.0,-183.9593487582545,6.891586780548096
18.0,0.7732577404831906,-116.0,-180.4019445310705,14.109872817993164
19.0,0.7622897307899537,-121.0,-177.48096959250853,-4.5943684577941895
20.0,0.751477293075286,-88.0,-173.26000408821417,-6.548661708831787
21.0,0.7408182206817179,-242.0,-176.4084465599857,-11.401845932006836
22.0,0.7303103382513573,-115.0,-173.76491529687522,11.711997985839844
23.0,0.7199515012819313,-115.0,-171.34769983507672,6.251804351806641
24.0,0.7097395956891255,-301.0,-176.56497643456373,2.7272164821624756
25.0,0.6996725373751304,-94.0,-173.40419154629737,15.189237594604492
26.0,0.6897482718033084,-75.0,-169.7750074532404,-13.61606502532959
27.0,0.6799647735788938,-95.0,-167.13599202273957,14.39806842803955
28.0,0.6703200460356393,-96.0,-164.68957620467881,9.713263511657715
29.0,0.6608121208283264,-67.0,-161.465579532729,4.4467339515686035
30.0,0.6514390575310556,-4.0,-156.41149402151777,14.740730285644531
31.0,0.6421989432412342,-222.0,-158.46409475366343,10.51702880859375
32.0,0.6330898921891813,-54.0,-155.29873494868679,12.508543968200684
33.0,0.6241100453532709,-88.0,-153.33109361951418,-6.815408229827881
34.0,0.6152575700805322,-98.0,-151.7747781985832,14.8097562789917
35.0,0.6065306597126334,-147.0,-151.66396578824595,13.36181640625
36.0,0.5979275332171694,-31.0,-148.42028424407715,14.09363079071045
37.0,0.5894464348241792,-154.0,-148.59047914403706,2.6979596614837646
38.0,0.5810856336678201,-108.0,-147.566612826014,13.20321273803711
39.0,0.5728434234331229,-63.0,-145.45936551634756,15.631168365478516
40.0,0.5647181220077593,-61.0,-143.41311466620976,12.33802318572998
41.0,0.5567080711387471,-41.0,-140.98190166665714,-7.1754655838012695
42.0,0.5488116360940264,-21.0,-138.19725587884932,6.880439758300781
43.0,0.541027205328834,-78.0,-136.83095067866194,9.226490020751953
44.0,0.5333531901568119,-59.0,-135.11768658531105,4.816733360290527
45.0,0.5257880244257798,-185.0,-136.20760457921997,-10.753164291381836
46.0,0.5183301641981067,-52.0,-134.42529470593269,-14.374309539794922
47.0,0.5109780874356169,-6.0,-131.75884856209672,7.786652088165283
48.0,0.5037302936889633,15.0,-128.76306340205875,-11.486888885498047
49.0,0.4965853037914095,-22.0,-126.64760601256046,10.36343002319336
50.0,0.4895416595569531,-139.0,-126.90796845612405,-13.296093940734863
51.0,0.48259792348273184,-55.0,-125.53641911564185,-9.190109252929688
52.0,0.4757526784556506,-8.0,-123.3296118728945,-23.403650283813477
53.0,0.4690045274631699,79.0,-119.5742127380271,-30.808185577392578
54.0,0.4623520933081963,-82.0,-118.89282725361363,24.683671951293945
55.0,0.4557940183280172,-102.0,-118.60608835572151,18.771669387817383
56.0,0.44932896411722156,-86.0,-118.05057744503975,24.729848861694336
57.0,0.4429556112545522,48.0,-115.17397029862549,-15.133265495300293
58.0,0.4366726590336306,18.0,-112.90208517005671,36.157745361328125
59.0,0.43047882519750297,-17.0,-111.3144439794756,25.25605583190918
60.0,0.42437284567695,-133.0,-111.68457181082954,33.7001953125
61.0,0.4183534743325094,0.0,-109.8785834810303,18.84886932373047
62.0,0.4124194827001579,0.0,-108.1349927234193,1.4488719701766968
63.0,0.4065696597405991,-137.0,-108.59163243022832,47.23958969116211
64.0,0.40080281159210923,19.0,-106.62654946858025,30.610645294189453
65.0,0.3951177613268873,-123.0,-106.87634962312173,28.469951629638672
66.0,0.3895133487108618,-13.0,-105.48690405637109,12.12065315246582
67.0,0.38398842996690413,7.0,-103.82206520386673,46.60599899291992
68.0,0.37854187754140095,13.0,-102.12678068500288,32.16044235229492
69.0,0.37317257987413693,25.0,-100.30459457732888,-0.08255855739116669
70.0,0.36787944117144233,30.0,-98.46671573607243,12.058023452758789
71.0,0.3626613811825573,75.0,-96.04763285676968,12.580777168273926
72.0,0.35751733497916927,5.0,-94.65380548919255,29.554996490478516
73.0,0.3524462527380765,49.0,-92.70320164137344,17.843873977661133
74.0,0.3474470995269354,4.0,-91.40806662731539,48.05755615234375
75.0,0.34251885509304564,0.0,-90.20453017184012,39.59138488769531
76.0,0.337660513655132,-36.0,-89.50675061980026,29.846923828125
77.0,0.33287108369807955,34.0,-87.91815319661721,12.679733276367188
78.0,0.32814958777058006,6.0,-86.7284811888536,40.26744079589844
79.0,0.3234950622856487,-85.0,-86.71474123081433,83.37971496582031
80.0,0.31890655732397044,-68.0,-86.49336573743392,81.8136978149414
81.0,0.3143831364400353,-59.0,-86.16412050488346,30.6121768951416
82.0,0.3099238764710244,33.0,-84.72038897254735,23.198627471923828
83.0,0.3055278673484055,-78.0,-84.64420362400254,75.0765151977539
84.0,0.30119421191220214,12.0,-83.50680751740214,74.11756896972656
85.0,0.2969220257278962,-26.0,-82.84731784640834,68.96587371826172
86.0,0.2927104369059283,141.0,-80.27377830252865,20.1430606842041
87.0,0.2885585859237581,-52.0,-79.9574510460714,48.524391174316406
88.0,0.28446562545044835,-30.0,-79.39874968288073,58.06924057006836
89.0,0.2804307201737374,-56.0,-79.14580085315444,78.01981353759766
90.0,0.2764530466295643,41.0,-77.81935730486914,57.57044219970703
91.0,0.2725317930340126,-14.0,-77.13126864442292,65.00189971923828
92.0,0.26866615911763636,60.0,-75.65207084476917,22.11726951599121
93.0,0.26485535596213783,-253.0,-77.5444138567823,45.48268127441406
94.0,0.2610986058393609,86.0,-75.8131930798242,24.013011932373047
95.0,0.257395142052568,101.0,-73.96603979439851,24.811294555664062
96.0,0.2537442087799692,100.0,-72.16904273667383,24.100847244262695
97.0,0.2501450609204698,113.0,-70.27606963509398,20.08400535583496
98.0,0.2465969639416065,159.0,-67.95680056343775,21.79010581970215
99.0,0.2430991937296403,210.0,-65.17365990109468,34.562110900878906
100.0,0.2396510364417758,99.0,-62.00656712306049,25.01428985595703
101.0,0.23625178836047603,-273.0,-61.70766035661233,60.693992614746094
102.0,0.2329007557498447,-69.0,-58.56924177739893,92.68252563476562
103.0,0.22959725471404477,-66.0,-56.757162372865295,81.68959045410156
104.0,0.22634061105772565,75.0,-54.216682056004004,27.845577239990234
105.0,0.22313016014842982,117.0,-51.97176498187844,27.444013595581055
106.0,0.2199652467809513,-256.0,-52.39236894984327,41.877437591552734
107.0,0.21684522504361808,-98.0,-51.81310069175576,35.760948181152344
108.0,0.21376945818647108,142.0,-49.10480132524989,28.520904541015625
109.0,0.21073731849131314,247.0,-44.45664074520771,42.60023498535156
110.0,0.20774818714360085,215.0,-40.47113632560696,42.61302947998047
111.0,0.20480145410615389,78.0,-38.446577494659834,30.940937042236328
112.0,0.20189651799465538,213.0,-35.812759980858885,31.090221405029297
113.0,0.19903278595491863,212.0,-31.72127548237548,37.60398483276367
114.0,0.19620967354189398,102.0,-29.409945332662904,33.57544708251953
115.0,0.19342660460039254,273.0,-24.448909140119376,47.07965087890625
116.0,0.19068301114750144,89.0,-22.638526349366213,28.988422393798828
117.0,0.1879783332566671,224.0,-18.7848443702124,26.762754440307617
118.0,0.18531201894342234,250.0,-15.11245251903113,43.996185302734375
119.0,0.18268352405273466,232.0,-11.572290563523245,38.14390182495117
120.0,0.1800923121479524,119.0,-9.491758195715823,29.684978485107422
121.0,0.17753785440132586,93.0,-6.132309572456614,27.784692764282227
122.0,0.17501962948608163,256.0,-2.413490813923875,57.50089645385742
123.0,0.17253712347002734,243.0,1.1781493906106444,52.034053802490234
124.0,0.17008982971066583,-122.0,2.9716790606350836,101.46510314941406
125.0,0.16767724875179707,-9.0,3.8220223807794382,104.75578308105469
126.0,0.16529888822158653,142.0,5.999794259466335,33.50239562988281
127.0,0.1629542627320793,282.0,9.7813619243057,59.83333206176758
128.0,0.16064289378013982,20.0,10.952589109587336,85.77702331542969
129.0,0.15836430964979642,252.0,14.159663508961819,44.161155700683594
130.0,0.15611804531597107,272.0,16.92873384868094,51.74180603027344
131.0,0.1539036423495749,250.0,21.653422550517856,64.74536895751953
132.0,0.15172064882394942,221.0,24.40796448734592,48.786441802978516
133.0,0.14956861922263506,247.0,27.76282206495821,59.71039962768555
134.0,0.147447114348448,246.0,31.215792067701436,50.1114387512207
135.0,0.1453557012338466,307.0,35.76544868661656,44.03447723388672
136.0,0.14329395305256898,206.0,38.141974351041895,42.96753692626953
137.0,0.14126144903252422,195.0,41.648626236638584,45.61408233642578
138.0,0.13925777436991912,217.0,44.91360600270377,58.727176666259766
139.0,0.13728252014460293,1.0,45.56290305903321,66.43590545654297
140.0,0.1353352832366127,195.0,48.12883402339526,63.7598876953125
141.0,0.1334156662439026,235.0,50.89289394675418,37.76165771484375
142.0,0.13152327740124015,207.0,53.17752465177904,51.862247467041016
143.0,0.12965773050025253,214.0,56.10781896296852,50.86659240722656
144.0,0.12781864481060753,236.0,59.066729973448204,50.540523529052734
145.0,0.12600564500231182,231.0,63.23466514113984,52.96735382080078
146.0,0.1242183610691121,249.0,66.25017156454632,61.27352523803711
147.0,0.1224564282529819,281.0,69.12950971111961,44.60029220581055
148.0,0.12071948696968016,223.0,71.21164875274916,51.506839752197266
149.0,0.11900718273536538,229.0,73.73748086862072,46.71112823486328
150.0,0.11731916609425078,287.0,78.00812478930553,77.89318084716797
151.0,0.11565509254728551,214.0,80.7051598348068,73.23043060302734
152.0,0.11401462248184759,273.0,83.52907564644856,71.98703002929688
153.0,0.11239742110243399,237.0,85.10486746328462,59.751216888427734
154.0,0.11080315836233387,205.0,87.98231406489073,44.45703125
155.0,0.10923150889627105,-183.0,87.1798354039825,59.105247497558594
156.0,0.10768215195400163,-395.0,84.09239438616135,75.71609497070312
157.0,0.10615477133485376,271.0,86.31837951022318,54.01743698120117
158.0,0.10464905532319577,-40.0,85.72343048492814,54.171974182128906
159.0,0.10316469662481963,-1.0,85.88386720223977,66.2876205444336
160.0,0.10170139230422684,254.0,89.77064492494098,56.20106887817383
161.0,0.10025884372280375,258.0,92.3553752476731,76.57562255859375
162.0,0.09883675647787384,268.0,95.04109892487524,63.00292205810547
163.0,0.09743484034261468,218.0,98.60270910561519,57.804176330566406
164.0,0.09605280920682677,298.0,101.40028943385944,74.36868286132812
165.0,0.09469038101854274,238.0,105.02026509475502,60.120670318603516
166.0,0.09334727772646485,-55.0,104.60349139502652,40.949405670166016
167.0,0.09202322522321882,217.0,106.70505898204837,53.606712341308594
168.0,0.09071795328941251,246.0,109.03441671898891,64.17169952392578
169.0,0.0894311955384883,271.0,111.49593597638449,67.59160614013672
170.0,0.08816268936235745,294.0,114.1406012004759,65.48065948486328
171.0,0.08691217587780577,253.0,115.9178610155551,54.284912109375
172.0,0.08567939987365944,-15.0,115.70746356307349,103.50540161132812
173.0,0.0844641097587001,261.0,117.82356622676667,44.16416931152344
174.0,0.0832660575103189,210.0,119.88799176685087,56.34231185913086
175.0,0.0820849986238988,-231.0,117.57446912445705,36.87905502319336
176.0,0.08092069206291477,210.0,120.0463752317085,51.213226318359375
177.0,0.07977290020974187,220.0,121.90256585911821,50.604515075683594
178.0,0.078641388817161,311.0,124.95268824676243,61.82029724121094
179.0,0.07752592696055255,245.0,128.26400199553956,43.22495651245117
180.0,0.07642628699076807,243.0,131.389190837224,56.24257278442383
181.0,0.07534224448767067,0.0,131.97659683463857,94.97582244873047
182.0,0.07427357821433388,272.0,134.3622008176582,56.150535583496094
183.0,0.07322007007189076,188.0,137.0303400794389,60.34550094604492
184.0,0.07218150505502309,202.0,138.93358435483495,60.21597671508789
185.0,0.07115767120808195,240.0,141.60383491126865,64.50802612304688
186.0,0.07014835958183076,248.0,142.67903556172672,63.95935821533203
187.0,0.06915336419080186,224.0,145.44837074634202,63.96730041503906
188.0,0.06817248197125796,254.0,148.29847526679373,67.9613265991211
189.0,0.06720551273974976,255.0,151.4204969330204,70.32715606689453
190.0,0.06625225915226167,244.0,153.44535868711816,56.56177520751953
191.0,0.06531252666393665,185.0,155.44886061810186,63.479347229003906
192.0,0.0643861234893726,280.0,157.6471597405221,63.89735794067383
193.0,0.0634728605634818,278.0,162.96808721887004,69.89480590820312
194.0,0.06257255150290554,254.0,164.64581043503992,71.23451232910156
195.0,0.061685012567976046,221.0,165.84164496468648,63.06809997558594
196.0,0.06081006262521797,261.0,167.45759629615537,65.0459213256836
197.0,0.05994752311038171,249.0,168.8178863904766,57.59750747680664
198.0,0.0590972179920012,222.0,169.44509081607146,61.7216796875
199.0,0.058258973735468345,285.0,170.20026527968363,68.00209045410156
200.0,0.05743261926761735,240.0,171.61329277329648,70.65679931640625
201.0,0.05661798594181114,297.0,177.3204403002579,71.27554321289062
202.0,0.05581490750352316,251.0,180.52742984950837,67.30364990234375
203.0,0.05502322005640723,249.0,183.69415323604483,62.556129455566406
204.0,0.054242762028848826,253.0,185.47383594103096,74.30596923828125
205.0,0.05347337414099063,312.0,187.42290233309103,77.21953582763672
206.0,0.052714899372225954,257.0,192.56076633285412,75.3617172241211
207.0,0.05196718292915318,300.0,196.54695014860778,85.46349334716797
208.0,0.051230072213984644,231.0,197.4303305073465,74.83348846435547
209.0,0.050503416793403796,285.0,197.81597902542998,72.80876159667969
210.0,0.05,226.0,197.93322125912965,65.07292175292969
211.0,0.05,223.0,199.38597370156344,73.84090423583984
212.0,0.05,300.0,200.26455586167322,75.6076431274414
213.0,0.05,285.0,200.99454634943626,73.50605010986328
214.0,0.05,260.0,202.57696813285907,78.29918670654297
215.0,0.05,195.0,201.78752189233364,64.7336654663086
216.0,0.05,97.0,201.87170449111244,56.148040771484375
217.0,0.05,239.0,202.0216460981892,64.81092071533203
218.0,0.05,280.0,202.31993761826448,75.30757141113281
219.0,0.05,253.0,202.53215767591885,58.640045166015625
220.0,0.05,268.0,204.0214807768423,76.70507049560547
221.0,0.05,272.0,205.81478001635696,76.87621307373047
222.0,0.05,235.0,205.60645181715293,58.603729248046875
223.0,0.05,270.0,205.8773711036122,79.36956024169922
224.0,0.05,296.0,210.0706920803399,75.48797607421875
225.0,0.05,282.0,212.98871696399172,91.86028289794922
226.0,0.05,267.0,214.2402359106735,78.02324676513672
227.0,0.05,251.0,213.93125337476118,77.08293151855469
228.0,0.05,296.0,216.69137362434105,82.7406005859375
229.0,0.05,262.0,216.79393454470028,75.2022933959961
230.0,0.05,263.0,216.70494527822115,80.4215087890625
231.0,0.05,196.0,216.17051012499752,71.03623962402344
232.0,0.05,117.0,215.13110310771145,82.16341400146484
233.0,0.05,137.0,214.032055167267,54.8769416809082
234.0,0.05,244.0,214.01526521347392,70.7824478149414
235.0,0.05,278.0,213.7305969339919,78.56748962402344
236.0,0.05,247.0,214.14993950768726,84.38573455810547
237.0,0.05,200.0,214.19973270222812,51.67877960205078
238.0,0.05,-85.0,211.16274745433927,74.6766586303711
239.0,0.05,227.0,213.4162412114713,74.94036865234375
240.0,0.05,252.0,213.99459586415153,74.75841522216797
241.0,0.05,207.0,213.71364739329672,57.3795051574707
242.0,0.05,242.0,214.07126742929674,68.77911376953125
243.0,0.05,305.0,214.97306747616673,94.9205093383789
244.0,0.05,270.0,215.3147340357816,75.23733520507812
245.0,0.05,199.0,214.99201581052364,77.6900634765625
246.0,0.05,249.0,214.9937150779872,69.06683349609375
247.0,0.05,296.0,215.14461978812187,87.30113983154297
248.0,0.05,251.0,215.428925124707,77.7917709350586
249.0,0.05,302.0,216.16297880983723,80.87618255615234
250.0,0.05,262.0,215.91866246521283,76.47967529296875
251.0,0.05,279.0,216.5735027419389,66.36000061035156
252.0,0.05,256.0,216.40456616039185,77.58916473388672
253.0,0.05,295.0,216.98587784983144,80.43729400634766
254.0,0.05,226.0,217.1969121104489,71.97621154785156
255.0,0.05,284.0,221.8769628351151,77.56259155273438
256.0,0.05,290.0,228.73963612473918,85.12039184570312
257.0,0.05,273.0,228.76331556138592,66.54991912841797
258.0,0.05,234.0,231.51305454152734,70.24778747558594
259.0,0.05,321.0,234.7417174324677,89.66133117675781
260.0,0.05,243.0,234.62683218606637,76.32853698730469
261.0,0.05,259.0,234.629531900336,69.03270721435547
262.0,0.05,273.0,234.67482878330634,74.16358184814453
263.0,0.05,247.0,234.9578753406477,74.692138671875
264.0,0.05,258.0,234.5548851600956,69.10001373291016
265.0,0.05,233.0,234.49720612806186,76.25154876708984
266.0,0.05,234.0,237.39485408402902,65.75038146972656
267.0,0.05,287.0,238.09151661130463,82.47541046142578
268.0,0.05,280.0,238.43844350209747,79.43114471435547
269.0,0.05,292.0,238.6516135005495,80.7817153930664
270.0,0.05,262.0,238.3304959705965,75.52693176269531
271.0,0.05,307.0,238.87221276237707,81.14552307128906
272.0,0.05,225.0,241.27562517686542,75.44627380371094
273.0,0.05,294.0,241.61193720875994,91.48711395263672
274.0,0.05,251.0,242.0211028650997,76.90019226074219
275.0,0.05,263.0,246.96799078043338,77.87157440185547
276.0,0.05,232.0,247.18780192356328,77.0680923461914
277.0,0.05,249.0,247.48024523675053,70.69689178466797
278.0,0.05,320.0,247.57595203580422,87.5006332397461
279.0,0.05,228.0,247.41025283654557,75.16048431396484
280.0,0.05,259.0,247.56507763337572,75.65742492675781
281.0,0.05,265.0,250.23042462782382,81.97162628173828
282.0,0.05,297.0,250.48681832708198,86.6108627319336
283.0,0.05,-10.0,248.50059354799535,111.99703979492188
284.0,0.05,-250.0,243.97392166772607,77.84660339355469
285.0,0.05,272.0,244.2968119629869,87.36039733886719
286.0,0.05,273.0,244.54442464420833,86.4121322631836
287.0,0.05,276.0,245.06716853911246,87.96481323242188
288.0,0.05,288.0,245.3994249513665,96.46807861328125
289.0,0.05,296.0,245.8066659121154,74.88766479492188
290.0,0.05,267.0,246.04111062922215,83.84073638916016
291.0,0.05,251.0,246.69676540897572,84.9793930053711
292.0,0.05,306.0,246.96327866237425,86.37360382080078
293.0,0.05,230.0,246.48304202366788,78.4263687133789
294.0,0.05,274.0,246.68183632381758,84.00057983398438
295.0,0.05,302.0,247.4990965671955,89.33747100830078
296.0,0.05,271.0,247.59232659290967,81.6521987915039
297.0,0.05,248.0,247.58752292078827,80.58963012695312
298.0,0.05,40.0,245.76727549462422,100.87045288085938
299.0,0.05,283.0,245.73867736284143,85.91596221923828
300.0,0.05,256.0,245.90144036243427,88.60031127929688
301.0,0.05,230.0,245.23433962401614,83.56331634521484
302.0,0.05,228.0,245.00154107548354,78.48790740966797
303.0,0.05,279.0,245.30425983017426,88.8712387084961
304.0,0.05,257.0,245.34778181241143,89.68009185791016
305.0,0.05,16.0,242.39402469164673,105.75364685058594
306.0,0.05,253.0,242.35398628209998,88.03971099853516
307.0,0.05,292.0,242.2769734506745,98.70120239257812
