episode,epsilon,score,average,avg_q_values
0.0,1.0,-273.0,-273.3509725149444,-2.515997886657715
1.0,0.9858158423524046,-438.0,-356.0523370335334,-1.1725225448608398
2.0,0.9718328750329811,-156.0,-289.4095373790703,3.934669017791748
3.0,0.9580482443263975,-69.0,-234.5367425135541,7.2769246101379395
4.0,0.9444591369948698,-84.0,-204.55531516360136,14.004576683044434
5.0,0.9310627797040227,-207.0,-205.1245530498376,3.1336798667907715
6.0,0.9178564384568926,-121.0,-193.1615558936788,20.383089065551758
7.0,0.9048374180359595,-312.0,-208.0706790402422,6.203337669372559
8.0,0.8920030614530944,-159.0,-202.63629065259124,17.446043014526367
9.0,0.879350749407306,-209.0,-203.2802811535597,18.32278823852539
10.0,0.8668778997501816,-95.0,-193.47223735186284,15.234700202941895
11.0,0.8545819669589086,-149.0,-189.80439839857482,17.655107498168945
12.0,0.8424604416167714,3.0,-174.912760492722,4.755349636077881
13.0,0.8305108499010163,-124.0,-171.32829800120575,16.995365142822266
14.0,0.8187307530779818,-249.0,-176.56862917606148,-0.9119777083396912
15.0,0.8071177470053893,-46.0,-168.46593239253963,29.114179611206055
16.0,0.7956694616416928,-103.0,-164.6260864963654,29.838972091674805
17.0,0.7843835605623898,-100.0,-161.06106447513204,22.675031661987305
18.0,0.7732577404831906,-280.0,-167.3495385228728,-4.379366397857666
19.0,0.7622897307899537,-147.0,-166.35367224806782,6.132615566253662
20.0,0.751477293075286,-139.0,-165.0548002901928,29.22105598449707
21.0,0.7408182206817179,-197.0,-166.51109902995148,24.241939544677734
22.0,0.7303103382513573,-293.0,-172.03061500414648,-2.570047616958618
23.0,0.7199515012819313,-165.0,-171.77448648040343,11.61510181427002
24.0,0.7097395956891255,-210.0,-173.33024047323184,23.520654678344727
25.0,0.6996725373751304,-143.0,-172.1765493415397,15.578214645385742
26.0,0.6897482718033084,-62.0,-168.1239973313191,9.348024368286133
27.0,0.6799647735788938,-78.0,-164.92705540136492,33.93885040283203
28.0,0.6703200460356393,-96.0,-162.5520984425637,29.091516494750977
29.0,0.6608121208283264,-59.0,-159.1068675970416,28.459035873413086
30.0,0.6514390575310556,-77.0,-156.46789061574938,4.029938220977783
31.0,0.6421989432412342,-53.0,-153.2494261770496,16.998859405517578
32.0,0.6330898921891813,-75.0,-150.9003207842187,13.596468925476074
33.0,0.6241100453532709,-72.0,-148.60194929165655,10.579630851745605
34.0,0.6152575700805322,-83.0,-146.7521649334493,35.265525817871094
35.0,0.6065306597126334,25.0,-141.954728685729,-16.87557029724121
36.0,0.5979275332171694,-204.0,-143.65848845145882,5.80723762512207
37.0,0.5894464348241792,-286.0,-147.42291116678672,6.7033538818359375
38.0,0.5810856336678201,-67.0,-145.37007514624773,52.8002815246582
39.0,0.5728434234331229,-83.0,-143.81615789277475,49.72188186645508
40.0,0.5647181220077593,-12.0,-140.60988558022953,47.437767028808594
41.0,0.5567080711387471,-70.0,-138.9424106564952,54.07410430908203
42.0,0.5488116360940265,-100.0,-138.04496082565996,32.82211685180664
43.0,0.541027205328834,-198.0,-139.42931618834737,8.042439460754395
44.0,0.5333531901568119,-37.0,-137.17447894429,23.55840492248535
45.0,0.5257880244257798,-31.0,-134.87045922763303,34.41057205200195
46.0,0.5183301641981067,-138.0,-134.9433597813891,54.32487869262695
47.0,0.5109780874356169,-15.0,-132.46236455542166,39.20612716674805
48.0,0.5037302936889633,-9.0,-129.9458452064837,15.868940353393555
49.0,0.4965853037914095,-15.0,-127.66230904501167,60.987892150878906
50.0,0.4895416595569531,13.0,-124.90201727894956,54.86279296875
51.0,0.48259792348273184,11.0,-122.27193334577352,37.85158920288086
52.0,0.4757526784556506,-157.0,-122.93845931643445,45.04276657104492
53.0,0.4690045274631699,19.0,-120.29648642124006,44.9873046875
54.0,0.4623520933081963,25.0,-117.6518945209299,51.910682678222656
55.0,0.4557940183280172,15.0,-115.27264132525346,17.8284969329834
56.0,0.44932896411722156,-242.0,-117.50650089301845,25.376514434814453
57.0,0.4429556112545522,-97.0,-117.16958150786752,40.39812088012695
58.0,0.4366726590336306,-29.0,-115.6779478723817,63.260704040527344
59.0,0.43047882519750297,-131.0,-115.94114167816154,32.98347473144531
60.0,0.42437284567695,-81.0,-115.37196902261492,41.85357666015625
61.0,0.4183534743325094,-69.0,-114.63604848931222,66.20313262939453
62.0,0.4124194827001579,-136.0,-114.98078118488851,42.76649856567383
63.0,0.4065696597405991,14.0,-112.9572470262342,52.10664749145508
64.0,0.40080281159210923,-118.0,-113.04491371405425,37.904136657714844
65.0,0.3951177613268873,-186.0,-114.16275374196638,42.369876861572266
