episode,epsilon,score,average,avg_q_values
0.0,1.0,-436.0,-436.46390724201103,-8.097921371459961
1.0,0.9858158423524046,-336.0,-386.65354649459584,3.4218690395355225
2.0,0.9718328750329811,-195.0,-322.93909868390693,-6.709293842315674
3.0,0.9580482443263975,-217.0,-296.4884495158498,-0.8742549419403076
4.0,0.9444591369948698,-178.0,-272.8553475702855,-13.993698120117188
5.0,0.9310627797040227,-105.0,-244.9028228276151,5.267632961273193
6.0,0.9178564384568926,-129.0,-228.3485413231458,-7.060302734375
7.0,0.9048374180359595,-335.0,-241.69892927850333,-8.675725936889648
8.0,0.8920030614530944,-130.0,-229.3794059724011,39.20256805419922
9.0,0.879350749407306,-127.0,-219.19353829044456,37.866519927978516
10.0,0.8668778997501816,-69.0,-205.55420826571694,23.61615753173828
11.0,0.8545819669589086,-74.0,-194.6197007685276,15.976029396057129
12.0,0.8424604416167714,-202.0,-195.23525093594333,8.928550720214844
13.0,0.8305108499010163,-102.0,-188.60361562557844,37.603050231933594
14.0,0.8187307530779818,-462.0,-206.83549295589418,7.982476234436035
15.0,0.8071177470053893,-226.0,-208.08796967429834,18.5404109954834
16.0,0.7956694616416928,-66.0,-199.7754788968774,49.685035705566406
17.0,0.7843835605623898,-74.0,-192.80312145183288,17.631174087524414
18.0,0.7732577404831906,-136.0,-189.86380924403014,33.7708854675293
19.0,0.7622897307899537,-78.0,-184.31006737734683,20.526256561279297
20.0,0.751477293075286,-28.0,-176.89762470095872,21.912500381469727
21.0,0.7408182206817179,-88.0,-172.8581435823807,25.6091251373291
22.0,0.7303103382513573,-104.0,-169.8726953754052,20.378726959228516
23.0,0.7199515012819313,-96.0,-166.8279894225409,24.573543548583984
24.0,0.7097395956891255,-39.0,-161.72930716875052,45.883522033691406
25.0,0.6996725373751304,-58.0,-157.75485338144864,12.142608642578125
26.0,0.6897482718033084,-110.0,-156.0059637444456,49.84949493408203
27.0,0.6799647735788938,-95.0,-153.8304250545932,27.819772720336914
28.0,0.6703200460356393,-112.0,-152.4028743959434,23.65811538696289
29.0,0.6608121208283264,-70.0,-149.6890519903207,31.38088607788086
30.0,0.6514390575310556,-18.0,-145.4440444333031,39.70423126220703
31.0,0.6421989432412342,-35.0,-142.0001090961829,52.24581527709961
32.0,0.6330898921891813,-8.0,-137.9689888817908,25.327045440673828
33.0,0.6241100453532709,-46.0,-135.28875493042221,52.21413803100586
34.0,0.6152575700805322,-24.0,-132.12748009351736,48.02241516113281
35.0,0.6065306597126334,-40.0,-129.58089285124942,52.39836120605469
36.0,0.5979275332171694,-35.0,-127.03689858780463,30.89714813232422
37.0,0.5894464348241792,104.0,-120.95043761982524,-25.82406997680664
38.0,0.5810856336678201,-49.0,-119.11999856677585,66.77753448486328
39.0,0.5728434234331229,-32.0,-116.96041719237179,48.35137176513672
40.0,0.5647181220077593,-39.0,-115.07294183407136,45.45159912109375
41.0,0.5567080711387471,-96.0,-114.62190784683133,27.172046661376953
42.0,0.5488116360940265,43.0,-110.93576490827482,1.8188341856002808
43.0,0.541027205328834,-58.0,-109.75464242895032,67.59017944335938
44.0,0.5333531901568119,12.0,-107.0363927212348,35.591896057128906
45.0,0.5257880244257798,9.0,-104.50991544051672,57.99007034301758
46.0,0.5183301641981067,-66.0,-103.70876993494258,82.24518585205078
47.0,0.5109780874356169,9.0,-101.34673531591241,46.462127685546875
48.0,0.5037302936889633,-45.0,-100.19957812928972,50.398006439208984
49.0,0.4965853037914095,7.0,-98.04569124911157,52.926918029785156
50.0,0.4895416595569531,-105.0,-98.19723456191173,133.36582946777344
51.0,0.48259792348273184,31.0,-95.7094688975978,21.17963981628418
52.0,0.4757526784556506,-37.0,-94.61724237858512,102.25030517578125
53.0,0.4690045274631699,-37.0,-93.56719339649624,80.77350616455078
54.0,0.4623520933081963,-38.0,-92.57250968471506,91.20321655273438
55.0,0.4557940183280172,-25.0,-91.37803626591456,75.30126190185547
56.0,0.44932896411722156,-109.0,-91.69498748431964,14.331059455871582
57.0,0.4429556112545522,6.0,-89.99395374743474,72.52714538574219
58.0,0.4366726590336306,4.0,-88.39918562278757,50.493682861328125
59.0,0.43047882519750297,-92.0,-88.46598373016315,104.09935760498047
