episode,epsilon,score,average,avg_q_values
0.0,1.0,-255.0,-255.37647338414226,-3.2137813568115234
1.0,0.9858158423524046,-112.0,-184.01559151758136,-0.8138707280158997
2.0,0.9718328750329811,-189.0,-185.92910908779737,-3.959831714630127
3.0,0.9580482443263975,-95.0,-163.2395713063794,0.6556103825569153
4.0,0.9444591369948698,-109.0,-152.46144786723366,1.8062496185302734
5.0,0.9310627797040227,-19.0,-130.3222842130408,0.1765863448381424
6.0,0.9178564384568926,-100.0,-126.04037646733458,6.936103820800781
7.0,0.9048374180359595,-161.0,-130.48694434737462,12.614713668823242
8.0,0.8920030614530944,-152.0,-132.96081813782394,11.031733512878418
9.0,0.879350749407306,-248.0,-144.49554335952442,0.016275053843855858
10.0,0.8668778997501816,-175.0,-147.30908186044726,16.80948257446289
11.0,0.8545819669589086,-57.0,-139.81739693400368,20.560256958007812
12.0,0.8424604416167714,-209.0,-145.160420606671,15.548691749572754
13.0,0.8305108499010163,-144.0,-145.14650886332805,2.8021724224090576
14.0,0.8187307530779818,-136.0,-144.54146626706344,10.10391902923584
15.0,0.8071177470053893,-132.0,-143.80249001459453,39.136688232421875
16.0,0.7956694616416928,-113.0,-142.0450340611142,32.61290740966797
17.0,0.7843835605623898,-110.0,-140.2755384329941,25.817399978637695
18.0,0.7732577404831906,-55.0,-135.79831090380947,35.9939079284668
19.0,0.7622897307899537,-102.0,-134.13127537445467,27.131664276123047
20.0,0.751477293075286,-80.0,-131.58222985588682,10.833792686462402
21.0,0.7408182206817179,-180.0,-133.78413436947005,14.029471397399902
22.0,0.7303103382513573,-66.0,-130.83789795517612,26.314525604248047
23.0,0.7199515012819313,-74.0,-128.48208630585808,30.706945419311523
24.0,0.7097395956891255,-98.0,-127.28401543587522,-2.694631576538086
25.0,0.6996725373751304,-56.0,-124.57792920067801,34.794456481933594
26.0,0.6897482718033084,-114.0,-124.21554281669894,31.838394165039062
27.0,0.6799647735788938,-87.0,-122.89899048456793,49.3409538269043
28.0,0.6703200460356393,-56.0,-120.61075581834547,61.06877899169922
29.0,0.6608121208283264,-63.0,-118.7218058630352,34.456912994384766
30.0,0.6514390575310556,26.0,-114.05094653463502,19.55535316467285
31.0,0.6421989432412342,-65.0,-112.54113905303136,24.87073516845703
32.0,0.6330898921891813,-6.0,-109.31420575288287,41.84891128540039
33.0,0.6241100453532709,-73.0,-108.25731621822086,59.232696533203125
34.0,0.6152575700805322,-144.0,-109.30359746390525,63.579811096191406
35.0,0.6065306597126334,-17.0,-106.76082558600451,36.88856887817383
36.0,0.5979275332171694,-36.0,-104.87389071237249,41.851783752441406
37.0,0.5894464348241792,-17.0,-102.58498007145548,58.38167953491211
38.0,0.5810856336678201,-87.0,-102.19856019519871,54.29210662841797
39.0,0.5728434234331229,-110.0,-102.40730106362048,62.942508697509766
40.0,0.5647181220077593,-122.0,-102.89864006137033,41.71015930175781
41.0,0.5567080711387471,-179.0,-104.7182301534097,54.87275314331055
42.0,0.5488116360940265,9.0,-102.06866412951258,22.631418228149414
43.0,0.541027205328834,-54.0,-100.99603853855233,29.455537796020508
44.0,0.5333531901568119,-69.0,-100.30110354341706,50.65352249145508
45.0,0.5257880244257798,-1.0,-98.15022821138646,36.307167053222656
46.0,0.5183301641981067,-104.0,-98.27568823383069,57.918827056884766
47.0,0.5109780874356169,-108.0,-98.49856574023045,74.85227966308594
48.0,0.5037302936889633,-98.0,-98.49792368205108,57.20947265625
49.0,0.4965853037914095,-133.0,-99.20547547099908,52.14239501953125
50.0,0.4895416595569531,-171.0,-100.62113671401626,75.52324676513672
51.0,0.48259792348273184,-90.0,-100.43129940461205,63.05758285522461
52.0,0.4757526784556506,-58.0,-99.6377181045544,95.59300231933594
53.0,0.4690045274631699,-144.0,-100.46395578466901,79.62037658691406
54.0,0.4623520933081963,-411.0,-106.12409518480837,78.72339630126953
55.0,0.4557940183280172,-52.0,-105.1641167128961,81.8772964477539
56.0,0.44932896411722156,-72.0,-104.58925284152762,63.03178024291992
57.0,0.4429556112545522,-139.0,-105.19874452246462,47.794158935546875
58.0,0.4366726590336306,-51.0,-104.28484796315612,84.76554107666016
59.0,0.43047882519750297,-227.0,-106.33154310370624,128.03753662109375
60.0,0.42437284567695,-355.0,-110.40857015981759,107.89488220214844
61.0,0.4183534743325094,-77.0,-109.8825912650456,77.77803802490234
62.0,0.4124194827001579,-178.0,-110.97163733882384,99.92924499511719
63.0,0.4065696597405991,-59.0,-110.15993659053447,122.7114486694336
64.0,0.40080281159210923,-113.0,-110.21315205532837,85.69789123535156
65.0,0.3951177613268873,-32.0,-109.03814654860257,82.05718994140625
66.0,0.3895133487108618,-40.0,-108.02251775725048,104.26774597167969
67.0,0.38398842996690413,-170.0,-108.9472199959788,151.07899475097656
68.0,0.37854187754140095,-42.0,-107.98370969061001,95.62733459472656
69.0,0.37317257987413693,-587.0,-114.83243752462452,149.60289001464844
70.0,0.36787944117144233,-348.0,-118.11720815262024,180.9735565185547
71.0,0.3626613811825573,-301.0,-120.66718332248351,163.30076599121094
72.0,0.35751733497916927,-102.0,-120.4152417754574,128.7220458984375
73.0,0.3524462527380765,-35.0,-119.26966954737264,145.75860595703125
74.0,0.3474470995269354,-364.0,-122.54462873782713,176.220458984375
75.0,0.34251885509304564,-101.0,-122.27361287189021,136.49525451660156
76.0,0.337660513655132,-190.0,-123.1641745239997,137.00537109375
77.0,0.33287108369807955,-230.0,-124.53901690601367,156.0544891357422
78.0,0.32814958777058006,-355.0,-127.45786767865519,130.08880615234375
79.0,0.3234950622856487,-311.0,-129.7574099810466,52.48378372192383
80.0,0.31890655732397044,-61.0,-128.91631356801537,148.49513244628906
81.0,0.3143831364400353,-170.0,-129.42904535553734,177.97605895996094
82.0,0.3099238764710244,48.0,-127.2909361868268,77.5572509765625
83.0,0.3055278673484055,-183.0,-127.9646225733655,118.53080749511719
84.0,0.30119421191220214,-142.0,-128.13846486443248,165.07699584960938
85.0,0.2969220257278962,-272.0,-129.81157308518414,151.6608123779297
86.0,0.2927104369059283,-133.0,-129.84945139316844,154.5823211669922
87.0,0.2885585859237581,-131.0,-129.8626288047632,150.8379669189453
88.0,0.28446562545044835,-192.0,-130.5622562757068,98.42646026611328
89.0,0.2804307201737374,-22.0,-129.36551451088422,109.61637878417969
90.0,0.2764530466295643,-176.0,-129.88228989891172,153.5369415283203
91.0,0.2725317930340126,-62.0,-129.15443462488773,153.50112915039062
92.0,0.26866615911763636,-60.0,-128.4184884663678,140.49754333496094
93.0,0.26485535596213783,-152.0,-128.67348830589407,193.36415100097656
94.0,0.2610986058393609,-57.0,-127.92251448522475,154.9375457763672
95.0,0.257395142052568,-309.0,-129.8114285274839,150.5723876953125
96.0,0.2537442087799692,-108.0,-129.59369419165716,168.84873962402344
97.0,0.2501450609204698,-61.0,-128.89729535636832,172.3519287109375
98.0,0.2465969639416065,12.0,-127.4740732023734,153.40541076660156
99.0,0.2430991937296403,-60.0,-126.80642308086128,186.44056701660156
100.0,0.2396510364417758,-20.0,-124.45296911982783,136.6972198486328
101.0,0.23625178836047603,-165.0,-124.97824695456042,145.86502075195312
102.0,0.2329007557498447,-65.0,-123.73437668519249,202.94972229003906
103.0,0.22959725471404477,-129.0,-124.07930017390504,146.54649353027344
104.0,0.22634061105772565,-115.0,-124.14187272094338,174.4276580810547
105.0,0.22313016014842982,-110.0,-125.0490391694588,219.43951416015625
106.0,0.2199652467809513,-53.0,-124.58247605570483,167.08934020996094
107.0,0.21684522504361808,35.0,-122.61381272335205,139.660400390625
108.0,0.21376945818647108,-95.0,-122.03936055908551,156.1599578857422
109.0,0.21073731849131314,-384.0,-123.39657519449895,180.80209350585938
110.0,0.20774818714360085,-104.0,-122.68391248748688,127.47085571289062
111.0,0.20480145410615389,-262.0,-124.7354507528943,157.39161682128906
112.0,0.20189651799465538,-78.0,-123.42831609664448,151.88809204101562
113.0,0.19903278595491863,-374.0,-125.7188411744793,167.48660278320312
114.0,0.19620967354189398,-42.0,-124.78072372276003,178.07997131347656
115.0,0.19342660460039254,-40.0,-123.85528973214115,90.6858139038086
116.0,0.19068301114750144,-184.0,-124.56497526385617,150.99288940429688
117.0,0.1879783332566671,-103.0,-124.49726522044917,161.9441680908203
118.0,0.18531201894342234,-86.0,-124.81177893061866,188.15394592285156
119.0,0.18268352405273466,-94.0,-124.72976931430803,204.25250244140625
120.0,0.1800923121479524,-89.0,-124.81902417989764,158.77072143554688
121.0,0.17753785440132586,-72.0,-123.7472100994733,177.2194061279297
122.0,0.17501962948608163,-47.0,-123.56390321781113,200.8489532470703
123.0,0.17253712347002734,-310.0,-125.92869520295915,200.29779052734375
124.0,0.17008982971066583,-122.0,-126.16909287534475,198.3112030029297
125.0,0.16767724875179707,-344.0,-129.047982975944,143.67689514160156
126.0,0.16529888822158653,-159.0,-129.49820080040848,187.13711547851562
127.0,0.1629542627320793,-117.0,-129.8024251758839,182.31362915039062
128.0,0.16064289378013982,-43.0,-129.67497021290868,224.13299560546875
129.0,0.15836430964979642,-781.0,-136.84649559012482,85.75914001464844
130.0,0.15611804531597107,-152.0,-138.63722547588858,196.14605712890625
131.0,0.1539036423495749,-152.0,-139.499928528108,255.14144897460938
132.0,0.15172064882394942,-212.0,-141.5668421222019,172.958984375
133.0,0.14956861922263506,-56.0,-141.39946128615142,154.68533325195312
134.0,0.147447114348448,-360.0,-143.55735437032587,213.9003143310547
135.0,0.1453557012338466,-40.0,-143.78155781589714,150.875732421875
136.0,0.14329395305256898,-159.0,-145.00544925613067,159.19647216796875
137.0,0.14126144903252422,-255.0,-147.38327960631082,194.71987915039062
138.0,0.13925777436991912,-313.0,-149.64608600593283,187.57859802246094
139.0,0.13728252014460293,-163.0,-150.18021207859397,153.96803283691406
140.0,0.1353352832366127,-149.0,-150.4535611808218,245.97537231445312
141.0,0.1334156662439026,-36.0,-149.02918386977493,189.1239013671875
142.0,0.13152327740124015,11.0,-149.00666903444068,245.0467071533203
143.0,0.12965773050025253,-127.0,-149.73469794534432,217.2146453857422
144.0,0.12781864481060753,-234.0,-151.3777439529547,235.88067626953125
145.0,0.12600564500231182,-97.0,-152.3436332116509,141.01483154296875
146.0,0.1242183610691121,-111.0,-152.41607804350508,241.02389526367188
147.0,0.1224564282529819,40.0,-150.91792672322234,245.9249267578125
148.0,0.12071948696968016,-114.0,-151.07706425203042,189.48880004882812
149.0,0.11900718273536538,-39.0,-150.13267709343415,272.734130859375
150.0,0.11731916609425078,-50.0,-148.92528546840592,299.2701110839844
151.0,0.11565509254728551,-188.0,-149.9022149179457,269.8035583496094
152.0,0.11401462248184759,-267.0,-151.99198264545524,477.2123718261719
153.0,0.11239742110243399,104.0,-149.50560031248276,62.767704010009766
154.0,0.11080315836233387,-154.0,-146.9307522635201,407.8550720214844
155.0,0.10923150889627105,-343.0,-149.83710793741096,2109.929931640625
156.0,0.10768215195400163,-338.0,-152.50204978019815,933.5372314453125
157.0,0.10615477133485376,-425.0,-155.36210939205006,1975.94091796875
158.0,0.10464905532319577,20.0,-154.64044714322026,202.91278076171875
159.0,0.10316469662481963,-427.0,-156.64758317406236,2091.611083984375
160.0,0.10170139230422684,-414.0,-157.24722231895524,1706.9091796875
161.0,0.10025884372280375,-518.0,-161.6505641156543,2147.59619140625
162.0,0.09883675647787384,-409.0,-163.96376150688457,1574.1591796875
163.0,0.09743484034261468,-385.0,-167.2302574263336,1256.61962890625
164.0,0.09605280920682677,-595.0,-172.0526306985592,2816.1953125
165.0,0.09469038101854274,-538.0,-177.1120841556225,2352.44677734375
166.0,0.09334727772646485,-640.0,-183.11176528254305,3877.53955078125
167.0,0.09202322522321882,-333.0,-184.73613494675547,872.3499145507812
168.0,0.09071795328941251,-644.0,-190.7591512306751,3492.621826171875
169.0,0.0894311955384883,-503.0,-189.9213733303578,1972.654541015625
170.0,0.08816268936235745,-434.0,-190.79034837919386,1763.8798828125
171.0,0.08691217587780577,-424.0,-192.0136554770434,1671.1300048828125
172.0,0.08567939987365944,-461.0,-195.61043852369014,1473.5567626953125
173.0,0.0844641097587001,-559.0,-200.84683692107174,2472.500732421875
174.0,0.0832660575103189,-645.0,-203.65645526316518,2414.917724609375
175.0,0.0820849986238988,-646.0,-209.10600000753143,2867.40087890625
176.0,0.08092069206291477,-583.0,-213.03409417497673,2209.304443359375
177.0,0.07977290020974187,-412.0,-214.85611223828877,1577.0369873046875
178.0,0.078641388817161,-435.0,-215.6607550796064,1682.6680908203125
179.0,0.07752592696055255,-520.0,-217.75500588148643,2772.46533203125
180.0,0.07642628699076807,-624.0,-223.3840625682057,2888.556884765625
181.0,0.07534224448767067,-733.0,-229.0111882378666,2299.463623046875
182.0,0.07427357821433388,-583.0,-235.32826384669352,1822.032470703125
183.0,0.07322007007189076,-602.0,-239.51744606726217,2429.9052734375
184.0,0.07218150505502309,-639.0,-244.48133574284518,2968.72607421875
185.0,0.07115767120808195,-538.0,-247.14906868778363,1290.51220703125
186.0,0.07014835958183076,-440.0,-250.22759657395397,1680.1798095703125
187.0,0.06915336419080186,-726.0,-256.18462481517224,3097.597412109375
188.0,0.06817248197125796,-528.0,-259.54487471827446,1830.479736328125
189.0,0.06720551273974976,-688.0,-266.2021045370214,2421.84619140625
190.0,0.06625225915226167,-572.0,-270.1664631132706,2303.41162109375
191.0,0.06531252666393665,-538.0,-274.9236143310408,4519.05078125
192.0,0.0643861234893726,-530.0,-279.6203328130297,1906.2740478515625
193.0,0.0634728605634818,-705.0,-285.1531550723976,3729.755615234375
194.0,0.06257255150290554,-528.0,-289.86786132358475,2242.07470703125
195.0,0.061685012567976046,-566.0,-292.4418449012129,4897.81591796875
196.0,0.06081006262521797,-630.0,-297.6555454585106,4742.892578125
197.0,0.05994752311038171,-494.0,-301.98436947674844,2908.302001953125
198.0,0.0590972179920012,-543.0,-307.5377981756107,4707.24853515625
199.0,0.058258973735468345,-643.0,-313.36397610125294,6265.05615234375
200.0,0.05743261926761735,-594.0,-319.1059653404207,4057.374755859375
