episode,score_mean,score_std,average_mean,average_std,avg_q_values_mean,avg_q_values_std,rolling_100_score
0,-155.45,78.68824228361065,-156.0244783900036,78.66094580612445,-0.6258201953023672,1.038921081886213,-155.45
1,-205.95,112.38536849889125,-181.29598339016076,78.67400266904647,-0.6269231755286456,2.316240533662328,-180.7
2,-211.25,121.34503871626822,-191.44000014831747,71.54791775648104,-0.06165598034858701,3.655515764169476,-190.88333333333333
3,-153.15,111.86894352909475,-182.00914614849867,62.46968629962123,1.884936188161373,5.410107184930438,-181.45
4,-169.2,120.2416864398314,-179.53216529565512,55.42369011176647,3.0379330568015575,5.811620787806519,-179.0
5,-180.8,104.00131578115024,-179.8386649979973,44.34938440786429,3.45384686216712,5.42748348473502,-179.29999999999998
6,-161.65,85.83477089581379,-177.30181640927015,33.47670832080823,4.725586634874344,5.626857526866544,-176.77857142857144
7,-161.75,100.07148760550602,-175.41689279123642,35.512570105172436,5.065314817428589,7.595060696735667,-174.9
8,-199.3,125.14921620125904,-178.1175211193047,35.537791174896775,7.576021724939347,6.2717009061352496,-177.61111111111111
9,-154.65,104.84086939136303,-175.80729201815168,32.3584486340962,5.606778255105018,7.514979203054906,-175.315
10,-165.65,98.5827330882944,-174.91945275031583,29.425017579554407,8.05134060382843,6.769220452397304,-174.43636363636367
11,-155.9,87.69738638606836,-173.38593396905486,27.576916804103433,5.849079595506192,6.945654785288836,-172.89166666666668
12,-181.85,111.74702398015373,-174.08139753297223,24.011930798059538,7.437573364377021,8.674240238424856,-173.58076923076925
13,-148.55,70.66859274104728,-172.2926513059083,24.949841970427794,8.986160363256932,9.679944325744502,-171.79285714285717
14,-135.1,70.9520965158888,-169.84644372779155,23.909269968021178,5.6384378463029865,10.014100866868382,-169.3466666666667
15,-156.8,107.71287368692164,-169.06295702226785,19.842378480083173,4.720965380221605,11.860216136990742,-168.56250000000003
16,-124.5,78.29935806687186,-166.46931496864067,18.360747996171614,5.151145628094673,10.037511367377856,-165.97058823529414
17,-130.7,118.55538346008764,-164.50913147307898,17.20544453750739,6.94448844268918,9.169252318196827,-164.01111111111112
18,-170.55,94.72035017271688,-164.8498920373876,19.02312526692292,3.649709755182266,11.39006296178987,-164.35526315789477
19,-179.55,112.52998430827694,-165.60797732896913,19.087917427269453,6.741879048943519,9.401217327013201,-165.11500000000004
20,-107.65,85.14030216431921,-162.8729516623519,18.07024783238684,3.9360735416412354,12.12762640456823,-162.37857142857146
21,-140.65,64.1480811543843,-161.88850051538063,17.817900242448854,6.402171638235449,10.92978661402075,-161.39090909090913
22,-162.3,90.19050014158628,-161.9309724183274,15.387576303691391,7.6054923921823505,7.10709574281342,-161.43043478260873
23,-183.75,108.47550050830056,-162.8611620808454,16.569707986565273,6.673460152745247,13.308193189094917,-162.3604166666667
24,-162.65,120.48728913086751,-162.86959654546644,14.651404506519842,3.6579165253788233,10.749230320172604,-162.37200000000004
25,-136.1,74.4551436843193,-161.8579332665259,13.496441059746303,8.993491268157959,11.935519041729078,-161.36153846153852
26,-121.9,70.61601130502613,-160.39541729872656,13.934153356493708,7.232119882106781,8.982043456438596,-159.90000000000003
27,-128.85,82.89452715094616,-159.28624889580368,14.135905103003358,10.95953711271286,11.164782144183555,-158.79107142857148
28,-119.95,76.18638847900381,-157.9442530030439,15.172902564149245,10.881043666601181,13.049955322651293,-157.45172413793108
29,-147.1,82.31703794988073,-157.5969435711499,15.00050882155357,4.0057600200176235,11.73748820734248,-157.1066666666667
30,-99.75,89.36199298064969,-155.7481693940464,14.748467813371152,8.257834693789482,14.467790553638057,-155.25645161290328
31,-122.35,82.10344886659435,-154.71973893714022,15.57619308787543,7.1308888554573056,12.63695257463822,-154.22812500000006
32,-108.3,84.32961644953875,-153.3243533546831,15.804069880887248,7.916079473495484,11.1514952704363,-152.8363636363637
33,-116.8,116.31065480450461,-152.266377205931,14.766392747917267,4.442937570810318,13.254357537144205,-151.77647058823536
34,-110.95,69.28695100051213,-151.09933944455992,15.008266307683884,12.45507677793503,12.949524065740238,-150.61000000000007
35,-96.45,89.17485779723955,-149.5938633048966,15.545416475006764,5.3935066878795626,15.808129868478023,-149.1055555555556
36,-77.9,42.94660087033419,-147.6661687684556,15.295084639472135,13.110545352101326,12.229673243037336,-147.18108108108112
37,-91.15,56.63388886895418,-146.19115951369974,15.534960166856104,13.491738808155059,14.031505659376762,-145.70657894736846
38,-95.5,82.15357890144402,-144.90415773618173,15.907643807915175,11.755863404273986,14.610977529790047,-144.4192307692308
39,-81.65,77.15144027717244,-143.3342890292736,15.989484037721805,16.048615181446074,12.25301925824688,-142.85000000000002
40,-72.7,83.32188693317778,-141.62091609205294,16.07812122174194,13.453946715593338,15.946912922010549,-141.13902439024392
41,-99.45,86.56088517399336,-140.62535968131388,16.530772332761078,9.568215122818946,16.540133250515062,-140.14642857142857
42,-71.3,58.789633887544994,-139.02250509551425,15.784497944958519,14.083918941020965,9.587483772352638,-138.54534883720933
