episode,epsilon,score,average,avg_q_values
0.0,1.0,-531.0,-531.8001991066188,-5.683779716491699
1.0,0.9858158423524046,-104.0,-318.125048451013,-2.3072946071624756
2.0,0.9718328750329811,-105.0,-247.28195814532006,-1.9922767877578735
3.0,0.9580482443263975,-58.0,-200.0776493516509,-3.3983821868896484
4.0,0.9444591369948698,-94.0,-178.86812944354358,-0.06369215250015259
5.0,0.9310627797040227,-118.0,-168.73089956445747,2.2676312923431396
6.0,0.9178564384568926,-167.0,-168.52201583867162,0.4632849097251892
7.0,0.9048374180359595,-111.0,-161.3627817671838,3.3040289878845215
8.0,0.8920030614530944,-97.0,-154.318886859495,6.309589385986328
9.0,0.879350749407306,-85.0,-147.41371189879487,2.1343295574188232
10.0,0.8668778997501816,-200.0,-152.25167943999247,-1.591382622718811
11.0,0.8545819669589086,-408.0,-173.61936733452936,8.987664222717285
12.0,0.8424604416167714,-205.0,-176.07738590559072,4.4665679931640625
13.0,0.8305108499010163,-100.0,-170.6523797860458,4.146430969238281
14.0,0.8187307530779818,-308.0,-179.86627194654523,-1.6921968460083008
15.0,0.8071177470053893,-45.0,-171.49503431233728,2.1894729137420654
16.0,0.7956694616416928,-147.0,-170.0706750698042,-5.820520401000977
17.0,0.7843835605623898,-74.0,-164.78357281832834,-1.2551534175872803
18.0,0.7732577404831906,-133.0,-163.12132453339743,-1.923481822013855
19.0,0.7622897307899537,-135.0,-161.74857576018135,0.10251688212156296
20.0,0.751477293075286,-126.0,-160.08003019201414,0.5886744856834412
21.0,0.7408182206817179,-185.0,-161.2349674204681,2.302942991256714
22.0,0.7303103382513573,-141.0,-160.38207906604572,0.10650733858346939
23.0,0.7199515012819313,-296.0,-166.04405338112736,-4.377417087554932
24.0,0.7097395956891255,-350.0,-173.42097521419186,-12.321529388427734
25.0,0.6996725373751304,-162.0,-172.98820551852398,-3.2302467823028564
26.0,0.6897482718033084,-169.0,-172.85383880978665,-2.638664722442627
27.0,0.6799647735788938,-137.0,-171.57788997711833,-0.7711814641952515
28.0,0.6703200460356393,-101.0,-169.16696748879127,-0.9498534798622131
29.0,0.6608121208283264,-112.0,-167.2781978052802,-2.2347536087036133
30.0,0.6514390575310556,26.0,-161.04212996969207,-10.176106452941895
31.0,0.6421989432412342,-166.0,-161.22254053007742,-1.9031074047088623
32.0,0.6330898921891813,-110.0,-159.6820148795896,-0.3461446166038513
33.0,0.6241100453532709,-39.0,-156.1537530666848,1.5035631656646729
34.0,0.6152575700805322,-166.0,-156.43824831006262,1.4028514623641968
35.0,0.6065306597126334,-180.0,-157.11327526785442,-0.695115327835083
36.0,0.5979275332171694,-311.0,-161.27483550384346,-11.054704666137695
37.0,0.5894464348241792,-57.0,-158.53371838391774,-1.2058851718902588
38.0,0.5810856336678201,-175.0,-158.96006815200607,-2.527238607406616
39.0,0.5728434234331229,-88.0,-157.20291444681868,-6.717226505279541
40.0,0.5647181220077593,-241.0,-159.2558040966556,-6.689857006072998
41.0,0.5567080711387471,-69.0,-157.11822961852437,-2.1529321670532227
42.0,0.5488116360940264,-162.0,-157.235032236258,-9.003137588500977
43.0,0.541027205328834,-50.0,-154.80109691761584,-3.0699687004089355
44.0,0.5333531901568119,-150.0,-154.69604951142375,1.3699872493743896
45.0,0.5257880244257798,-55.0,-152.5289162622906,1.2008839845657349
46.0,0.5183301641981067,-269.0,-155.0222689821255,-0.32152262330055237
47.0,0.5109780874356169,-127.0,-154.4460703344854,-3.0364246368408203
48.0,0.5037302936889633,-93.0,-153.2037457092746,1.0540580749511719
49.0,0.4965853037914095,-76.0,-151.6629144879055,1.0491447448730469
50.0,0.4895416595569531,-53.0,-149.7357727910996,0.8133366107940674
51.0,0.48259792348273184,-290.0,-152.45061375726507,-14.149892807006836
52.0,0.4757526784556506,-61.0,-150.73462536897526,0.19016964733600616
53.0,0.4690045274631699,-151.0,-150.74738201255926,-4.270834922790527
54.0,0.4623520933081963,-117.0,-150.13797550529634,0.9088906645774841
55.0,0.4557940183280172,-117.0,-149.55419904250223,2.0514888763427734
56.0,0.44932896411722156,19.0,-146.58548376175784,1.814081072807312
57.0,0.4429556112545522,-56.0,-145.02521191303484,2.6052026748657227
58.0,0.4366726590336306,-182.0,-145.6660984290347,-0.16624301671981812
59.0,0.43047882519750297,-42.0,-143.94570641387378,-5.9778642654418945
60.0,0.42437284567695,-93.0,-143.11602747027248,1.5929272174835205
61.0,0.4183534743325094,-259.0,-144.99585207454595,-9.473014831542969
62.0,0.4124194827001579,-144.0,-144.99313904100057,-0.8540917634963989
63.0,0.4065696597405991,5.0,-142.64458419189643,4.0906171798706055
64.0,0.40080281159210923,-90.0,-141.8499147636957,1.8929181098937988
65.0,0.3951177613268873,-78.0,-140.88345959677102,-1.0148594379425049
66.0,0.3895133487108618,-187.0,-141.58639331940327,-2.455820322036743
67.0,0.38398842996690413,0.0,-139.51862887876987,5.3701324462890625
68.0,0.37854187754140095,-71.0,-138.53125451168907,1.9141029119491577
69.0,0.37317257987413693,-173.0,-139.03295556100264,1.1094624996185303
70.0,0.36787944117144233,-305.0,-141.38083529180557,-3.343207359313965
71.0,0.3626613811825573,-42.0,-140.00487683562426,2.073955774307251
72.0,0.35751733497916927,-45.0,-138.70428753861842,1.095503330230713
73.0,0.3524462527380765,-75.0,-137.85691408682956,0.6525615453720093
74.0,0.3474470995269354,-12.0,-136.18603233573862,3.1119773387908936
75.0,0.34251885509304564,-36.0,-134.8698542902477,0.9471879005432129
76.0,0.337660513655132,-10.0,-133.24905305688634,2.482034921646118
77.0,0.33287108369807955,44.0,-130.9688652638711,2.207927942276001
78.0,0.32814958777058006,-138.0,-131.06823839485574,-0.1544620543718338
79.0,0.3234950622856487,116.0,-127.96851038688833,3.974032163619995
80.0,0.31890655732397044,26.0,-126.05663284845413,-1.3921091556549072
81.0,0.3143831364400353,64.0,-123.72856589812744,2.8471689224243164
82.0,0.3099238764710244,-37.0,-122.69406705987763,4.849674224853516
83.0,0.3055278673484055,-75.0,-122.12714550151097,3.8315224647521973
84.0,0.30119421191220214,40.0,-120.21704803079231,-0.26116621494293213
85.0,0.2969220257278962,-95.0,-119.93518541602614,-0.25184351205825806
86.0,0.2927104369059283,-3.0,-118.60064394552882,1.95610511302948
87.0,0.2885585859237581,-103.0,-118.42394630665217,1.2324116230010986
88.0,0.28446562545044835,-19.0,-117.30683669758638,0.8928595185279846
89.0,0.2804307201737374,-66.0,-116.73902495165868,2.088592767715454
90.0,0.2764530466295643,-3.0,-115.4906260986102,2.4965507984161377
91.0,0.2725317930340126,-46.0,-114.73975615815534,-1.1689319610595703
92.0,0.26866615911763636,-31.0,-113.84213999765609,0.6149786114692688
93.0,0.26485535596213783,75.0,-111.83307227146192,2.4851651191711426
94.0,0.2610986058393609,80.0,-109.81033422295474,0.37340494990348816
95.0,0.257395142052568,-90.0,-109.60960491949336,0.6554661989212036
96.0,0.2537442087799692,-190.0,-110.44246899799353,-0.8468425273895264
97.0,0.2501450609204698,-31.0,-109.63834230571085,1.7756704092025757
98.0,0.2465969639416065,-17.0,-108.70579049570956,6.739993572235107
99.0,0.2430991937296403,-3.0,-107.65417310709512,2.2998101711273193
100.0,0.2396510364417758,75.0,-101.58345759414124,4.351014137268066
101.0,0.23625178836047603,-19.0,-100.73488113046463,0.9527413845062256
102.0,0.2329007557498447,-212.0,-101.80770614311697,1.2039180994033813
103.0,0.22959725471404477,-39.0,-101.62132579247312,0.8161251544952393
104.0,0.22634061105772565,-128.0,-101.96999079816356,-1.723691463470459
105.0,0.22313016014842982,-128.0,-102.07415149345945,-12.973198890686035
106.0,0.2199652467809513,246.0,-97.93269495178383,0.03597128391265869
107.0,0.21684522504361808,-96.0,-97.78316310369986,2.597598075866699
108.0,0.21376945818647108,-65.0,-97.45755393037167,1.1494594812393188
109.0,0.21073731849131314,-157.0,-98.17511774847581,0.38368356227874756
110.0,0.20774818714360085,-61.0,-96.78487784318325,0.24559327960014343
111.0,0.20480145410615389,64.0,-92.05477793458796,1.5816155672073364
112.0,0.20189651799465538,-87.0,-90.87563148071723,-0.4824584722518921
113.0,0.19903278595491863,-18.0,-90.0568113200708,2.4751627445220947
114.0,0.19620967354189398,-106.0,-88.03506507743525,-0.6782355904579163
115.0,0.19342660460039254,-88.0,-88.465586013715,-0.31266799569129944
116.0,0.19068301114750144,-12.0,-87.1183449673354,1.7584896087646484
117.0,0.1879783332566671,-148.0,-87.85242776616343,-0.3496762812137604
118.0,0.18531201894342234,-56.0,-87.0903732453271,0.7899375557899475
119.0,0.18268352405273466,-49.0,-86.2301168640161,-0.2697649300098419
120.0,0.1800923121479524,82.0,-84.13863785094784,1.9822791814804077
