episode,epsilon,score,average,avg_q_values
0.0,1.0,-129.0,-129.11474506488872,-0.5780274868011475
1.0,0.9858158423524046,-91.0,-110.35235425689652,-0.4043634533882141
2.0,0.9718328750329811,-220.0,-147.03085004793053,1.5520679950714111
3.0,0.9580482443263975,-131.0,-143.19837813159694,0.4993443489074707
4.0,0.9444591369948698,-194.0,-153.46588481341803,-1.1215171813964844
5.0,0.9310627797040227,-317.0,-180.73841039270576,-1.6042115688323975
6.0,0.9178564384568926,-78.0,-166.08269334020977,1.9146720170974731
7.0,0.9048374180359595,-168.0,-166.40679626374694,0.7849852442741394
8.0,0.8920030614530944,-137.0,-163.2067486944897,1.8711085319519043
9.0,0.879350749407306,-111.0,-158.0071496915364,8.368892669677734
10.0,0.8668778997501816,-204.0,-162.19283633161254,6.0515055656433105
11.0,0.8545819669589086,-42.0,-152.21894523102077,-2.576394557952881
12.0,0.8424604416167714,-55.0,-144.7413760734042,5.114843845367432
13.0,0.8305108499010163,-116.0,-142.7537363059459,4.773463249206543
14.0,0.8187307530779818,-127.0,-141.72894030761063,-5.489898204803467
15.0,0.8071177470053893,-350.0,-154.75332435693733,-2.3378732204437256
16.0,0.7956694616416928,-128.0,-153.18451962526424,5.898809432983398
17.0,0.7843835605623898,-161.0,-153.6372034876715,-9.128290176391602
18.0,0.7732577404831906,-26.0,-146.97088418279654,0.8417884707450867
19.0,0.7622897307899537,-102.0,-144.73692976931721,3.746842622756958
20.0,0.751477293075286,-95.0,-142.4081716668324,3.1148040294647217
21.0,0.7408182206817179,-170.0,-143.67210068818625,-8.369094848632812
22.0,0.7303103382513573,-249.0,-148.27871449411725,-5.899014949798584
23.0,0.7199515012819313,-191.0,-150.08218383185164,0.22138835489749908
24.0,0.7097395956891255,-118.0,-148.837242999306,-8.285266876220703
25.0,0.6996725373751304,-190.0,-150.45564386269402,-3.961019277572632
26.0,0.6897482718033084,-253.0,-154.27357891228965,-14.945356369018555
27.0,0.6799647735788938,-205.0,-156.09434197766342,-9.15453815460205
28.0,0.6703200460356393,-158.0,-156.1915793641206,2.0935566425323486
29.0,0.6608121208283264,13.0,-150.54967509546614,-4.328432083129883
30.0,0.6514390575310556,-183.0,-151.60096406050005,-0.4542964994907379
31.0,0.6421989432412342,-52.0,-148.49633960225694,-8.41682243347168
32.0,0.6330898921891813,-89.0,-146.72115084111164,-2.491947889328003
33.0,0.6241100453532709,-94.0,-145.17658972934868,0.6950410008430481
34.0,0.6152575700805322,-140.0,-145.039053480556,3.1788129806518555
35.0,0.6065306597126334,-88.0,-143.46286645554244,2.448625087738037
36.0,0.5979275332171694,-62.0,-141.27680579012824,1.5038483142852783
37.0,0.5894464348241792,-54.0,-138.98318733410807,0.617875337600708
38.0,0.5810856336678201,-42.0,-136.50046655448395,-0.7304537296295166
39.0,0.5728434234331229,-44.0,-134.20530355874922,-0.4035875201225281
40.0,0.5647181220077593,-73.0,-132.72482423549806,-1.7362383604049683
41.0,0.5567080711387471,-91.0,-131.74062009313045,4.167163372039795
42.0,0.5488116360940264,-39.0,-129.6001436476917,2.7950940132141113
43.0,0.541027205328834,-106.0,-129.07232380577256,-0.6974630951881409
44.0,0.5333531901568119,-47.0,-127.25526169042138,-3.15501070022583
45.0,0.5257880244257798,-97.0,-126.61251648453128,-0.5960263013839722
46.0,0.5183301641981067,-113.0,-126.34285190063636,2.0916879177093506
47.0,0.5109780874356169,-86.0,-125.50347776738425,-1.6843633651733398
48.0,0.5037302936889633,-70.0,-124.38890500852419,2.893876552581787
49.0,0.4965853037914095,-53.0,-122.9618252600866,-0.4087146818637848
50.0,0.4895416595569531,-355.0,-127.52747452010118,-11.037261962890625
51.0,0.48259792348273184,0.0,-125.0569128452389,-19.700340270996094
52.0,0.4757526784556506,-172.0,-125.95931826314595,-1.7897714376449585
53.0,0.4690045274631699,-65.0,-124.84718054308567,3.107957601547241
54.0,0.4623520933081963,-58.0,-123.64751885435768,1.8868030309677124
55.0,0.4557940183280172,-71.0,-122.71809754768105,2.1328067779541016
56.0,0.44932896411722156,-205.0,-124.17782206728711,2.769030809402466
57.0,0.4429556112545522,100.0,-120.30177031765268,0.18806889653205872
58.0,0.4366726590336306,-87.0,-119.75360443360272,4.999791145324707
59.0,0.43047882519750297,-18.0,-118.06426472148597,1.710439920425415
60.0,0.42437284567695,-129.0,-118.24935772225203,0.573470413684845
61.0,0.4183534743325094,-108.0,-118.09541786799433,2.8903634548187256
62.0,0.4124194827001579,120.0,-114.31548156759223,1.2818892002105713
63.0,0.4065696597405991,-59.0,-113.46393520057923,1.823300838470459
64.0,0.40080281159210923,-66.0,-112.73619118727312,1.9362194538116455
65.0,0.3951177613268873,-98.0,-112.52704448176767,2.337918996810913
66.0,0.3895133487108618,6.0,-110.74483936111889,1.6871063709259033
67.0,0.38398842996690413,-70.0,-110.15631523921326,2.882798433303833
68.0,0.37854187754140095,64.0,-107.62227220252846,10.487176895141602
69.0,0.37317257987413693,108.0,-104.53712702846636,5.129528522491455
70.0,0.36787944117144233,2.0,-103.03041014050909,10.741683959960938
71.0,0.3626613811825573,-2.0,-101.62797136067589,7.269176483154297
72.0,0.35751733497916927,-257.0,-103.76329656377851,4.0809221267700195
73.0,0.3524462527380765,-54.0,-103.09248315961952,3.6844770908355713
74.0,0.3474470995269354,-53.0,-102.4338207946563,2.627432107925415
75.0,0.34251885509304564,-224.0,-104.03575038110311,-0.8918526768684387
76.0,0.337660513655132,7.0,-102.59282250170713,10.90743637084961
77.0,0.33287108369807955,-101.0,-102.58330973734246,3.882263422012329
78.0,0.32814958777058006,-5.0,-101.3546783649377,7.339972019195557
79.0,0.3234950622856487,-185.0,-102.41024523834567,1.8999000787734985
80.0,0.31890655732397044,81.0,-100.14222296012694,6.3023762702941895
