episode,epsilon,score,average,avg_q_values
0.0,1.0,-115.0,-115.81817204545317,1.0032281875610352
1.0,0.9858158423524046,-396.0,-256.3584180439494,0.04839777573943138
2.0,0.9718328750329811,-317.0,-276.642051958165,-3.7071709632873535
3.0,0.9580482443263975,-159.0,-247.3653836591996,4.536494255065918
4.0,0.9444591369948698,-248.0,-247.5155784525185,-3.129689931869507
5.0,0.9310627797040227,-71.0,-218.12373331953484,4.7518415451049805
6.0,0.9178564384568926,-98.0,-201.09266747943352,4.378323554992676
7.0,0.9048374180359595,-131.0,-192.42634003776857,11.236153602600098
8.0,0.8920030614530944,-88.0,-180.93388645885125,8.810731887817383
9.0,0.879350749407306,-159.0,-178.7698103837272,6.760170936584473
10.0,0.8668778997501816,-209.0,-181.54373225487558,9.972235679626465
11.0,0.8545819669589086,-60.0,-171.4304291933721,5.648443698883057
12.0,0.8424604416167714,-458.0,-193.54819699123942,12.80491828918457
13.0,0.8305108499010163,-276.0,-199.48269667711196,13.07621955871582
14.0,0.8187307530779818,-90.0,-192.20495433271154,5.733376979827881
15.0,0.8071177470053893,-165.0,-190.51970523875192,-1.3497527837753296
16.0,0.7956694616416928,-400.0,-202.9003837055602,-1.801795244216919
17.0,0.7843835605623898,-189.0,-202.1338810254072,-2.1413321495056152
18.0,0.7732577404831906,-194.0,-201.7186798766717,-0.9634283185005188
19.0,0.7622897307899537,-296.0,-206.4816521263606,-5.446177959442139
20.0,0.751477293075286,-118.0,-202.28866753328757,-2.7299575805664062
21.0,0.7408182206817179,-149.0,-199.86865978256222,-5.132205009460449
22.0,0.7303103382513573,-108.0,-195.87987014042258,-4.546571731567383
23.0,0.7199515012819313,-91.0,-191.52951010230177,2.5536954402923584
24.0,0.7097395956891255,-56.0,-186.118962650023,-2.752732276916504
25.0,0.6996725373751304,-23.0,-179.87314466037586,2.5011379718780518
26.0,0.6897482718033084,-94.0,-176.71767981535763,-5.536865234375
27.0,0.6799647735788938,-234.0,-178.78000270888185,-1.103341817855835
28.0,0.6703200460356393,-172.0,-178.56349769466703,-2.6954681873321533
29.0,0.6608121208283264,-16.0,-173.17444522760843,-8.05435562133789
30.0,0.6514390575310556,8.0,-167.31448216380727,-0.44516733288764954
31.0,0.6421989432412342,-78.0,-164.53469937866856,2.1338863372802734
32.0,0.6330898921891813,-41.0,-160.81340692465233,-0.2638724148273468
33.0,0.6241100453532709,-25.0,-156.83703352893377,-4.990614891052246
34.0,0.6152575700805322,-103.0,-155.30861386793865,3.0813353061676025
35.0,0.6065306597126334,-183.0,-156.10104871561646,-7.719529628753662
36.0,0.5979275332171694,-98.0,-154.53560934803699,-0.8674670457839966
37.0,0.5894464348241792,-82.0,-152.63949666460616,4.3812689781188965
38.0,0.5810856336678201,-142.0,-152.38809347274807,0.14487507939338684
39.0,0.5728434234331229,123.0,-145.48044576825455,-21.963653564453125
40.0,0.5647181220077593,-30.0,-142.6812957135081,-8.670002937316895
41.0,0.5567080711387471,-29.0,-139.98199986452903,1.7995679378509521
42.0,0.5488116360940264,-145.0,-140.1218301633178,2.1131436824798584
43.0,0.541027205328834,-101.0,-139.24225617489515,2.604823350906372
44.0,0.5333531901568119,-44.0,-137.1258364642517,5.531135082244873
45.0,0.5257880244257798,-150.0,-137.42494565379366,2.592911720275879
46.0,0.5183301641981067,-48.0,-135.52615049140627,5.073620796203613
47.0,0.5109780874356169,-5.0,-132.81573614005006,0.1893434375524521
48.0,0.5037302936889633,56.0,-128.95501268955383,-3.004690647125244
49.0,0.4965853037914095,123.0,-123.91455352330168,1.475208044052124
50.0,0.4895416595569531,-114.0,-123.73236298617817,3.206326961517334
51.0,0.48259792348273184,2.0,-121.30770319097567,4.508891582489014
52.0,0.4757526784556506,-83.0,-120.5913712848523,3.9999523162841797
53.0,0.4690045274631699,54.0,-117.34895352273334,5.1382670402526855
54.0,0.4623520933081963,-19.0,-115.57581999359557,6.2284955978393555
55.0,0.4557940183280172,-1.0,-113.53782419769337,9.933196067810059
56.0,0.44932896411722156,-144.0,-114.08769123372015,5.037232875823975
57.0,0.4429556112545522,-45.0,-112.90079150511828,1.9836636781692505
58.0,0.4366726590336306,3.0,-110.92667744557814,5.967496395111084
59.0,0.43047882519750297,-80.0,-110.4112588097399,6.882650852203369
60.0,0.42437284567695,-145.0,-110.99278194772731,2.660181760787964
61.0,0.4183534743325094,23.0,-108.82738416151855,6.884565830230713
62.0,0.4124194827001579,150.0,-104.70838140724284,3.8383145332336426
63.0,0.4065696597405991,78.0,-101.8413926323587,3.5050320625305176
64.0,0.40080281159210923,-112.0,-102.00155832621716,2.9712624549865723
65.0,0.3951177613268873,145.0,-98.2490818135074,4.2575249671936035
66.0,0.3895133487108618,-37.0,-97.3361280294836,8.840365409851074
67.0,0.38398842996690413,-2.0,-95.94034292176815,6.11969518661499
68.0,0.37854187754140095,-93.0,-95.91184631965967,5.066431522369385
69.0,0.37317257987413693,-171.0,-96.9875617491841,10.922502517700195
70.0,0.36787944117144233,-86.0,-96.8426275677169,5.7807087898254395
71.0,0.3626613811825573,-67.0,-96.43560520251778,2.256044626235962
72.0,0.35751733497916927,-56.0,-95.89166479106335,2.62453031539917
73.0,0.3524462527380765,119.0,-92.98026354942202,5.36037015914917
74.0,0.3474470995269354,-98.0,-93.05686084738515,6.094761371612549
75.0,0.34251885509304564,50.0,-91.1685506164973,2.010326385498047
76.0,0.337660513655132,96.0,-88.7335801365628,5.461983680725098
77.0,0.33287108369807955,94.0,-86.3839080756283,5.946841716766357
78.0,0.32814958777058006,-186.0,-87.64497965871348,8.768139839172363
79.0,0.3234950622856487,-238.0,-89.53071612039402,0.34913021326065063
80.0,0.31890655732397044,159.0,-86.45500522409974,5.732207775115967
81.0,0.3143831364400353,29.0,-85.04272681658435,17.835277557373047
82.0,0.3099238764710244,-135.0,-85.6457379531058,-8.016975402832031
83.0,0.3055278673484055,-191.0,-86.90296011655553,1.7746388912200928
84.0,0.30119421191220214,22.0,-85.61213548638102,13.830007553100586
85.0,0.2969220257278962,-7.0,-84.70603135989823,3.8443527221679688
86.0,0.2927104369059283,-156.0,-85.53279107737907,2.792203187942505
87.0,0.2885585859237581,-76.0,-85.42515335865448,3.124509811401367
88.0,0.28446562545044835,-219.0,-86.93188061098849,0.3534340560436249
89.0,0.2804307201737374,-286.0,-89.14582189704419,0.5705417990684509
90.0,0.2764530466295643,-349.0,-92.00387180750201,6.4259796142578125
91.0,0.2725317930340126,-102.0,-92.1211117631103,0.6141056418418884
92.0,0.26866615911763636,2.0,-91.10887440325952,9.629880905151367
93.0,0.26485535596213783,2.0,-90.10949803863076,1.6194032430648804
94.0,0.2610986058393609,-154.0,-90.78676730270438,14.88723087310791
95.0,0.257395142052568,56.0,-89.25557572137886,4.432751178741455
96.0,0.2537442087799692,164.0,-86.6372420455691,6.058351039886475
97.0,0.2501450609204698,-39.0,-86.15303170093176,8.846821784973145
98.0,0.2465969639416065,-54.0,-85.83716512285876,1.4744092226028442
99.0,0.2430991937296403,-199.0,-86.97144211175392,-1.1053893566131592
100.0,0.2396510364417758,-10.0,-85.91913162201305,14.10802173614502
101.0,0.23625178836047603,-220.0,-84.15886626731219,-1.4785054922103882
102.0,0.2329007557498447,-230.0,-83.29256704301484,-10.530824661254883
103.0,0.22959725471404477,132.0,-80.3721403356993,4.501538276672363
104.0,0.22634061105772565,-146.0,-79.3521689711829,0.011995984241366386
105.0,0.22313016014842982,-94.0,-79.5863649688801,0.12920409440994263
106.0,0.2199652467809513,-32.0,-78.92695139402541,1.631039023399353
107.0,0.21684522504361808,5.0,-77.55862446756183,10.348447799682617
108.0,0.21376945818647108,-75.0,-77.42397214481977,5.775168418884277
109.0,0.21073731849131314,-72.0,-76.5516540147772,0.3007156550884247
110.0,0.20774818714360085,-136.0,-75.8258016537906,2.0972254276275635
111.0,0.20480145410615389,37.0,-74.84440945244197,5.911892890930176
112.0,0.20189651799465538,-88.0,-71.14462822154178,0.5547806620597839
113.0,0.19903278595491863,-63.0,-69.01356460621041,1.8028595447540283
114.0,0.19620967354189398,-100.0,-69.11398485535173,0.9420469403266907
115.0,0.19342660460039254,-119.0,-68.66023036243483,0.12685668468475342
116.0,0.19068301114750144,-97.0,-65.62553954289704,0.8897751569747925
117.0,0.1879783332566671,-125.0,-64.98971214670655,-1.2308597564697266
118.0,0.18531201894342234,-109.0,-64.14347159577532,-0.23139378428459167
119.0,0.18268352405273466,232.0,-58.84400544339958,5.338438987731934
120.0,0.1800923121479524,46.0,-57.19117343026175,3.8174238204956055
121.0,0.17753785440132586,-111.0,-56.81082260415394,-0.28735411167144775
122.0,0.17501962948608163,-40.0,-56.13760744633026,2.2759406566619873
123.0,0.17253712347002734,-127.0,-56.501175850664424,0.9995533227920532
124.0,0.17008982971066583,-95.0,-56.895350543703124,-0.28165391087532043
125.0,0.16767724875179707,-84.0,-57.500127231597105,0.2061590701341629
126.0,0.16529888822158653,-109.0,-57.65168123514108,0.9209506511688232
127.0,0.1629542627320793,-92.0,-56.23032258832392,27.556520462036133
128.0,0.16064289378013982,-119.0,-55.70032811382039,-0.8887583613395691
129.0,0.15836430964979642,-69.0,-56.22497728822809,0.7861531972885132
130.0,0.15611804531597107,-131.0,-57.623515810281056,0.1530328243970871
131.0,0.1539036423495749,-93.0,-57.77584309541775,1.061024785041809
132.0,0.15172064882394942,-83.0,-58.19672186281442,-0.5217825174331665
133.0,0.14956861922263506,-66.0,-58.60757637189046,-3.1246185302734375
134.0,0.147447114348448,-99.0,-58.56753945019235,-1.9674056768417358
135.0,0.1453557012338466,-22.0,-56.95529893602376,0.5353514552116394
136.0,0.14329395305256898,-106.0,-57.04120658151809,-0.7245066165924072
137.0,0.14126144903252422,-116.0,-57.381136864094685,0.20901159942150116
138.0,0.13925777436991912,-88.0,-56.840749640368415,-0.3735537827014923
139.0,0.13728252014460293,-216.0,-60.248024923895954,1.1565115451812744
140.0,0.1353352832366127,-43.0,-60.37292038035144,0.14014184474945068
141.0,0.1334156662439026,-105.0,-61.138693299638156,-0.6787737607955933
142.0,0.13152327740124015,-86.0,-60.544530413555336,3.97922945022583
143.0,0.12965773050025253,-113.0,-60.666053841847585,-2.135042190551758
144.0,0.12781864481060753,-118.0,-61.40755807418833,-1.5730020999908447
145.0,0.12600564500231182,-9.0,-59.99363125672271,1.0072253942489624
146.0,0.1242183610691121,-102.0,-60.53693825952131,-2.0984508991241455
147.0,0.1224564282529819,-44.0,-60.92494591969949,-0.4234396517276764
148.0,0.12071948696968016,-106.0,-62.54893511645675,-1.8555941581726074
149.0,0.11900718273536538,-108.0,-64.86068837459737,-1.6422706842422485
150.0,0.11731916609425078,-139.0,-65.11287837846061,-0.5448534488677979
151.0,0.11565509254728551,-141.0,-66.55016179938777,-2.030050039291382
152.0,0.11401462248184759,-139.0,-67.10699246510805,-1.8162610530853271
153.0,0.11239742110243399,-84.0,-68.4949640774221,-1.5154733657836914
154.0,0.11080315836233387,-136.0,-69.66494527453308,-1.6303083896636963
155.0,0.10923150889627105,-142.0,-71.07720526303166,-2.156015157699585
156.0,0.10768215195400163,-122.0,-70.852151691516,-1.825467586517334
157.0,0.10615477133485376,-106.0,-71.46509238526944,-1.9251714944839478
158.0,0.10464905532319577,-81.0,-72.31839916630025,-0.34441158175468445
159.0,0.10316469662481963,-117.0,-72.69561856870014,-1.5935412645339966
160.0,0.10170139230422684,-141.0,-72.65215437737712,-2.876706838607788
161.0,0.10025884372280375,-200.0,-74.88656293534703,6.25236177444458
162.0,0.09883675647787384,-144.0,-77.8367473859487,9.35677433013916
163.0,0.09743484034261468,-110.0,-79.72637412184014,-0.6280134320259094
164.0,0.09605280920682677,-142.0,-80.02971656847679,-1.359207272529602
165.0,0.09469038101854274,-69.0,-82.18547021542099,-1.5984461307525635
166.0,0.09334727772646485,-118.0,-83.00410352396138,-1.6690782308578491
167.0,0.09202322522321882,-50.0,-83.48583274438793,0.3666938543319702
168.0,0.09071795328941251,-109.0,-83.63685656186091,-0.19023899734020233
169.0,0.0894311955384883,-92.0,-82.85207890157328,-1.39919114112854
170.0,0.08816268936235745,-126.0,-83.24959214641895,-0.32196685671806335
171.0,0.08691217587780577,-110.0,-83.68226003879728,-2.7091071605682373
172.0,0.08567939987365944,-104.0,-84.15506657262411,-0.48601603507995605
173.0,0.0844641097587001,-63.0,-85.98552724744272,-1.199932336807251
174.0,0.0832660575103189,-96.0,-85.96036156800038,-0.9334137439727783
175.0,0.0820849986238988,-86.0,-87.3337386003986,-1.121312141418457
176.0,0.08092069206291477,-40.0,-88.70030610736227,-0.26830652356147766
177.0,0.07977290020974187,-118.0,-90.83529796729633,-0.5751787424087524
178.0,0.078641388817161,-96.0,-89.94511324622817,-1.3013728857040405
179.0,0.07752592696055255,-100.0,-88.5691677732207,-0.982843816280365
180.0,0.07642628699076807,-84.0,-91.01148338499928,-0.9871904253959656
181.0,0.07534224448767067,-103.0,-92.3424804072883,0.009316306561231613
182.0,0.07427357821433388,-83.0,-91.82331312180953,-0.9727224707603455
183.0,0.07322007007189076,-119.0,-91.10560599182911,-0.8592656850814819
184.0,0.07218150505502309,-48.0,-91.81963638254905,-0.5656858086585999
185.0,0.07115767120808195,-88.0,-92.62537113240053,-1.000105857849121
186.0,0.07014835958183076,-33.0,-91.39180016574977,-11.801681518554688
187.0,0.06915336419080186,-111.0,-91.7510196109867,-0.6433821320533752
188.0,0.06817248197125796,-131.0,-90.8745731917332,-1.3611661195755005
189.0,0.06720551273974976,-79.0,-88.81253137843655,0.09395495057106018
190.0,0.06625225915226167,-120.0,-86.52418248189021,-1.4536761045455933
191.0,0.06531252666393665,-109.0,-86.59319152233952,0.04772046580910683
192.0,0.0643861234893726,-77.0,-87.3852354186249,-0.3615507185459137
193.0,0.0634728605634818,-138.0,-88.7980651669334,-2.0716893672943115
194.0,0.06257255150290554,-107.0,-88.32561490353079,-0.8197876214981079
195.0,0.061685012567976046,-85.0,-89.73967506333706,0.016566501930356026
196.0,0.06081006262521797,-140.0,-92.79063925544511,-1.0609610080718994
197.0,0.05994752311038171,-135.0,-93.75296874686005,-1.9641889333724976
198.0,0.0590972179920012,-93.0,-94.14086527689567,-0.8691589832305908
199.0,0.058258973735468345,-88.0,-93.0379479410665,-0.3309604525566101
200.0,0.05743261926761735,-87.0,-93.80822804245791,-1.9524636268615723
201.0,0.05661798594181114,-101.0,-92.61087683434802,0.08813013136386871
202.0,0.05581490750352316,-103.0,-91.33823224841802,3.9547529220581055
203.0,0.05502322005640723,-70.0,-93.36528818505855,-0.875059187412262
204.0,0.054242762028848826,-50.0,-92.40688556109781,-1.605748176574707
205.0,0.05347337414099063,-76.0,-92.22523737737907,-0.43846216797828674
206.0,0.052714899372225954,-123.0,-93.12964840434489,-1.7864656448364258
207.0,0.05196718292915318,-59.0,-93.77366597097904,0.06958556920289993
208.0,0.051230072213984644,-117.0,-94.19246171664015,-1.423315167427063
209.0,0.050503416793403796,-117.0,-94.6476838722582,-1.4895663261413574
210.0,0.05,-75.0,-94.03481182781239,-1.1617306470870972
211.0,0.05,-149.0,-95.91316218449258,-0.5381227731704712
212.0,0.05,-89.0,-95.91855183070672,0.35768571496009827
213.0,0.05,-154.0,-96.82704437143244,-1.1201063394546509
214.0,0.05,-111.0,-96.93582550337153,-1.2932478189468384
215.0,0.05,-100.0,-96.74621266659487,-1.1555986404418945
216.0,0.05,-148.0,-97.25260367244312,-1.7068990468978882
217.0,0.05,-103.0,-97.03035931848909,-0.7586088180541992
218.0,0.05,-122.0,-97.1567491682107,-1.8117802143096924
219.0,0.05,-70.0,-100.18868292308827,-0.9343889951705933
220.0,0.05,-127.0,-101.93414791476486,-0.8301172852516174
221.0,0.05,-48.0,-101.31099150373701,0.25616398453712463
222.0,0.05,-105.0,-101.95978641881278,-0.06620308756828308
223.0,0.05,-46.0,-101.14844328950419,-0.2628946304321289
224.0,0.05,-80.0,-100.99925213112559,-0.49524906277656555
225.0,0.05,-76.0,-100.9192534210536,-0.7115561366081238
226.0,0.05,-144.0,-101.2615630927874,-0.8786206245422363
227.0,0.05,-81.0,-101.15694985737628,-0.7919336557388306
228.0,0.05,-92.0,-100.88304966742179,-1.33194100856781
229.0,0.05,-66.0,-100.85192987265654,-1.3380769491195679
230.0,0.05,221.0,-97.3240657516437,-15.213543891906738
231.0,0.05,-92.0,-97.313146631285,-1.034782886505127
232.0,0.05,-123.0,-97.70806891550511,-1.9507346153259277
233.0,0.05,-104.0,-98.09063899559035,-0.7952020764350891
234.0,0.05,-123.0,-98.33445299414315,-0.542163610458374
235.0,0.05,-101.0,-99.12344625549417,-0.9057013392448425
236.0,0.05,-99.0,-99.04716419048735,-1.4642753601074219
237.0,0.05,134.0,-96.54073422516691,5.423740386962891
238.0,0.05,-82.0,-96.48039603309898,-1.2896060943603516
239.0,0.05,-67.0,-94.98870927297513,-1.2200309038162231
240.0,0.05,-90.0,-95.45690596423802,-0.46927276253700256
241.0,0.05,-49.0,-94.89096211100765,-0.5250067114830017
242.0,0.05,-76.0,-94.79277762140502,-0.3701997697353363
243.0,0.05,-69.0,-94.35137127363585,-0.5019237399101257
244.0,0.05,-97.0,-94.14874659950107,-1.111220121383667
245.0,0.05,-83.0,-94.88642999275615,-0.5730980634689331
246.0,0.05,-112.0,-94.98428885162461,-2.123624801635742
247.0,0.05,-21.0,-94.75592541567552,0.5022296905517578
248.0,0.05,-95.0,-94.65532277795687,0.7595807313919067
249.0,0.05,-88.0,-94.45569801770243,-0.3957958519458771
250.0,0.05,-23.0,-93.28788149027064,-0.16918449103832245
251.0,0.05,-72.0,-92.59751802230231,-1.2157179117202759
252.0,0.05,-64.0,-91.85088649691643,-1.3602551221847534
253.0,0.05,-104.0,-92.05659860301617,-0.9508811235427856
254.0,0.05,-105.0,-91.74552997189294,-1.012290358543396
255.0,0.05,-40.0,-90.72740368591646,0.09494100511074066
256.0,0.05,-76.0,-90.26612624602582,-1.2203577756881714
257.0,0.05,-108.0,-90.28972871024256,-0.5386897325515747
258.0,0.05,-134.0,-90.81987205963132,-1.4468750953674316
259.0,0.05,-79.0,-90.43570099900877,0.6637042760848999
260.0,0.05,-81.0,-89.83854508772318,-0.13344845175743103
261.0,0.05,138.0,-86.4549562919047,1.4406177997589111
262.0,0.05,-63.0,-85.64213131056776,0.46434521675109863
263.0,0.05,-98.0,-85.52594442887852,0.24855326116085052
264.0,0.05,-64.0,-84.74975446433848,-0.42947810888290405
265.0,0.05,-51.0,-84.56972781129471,-0.6285266280174255
266.0,0.05,-91.0,-84.2973438440248,-0.7239276766777039
267.0,0.05,-76.0,-84.55973298193585,-0.22565782070159912
268.0,0.05,-87.0,-84.34580122936752,-0.8991797566413879
269.0,0.05,-82.0,-84.24328177638756,-0.07731431722640991
270.0,0.05,-92.0,-83.90486075011503,-0.03705472871661186
271.0,0.05,-83.0,-83.63232007397038,-0.37905219197273254
272.0,0.05,-64.0,-83.23370928186459,-1.237727403640747
273.0,0.05,-97.0,-83.56984822982616,-1.6921535730361938
274.0,0.05,-62.0,-83.23216132925258,-0.4949773848056793
275.0,0.05,63.0,-81.73075193003925,4.703937530517578
276.0,0.05,-107.0,-82.3984956272234,-2.3753154277801514
277.0,0.05,-75.0,-81.96087586586803,-0.8686043620109558
278.0,0.05,-111.0,-82.1027264393722,-1.8282793760299683
279.0,0.05,-132.0,-82.41630956908236,-2.6723148822784424
280.0,0.05,-56.0,-82.13151499034953,-1.750875473022461
281.0,0.05,-93.0,-82.03242804064709,-1.404290795326233
282.0,0.05,-51.0,-81.71305815656142,-1.6099153757095337
283.0,0.05,-76.0,-81.28249046252867,-1.1295366287231445
284.0,0.05,-57.0,-81.37300056470276,-1.1574994325637817
285.0,0.05,-86.0,-81.3564194285001,-0.9407237768173218
286.0,0.05,-115.0,-82.17949596213361,-1.3774102926254272
287.0,0.05,285.0,-78.20082767873764,15.32298469543457
288.0,0.05,-123.0,-78.11424318419768,-1.327663540840149
289.0,0.05,-64.0,-77.96364338421445,-1.0150368213653564
290.0,0.05,-121.0,-77.9735082134447,-1.6195694208145142
291.0,0.05,-115.0,-78.02777459689844,-1.9850519895553589
292.0,0.05,-79.0,-78.04606767720377,-0.6954912543296814
293.0,0.05,-141.0,-78.07645588744566,0.38916659355163574
294.0,0.05,-123.0,-78.23839742903179,-1.5871973037719727
295.0,0.05,-45.0,-77.8388174269429,0.15041953325271606
296.0,0.05,-29.0,-76.73153947372626,0.052571482956409454
297.0,0.05,-132.0,-76.69992058058266,-0.6704763770103455
298.0,0.05,-1.0,-75.77825648910243,1.8457262516021729
299.0,0.05,-93.0,-75.82548011837224,-0.10518406331539154
300.0,0.05,-53.0,-75.48289074047534,-0.7253661751747131
301.0,0.05,-68.0,-75.15373748917804,-1.0915412902832031
302.0,0.05,-131.0,-75.43708393170157,-1.953476905822754
303.0,0.05,250.0,-72.23007892262865,10.31993579864502
304.0,0.05,-140.0,-73.13446706572843,-2.7113423347473145
305.0,0.05,-99.0,-73.3676387538451,-1.9078645706176758
306.0,0.05,-123.0,-73.37068607872683,-1.5472490787506104
307.0,0.05,-131.0,-74.09427099261005,-2.6386475563049316
308.0,0.05,138.0,-71.53404773482481,2.9992825984954834
309.0,0.05,-69.0,-71.05070018237812,-1.2267650365829468
310.0,0.05,-121.0,-71.51337539525146,-1.7857227325439453
311.0,0.05,-62.0,-70.63781668656927,-0.8429576754570007
312.0,0.05,-132.0,-71.06952391888089,-2.203296184539795
313.0,0.05,-123.0,-70.75902533655962,-1.7602180242538452
314.0,0.05,-98.0,-70.63372156434843,-0.2616555988788605
315.0,0.05,-106.0,-70.69267700116629,-0.7882084846496582
316.0,0.05,-13.0,-69.34343287639514,1.975066900253296
317.0,0.05,-76.0,-69.07663868004505,-0.8318765759468079
318.0,0.05,-91.0,-68.77346528977836,-0.1304503083229065
319.0,0.05,-71.0,-68.79020665837369,0.21516630053520203
320.0,0.05,-116.0,-68.68163387837414,-1.3128702640533447
321.0,0.05,-87.0,-69.06529611707445,-1.8049325942993164
322.0,0.05,-117.0,-69.1799053174026,-1.8758256435394287
323.0,0.05,-71.0,-69.42673256398119,-1.4271810054779053
324.0,0.05,-95.0,-69.57590048655355,0.3058112561702728
325.0,0.05,-51.0,-69.32648845644573,-1.0956629514694214
326.0,0.05,-112.0,-69.0122239956372,0.044258780777454376
327.0,0.05,-58.0,-68.77984133924352,-0.34414049983024597
328.0,0.05,-47.0,-68.33108481562141,-0.18912264704704285
329.0,0.05,-70.0,-68.36972134624406,-0.2756434977054596
330.0,0.05,-45.0,-71.0430616775907,-1.2052096128463745
331.0,0.05,-109.0,-71.2125209241919,-1.3709070682525635
332.0,0.05,-73.0,-70.71416636748307,-0.7853262424468994
333.0,0.05,-128.0,-70.9495432153523,-0.49762052297592163
334.0,0.05,-67.0,-70.39012463721825,-0.6240271925926208
335.0,0.05,-104.0,-70.4245528322575,-0.6694468259811401
336.0,0.05,-51.0,-69.95146224452826,-0.0693015456199646
337.0,0.05,-94.0,-72.24227927924791,-1.1832724809646606
338.0,0.05,-90.0,-72.32271756547168,-1.703966498374939
339.0,0.05,-61.0,-72.26563714050722,-0.9538998603820801
340.0,0.05,-72.0,-72.09463573144235,-0.3918655812740326
341.0,0.05,-57.0,-72.17453159505318,-1.0591692924499512
342.0,0.05,-95.0,-72.36084303475137,-0.9541296362876892
343.0,0.05,-51.0,-72.18471712654456,-0.056620992720127106
344.0,0.05,-186.0,-73.06716765034861,-1.671911597251892
345.0,0.05,-227.0,-74.51441737220377,-1.2204651832580566
346.0,0.05,-38.0,-73.77595646259356,5.339437961578369
347.0,0.05,-479.0,-78.35508425347427,1.2548633813858032
348.0,0.05,-110.0,-78.49580482235575,-1.536233901977539
349.0,0.05,-202.0,-79.6388971637525,-0.576957106590271
350.0,0.05,-9.0,-79.49910002072929,0.44603490829467773
351.0,0.05,-86.0,-79.64474154285959,-1.095069169998169
352.0,0.05,-44.0,-79.44627770224454,-0.7006202340126038
353.0,0.05,-80.0,-79.20219068938893,-0.5241993069648743
354.0,0.05,-46.0,-78.60792457727959,0.22933343052864075
355.0,0.05,-98.0,-79.18798161912828,-0.6272799372673035
356.0,0.05,-81.0,-79.24313882602186,-0.3397083580493927
357.0,0.05,-111.0,-79.27400554381099,-1.3648582696914673
358.0,0.05,-143.0,-79.35902545101777,-1.132570743560791
359.0,0.05,-127.0,-79.83644196232426,-1.8066728115081787
360.0,0.05,-123.0,-80.25441270095439,-1.0546722412109375
361.0,0.05,-46.0,-82.09770194086616,-0.5208987593650818
362.0,0.05,-45.0,-81.91771104620372,0.5136038064956665
363.0,0.05,-39.0,-81.32594878466517,4.38577127456665
364.0,0.05,-65.0,-81.32774075835458,-0.6016571521759033
365.0,0.05,-72.0,-81.5374327429286,-1.0907000303268433
366.0,0.05,-48.0,-81.10459666919817,0.4593425691127777
367.0,0.05,-91.0,-81.25387197036011,-0.7574547529220581
368.0,0.05,-80.0,-81.17852892701428,-1.5504053831100464
369.0,0.05,-106.0,-81.4183261335176,1.3336867094039917
370.0,0.05,-76.0,-81.25899878789376,-1.0311037302017212
371.0,0.05,-89.0,-81.32144920709005,-1.4671549797058105
372.0,0.05,-102.0,-81.70851736274258,-2.1399426460266113
373.0,0.05,-83.0,-81.57396026705891,-1.9565095901489258
374.0,0.05,-74.0,-81.69294057602673,-1.726603627204895
375.0,0.05,-150.0,-83.82677544173754,11.001842498779297
376.0,0.05,-290.0,-85.6630590046968,-5.129417419433594
377.0,0.05,7.0,-84.83667644623033,1.6218196153640747
378.0,0.05,-31.0,-84.03531923996265,5.455899715423584
379.0,0.05,-315.0,-85.86987398951206,-14.219796180725098
380.0,0.05,-89.0,-86.19961932987196,-1.4923101663589478
381.0,0.05,-56.0,-85.8311643714566,-0.8132568001747131
382.0,0.05,-113.0,-86.45526619190164,-1.5636811256408691
383.0,0.05,-103.0,-86.72495110150578,-1.264506220817566
384.0,0.05,-81.0,-86.96193354401171,-1.4964687824249268
385.0,0.05,-116.0,-87.26177592322755,-1.894996166229248
386.0,0.05,-43.0,-86.54484094259142,-0.32960131764411926
387.0,0.05,-111.0,-90.51691449942217,2.306445837020874
