episode,epsilon,score,average,avg_q_values
0.0,1.0,-236.0,-236.52256290232253,-1.8912465572357178
1.0,0.9858158423524046,-237.0,-237.2448024513456,-3.2948577404022217
2.0,0.9718328750329811,-182.0,-219.0554588232367,3.515770673751831
3.0,0.9580482443263975,-151.0,-202.2448978681723,-0.7550063133239746
4.0,0.9444591369948698,-482.0,-258.2505891772832,-3.1471610069274902
5.0,0.9310627797040227,-114.0,-234.26947995979887,-0.4978553354740143
6.0,0.9178564384568926,-29.0,-205.07092991634187,-3.4735710620880127
7.0,0.9048374180359595,-114.0,-193.78783940736184,-3.046426773071289
8.0,0.8920030614530944,-78.0,-180.92268471305977,-0.05295061320066452
9.0,0.879350749407306,-96.0,-172.45009174483,-6.370433330535889
10.0,0.8668778997501816,-113.0,-167.127404843906,-2.5002458095550537
11.0,0.8545819669589086,-84.0,-160.2676521585843,5.124885559082031
12.0,0.8424604416167714,-281.0,-169.57388559641004,4.064830780029297
13.0,0.8305108499010163,-274.0,-177.07208964804323,-6.599491119384766
14.0,0.8187307530779818,-13.0,-166.13977861196105,3.4740521907806396
15.0,0.8071177470053893,-85.0,-161.0709888460856,3.1771750450134277
16.0,0.7956694616416928,-87.0,-156.7570182949718,-3.763076066970825
17.0,0.7843835605623898,-153.0,-156.57119776450307,4.038189888000488
18.0,0.7732577404831906,-22.0,-149.50212517854476,4.948117256164551
19.0,0.7622897307899537,-188.0,-151.4730772475482,8.200597763061523
20.0,0.751477293075286,-157.0,-151.73672159020464,-1.5099432468414307
21.0,0.7408182206817179,-124.0,-150.4830425328231,-16.17240333557129
22.0,0.7303103382513573,-200.0,-152.63759694664833,-2.9647793769836426
23.0,0.7199515012819313,-161.0,-153.02747615499524,5.64136266708374
24.0,0.7097395956891255,-387.0,-162.412250121585,0.6500991582870483
25.0,0.6996725373751304,-94.0,-159.7962471250109,0.31509503722190857
26.0,0.6897482718033084,-174.0,-160.3316769635709,-20.667497634887695
27.0,0.6799647735788938,-153.0,-160.094179988282,0.17573146522045135
28.0,0.6703200460356393,-195.0,-161.31827156494822,3.612236261367798
29.0,0.6608121208283264,-6.0,-156.1447084430514,-12.05422592163086
30.0,0.6514390575310556,-125.0,-155.14654145878148,-1.3740310668945312
31.0,0.6421989432412342,-175.0,-155.7913789630185,-13.343728065490723
32.0,0.6330898921891813,-204.0,-157.26548612277332,-10.421866416931152
33.0,0.6241100453532709,-152.0,-157.1220878684529,3.7485296726226807
34.0,0.6152575700805322,-104.0,-155.62273146897985,5.185506820678711
35.0,0.6065306597126334,-121.0,-154.67763391460815,-6.627601146697998
36.0,0.5979275332171694,-221.0,-156.4702931895118,-3.8760876655578613
37.0,0.5894464348241792,-52.0,-153.7300084588883,6.075205326080322
38.0,0.5810856336678201,-77.0,-151.78076890689744,-3.302818536758423
39.0,0.5728434234331229,-126.0,-151.1470339154876,-1.025235891342163
40.0,0.5647181220077593,-42.0,-148.49802832846277,0.7261258959770203
41.0,0.5567080711387471,-61.0,-146.4360751318757,4.723686218261719
42.0,0.5488116360940265,-92.0,-145.1797876486678,-5.623174667358398
43.0,0.541027205328834,-82.0,-143.7445666014477,1.2165776491165161
44.0,0.5333531901568119,-103.0,-142.86131832498123,-2.1987571716308594
45.0,0.5257880244257798,-10.0,-139.9755501285049,1.3023929595947266
46.0,0.5183301641981067,-77.0,-138.64905581889508,-8.814318656921387
47.0,0.5109780874356169,-97.0,-137.79482685799147,-11.265176773071289
48.0,0.5037302936889633,-58.0,-136.177607727798,-1.5456377267837524
49.0,0.4965853037914095,-96.0,-135.38134525319072,0.7267094850540161
50.0,0.4895416595569531,-50.0,-133.7215086294435,-4.382988929748535
51.0,0.48259792348273184,-99.0,-133.05394259422457,-3.7850148677825928
52.0,0.4757526784556506,-188.0,-134.1025899681211,1.1285234689712524
53.0,0.4690045274631699,22.0,-131.2099681484833,-3.2598094940185547
54.0,0.4623520933081963,-124.0,-131.08780339694331,4.668433666229248
55.0,0.4557940183280172,-67.0,-129.9507648105624,-0.745917797088623
56.0,0.44932896411722156,-236.0,-131.82270548051272,-10.147259712219238
57.0,0.4429556112545522,-227.0,-133.46394866603205,-6.239686012268066
58.0,0.4366726590336306,-82.0,-132.60501932258848,10.321255683898926
59.0,0.43047882519750297,-73.0,-131.61892688079016,10.4391508102417
60.0,0.42437284567695,5.0,-129.36652623542648,3.1526644229888916
61.0,0.4183534743325094,10.0,-127.11474571016554,9.391517639160156
62.0,0.4124194827001579,29.0,-124.63664388015533,5.767125606536865
63.0,0.4065696597405991,-67.0,-123.74678809565727,12.827041625976562
64.0,0.40080281159210923,33.0,-121.32196470223279,8.881280899047852
65.0,0.3951177613268873,-3.0,-119.5408650766008,0.3855299949645996
66.0,0.3895133487108618,-77.0,-118.90801903142089,9.664554595947266
67.0,0.38398842996690413,-128.0,-119.04638344621523,9.139555931091309
68.0,0.37854187754140095,24.0,-116.96048052035445,2.509483814239502
69.0,0.37317257987413693,23.0,-114.95445550205261,3.9500536918640137
70.0,0.36787944117144233,-6.0,-113.42479557865833,20.195232391357422
71.0,0.3626613811825573,-9.0,-111.97509086880035,11.98935604095459
72.0,0.35751733497916927,-277.0,-114.23656135586423,8.331422805786133
73.0,0.3524462527380765,-227.0,-115.76690176956542,8.289360046386719
74.0,0.3474470995269354,-40.0,-114.76108732313324,10.3139009475708
75.0,0.34251885509304564,-57.0,-114.01356632518475,9.76113510131836
76.0,0.337660513655132,82.0,-111.45694008464321,8.227415084838867
77.0,0.33287108369807955,81.0,-108.98582267727043,7.836599349975586
78.0,0.32814958777058006,-3.0,-107.64958889866949,10.93002700805664
79.0,0.3234950622856487,33.0,-105.8815973141754,19.862850189208984
80.0,0.31890655732397044,101.0,-103.32046922533611,8.76020622253418
81.0,0.3143831364400353,67.0,-101.23122069909489,3.1319334506988525
82.0,0.3099238764710244,106.0,-98.73421630188773,7.495299816131592
83.0,0.3055278673484055,88.0,-96.51057425915005,8.04752254486084
84.0,0.30119421191220214,-49.0,-95.95572336333855,9.823533058166504
85.0,0.2969220257278962,52.0,-94.22558993862009,5.728847503662109
86.0,0.2927104369059283,-99.0,-94.28430530398599,36.543235778808594
87.0,0.2885585859237581,-20.0,-93.44142612963368,17.522079467773438
88.0,0.28446562545044835,99.0,-91.27726106535036,9.777189254760742
89.0,0.2804307201737374,-10.0,-90.37525942010281,7.9218034744262695
90.0,0.2764530466295643,80.0,-88.49395543413911,8.33248233795166
91.0,0.2725317930340126,-43.0,-88.00996732439783,12.28534984588623
92.0,0.26866615911763636,29.0,-86.74800230853423,7.001380443572998
93.0,0.26485535596213783,-319.0,-89.22562593548001,0.6145958304405212
94.0,0.2610986058393609,-93.0,-89.26969487600917,8.956655502319336
95.0,0.257395142052568,-31.0,-88.67152529899117,8.205244064331055
96.0,0.2537442087799692,41.0,-87.32444302743052,8.21245002746582
97.0,0.2501450609204698,-120.0,-87.66311437502956,6.022291660308838
98.0,0.2465969639416065,-57.0,-87.36179735160877,1.656367301940918
99.0,0.2430991937296403,2.0,-86.46762889749932,4.4055328369140625
100.0,0.2396510364417758,-44.0,-84.55119195940726,3.905738592147827
101.0,0.23625178836047603,91.0,-81.25554708707615,8.042795181274414
102.0,0.2329007557498447,102.0,-78.399210790255,0.7286266088485718
103.0,0.22959725471404477,-51.0,-77.4007508260434,-0.15002211928367615
104.0,0.22634061105772565,-47.0,-73.05705601953757,0.1117570772767067
105.0,0.22313016014842982,36.0,-71.54365361863093,1.551542043685913
106.0,0.2199652467809513,-42.0,-71.66987365883374,23.01349449157715
107.0,0.21684522504361808,125.0,-69.26808470107837,3.9985694885253906
108.0,0.21376945818647108,-38.0,-68.87583916618043,-1.7291064262390137
109.0,0.21073731849131314,-2.0,-67.94271458378583,2.895707845687866
110.0,0.20774818714360085,-40.0,-67.20449396972681,0.09781206399202347
111.0,0.20480145410615389,46.0,-65.88903273832783,2.944725751876831
112.0,0.20189651799465538,31.0,-62.7637319330221,7.601961612701416
113.0,0.19903278595491863,27.0,-59.74142905753765,4.075087070465088
114.0,0.19620967354189398,40.0,-59.20133788772669,5.493516445159912
115.0,0.19342660460039254,69.0,-57.65957445767485,4.729259014129639
116.0,0.19068301114750144,40.0,-56.372661412973194,40.43583679199219
117.0,0.1879783332566671,107.0,-53.76337129789898,4.5797295570373535
118.0,0.18531201894342234,13.0,-53.40176354506687,3.3546273708343506
119.0,0.18268352405273466,-51.0,-52.027277015659685,1.2846617698669434
120.0,0.1800923121479524,-24.0,-50.70651599804696,2.4157323837280273
121.0,0.17753785440132586,-5.0,-49.52059257866283,2.0795414447784424
122.0,0.17501962948608163,-177.0,-49.29325623440097,5.743124961853027
123.0,0.17253712347002734,36.0,-47.30705668347916,4.933595657348633
124.0,0.17008982971066583,-45.0,-43.88527359472664,1.0692298412322998
125.0,0.16767724875179707,72.0,-42.2169965436563,6.506362438201904
126.0,0.16529888822158653,45.0,-40.01758868356735,4.460655689239502
127.0,0.1629542627320793,-73.0,-39.2174398469711,4.9559245109558105
128.0,0.16064289378013982,-344.0,-40.70286250225734,3.9963929653167725
129.0,0.15836430964979642,-51.0,-41.159237670544435,-3.346501588821411
130.0,0.15611804531597107,-7.0,-39.98223489440214,3.001995325088501
131.0,0.1539036423495749,84.0,-37.37442611697318,4.401665210723877
132.0,0.15172064882394942,-84.0,-36.1711672774399,-0.9556715488433838
133.0,0.14956861922263506,84.0,-33.799087802161765,4.9412102699279785
134.0,0.147447114348448,-44.0,-33.20015946741188,1.125659465789795
135.0,0.1453557012338466,-44.0,-32.42642339006471,-0.28476864099502563
136.0,0.14329395305256898,-79.0,-31.01591762936343,-1.2984132766723633
137.0,0.14126144903252422,52.0,-29.965893073514664,5.127981662750244
138.0,0.13925777436991912,28.0,-28.90845792736453,5.2889275550842285
139.0,0.13728252014460293,-203.0,-29.680845168437067,39.777278900146484
140.0,0.1353352832366127,91.0,-28.343377742734642,6.709396839141846
141.0,0.1334156662439026,319.0,-24.532843115778658,14.039857864379883
142.0,0.13152327740124015,-85.0,-24.464401426249022,1.811395287513733
143.0,0.12965773050025253,202.0,-21.623072947583445,7.360750675201416
144.0,0.12781864481060753,-55.0,-21.138880557238732,-0.3674139678478241
145.0,0.12600564500231182,-86.0,-21.89999785236094,4.919373512268066
146.0,0.1242183610691121,3.0,-21.084715774211436,2.6522743701934814
147.0,0.1224564282529819,252.0,-17.586996503636666,11.873576164245605
148.0,0.12071948696968016,-102.0,-18.029143544071093,1.1232829093933105
149.0,0.11900718273536538,-28.0,-17.352773144891938,2.978717565536499
150.0,0.11731916609425078,219.0,-14.650418889740166,6.778152942657471
151.0,0.11565509254728551,-18.0,-13.844942026062041,-0.6645347476005554
152.0,0.11401462248184759,-49.0,-12.453480839408545,-1.060821294784546
153.0,0.11239742110243399,-8.0,-12.7633358300567,2.8054792881011963
