episode,epsilon,score,average,avg_q_values
0.0,1.0,-449.0,-449.2805013101368,-4.342318058013916
1.0,0.9858158423524046,-44.0,-246.79600117128393,-1.9386378526687622
2.0,0.9718328750329811,-160.0,-217.8701344352794,-0.5364848971366882
3.0,0.9580482443263975,-196.0,-212.5018730158677,-0.2266741842031479
4.0,0.9444591369948698,-47.0,-179.44035778474387,-1.8898121118545532
5.0,0.9310627797040227,-156.0,-175.6660557781669,-6.915168285369873
6.0,0.9178564384568926,-231.0,-183.6281055201387,3.2977263927459717
7.0,0.9048374180359595,-302.0,-198.4267511635716,7.468432903289795
8.0,0.8920030614530944,-174.0,-195.78375882167816,3.030461549758911
9.0,0.879350749407306,-196.0,-195.8995056443592,-17.426593780517578
10.0,0.8668778997501816,-124.0,-189.40285579618617,-0.10234058648347855
11.0,0.8545819669589086,-126.0,-184.13226425235624,-1.5182689428329468
12.0,0.8424604416167714,-145.0,-181.16400439536483,-17.382957458496094
13.0,0.8305108499010163,-74.0,-173.53033380646772,-2.439037561416626
14.0,0.8187307530779818,-224.0,-176.9525459371943,-16.71953582763672
15.0,0.8071177470053893,-109.0,-172.71113853081636,-4.884847640991211
16.0,0.7956694616416928,-93.0,-168.02863790351262,-15.93424129486084
17.0,0.7843835605623898,-83.0,-163.30644057577624,-8.199722290039062
18.0,0.7732577404831906,-207.0,-165.65144305993792,-15.149085998535156
19.0,0.7622897307899537,-55.0,-160.157863151251,-0.07165621221065521
20.0,0.751477293075286,-92.0,-156.9474676289657,1.520888090133667
21.0,0.7408182206817179,15.0,-149.1229890214615,4.205968379974365
22.0,0.7303103382513573,-101.0,-147.05763756488835,-5.895655155181885
23.0,0.7199515012819313,-212.0,-149.7663322496349,-17.037029266357422
24.0,0.7097395956891255,3.0,-143.65489325659865,8.599420547485352
25.0,0.6996725373751304,-15.0,-138.734756690914,-11.616928100585938
26.0,0.6897482718033084,-223.0,-141.88174638991373,13.066550254821777
27.0,0.6799647735788938,-195.0,-143.8134390073348,10.822787284851074
28.0,0.6703200460356393,-40.0,-140.24195551364238,11.450621604919434
29.0,0.6608121208283264,-212.0,-142.66417138362982,5.778112411499023
30.0,0.6514390575310556,-282.0,-147.1760347918922,12.702648162841797
31.0,0.6421989432412342,-89.0,-145.3621441653589,2.6906816959381104
32.0,0.6330898921891813,-109.0,-144.2815628879094,13.64937973022461
33.0,0.6241100453532709,-266.0,-147.86744211391039,12.180254936218262
34.0,0.6152575700805322,-22.0,-144.29062569708006,13.968157768249512
35.0,0.6065306597126334,-117.0,-143.53755062421246,14.966053009033203
36.0,0.5979275332171694,-129.0,-143.1513637308602,12.66828727722168
37.0,0.5894464348241792,-394.0,-149.77308945851888,3.5857598781585693
38.0,0.5810856336678201,-191.0,-150.85095713345493,-8.137998580932617
39.0,0.5728434234331229,-324.0,-155.18224751787074,12.086870193481445
40.0,0.5647181220077593,-99.0,-153.8126196186036,13.867969512939453
41.0,0.5567080711387471,-83.0,-152.1414769308006,20.923002243041992
42.0,0.5488116360940265,-77.0,-150.39696386332332,12.690343856811523
43.0,0.541027205328834,-92.0,-149.08975602046104,4.373271465301514
44.0,0.5333531901568119,-44.0,-146.76769360602813,16.299699783325195
45.0,0.5257880244257798,-19.0,-143.99555787718154,15.659083366394043
46.0,0.5183301641981067,-82.0,-142.683982256713,17.807218551635742
47.0,0.5109780874356169,-81.0,-141.40151313761694,20.109512329101562
48.0,0.5037302936889633,-19.0,-138.9107989048191,14.886957168579102
49.0,0.4965853037914095,-185.0,-139.851454641256,6.765169143676758
50.0,0.4895416595569531,-42.0,-137.9416488334023,19.087730407714844
51.0,0.48259792348273184,34.0,-134.62352045418848,12.980581283569336
52.0,0.4757526784556506,-19.0,-132.45857745937292,11.161107063293457
53.0,0.4690045274631699,-84.0,-131.57959166753812,-27.110294342041016
54.0,0.4623520933081963,-280.0,-134.28018368310092,12.101031303405762
55.0,0.4557940183280172,53.0,-130.92361092036757,18.94476318359375
56.0,0.44932896411722156,-31.0,-129.18801580900188,5.025128364562988
57.0,0.4429556112545522,-56.0,-127.93583312289616,11.141225814819336
58.0,0.4366726590336306,-210.0,-129.33461253903334,-1.991926670074463
59.0,0.43047882519750297,-92.0,-128.72335371400587,22.05509376525879
60.0,0.42437284567695,-48.0,-127.4107011361795,37.297080993652344
61.0,0.4183534743325094,-95.0,-126.8999901922861,-11.91116714477539
62.0,0.4124194827001579,9.0,-124.73644286225816,11.282076835632324
63.0,0.4065696597405991,-190.0,-125.77049918959277,18.46114730834961
64.0,0.40080281159210923,-67.0,-124.87571782236479,19.8353271484375
65.0,0.3951177613268873,-7.0,-123.09683063513785,5.768759250640869
66.0,0.3895133487108618,-22.0,-121.5980722280438,34.583229064941406
67.0,0.38398842996690413,-257.0,-123.59171702260556,-6.696071147918701
68.0,0.37854187754140095,-83.0,-123.00418574329369,9.518115043640137
69.0,0.37317257987413693,-344.0,-126.1622505701663,7.029268741607666
70.0,0.36787944117144233,-21.0,-124.68160022998227,12.863216400146484
