episode,epsilon,score,average,avg_q_values
0.0,1.0,-70.0,-70.02054284894908,0.20754951238632202
1.0,0.9858158423524046,-182.0,-126.28562572935,1.3516044616699219
2.0,0.9718328750329811,-115.0,-122.72338501580877,0.2842976152896881
3.0,0.9580482443263975,-121.0,-122.32802752464426,0.9358430504798889
4.0,0.9444591369948698,-76.0,-113.13204964836466,1.4741179943084717
5.0,0.9310627797040227,-195.0,-126.85492816650738,0.8902909159660339
6.0,0.9178564384568926,-136.0,-128.1998988661854,3.899991512298584
7.0,0.9048374180359595,-372.0,-158.7195711858349,-4.6422224044799805
8.0,0.8920030614530944,-120.0,-154.5133800202936,10.408051490783691
9.0,0.879350749407306,-105.0,-149.64461561996634,9.482112884521484
10.0,0.8668778997501816,-128.0,-147.7356243638366,10.689494132995605
11.0,0.8545819669589086,-187.0,-151.0641698066868,13.8606595993042
12.0,0.8424604416167714,-64.0,-144.42796568619545,17.3441162109375
13.0,0.8305108499010163,-25.0,-135.8993166151487,19.190353393554688
14.0,0.8187307530779818,-165.0,-137.87874147613385,23.986934661865234
15.0,0.8071177470053893,-38.0,-131.6605306321096,19.743099212646484
16.0,0.7956694616416928,-216.0,-136.66714330284213,23.990976333618164
17.0,0.7843835605623898,-183.0,-139.24440179134513,7.2224626541137695
18.0,0.7732577404831906,-123.0,-138.39067337306446,26.33440399169922
19.0,0.7622897307899537,-217.0,-142.35636315865204,21.449140548706055
20.0,0.751477293075286,-144.0,-142.43827387430426,12.484296798706055
21.0,0.7408182206817179,-137.0,-142.2110404951489,24.95046043395996
22.0,0.7303103382513573,-94.0,-140.1531351907995,1.03229558467865
23.0,0.7199515012819313,-206.0,-142.91793897904336,13.472689628601074
24.0,0.7097395956891255,-277.0,-148.3089783189275,10.033902168273926
25.0,0.6996725373751304,-14.0,-143.1456510951261,29.308561325073242
26.0,0.6897482718033084,-44.0,-139.49451066455757,28.541778564453125
27.0,0.6799647735788938,-90.0,-137.73360948858064,31.579633712768555
28.0,0.6703200460356393,-18.0,-133.62537681351154,13.934399604797363
29.0,0.6608121208283264,-69.0,-131.49279840833177,34.111690521240234
30.0,0.6514390575310556,-69.0,-129.48207116013415,34.676185607910156
31.0,0.6421989432412342,-92.0,-128.3380014973941,23.911191940307617
32.0,0.6330898921891813,-63.0,-126.38328472180268,26.579151153564453
33.0,0.6241100453532709,-246.0,-129.92561362234582,23.75975227355957
34.0,0.6152575700805322,-88.0,-128.75478812539563,27.52169418334961
35.0,0.6065306597126334,-80.0,-127.40194013611546,20.641223907470703
36.0,0.5979275332171694,-138.0,-127.69334826464443,23.536806106567383
37.0,0.5894464348241792,-62.0,-125.9680649477923,30.05810546875
38.0,0.5810856336678201,-99.0,-125.30186266632631,46.98490905761719
39.0,0.5728434234331229,-49.0,-123.41915917095335,36.18058395385742
40.0,0.5647181220077593,-59.0,-121.86547641091946,44.610870361328125
41.0,0.5567080711387471,1.0,-118.92715734768163,32.56476974487305
42.0,0.5488116360940265,-42.0,-117.15969975743565,16.586986541748047
43.0,0.541027205328834,-76.0,-116.24256880116415,47.68941879272461
44.0,0.5333531901568119,-8.0,-113.8549630925723,43.75208282470703
45.0,0.5257880244257798,-75.0,-113.01744608541681,29.253662109375
46.0,0.5183301641981067,-99.0,-112.7261067155324,34.58298110961914
47.0,0.5109780874356169,-45.0,-111.32883020747599,16.776533126831055
48.0,0.5037302936889633,-332.0,-115.85185968878214,-4.862056732177734
49.0,0.4965853037914095,-114.0,-115.82450553741639,45.78045654296875
50.0,0.4895416595569531,-104.0,-115.5932343227867,39.076873779296875
51.0,0.48259792348273184,-123.0,-115.73639241576764,39.04331970214844
52.0,0.4757526784556506,-128.0,-115.97260931440556,38.0551643371582
53.0,0.4690045274631699,6.0,-113.7037230549513,4.658251762390137
54.0,0.4623520933081963,-73.0,-112.97644633455202,48.569541931152344
55.0,0.4557940183280172,-120.0,-113.11306516642614,18.520702362060547
56.0,0.44932896411722156,-116.0,-113.16633340728458,39.07670211791992
57.0,0.4429556112545522,9.0,-111.04439310106213,37.191749572753906
58.0,0.4366726590336306,-124.0,-111.27482646942391,49.672576904296875
59.0,0.43047882519750297,-36.0,-110.02568813153,54.52134323120117
60.0,0.42437284567695,-181.0,-111.20497261894486,-12.40185260772705
61.0,0.4183534743325094,-109.0,-111.17752210183956,12.290549278259277
62.0,0.4124194827001579,-27.0,-109.85317570365052,2.423745632171631
63.0,0.4065696597405991,-135.0,-110.25287206477292,32.52098846435547
64.0,0.40080281159210923,-61.0,-109.4996256104648,33.717411041259766
65.0,0.3951177613268873,-97.0,-109.32261094385291,26.04728126525879
66.0,0.3895133487108618,-122.0,-109.5148172210003,45.391963958740234
67.0,0.38398842996690413,-75.0,-109.0124783128127,34.39974594116211
68.0,0.37854187754140095,-25.0,-107.80782623195232,31.033672332763672
69.0,0.37317257987413693,-52.0,-107.01307390605096,22.037076950073242
70.0,0.36787944117144233,-80.0,-106.64465300742413,10.842950820922852
71.0,0.3626613811825573,-116.0,-106.78620176305866,46.645938873291016
72.0,0.35751733497916927,-195.0,-108.00215692228298,128.28819274902344
73.0,0.3524462527380765,-4.0,-106.60020494938594,33.15727996826172
74.0,0.3474470995269354,-84.0,-106.30368075431959,82.47877502441406
75.0,0.34251885509304564,-83.0,-105.99928556122686,127.0069808959961
