episode,epsilon,score,average,avg_q_values
0.0,1.0,-137.0,-137.42519311607958,-0.6043466925621033
1.0,0.9858158423524046,-348.0,-242.72885060390828,-0.38657593727111816
2.0,0.9718328750329811,-62.0,-182.48962474240926,-1.6115648746490479
3.0,0.9580482443263975,-485.0,-258.12816283390237,1.5404287576675415
4.0,0.9444591369948698,-96.0,-225.87898605883404,3.3073551654815674
5.0,0.9310627797040227,-150.0,-213.3475807456034,1.1470509767532349
6.0,0.9178564384568926,-308.0,-226.87618927418637,-3.0359175205230713
7.0,0.9048374180359595,-368.0,-244.5581347913405,-2.8839244842529297
8.0,0.8920030614530944,-169.0,-236.20172965340666,-3.3825156688690186
9.0,0.879350749407306,-123.0,-224.90826551313862,-5.217752456665039
10.0,0.8668778997501816,-187.0,-221.48232221620418,2.3105814456939697
11.0,0.8545819669589086,-159.0,-216.30129121646996,-2.594214677810669
12.0,0.8424604416167714,-332.0,-225.22334171456689,-10.40229320526123
13.0,0.8305108499010163,-89.0,-215.51327427911173,1.521803855895996
14.0,0.8187307530779818,-50.0,-204.53795398370468,1.9277515411376953
15.0,0.8071177470053893,-320.0,-211.77850857680556,-14.93982219696045
16.0,0.7956694616416928,-81.0,-204.09463406612937,4.569818019866943
17.0,0.7843835605623898,-179.0,-202.7416589815422,-2.975999593734741
18.0,0.7732577404831906,-1.0,-192.13234061313142,3.5621490478515625
19.0,0.7622897307899537,-256.0,-195.35316785632995,-2.7502667903900146
20.0,0.751477293075286,-71.0,-189.46817012401038,5.981321811676025
21.0,0.7408182206817179,-191.0,-189.5800988108199,-2.128575325012207
22.0,0.7303103382513573,-58.0,-183.86058937844882,6.888059139251709
23.0,0.7199515012819313,-136.0,-181.87160865321655,6.786743640899658
24.0,0.7097395956891255,-198.0,-182.5425683538573,0.9193120002746582
25.0,0.6996725373751304,-79.0,-178.5789010009152,6.861207008361816
26.0,0.6897482718033084,-204.0,-179.5310993224172,-0.3482358455657959
27.0,0.6799647735788938,-51.0,-174.94658261315092,8.361605644226074
28.0,0.6703200460356393,-78.0,-171.6306895936966,8.082215309143066
29.0,0.6608121208283264,-34.0,-167.05618334676853,11.181514739990234
30.0,0.6514390575310556,-79.0,-164.24538744590882,7.3237481117248535
31.0,0.6421989432412342,-97.0,-162.1456880858843,0.860707700252533
32.0,0.6330898921891813,-120.0,-160.87402668358308,11.569332122802734
33.0,0.6241100453532709,-49.0,-157.59345285043776,14.15690803527832
34.0,0.6152575700805322,-47.0,-154.44006989328838,14.069596290588379
35.0,0.6065306597126334,-228.0,-156.50904225268712,1.4628580808639526
36.0,0.5979275332171694,-48.0,-153.5801104803895,13.340411186218262
37.0,0.5894464348241792,-21.0,-150.09786481438778,4.6844096183776855
38.0,0.5810856336678201,-133.0,-149.6696136386784,3.0721595287323
39.0,0.5728434234331229,-11.0,-146.21431165341153,-1.7324779033660889
40.0,0.5647181220077593,-94.0,-144.95815802246148,-0.9819232225418091
41.0,0.5567080711387471,-68.0,-143.14390331447254,3.339986801147461
42.0,0.5488116360940265,-97.0,-142.07408085922356,6.063785076141357
43.0,0.541027205328834,-62.0,-140.27181423260265,14.906505584716797
44.0,0.5333531901568119,18.0,-136.73305114436823,17.763290405273438
45.0,0.5257880244257798,-131.0,-136.61724165212087,-0.895789384841919
46.0,0.5183301641981067,-62.0,-135.04655463861044,-3.2440733909606934
47.0,0.5109780874356169,-32.0,-132.90132017235155,9.772229194641113
48.0,0.5037302936889633,-319.0,-136.70908372941074,-4.821142673492432
49.0,0.4965853037914095,-378.0,-141.54404131984327,-18.46555519104004
50.0,0.4895416595569531,-139.0,-141.5096138282944,-2.7580244541168213
51.0,0.48259792348273184,-63.0,-140.0185288637418,10.615859985351562
52.0,0.4757526784556506,95.0,-135.5679939241705,-22.839309692382812
53.0,0.4690045274631699,3.0,-132.9900785560196,10.607046127319336
54.0,0.4623520933081963,37.0,-129.88263959038363,11.335097312927246
55.0,0.4557940183280172,-57.0,-128.5931447620314,17.029508590698242
56.0,0.44932896411722156,-81.0,-127.76821331148227,18.82084846496582
57.0,0.4429556112545522,-19.0,-125.90468188817256,19.35770606994629
58.0,0.4366726590336306,-44.0,-124.51699289194256,15.788973808288574
59.0,0.43047882519750297,96.0,-120.84080042615186,-2.499802589416504
60.0,0.42437284567695,-61.0,-119.87250846512936,20.42136573791504
61.0,0.4183534743325094,4.0,-117.86123718134635,21.036691665649414
62.0,0.4124194827001579,-207.0,-119.28709029556572,13.356143951416016
63.0,0.4065696597405991,-1.0,-117.44285307511309,10.366375923156738
64.0,0.40080281159210923,-80.0,-116.8708076892733,13.055591583251953
65.0,0.3951177613268873,25.0,-114.70788680164966,14.730514526367188
66.0,0.3895133487108618,-55.0,-113.82962109517968,9.215940475463867
67.0,0.38398842996690413,-35.0,-112.677498949132,17.536518096923828
68.0,0.37854187754140095,96.0,-109.65296881322186,-12.51058292388916
69.0,0.37317257987413693,-26.0,-108.46647915916013,12.230274200439453
70.0,0.36787944117144233,68.0,-105.97824194241629,13.352319717407227
71.0,0.3626613811825573,29.0,-104.09240518881552,11.384349822998047
72.0,0.35751733497916927,-26.0,-103.03420022727904,6.376575469970703
73.0,0.3524462527380765,-221.0,-104.62995397449173,11.399702072143555
74.0,0.3474470995269354,158.0,-101.12523147838098,9.120118141174316
75.0,0.34251885509304564,-57.0,-100.55255253647252,26.278356552124023
76.0,0.337660513655132,-96.0,-100.49463478672344,7.470978736877441
77.0,0.33287108369807955,68.0,-98.32192186919113,13.262413024902344
