episode,epsilon,score,average,avg_q_values
0.0,0.9975273768433653,-143.0,-143.59087190428545,-0.9629961848258972
1.0,0.9974649407715502,-354.0,-249.03161472033375,-0.6327332258224487
2.0,0.9974009322376768,-109.0,-202.4286923779345,0.707233726978302
3.0,0.9973353118490808,-181.0,-197.10478495765082,-2.057365894317627
4.0,0.997268039236989,-99.0,-177.64778819680774,0.23271693289279938
5.0,0.9971990730328789,17.0,-145.0912411592155,1.6944338083267212
6.0,0.9971283708442995,-219.0,-155.76380453944395,2.5441527366638184
7.0,0.9970558892301329,-104.0,-149.29945384738778,7.766226768493652
8.0,0.9969815836752917,-51.0,-138.46335152863793,6.1115593910217285
9.0,0.9969054085648383,-129.0,-137.56102851800267,7.02880859375
10.0,0.9968273171575148,-269.0,-149.5556232524871,5.518467426300049
11.0,0.9967472615586723,-249.0,-157.90503763492606,0.37599608302116394
12.0,0.9966651926925867,-80.0,-151.952908686757,9.795966148376465
13.0,0.9965810602741516,-91.0,-147.6370803179767,16.431230545043945
14.0,0.9964948127799336,-116.0,-145.55076857583714,14.310748100280762
15.0,0.9964063974185798,-126.0,-144.37714465246873,12.10627269744873
16.0,0.9963157601005641,-219.0,-148.81590985896364,4.580607891082764
17.0,0.9962228454072597,-388.0,-162.10525081238703,21.17085838317871
18.0,0.9961275965593289,-84.0,-158.00680059852186,20.835037231445312
19.0,0.9960299553844113,-67.0,-153.47909896746856,9.024284362792969
20.0,0.995929862284104,-364.0,-163.5334277258173,2.3995649814605713
21.0,0.995827256200217,-141.0,-162.5217437033448,22.090679168701172
22.0,0.9957220745802952,-361.0,-171.18286610657242,-4.276442050933838
23.0,0.9956142533423873,-138.0,-169.8414440993927,24.257980346679688
24.0,0.9955037268390589,-105.0,-167.27846453505128,12.48941707611084
25.0,0.9953904278206259,-274.0,-171.41683357961037,-3.6475303173065186
26.0,0.9952742873976046,-173.0,-171.48760532255173,28.905277252197266
27.0,0.9951552350023601,-190.0,-172.16405985137624,35.165687561035156
28.0,0.995033198349943,-32.0,-167.33268396039853,28.840126037597656
29.0,0.9949081033980989,-140.0,-166.43121572892335,28.742393493652344
30.0,0.9947798743064417,-199.0,-167.4932379590003,26.245420455932617
31.0,0.9946484333947746,-90.0,-165.09620960097908,26.232643127441406
32.0,0.9945137011005495,-88.0,-162.78197964058864,27.903512954711914
33.0,0.9943755959354477,-299.0,-166.8161030066105,-10.906352996826172
34.0,0.994234034441075,-106.0,-165.08007310616847,20.27404022216797
35.0,0.9940889311437562,-168.0,-165.18711044745112,32.57991409301758
36.0,0.9939401985084158,-300.0,-168.8530506019326,28.557052612304688
37.0,0.9937877468915373,-255.0,-171.12438054504617,24.596458435058594
38.0,0.9936314844931844,-259.0,-173.39355091808275,9.091710090637207
39.0,0.9934713173080783,-113.0,-171.90208657723065,19.335407257080078
40.0,0.9933071490757153,-84.0,-169.76942694978953,31.438308715820312
41.0,0.9931388812295173,-347.0,-174.0074587274816,-24.520116806030273
42.0,0.9929664128450049,-468.0,-180.86600130321474,15.878714561462402
43.0,0.992789640586981,-385.0,-185.52791980275305,-45.63739776611328
44.0,0.9926084586557181,-11.0,-181.65968675723494,11.350354194641113
45.0,0.9924227587321393,-120.0,-180.34048590420664,29.04749870300293
46.0,0.9922324299219849,-136.0,-179.41614937546018,32.79024887084961
47.0,0.9920373586989583,-121.0,-178.21038767839798,34.43601989746094
48.0,0.9918374288468401,-260.0,-179.89361273396506,11.673344612121582
49.0,0.9916325214005703,-166.0,-179.62273552335068,3.9115445613861084
50.0,0.991422514586288,-108.0,-178.23169173627767,17.384923934936523
51.0,0.9912072837603251,-115.0,-177.01804153662474,8.72408390045166
52.0,0.990986701347152,-164.0,-176.7798720183782,31.56056785583496
53.0,0.9907606367762712,-91.0,-175.2093799336702,23.346281051635742
54.0,0.9905289564180538,-96.0,-173.77244897953588,31.781681060791016
55.0,0.9902915235185259,-482.0,-179.29235513650673,-58.18213653564453
56.0,0.9900481981330957,-184.0,-179.3854241172314,37.961029052734375
57.0,0.9897988370592303,-93.0,-177.90336982963962,27.068843841552734
58.0,0.9895432937680818,-76.0,-176.19289911943736,38.95863342285156
59.0,0.9892814183350669,-48.0,-174.05653232693618,33.9266357421875
60.0,0.9890130573694068,-186.0,-174.26167206350513,0.3304370641708374
61.0,0.9887380539426343,-86.0,-172.84254307013722,33.16933059692383
62.0,0.9884562475160777,-261.0,-174.245588064379,-3.850562334060669
63.0,0.9881674738673312,-180.0,-174.34748280953136,-5.71225643157959
64.0,0.9878715650157257,-75.0,-172.82554497735495,25.529130935668945
65.0,0.9875683491468141,-94.0,-171.6316828148335,35.94493865966797
66.0,0.9872576505358884,-104.0,-170.6267540983634,36.15213394165039
67.0,0.9869392894705469,-89.0,-169.42922019884801,39.77871322631836
68.0,0.9866130821723351,-152.0,-169.17995796270944,22.108436584472656
69.0,0.9862788407174811,-10.0,-166.91040028514146,15.09892463684082
70.0,0.9859363729567544,-86.0,-165.77478430822055,39.878822326660156
71.0,0.985585482434479,-88.0,-164.7002249277103,14.225516319274902
72.0,0.9852259683067269,-413.0,-168.11468087407658,-26.829017639160156
73.0,0.9848576252587378,-255.0,-169.29250891368696,-26.7264404296875
74.0,0.9844802434215911,-108.0,-168.47981035361198,39.9390754699707
