episode,epsilon,score,average,avg_q_values
0.0,1.0,-219.0,-219.05034325040924,-1.0933791399002075
1.0,0.9858158423524046,-265.0,-242.0804002046114,-1.8247450590133667
2.0,0.9718328750329811,-78.0,-187.6615667264278,-2.0016982555389404
3.0,0.9580482443263975,-84.0,-161.92628562108436,-2.1061954498291016
4.0,0.9444591369948698,-111.0,-151.83928868686394,-4.01320219039917
5.0,0.9310627797040227,-114.0,-145.56298654869337,-2.9000394344329834
6.0,0.9178564384568926,-435.0,-186.93270939669281,-0.9094278216362
7.0,0.9048374180359595,-404.0,-214.07230310366535,-1.1366517543792725
8.0,0.8920030614530944,-174.0,-209.7135948066294,0.4233517646789551
9.0,0.879350749407306,-269.0,-215.68832181630523,-0.7561925649642944
10.0,0.8668778997501816,-114.0,-206.4676632254456,0.01879989542067051
11.0,0.8545819669589086,-162.0,-202.83429059998437,0.5816181302070618
12.0,0.8424604416167714,-358.0,-214.82976344787775,-6.002566814422607
13.0,0.8305108499010163,-65.0,-204.16728769224085,-0.6903135776519775
14.0,0.8187307530779818,-76.0,-195.6435752529247,-0.046592216938734055
15.0,0.8071177470053893,-237.0,-198.25601626024084,-5.409083843231201
16.0,0.7956694616416928,-83.0,-191.49579355617774,2.186988115310669
17.0,0.7843835605623898,-77.0,-185.14783901199502,0.471041202545166
18.0,0.7732577404831906,-401.0,-196.53885261663214,-6.4881744384765625
19.0,0.7622897307899537,-164.0,-194.9189293162934,-4.929586410522461
20.0,0.751477293075286,-241.0,-197.11473842688858,1.709320068359375
21.0,0.7408182206817179,-346.0,-203.89769041135423,-1.0943853855133057
22.0,0.7303103382513573,-88.0,-198.89737257585662,1.6486140489578247
23.0,0.7199515012819313,-121.0,-195.68195708126933,-3.869847536087036
24.0,0.7097395956891255,-195.0,-195.66623681517862,2.250365734100342
25.0,0.6996725373751304,-225.0,-196.83231107807856,2.587881326675415
26.0,0.6897482718033084,-373.0,-203.38652396913668,3.958904504776001
27.0,0.6799647735788938,-390.0,-210.06766125086915,2.8404927253723145
28.0,0.6703200460356393,-145.0,-207.84713972502254,-7.183005332946777
29.0,0.6608121208283264,-71.0,-203.31531339512293,2.8398332595825195
30.0,0.6514390575310556,-94.0,-199.81686241220018,-3.171032667160034
31.0,0.6421989432412342,-110.0,-197.02953072217264,-0.14110025763511658
32.0,0.6330898921891813,-227.0,-197.95773484780963,-20.760515213012695
33.0,0.6241100453532709,-179.0,-197.42097282537648,10.352302551269531
34.0,0.6152575700805322,-20.0,-192.36312360529394,1.8849453926086426
35.0,0.6065306597126334,-63.0,-188.78281743544164,-1.7134301662445068
36.0,0.5979275332171694,-63.0,-185.40484465095062,-7.554107189178467
37.0,0.5894464348241792,-166.0,-184.8977801358202,4.317999362945557
38.0,0.5810856336678201,-377.0,-189.8289273856745,-8.746769905090332
39.0,0.5728434234331229,-163.0,-189.17066791416138,-16.433094024658203
40.0,0.5647181220077593,-120.0,-187.50299534731113,2.7289490699768066
41.0,0.5567080711387471,-174.0,-187.18832760405843,-10.278149604797363
42.0,0.5488116360940265,-215.0,-187.84157526297633,-28.445274353027344
43.0,0.541027205328834,-109.0,-186.0515231124794,-1.231468677520752
