episode,epsilon,score,average,avg_q_values
0.0,1.0,-221.0,-221.4475083621606,-1.951055884361267
1.0,0.9858158423524046,-424.0,-323.11030380828834,-7.767162322998047
2.0,0.9718328750329811,-117.0,-254.55754150972854,-3.8384220600128174
3.0,0.9580482443263975,-361.0,-281.20387901710393,-5.699010372161865
4.0,0.9444591369948698,-123.0,-249.56550237238648,-6.753442764282227
5.0,0.9310627797040227,-117.0,-227.54282491273892,-6.0536394119262695
6.0,0.9178564384568926,-317.0,-240.34119777891965,-5.204633712768555
7.0,0.9048374180359595,-162.0,-230.599302441266,-10.712566375732422
8.0,0.8920030614530944,-408.0,-250.41507869402466,-21.808116912841797
9.0,0.879350749407306,-92.0,-234.64969218820428,-3.353409767150879
10.0,0.8668778997501816,-243.0,-235.47211230074498,-11.661652565002441
11.0,0.8545819669589086,-144.0,-227.85924572666295,-12.13062858581543
12.0,0.8424604416167714,-205.0,-226.15257262547013,-4.834498882293701
13.0,0.8305108499010163,-305.0,-231.8229187148775,-24.282094955444336
14.0,0.8187307530779818,-84.0,-222.0017629954411,-5.387534141540527
15.0,0.8071177470053893,-362.0,-230.81138614931203,-24.393657684326172
16.0,0.7956694616416928,-352.0,-237.96828958482396,-23.73781394958496
17.0,0.7843835605623898,-54.0,-227.7690422423114,-4.2751994132995605
18.0,0.7732577404831906,-289.0,-231.00296287494976,-20.414226531982422
19.0,0.7622897307899537,-175.0,-228.2059233976992,-13.935495376586914
20.0,0.751477293075286,-377.0,-235.31002429893388,-31.860742568969727
21.0,0.7408182206817179,-197.0,-233.6033909434963,-17.592966079711914
22.0,0.7303103382513573,-63.0,-226.1866218718089,-11.669723510742188
23.0,0.7199515012819313,-24.0,-217.77989284452593,-3.261587142944336
24.0,0.7097395956891255,-204.0,-217.24282515623312,-32.211849212646484
25.0,0.6996725373751304,-29.0,-210.02156646312426,-13.827791213989258
26.0,0.6897482718033084,-60.0,-204.4812770821,-8.316215515136719
27.0,0.6799647735788938,-71.0,-199.72940300701495,-2.4695780277252197
28.0,0.6703200460356393,-52.0,-194.65537843806763,-8.959322929382324
29.0,0.6608121208283264,-113.0,-191.94184358442746,-15.92900276184082
30.0,0.6514390575310556,-129.0,-189.94065724108606,5.765145778656006
31.0,0.6421989432412342,-103.0,-187.22909913082415,-2.3731212615966797
32.0,0.6330898921891813,-60.0,-183.40108554985034,9.05109977722168
33.0,0.6241100453532709,-44.0,-179.31826220350348,-2.180701732635498
34.0,0.6152575700805322,-89.0,-176.76482123158817,1.870200753211975
35.0,0.6065306597126334,-35.0,-172.8358493322831,1.1277412176132202
36.0,0.5979275332171694,-31.0,-169.0178387144402,8.950342178344727
37.0,0.5894464348241792,-250.0,-171.15653114854956,-5.01989221572876
38.0,0.5810856336678201,-53.0,-168.1294275344055,10.527251243591309
39.0,0.5728434234331229,-113.0,-166.77377627516287,16.397539138793945
40.0,0.5647181220077593,-98.0,-165.11833708765437,18.46111488342285
41.0,0.5567080711387471,-203.0,-166.03253501131726,-19.171640396118164
42.0,0.5488116360940265,-96.0,-164.41965530142346,10.976973533630371
43.0,0.541027205328834,-245.0,-166.26775313909275,-29.2891902923584
44.0,0.5333531901568119,-139.0,-165.68290537100526,14.303141593933105
45.0,0.5257880244257798,-55.0,-163.2802167021349,5.36749792098999
46.0,0.5183301641981067,-89.0,-161.70310013501899,5.806275844573975
47.0,0.5109780874356169,13.0,-158.05401127116275,-3.3709723949432373
48.0,0.5037302936889633,-266.0,-160.26375649068066,-24.096559524536133
49.0,0.4965853037914095,-46.0,-157.9888227348119,-12.160218238830566
50.0,0.4895416595569531,-161.0,-158.06030006903757,3.2050867080688477
51.0,0.48259792348273184,-118.0,-157.29822571099908,13.905587196350098
52.0,0.4757526784556506,-22.0,-154.75245849192757,4.43315315246582
53.0,0.4690045274631699,-102.0,-153.78651920132347,6.373265266418457
54.0,0.4623520933081963,-38.0,-151.68925380669955,5.748841762542725
55.0,0.4557940183280172,-70.0,-150.24739081138605,13.315902709960938
56.0,0.44932896411722156,-80.0,-149.03239953292888,-2.041851758956909
57.0,0.4429556112545522,-352.0,-152.53877985861055,-28.638410568237305
58.0,0.4366726590336306,-68.0,-151.1181461490173,-3.0222256183624268
59.0,0.43047882519750297,-35.0,-149.19398915099845,6.510965347290039
60.0,0.42437284567695,-75.0,-147.9898515231198,1.3539831638336182
61.0,0.4183534743325094,-191.0,-148.69402828355058,2.956061601638794
62.0,0.4124194827001579,-43.0,-147.02336133175928,20.629358291625977
63.0,0.4065696597405991,-72.0,-145.86376158623213,25.669218063354492
64.0,0.40080281159210923,-76.0,-144.7991565273854,34.264854431152344
65.0,0.3951177613268873,-17.0,-142.875036848321,-37.63507843017578
