episode,epsilon,score,average,avg_q_values
0.0,0.0,247.0,247.326364091163,81.65827178955078
1.0,0.0,256.0,251.8520622379525,81.56731414794922
2.0,0.0,250.0,251.41115194594653,76.16413116455078
3.0,0.0,255.0,252.40512700962023,89.48587799072266
4.0,0.0,269.0,255.91149876484735,80.45134735107422
5.0,0.0,259.0,256.5791120324878,84.63079071044922
6.0,0.0,248.0,255.4691936649744,85.68529510498047
7.0,0.0,223.0,251.4871819880474,89.41018676757812
8.0,0.0,223.0,248.39464314558006,82.10572052001953
9.0,0.0,247.0,248.3435041021045,92.38671112060547
10.0,0.0,251.0,248.63274323419458,86.29914093017578
11.0,0.0,234.0,247.43986536084495,81.48875427246094
12.0,0.0,290.0,250.7355912948011,95.16548156738281
13.0,0.0,242.0,250.12112494338575,84.88665771484375
14.0,0.0,271.0,251.5689599796739,79.2537612915039
15.0,0.0,237.0,250.67312747100283,82.45585632324219
16.0,0.0,242.0,250.21754573612247,84.34905242919922
17.0,0.0,248.0,250.11364891497092,87.8014144897461
18.0,0.0,274.0,251.40377188610077,81.86895751953125
19.0,0.0,268.0,252.24868443860726,108.45028686523438
20.0,0.0,239.0,251.6218497548441,83.87348175048828
21.0,0.0,269.0,252.44405624791793,93.5834732055664
22.0,0.0,241.0,251.98676892542522,82.27696990966797
23.0,0.0,267.0,252.65235964578287,90.58120727539062
24.0,0.0,269.0,253.32511865948922,86.71551513671875
25.0,0.0,263.0,253.7292199297343,81.44169616699219
26.0,0.0,240.0,253.24368502118634,76.85269165039062
27.0,0.0,291.0,254.62119451183673,94.54572296142578
28.0,0.0,258.0,254.76390058991686,89.79112243652344
29.0,0.0,253.0,254.73311943267151,82.7723159790039
30.0,0.0,288.0,255.83437079524862,94.03240966796875
31.0,0.0,114.0,251.42508664978604,56.915584564208984
32.0,0.0,278.0,252.24139903724642,84.58316802978516
33.0,0.0,272.0,252.84686025941576,85.7280044555664
34.0,0.0,275.0,253.50226451138633,92.99334716796875
35.0,0.0,297.0,254.72267580819798,104.29949951171875
36.0,0.0,306.0,256.13270292914217,94.8204345703125
37.0,0.0,239.0,255.69367320185123,87.54405975341797
38.0,0.0,249.0,255.52402076704254,78.66699981689453
39.0,0.0,218.0,254.60728239056792,85.77774810791016
40.0,0.0,259.0,254.7272782833527,84.9291000366211
41.0,0.0,261.0,254.8991249946144,87.29095458984375
42.0,0.0,276.0,255.4057145005104,79.37532806396484
43.0,0.0,221.0,254.6356012735212,87.09073638916016
44.0,0.0,256.0,254.68131914087408,84.76293182373047
45.0,0.0,250.0,254.58321436291385,82.64397430419922
46.0,0.0,243.0,254.34688069117556,88.61038970947266
47.0,0.0,256.0,254.3929897297912,89.10482788085938
48.0,0.0,229.0,253.89293421666406,74.41332244873047
49.0,0.0,239.0,253.60117235428905,87.35002136230469
50.0,0.0,225.0,253.0438200649246,85.65867614746094
51.0,0.0,238.0,252.75640675242263,78.93904876708984
52.0,0.0,262.0,252.93566817418764,89.364501953125
53.0,0.0,291.0,253.6476437077303,79.81745147705078
54.0,0.0,264.0,253.84576312282016,88.627685546875
55.0,0.0,294.0,254.56985114700913,94.44827270507812
56.0,0.0,262.0,254.71300358104753,80.0525894165039
57.0,0.0,280.0,255.1588734802958,91.06742858886719
58.0,0.0,82.0,252.2362584681651,66.71094512939453
59.0,0.0,280.0,252.70312442506304,85.39672088623047
60.0,0.0,246.0,252.60600574273772,87.7138671875
61.0,0.0,234.0,252.31474306750098,89.31854248046875
62.0,0.0,270.0,252.5987613491671,86.3163070678711
63.0,0.0,260.0,252.71957232106345,89.0662612915039
64.0,0.0,219.0,252.2037313820766,82.89835357666016
65.0,0.0,263.0,252.36814812368277,80.20933532714844
66.0,0.0,267.0,252.591527863931,79.94168853759766
67.0,0.0,245.0,252.48685887736022,82.05951690673828
68.0,0.0,246.0,252.39510580528562,85.22211456298828
69.0,0.0,276.0,252.73911725328946,84.8716049194336
70.0,0.0,295.0,253.3471526324066,84.38359069824219
71.0,0.0,289.0,253.8519124300563,94.36309814453125
72.0,0.0,292.0,254.3789233281185,83.02301788330078
73.0,0.0,240.0,254.19235028076451,85.11454772949219
74.0,0.0,253.0,254.17719138174607,86.86930084228516
75.0,0.0,247.0,254.08742210246982,88.02613830566406
76.0,0.0,262.0,254.19686277719492,71.3772201538086
77.0,0.0,276.0,254.4798319474154,81.64624786376953
78.0,0.0,245.0,254.3688024865927,83.85334014892578
79.0,0.0,271.0,254.5803796256471,91.56739807128906
80.0,0.0,274.0,254.8278172243541,77.77361297607422
81.0,0.0,254.0,254.82742293399843,81.22834777832031
82.0,0.0,274.0,255.0682803777685,95.42201232910156
83.0,0.0,289.0,255.4730236430153,80.79547119140625
84.0,0.0,282.0,255.78660148972799,78.90849304199219
85.0,0.0,261.0,255.85012651573183,86.20732879638672
86.0,0.0,146.0,254.59728857766115,73.97491455078125
87.0,0.0,231.0,254.33987994685845,88.84086608886719
88.0,0.0,253.0,254.32559086666518,87.89295959472656
89.0,0.0,264.0,254.4362550980825,80.90335845947266
90.0,0.0,266.0,254.56750450025726,79.01396942138672
91.0,0.0,283.0,254.88129637121693,80.54875183105469
92.0,0.0,273.0,255.0810767059178,82.02066040039062
93.0,0.0,261.0,255.1510110217711,89.51416015625
94.0,0.0,226.0,254.84670847563703,84.91206359863281
95.0,0.0,249.0,254.7894595889297,85.64908599853516
96.0,0.0,257.0,254.81561288820066,85.41921997070312
97.0,0.0,244.0,254.7082506919131,85.97181701660156
98.0,0.0,247.0,254.6369679793732,86.59780883789062
99.0,0.0,267.0,254.76102351213117,84.30101776123047
