episode,epsilon,score,average,avg_q_values
0.0,1.0,-120.0,-120.68129550428459,-0.6176862120628357
1.0,0.9858158423524046,-393.0,-256.862346639461,-1.0664268732070923
2.0,0.9718328750329811,-98.0,-204.16608767280923,-0.2805921733379364
3.0,0.9580482443263975,-123.0,-184.02688876371997,-0.9124994874000549
4.0,0.9444591369948698,-106.0,-168.59724178635267,0.17670871317386627
5.0,0.9310627797040227,-308.0,-191.8672247837693,-7.526553630828857
6.0,0.9178564384568926,-422.0,-224.87646163666852,2.1052052974700928
7.0,0.9048374180359595,-146.0,-215.08056119630723,-2.576108455657959
8.0,0.8920030614530944,-126.0,-205.24476305686926,-0.6522328853607178
9.0,0.879350749407306,-154.0,-200.16674852234485,-4.959234714508057
10.0,0.8668778997501816,-135.0,-194.2739658468953,-6.656394958496094
11.0,0.8545819669589086,-106.0,-186.98976337415925,-2.4466440677642822
12.0,0.8424604416167714,-193.0,-187.5033755622089,-7.796488285064697
13.0,0.8305108499010163,-182.0,-187.1332221655137,-3.33341383934021
14.0,0.8187307530779818,-158.0,-185.21115079049315,-2.9167537689208984
15.0,0.8071177470053893,-458.0,-202.29738647821287,-9.837385177612305
16.0,0.7956694616416928,-128.0,-197.96693906243598,1.1718953847885132
17.0,0.7843835605623898,-85.0,-191.7004513128319,2.1383249759674072
18.0,0.7732577404831906,15.0,-180.79016538106225,-4.744884014129639
19.0,0.7622897307899537,-189.0,-181.21125664557317,-2.9307103157043457
20.0,0.751477293075286,-112.0,-177.92625079716268,-3.1174590587615967
21.0,0.7408182206817179,-367.0,-186.5288961194097,-25.76456642150879
22.0,0.7303103382513573,-254.0,-189.47050195671625,-9.032247543334961
23.0,0.7199515012819313,-103.0,-185.89622154127312,3.8146891593933105
24.0,0.7097395956891255,-158.0,-184.7946822455265,-1.8478580713272095
25.0,0.6996725373751304,-354.0,-191.331092981661,-2.1534583568573
26.0,0.6897482718033084,-73.0,-186.95272441079126,5.4794020652771
27.0,0.6799647735788938,-46.0,-181.92919630403355,4.605773448944092
